III,V,ABP,RESP
1634,3321,6427,2391
1675,3331,6347,2408
1724,3323,6240,2409
1738,3331,6142,2408
1708,3334,6034,2405
1675,3331,5938,2408
1665,3307,5827,2404
1675,3282,5733,2408
1678,3240,5628,2419
1675,3186,5528,2439
1668,3122,5411,2444
1654,3089,5323,2439
1622,3070,5255,2429
1592,3041,5221,2439
1574,2982,5182,2456
1571,2944,5170,2471
1560,2940,5176,2468
1550,2944,5221,2471
1539,2916,5253,2481
1529,2896,5272,2502
1512,2909,5264,2507
1508,2944,5272,2502
1517,2952,5274,2492
1529,2944,5272,2502
1519,2940,5239,2518
1508,2944,5221,2533
1501,2940,5212,2532
1508,2944,5221,2533
1507,2954,5200,2532
1508,2944,5170,2533
1500,2897,5132,2527
1487,2848,5119,2533
1457,2806,5094,2546
1424,2751,5067,2565
1354,2668,5028,2566
1236,2607,5016,2565
1106,2573,5012,2561
1089,2510,5016,2565
1234,2337,4992,2561
1487,2076,4965,2565
1725,1779,4931,2566
1927,1496,4914,2565
2141,1221,4885,2546
2450,965,4863,2533
2867,677,4831,2528
3351,290,4811,2533
3775,-238,4781,2530
4021,-772,4760,2533
4065,-1115,4730,2534
4021,-1110,4709,2533
4000,-805,4677,2515
4021,-338,4658,2502
4032,134,4630,2498
4021,579,4607,2502
4012,1011,4571,2489
4021,1448,4556,2471
4026,1815,4548,2450
4021,2076,4556,2439
4013,2264,4536,2423
4021,2510,4504,2408
4039,2844,4463,2390
4021,3186,4453,2377
3863,3399,4452,2359
3476,3475,4453,2346
2861,3485,4426,2328
2157,3524,4402,2314
1534,3603,4373,2295
1089,3717,4351,2283
786,3838,4316,2268
565,3958,4300,2252
397,4048,4294,2220
314,4103,4300,2189
308,4126,4277,2165
335,4151,4248,2158
336,4175,4213,2146
314,4199,4197,2127
281,4214,4185,2092
251,4248,4197,2064
213,4280,4204,2042
188,4296,4197,2033
182,4282,4161,2018
188,4296,4146,2002
182,4342,4145,1981
168,4392,4146,1970
148,4394,4114,1957
126,4392,4095,1939
92,4421,4092,1906
63,4489,4095,1877
42,4542,4064,1853
21,4586,4044,1845
-17,4611,4039,1833
-63,4634,4044,1814
-107,4645,4014,1781
-147,4682,3992,1751
-178,4721,3986,1728
-188,4730,3992,1720
-190,4679,3965,1708
-209,4634,3941,1689
-256,4621,3931,1655
-293,4634,3941,1626
-300,4615,3919,1605
-293,4586,3890,1595
-298,4545,3869,1579
-293,4489,3890,1564
-254,4389,3912,1546
-188,4296,3941,1532
-126,4232,3969,1516
-63,4199,4044,1501
20,4152,4151,1484
126,4103,4300,1470
233,4039,4446,1452
335,3958,4607,1439
430,3834,4770,1423
524,3717,4965,1407
615,3629,5164,1388
712,3572,5375,1376
810,3487,5559,1362
901,3379,5733,1345
970,3264,5881,1322
1026,3186,6040,1314
1078,3117,6191,1315
1131,3041,6347,1314
1176,2938,6476,1296
1215,2848,6603,1282
1253,2781,6707,1280
1298,2751,6808,1282
1344,2738,6883,1268
1382,2751,6961,1251
1406,2760,7019,1244
1424,2751,7064,1251
1442,2714,7066,1253
1466,2703,7064,1251
1488,2722,7054,1248
1508,2751,7064,1251
1519,2749,7060,1251
1529,2751,7064,1251
1537,2770,7055,1249
1550,2800,7064,1251
1561,2799,7060,1250
1571,2800,7064,1251
1571,2815,7055,1249
1571,2848,7064,1251
1569,2868,7062,1250
1571,2896,7064,1251
1570,2925,7036,1250
1571,2944,7012,1251
1569,2934,6979,1250
1571,2944,6961,1251
1569,2987,6917,1250
1571,3041,6859,1251
1575,3052,6771,1250
1592,3041,6705,1251
1605,3031,6646,1250
1613,3041,6603,1251
1609,3053,6529,1249
1613,3089,6449,1251
1616,3140,6344,1250
1613,3186,6245,1251
1595,3191,6131,1249
1592,3186,6040,1251
1607,3182,5939,1251
1634,3186,5835,1251
1644,3190,5698,1248
1654,3234,5579,1251
1678,3296,5482,1254
1717,3331,5426,1251
1740,3305,5365,1235
1738,3282,5323,1220
1720,3285,5298,1213
1717,3282,5323,1220
1721,3230,5351,1222
1717,3186,5375,1220
1693,3180,5368,1215
1675,3186,5375,1220
1672,3129,5375,1224
1675,3041,5375,1220
1659,2971,5342,1202
1634,2944,5323,1188
1613,2918,5315,1184
1613,2896,5323,1188
1614,2884,5301,1188
1613,2896,5272,1188
1602,2899,5236,1187
1592,2896,5221,1188
1577,2888,5193,1186
1571,2896,5170,1188
1568,2899,5137,1191
1571,2896,5119,1188
1569,2884,5089,1172
1571,2896,5067,1157
1569,2922,5036,1151
1571,2944,5016,1157
1568,2943,4986,1158
1571,2944,4965,1157
1569,2948,4934,1154
1571,2944,4914,1157
1565,2930,4883,1158
1571,2944,4863,1157
1572,2984,4833,1154
1571,2993,4811,1157
1549,2931,4780,1158
1529,2848,4760,1157
1504,2790,4731,1152
1466,2751,4709,1157
1370,2699,4676,1171
1236,2655,4658,1188
1133,2610,4632,1192
1173,2510,4607,1188
1359,2285,4569,1183
1613,1979,4556,1188
1827,1667,4552,1200
2010,1400,4556,1220
2234,1143,4530,1238
2576,869,4504,1251
3017,528,4474,1250
3476,97,4453,1251
3833,-429,4419,1260
4021,-917,4402,1282
4052,-1191,4395,1302
4021,-1110,4402,1314
4005,-738,4381,1313
4021,-241,4351,1314
4030,217,4315,1322
4021,627,4300,1345
4010,1019,4275,1366
4021,1400,4248,1376
4032,1702,4211,1372
4021,1931,4197,1376
4002,2140,4192,1390
4021,2413,4197,1407
4060,2723,4176,1409
4021,2993,4146,1407
3786,3138,4108,1414
3330,3186,4095,1439
2713,3207,4089,1460
2052,3282,4095,1470
1460,3397,4076,1466
1026,3524,4044,1470
746,3652,4002,1482
565,3813,3992,1501
428,3970,3994,1506
356,4055,3992,1501
351,4052,3961,1493
377,4055,3941,1501
375,4101,3935,1517
356,4151,3941,1532
340,4148,3917,1534
335,4151,3890,1532
321,4194,3874,1531
314,4248,3890,1532
316,4248,3897,1530
314,4248,3890,1532
284,4284,3859,1534
251,4344,3839,1532
234,4367,3827,1517
230,4392,3839,1501
206,4440,3842,1494
168,4489,3839,1501
136,4488,3810,1506
126,4489,3788,1501
114,4525,3772,1484
84,4586,3788,1470
39,4611,3794,1464
0,4634,3788,1470
-30,4674,3752,1473
-63,4730,3737,1470
-108,4744,3730,1453
-147,4730,3737,1439
-159,4702,3725,1431
-147,4682,3737,1439
-133,4651,3757,1444
-126,4634,3788,1439
-115,4630,3797,1420
-84,4634,3839,1407
-35,4588,3919,1404
21,4489,4044,1407
66,4356,4159,1406
105,4248,4300,1407
147,4153,4475,1409
209,4055,4709,1407
290,3927,4943,1391
377,3813,5170,1376
454,3715,5369,1370
524,3620,5579,1376
587,3495,5782,1378
649,3379,5989,1376
710,3277,6169,1372
775,3186,6347,1376
839,3076,6501,1377
901,2993,6654,1376
960,2938,6795,1371
1026,2896,6961,1376
1094,2834,7122,1388
1152,2800,7268,1407
1194,2797,7355,1413
1236,2800,7422,1407
1280,2766,7470,1398
1319,2751,7524,1407
1341,2772,7550,1426
1361,2800,7575,1439
1390,2776,7594,1434
1424,2751,7627,1439
1447,2760,7631,1454
1466,2800,7627,1470
1486,2821,7609,1468
1508,2848,7627,1470
1518,2879,7649,1483
1529,2896,7678,1501
1547,2867,7674,1501
1571,2848,7678,1501
1578,2863,7674,1512
1571,2896,7678,1532
1561,2897,7650,1536
1571,2896,7627,1532
1592,2913,7594,1537
1613,2944,7575,1564
1616,2945,7526,1586
1613,2944,7473,1595
1608,2973,7408,1590
1613,3041,7371,1595
1613,3085,7321,1609
1613,3089,7268,1626
1614,3071,7185,1627
1634,3089,7115,1626
1658,3135,7035,1633
1675,3186,6961,1658
1673,3210,6856,1678
1675,3234,6757,1689
1697,3259,6647,1685
1738,3282,6552,1689
1764,3280,6440,1700
1759,3282,6347,1720
1732,3288,6244,1735
1717,3282,6142,1751
1717,3235,6006,1765
1717,3186,5886,1783
1697,3154,5786,1796
1675,3137,5733,1814
1661,3094,5676,1829
1654,3041,5630,1845
1635,2986,5583,1855
1613,2944,5579,1877
1589,2905,5592,1906
1571,2896,5630,1939
1553,2901,5653,1957
1550,2896,5682,1970
1552,2861,5685,1982
1550,2848,5682,2002
1533,2869,5650,2016
1529,2896,5630,2033
1540,2877,5603,2046
1550,2848,5579,2064
1536,2836,5538,2078
1529,2848,5528,2095
1537,2846,5529,2109
1550,2848,5528,2127
1546,2866,5477,2140
1550,2896,5426,2158
1562,2903,5386,2171
1571,2896,5375,2189
1553,2891,5346,2203
1550,2896,5323,2221
1563,2898,5296,2234
1571,2896,5272,2252
1538,2883,5218,2265
1508,2848,5170,2283
1495,2778,5131,2297
1466,2703,5119,2314
1353,2645,5092,2327
1194,2607,5067,2346
1087,2540,5035,2360
1131,2413,5016,2377
1308,2202,4986,2389
1550,1931,4965,2408
1769,1628,4936,2425
1969,1352,4914,2439
2196,1107,4880,2438
2534,869,4863,2439
2979,546,4839,2446
3456,97,4811,2471
3827,-448,4755,2490
4021,-917,4709,2502
4053,-1138,4673,2499
4021,-1014,4658,2502
4004,-633,4629,2502
4021,-145,4607,2502
4033,313,4577,2494
4021,724,4556,2502
4007,1097,4520,2518
4021,1448,4504,2533
4038,1738,4498,2522
4021,1979,4504,2502
3993,2214,4482,2490
4021,2510,4453,2502
4079,2814,4417,2509
4021,3041,4402,2502
3713,3139,4377,2479
3183,3186,4351,2471
2558,3245,4313,2471
1948,3331,4300,2471
1399,3411,4295,2452
963,3524,4300,2439
667,3686,4278,2437
503,3862,4248,2439
420,3970,4210,2423
398,4006,4197,2408
406,4017,4192,2402
419,4055,4197,2408
402,4104,4178,2398
377,4151,4146,2377
359,4176,4104,2352
356,4199,4095,2346
346,4217,4096,2344
335,4248,4095,2346
322,4272,4064,2332
314,4296,4044,2314
295,4297,4037,2291
272,4296,4044,2283
246,4300,4020,2281
230,4344,3992,2283
212,4397,3975,2269
188,4441,3992,2252
163,4456,4001,2230
147,4489,3992,2221
132,4538,3957,2214
105,4586,3941,2221
60,4588,3936,2223
21,4586,3941,2221
-2,4598,3916,2203
-21,4634,3890,2189
-59,4644,3871,2182
-105,4634,3890,2189
-126,4606,3899,2190
-105,4586,3890,2189
-78,4557,3850,2184
-84,4537,3839,2189
-113,4514,3852,2192
-105,4489,3890,2189
-40,4428,3909,2171
42,4344,3941,2158
92,4242,3993,2152
126,4151,4095,2158
176,4056,4209,2158
251,3958,4351,2158
326,3837,4508,2154
398,3717,4709,2158
476,3604,4914,2157
565,3524,5119,2158
646,3437,5294,2154
712,3331,5477,2158
765,3197,5653,2159
817,3089,5835,2158
867,3007,5988,2151
921,2944,6142,2158
981,2877,6289,2172
1047,2848,6449,2189
1113,2847,6583,2190
1173,2848,6705,2189
1220,2801,6804,2187
1257,2751,6910,2189
1287,2732,6995,2184
1319,2751,7064,2189
1352,2757,7091,2202
1382,2751,7115,2221
1404,2740,7132,2223
1424,2751,7166,2221
1442,2767,7174,2215
1466,2800,7166,2221
1488,2827,7130,2221
1508,2848,7115,2221
1513,2844,7106,2216
1508,2848,7115,2221
1500,2864,7108,2221
1508,2896,7115,2221
1521,2904,7113,2214
1529,2896,7115,2221
1524,2895,7087,2234
1529,2944,7064,2252
1547,3007,7033,2254
1571,3041,7012,2252
1576,3030,6963,2247
1571,3041,6910,2252
1564,3088,6847,2251
1571,3137,6808,2252
1585,3139,6757,2249
1613,3137,6705,2252
1645,3156,6624,2250
1675,3186,6552,2252
1683,3197,6470,2250
1675,3234,6398,2252
1671,3293,6298,2249
1696,3331,6193,2252
1728,3303,6077,2251
1738,3282,5989,2252
1714,3304,5891,2247
1696,3331,5784,2252
1702,3292,5644,2254
1717,3234,5528,2252
1711,3201,5433,2233
1696,3186,5375,2221
1685,3137,5311,2215
1675,3089,5272,2221
1646,3062,5251,2219
1613,3041,5272,2221
1591,2987,5293,2220
1592,2944,5323,2221
1587,2936,5342,2206
1571,2944,5375,2189
1545,2918,5382,2179
1529,2896,5375,2189
1523,2907,5338,2196
1529,2944,5323,2189
1530,2953,5317,2167
1529,2944,5323,2158
1523,2936,5299,2158
1529,2944,5272,2158
1540,2942,5237,2139
1550,2944,5221,2127
1542,2958,5192,2124
1529,2993,5170,2127
1520,3006,5137,2111
1529,2993,5119,2095
1534,2973,5089,2089
1529,2993,5067,2095
1511,3029,5036,2086
1508,3041,5016,2064
1516,3010,4986,2039
1529,2993,4965,2033
1520,3015,4934,2033
1508,3041,4914,2033
1498,3012,4883,2018
1508,2944,4863,2002
1514,2882,4832,1982
1508,2848,4811,1970
1457,2806,4781,1954
1361,2751,4760,1939
1238,2698,4729,1920
1173,2655,4709,1908
1229,2548,4679,1892
1424,2317,4658,1877
1674,1973,4627,1856
1906,1641,4607,1845
2099,1392,4578,1833
2346,1207,4556,1814
2729,984,4523,1780
3246,676,4504,1751
3733,251,4478,1731
4021,-241,4453,1720
4072,-682,4415,1704
4021,-869,4402,1689
3997,-724,4399,1673
4021,-338,4402,1658
4034,88,4376,1627
4021,483,4351,1595
4010,874,4321,1570
4021,1303,4300,1564
4029,1681,4264,1554
4021,1931,4248,1532
4010,2077,4244,1497
4021,2269,4248,1470
4042,2550,4225,1453
4021,2848,4197,1439
3875,3051,4165,1409
3539,3186,4146,1376
3001,3293,4114,1351
2346,3379,4095,1345
1709,3418,4086,1335
1215,3475,4095,1314
872,3599,4078,1278
628,3765,4044,1251
438,3888,4001,1232
335,3958,3992,1220
330,4005,3994,1202
377,4055,3992,1188
388,4084,3961,1175
356,4103,3941,1157
318,4119,3935,1126
314,4151,3941,1095
320,4175,3918,1073
314,4199,3890,1063
290,4218,3872,1050
272,4248,3890,1032
255,4270,3900,1013
230,4296,3890,1001
191,4313,3854,986
168,4344,3839,970
165,4368,3837,949
168,4392,3839,938
145,4405,3811,936
105,4441,3788,938
68,4485,3775,929
42,4537,3788,907
12,4577,3788,883
-21,4634,3788,876
-47,4678,3779,878
-63,4682,3788,876
-80,4639,3786,858
-105,4634,3788,844
-132,4679,3779,843
-147,4730,3788,844
-143,4717,3787,831
-126,4682,3788,813
-111,4642,3774,805
-105,4586,3788,813
-102,4481,3820,819
-84,4392,3890,813
-48,4330,3970,796
0,4248,4095,782
50,4096,4253,776
105,3958,4453,782
160,3878,4650,787
209,3813,4863,782
254,3678,5078,764
314,3524,5323,751
394,3405,5558,747
482,3331,5784,751
557,3246,5968,750
628,3186,6142,751
701,3156,6307,753
775,3137,6501,751
838,3081,6686,735
901,3041,6859,719
964,3036,6988,713
1026,3041,7115,719
1078,2995,7223,722
1131,2944,7320,719
1187,2927,7371,715
1236,2944,7422,719
1267,2930,7469,723
1298,2896,7524,719
1339,2872,7535,703
1382,2896,7524,688
1407,2925,7503,682
1424,2944,7524,688
1443,2954,7550,693
1466,2993,7575,688
1479,3031,7568,671
1487,3041,7575,657
1494,3006,7591,651
1508,2993,7627,657
1525,3012,7631,661
1550,3041,7627,657
1568,3037,7611,641
1571,3041,7627,626
1561,3064,7630,619
1571,3089,7627,626
1596,3081,7592,631
1613,3089,7575,626
1600,3134,7552,608
1592,3186,7524,594
1613,3189,7447,592
1654,3186,7371,594
1675,3217,7302,585
1675,3282,7268,563
1682,3319,7205,540
1717,3331,7115,532
1752,3327,6995,533
1759,3331,6910,532
1736,3326,6834,518
1717,3331,6757,500
1714,3321,6628,484
1717,3282,6501,469
1700,3215,6382,453
1675,3186,6296,438
1657,3193,6178,423
1654,3186,6040,407
1641,3114,5886,387
1613,3041,5784,375
1574,3006,5714,374
1550,2993,5682,375
1536,2944,5642,365
1529,2896,5630,344
1515,2894,5637,324
1508,2944,5682,313
1504,2982,5711,301
1508,2993,5733,281
1505,2987,5726,259
1508,2993,5733,250
1507,2996,5731,253
1508,2993,5733,250
1501,2987,5706,234
1508,2993,5682,219
1513,2987,5647,217
1508,2944,5630,219
1482,2867,5601,207
1466,2800,5579,188
1432,2750,5546,179
1340,2703,5528,188
1187,2647,5499,195
1089,2607,5477,188
1138,2512,5443,169
1340,2269,5426,156
1595,1885,5400,154
1843,1545,5375,156
2061,1336,5320,156
2304,1158,5272,156
2645,839,5231,158
3141,386,5221,156
3671,-127,5200,152
4021,-627,5170,156
4090,-1047,5111,172
4021,-1207,5067,188
3989,-1032,5031,191
4021,-627,5016,188
4036,-205,4988,187
4021,193,4965,188
4013,623,4933,185
4021,1110,4914,188
4020,1537,4884,201
4021,1834,4863,219
4027,2033,4831,225
4021,2269,4811,219
4006,2588,4782,213
4021,2944,4760,219
4006,3220,4729,234
3791,3379,4709,250
3261,3440,4680,256
2534,3475,4658,250
1839,3523,4626,244
1319,3620,4607,250
941,3759,4579,268
649,3910,4556,281
433,4013,4519,283
335,4055,4504,281
330,4052,4498,282
356,4055,4504,281
353,4072,4483,277
335,4103,4453,281
320,4124,4415,298
314,4151,4402,313
294,4174,4396,314
272,4199,4402,313
256,4215,4383,316
251,4248,4351,313
233,4276,4308,295
209,4296,4300,281
185,4300,4302,282
168,4344,4300,281
140,4419,4265,265
105,4489,4248,250
69,4496,4246,250
42,4489,4248,250
15,4513,4217,235
-21,4586,4197,219
-65,4632,4192,217
-105,4634,4197,219
-137,4613,4168,206
-168,4634,4146,188
-203,4671,4138,183
-230,4682,4146,188
-244,4634,4121,179
-251,4586,4095,156
-270,4556,4079,134
-293,4537,4095,125
-305,4488,4095,125
-293,4441,4095,125
-262,4398,4085,115
-209,4344,4095,94
-141,4244,4105,71
-63,4151,4146,63
11,4090,4204,66
84,4055,4300,63
165,3989,4407,46
272,3910,4556,31
398,3817,4722,30
524,3717,4914,31
628,3600,5091,19
712,3524,5272,0
784,3480,5443,-8
859,3427,5630,0
939,3308,5807,8
1026,3186,5989,0
1107,3112,6146,-19
1173,3089,6296,-31
1219,3037,6421,-32
1257,2944,6552,-31
1290,2830,6661,-34
1319,2751,6757,-31
1339,2707,6823,-17
1361,2703,6910,0
1390,2704,6995,5
1424,2703,7064,0
1449,2677,7071,-4
1466,2655,7064,0
1483,2655,7054,12
1508,2703,7064,31
1526,2747,7057,51
1529,2751,7064,63
1520,2712,7064,62
1529,2703,7064,63
1551,2741,7031,74
1571,2800,7012,94
1570,2825,7004,111
1571,2848,7012,125
1581,2875,6988,139
1592,2896,6961,156
1582,2886,6928,172
1571,2896,6910,188
1568,2941,6862,203
1571,2993,6808,219
1558,2997,6743,234
1550,2993,6705,250
1555,3009,6657,266
1571,3041,6603,281
1572,3044,6520,296
1571,3041,6449,313
1569,3041,6371,329
1571,3041,6296,344
1565,3023,6190,358
1571,3041,6091,375
1584,3108,5984,392
1592,3186,5886,407
1578,3204,5772,419
1571,3186,5682,438
1584,3169,5597,466
1613,3186,5528,500
1625,3221,5439,523
1634,3282,5375,532
1655,3332,5331,538
1696,3331,5323,563
1723,3256,5311,598
1717,3186,5323,626
1688,3165,5342,637
1675,3186,5375,657
1683,3176,5375,689
1696,3137,5375,719
1689,3097,5367,733
1675,3089,5375,751
1663,3075,5354,782
1654,3041,5323,813
1634,2985,5282,828
1613,2944,5272,844
1597,2902,5269,875
1592,2848,5272,907
1580,2792,5247,922
1571,2800,5221,938
1565,2855,5187,968
1571,2896,5170,1001
1572,2871,5141,1017
1571,2848,5119,1032
1561,2865,5087,1060
1550,2896,5067,1095
1534,2878,5037,1114
1529,2848,5016,1126
1533,2855,4985,1139
1550,2896,4965,1157
1562,2910,4935,1170
1571,2896,4914,1188
1568,2884,4883,1216
1571,2896,4863,1251
1569,2918,4833,1272
1571,2944,4811,1282
1560,2960,4780,1290
1550,2944,4760,1314
1529,2894,4731,1345
1508,2848,4709,1376
1474,2808,4676,1394
1424,2751,4658,1407
1318,2667,4632,1419
1173,2607,4607,1439
1068,2549,4569,1456
1131,2413,4556,1470
1364,2146,4552,1480
1654,1834,4556,1501
1866,1551,4530,1522
2031,1303,4504,1532
2273,1042,4475,1528
2681,772,4453,1532
3178,432,4417,1548
3623,-48,4402,1564
3903,-619,4398,1563
4021,-1014,4402,1564
4037,-1047,4377,1575
4021,-772,4351,1595
4010,-399,4321,1599
4021,0,4300,1595
4031,427,4264,1590
4021,869,4248,1595
4005,1241,4245,1595
4021,1545,4248,1595
4043,1810,4223,1592
4021,2076,4197,1595
3982,2333,4169,1594
4021,2607,4146,1595
4101,2873,4108,1593
4021,3089,4095,1595
3627,3197,4095,1594
3016,3234,4095,1595
2377,3260,4063,1593
1801,3331,4044,1595
1279,3435,4041,1594
859,3572,4044,1595
590,3719,4013,1592
461,3862,3992,1595
390,3959,3989,1596
356,4006,3992,1595
357,4021,3963,1589
377,4055,3941,1595
366,4104,3936,1609
335,4151,3941,1626
311,4171,3913,1629
314,4199,3890,1626
318,4230,3883,1622
314,4248,3890,1626
294,4234,3865,1626
272,4248,3839,1626
246,4294,3826,1623
230,4344,3839,1626
212,4358,3838,1626
188,4392,3839,1626
153,4449,3836,1623
126,4489,3839,1626
112,4475,3813,1627
105,4489,3788,1626
89,4559,3771,1621
63,4634,3788,1626
32,4637,3795,1640
0,4634,3788,1658
-33,4673,3753,1661
-63,4730,3737,1658
-94,4723,3729,1652
-126,4682,3737,1658
-149,4648,3728,1660
-147,4634,3737,1658
-125,4600,3750,1650
-105,4586,3788,1658
-94,4592,3821,1673
-63,4586,3890,1689
-3,4504,3992,1690
63,4392,4146,1689
100,4288,4311,1687
126,4199,4504,1689
172,4080,4714,1685
251,3958,4965,1689
340,3849,5218,1700
419,3765,5477,1720
483,3667,5708,1726
545,3572,5938,1720
605,3474,6144,1711
670,3379,6347,1720
734,3257,6523,1737
796,3137,6705,1751
849,3041,6879,1750
901,2993,7064,1751
958,2947,7223,1762
1026,2896,7371,1783
1094,2846,7480,1789
1152,2848,7575,1783
1195,2864,7632,1772
1236,2848,7678,1783
1272,2781,7698,1801
1298,2751,7729,1814
1313,2774,7751,1810
1340,2800,7780,1814
1383,2769,7782,1827
1424,2751,7780,1845
1446,2787,7765,1847
1466,2848,7780,1845
1490,2857,7799,1843
1508,2848,7831,1845
1506,2860,7832,1841
1508,2896,7831,1845
1526,2900,7819,1857
1550,2896,7831,1877
1552,2909,7832,1880
1550,2944,7831,1877
1556,2951,7800,1871
1571,2944,7780,1877
1572,2950,7750,1878
1571,2993,7729,1877
1575,3029,7677,1869
1592,3041,7627,1877
1604,3029,7565,1891
1613,3041,7524,1908
1614,3080,7471,1910
1613,3137,7422,1908
1606,3170,7346,1904
1613,3186,7268,1908
1630,3197,7163,1907
1654,3234,7064,1908
1666,3280,6951,1905
1675,3331,6859,1908
1691,3362,6753,1906
1717,3379,6654,1908
1728,3363,6526,1906
1717,3331,6398,1908
1695,3291,6257,1905
1696,3282,6142,1908
1712,3286,6029,1907
1717,3282,5938,1908
1689,3239,5843,1905
1654,3186,5784,1908
1628,3132,5741,1908
1613,3089,5733,1908
1588,3036,5721,1902
1571,2993,5733,1908
1566,2961,5747,1921
1571,2944,5784,1939
1562,2917,5807,1941
1550,2896,5835,1939
1537,2885,5837,1935
1529,2896,5835,1939
1514,2899,5806,1938
1508,2896,5784,1939
1515,2886,5753,1936
1529,2896,5733,1939
1530,2917,5699,1938
1529,2944,5682,1939
1526,2952,5656,1936
1529,2944,5630,1939
1530,2919,5576,1938
1550,2896,5528,1939
1568,2883,5487,1936
1571,2896,5477,1939
1543,2924,5455,1938
1529,2944,5426,1939
1524,2933,5369,1936
1508,2896,5323,1939
1464,2845,5283,1940
1445,2800,5272,1939
1438,2751,5251,1923
1382,2703,5221,1908
1242,2654,5163,1899
1131,2607,5119,1908
1153,2508,5082,1913
1319,2317,5067,1908
1544,2033,5039,1888
1780,1738,5016,1877
1986,1464,4984,1874
2178,1207,4965,1877
2443,928,4935,1863
2911,627,4914,1845
3505,248,4882,1826
3958,-241,4863,1814
4087,-749,4832,1798
4021,-1014,4811,1783
3982,-894,4781,1765
4021,-483,4760,1751
4041,-26,4730,1734
4021,386,4709,1720
4009,782,4679,1704
4021,1207,4658,1689
4024,1588,4627,1670
4021,1882,4607,1658
4022,2097,4577,1645
4021,2317,4556,1626
4013,2570,4524,1593
4021,2848,4504,1564
3987,3079,4477,1544
3770,3234,4453,1532
3280,3301,4417,1506
2618,3331,4402,1470
1961,3357,4396,1432
1424,3427,4402,1407
1003,3550,4381,1390
691,3717,4351,1376
482,3866,4312,1350
377,3958,4300,1314
337,4002,4295,1274
335,4055,4300,1251
344,4115,4278,1238
356,4151,4248,1220
351,4141,4210,1186
335,4151,4197,1157
315,4198,4193,1140
314,4248,4197,1126
312,4246,4175,1096
293,4248,4146,1063
252,4285,4109,1041
230,4344,4095,1032
231,4355,4087,1019
230,4344,4095,1001
201,4348,4094,982
168,4392,4095,970
147,4438,4073,955
