II,III,PLETH,ABP
-1945,-1939,6922,2226
-1768,-1915,6913,2238
-1795,-1897,6859,2250
-2018,-1920,6810,2279
-2164,-1967,6768,2312
-2148,-2017,6747,2374
-2078,-2036,6694,2460
-2045,-2038,6655,2591
-2029,-2044,6626,2750
-2030,-2079,6617,2958
-2032,-2116,6576,3202
-1990,-2134,6542,3497
-1884,-2134,6510,3820
-1796,-2153,6499,4173
-1774,-2195,6461,4528
-1806,-2239,6428,4890
-1879,-2264,6394,5233
-2039,-2298,6380,5561
-2243,-2358,6345,5844
-2347,-2421,6315,6085
-2243,-2417,6277,6263
-2035,-2334,6261,6393
-1910,-2228,6229,6461
-1919,-2172,6202,6486
-1890,-2138,6161,6456
-1700,-2063,6140,6401
-1476,-1960,6114,6317
-1455,-1937,6098,6229
-1586,-2000,6070,6126
-1591,-2034,6062,6031
-1388,-1954,6046,5939
-1252,-1847,6031,5873
-1341,-1805,5991,5820
-1435,-1790,5969,5793
-1312,-1705,5943,5770
-1138,-1580,5916,5767
-1143,-1489,5859,5763
-1246,-1440,5820,5775
-1226,-1377,5783,5778
-1115,-1309,5742,5788
-1041,-1258,5645,5780
-991,-1217,5543,5775
-902,-1156,5456,5749
-877,-1101,5417,5720
-954,-1060,5373,5663
-971,-1010,5337,5606
-820,-939,5305,5530
-692,-907,5323,5456
-769,-939,5332,5363
-921,-974,5320,5273
-904,-931,5283,5171
-750,-838,5308,5081
-677,-777,5367,4982
-777,-796,5423,4891
-927,-844,5431,4790
-994,-871,5495,4700
-935,-865,5610,4605
-809,-856,5729,4521
-727,-851,5776,4428
-792,-842,5863,4343
-954,-822,6020,4246
-1042,-806,6212,4157
-959,-792,6330,4056
-820,-769,6456,3962
-795,-744,6635,3857
-910,-758,6860,3760
-1025,-808,7018,3652
-1030,-848,7158,3553
-960,-849,7320,3450
-929,-849,7539,3368
-957,-866,7720,3289
-975,-862,7874,3223
-960,-815,8012,3156
-977,-785,8193,3117
-1016,-822,8358,3093
-969,-887,8503,3092
-817,-901,8609,3088
-709,-859,8747,3104
-710,-804,8885,3126
-707,-762,9016,3165
-629,-732,9094,3196
-610,-726,9195,3233
-702,-739,9305,3267
-750,-740,9418,3309
-667,-706,9472,3335
-627,-671,9540,3355
-709,-669,9625,3358
-713,-686,9729,3358
-520,-674,9777,3344
-389,-633,9826,3332
-550,-600,9881,3311
-830,-612,9960,3292
-935,-660,9989,3261
-908,-722,10009,3235
-962,-783,10022,3205
-1125,-858,10065,3182
-1283,-954,10075,3155
-1433,-1060,10082,3138
-1593,-1144,10071,3124
-1662,-1193,10094,3121
-1575,-1214,10096,3111
-1481,-1239,10095,3107
-1556,-1279,10063,3103
-1743,-1315,10062,3112
-1843,-1321,10053,3118
-1792,-1296,10047,3122
-1678,-1243,10001,3113
-1583,-1179,9980,3110
-1499,-1143,9959,3101
-1392,-1159,9947,3095
-1249,-1174,9883,3075
-1093,-1110,9826,3058
-979,-1006,9768,3036
-958,-969,9734,3019
-1011,-988,9661,2987
-1043,-916,9598,2957
-963,-721,9531,2923
-763,-574,9496,2902
-538,-605,9431,2875
-379,-686,9370,2851
-258,-621,9297,2822
-99,-420,9258,2801
55,-249,9198,2778
74,-161,9144,2762
-10,-40,9065,2742
-22,181,9018,2730
62,391,8965,2715
59,470,8927,2706
-29,501,8863,2690
64,686,8826,2680
425,1045,8785,2669
729,1369,8760,2666
766,1514,8708,2658
807,1613,8684,2654
1170,1875,8658,2642
1668,2265,8642,2631
1915,2564,8592,2614
1844,2632,8568,2605
1670,2527,8544,2593
1479,2350,8523,2588
1266,2170,8447,2579
1097,2013,8384,2579
1001,1893,8330,2577
848,1794,8303,2577
595,1739,8244,2568
390,1748,8209,2565
283,1767,8184,2562
76,1685,8176,2565
-276,1518,8127,2556
-505,1401,8094,2552
-480,1378,8068,2548
-513,1267,8060,2552
-877,864,8012,2545
-1374,206,7979,2540
-1666,-464,7952,2530
-1770,-941,7944,2527
-1887,-1202,7898,2519
-2033,-1346,7865,2515
-2111,-1466,7836,2506
-2180,-1589,7827,2502
-2322,-1695,7782,2493
-2428,-1749,7749,2489
-2376,-1742,7720,2481
-2254,-1702,7711,2477
-2195,-1677,7665,2467
-2159,-1688,7623,2463
-2054,-1710,7575,2457
-1955,-1705,7549,2459
-1978,-1681,7497,2457
-2086,-1679,7451,2460
-2128,-1700,7399,2457
-2074,-1700,7371,2459
-2034,-1672,7323,2456
-2093,-1678,7281,2460
-2172,-1736,7224,2456
-2179,-1789,7193,2458
-2147,-1798,7150,2455
-2202,-1821,7111,2460
-2307,-1878,7051,2455
-2294,-1901,7014,2454
-2123,-1838,6975,2443
-2001,-1776,6946,2441
-2040,-1796,6896,2430
-2108,-1861,6872,2427
-2066,-1884,6848,2415
-2027,-1889,6826,2420
-2086,-1922,6766,2425
-2124,-1971,6723,2445
-2012,-1977,6685,2464
-1885,-1963,6660,2507
-1905,-1969,6606,2567
-2008,-1999,6575,2667
-2039,-2012,6554,2791
-2037,-2018,6539,2964
-2076,-2028,6480,3173
-2103,-2039,6432,3433
-2037,-2020,6394,3718
-1977,-1995,6372,4042
-2006,-1996,6317,4386
-2042,-2028,6280,4757
-1978,-2035,6258,5120
-1898,-1993,6248,5480
-1897,-1928,6195,5808
-1916,-1906,6145,6115
-1833,-1941,6104,6372
-1682,-1993,6082,6583
-1562,-2007,6030,6723
-1513,-1983,5991,6813
-1519,-1946,5962,6846
-1624,-1930,5953,6849
-1824,-1940,5912,6811
-2008,-1982,5877,6751
-2031,-2037,5846,6660
-1909,-2072,5834,6571
-1766,-2043,5796,6476
-1695,-1967,5763,6398
-1643,-1897,5730,6320
-1551,-1883,5716,6266
-1457,-1886,5681,6222
-1466,-1849,5649,6203
-1538,-1762,5613,6188
-1529,-1699,5597,6195
-1400,-1683,5564,6203
-1309,-1657,5535,6224
-1329,-1557,5496,6229
-1340,-1430,5479,6236
-1242,-1355,5448,6225
-1150,-1353,5416,6219
-1149,-1358,5361,6191
-1156,-1326,5323,6156
-1128,-1264,5281,6092
-1206,-1213,5249,6028
-1397,-1183,5191,5946
-1462,-1172,5143,5872
-1278,-1161,5098,5785
-1115,-1146,5083,5707
-1195,-1119,5044,5615
-1352,-1093,4993,5531
-1317,-1080,4945,5439
-1171,-1097,4985,5364
-1145,-1116,5067,5284
-1244,-1101,5145,5212
-1317,-1049,5185,5125
-1360,-1015,5288,5045
-1438,-1024,5436,4958
-1497,-1044,5564,4882
-1443,-1016,5615,4793
-1331,-950,5728,4708
-1254,-896,5924,4610
-1199,-896,6119,4512
-1127,-938,6212,4393
-1102,-993,6339,4277
-1159,-1017,6555,4151
-1222,-996,6789,4036
-1217,-955,6909,3910
-1207,-945,7033,3790
-1237,-959,7236,3657
-1237,-947,7479,3538
-1142,-884,7621,3419
-1039,-830,7743,3320
-1029,-835,7912,3224
-1076,-878,8123,3155
-1050,-896,8253,3095
-937,-882,8358,3064
-832,-859,8492,3043
-807,-844,8676,3050
-797,-819,8808,3067
-741,-784,8914,3109
-710,-744,9013,3155
-843,-712,9145,3217
-1108,-711,9240,3275
-1325,-778,9319,3339
-1412,-911,9379,3392
-1495,-1057,9473,3447
-1633,-1144,9552,3487
-1706,-1158,9630,3524
-1654,-1137,9677,3537
-1632,-1136,9742,3540
-1715,-1173,9794,3524
-1738,-1234,9853,3505
-1604,-1280,9876,3473
-1519,-1287,9912,3443
-1647,-1259,9939,3402
-1810,-1231,9987,3364
-1767,-1223,10002,3317
-1587,-1223,10024,3277
-1453,-1196,10032,3234
-1354,-1134,10070,3204
-1215,-1056,10080,3174
-1127,-996,10083,3159
-1159,-961,10056,3147
-1177,-925,10060,3147
-1054,-855,10049,3144
-898,-759,10033,3147
-821,-677,9973,3144
-731,-637,9941,3146
-532,-610,9908,3138
-327,-544,9876,3133
-212,-423,9792,3123
-98,-289,9731,3121
84,-198,9682,3112
186,-148,9650,3103
95,-83,9567,3081
-29,15,9500,3065
26,52,9444,3043
191,-66,9415,3024
211,-269,9347,2990
12,-373,9295,2959
-196,-322,9251,2927
-215,-241,9233,2911
-97,-219,9172,2890
-35,-162,9123,2870
-64,23,9076,2840
-49,244,9056,2820
58,347,8999,2801
130,372,8953,2792
133,515,8901,2777
221,844,8878,2768
468,1175,8826,2758
705,1323,8782,2756
826,1371,8726,2747
1001,1580,8698,2743
1380,2025,8652,2733
1767,2459,8620,2730
1881,2613,8575,2722
1720,2484,8559,2717
1470,2263,8528,2703
1185,2049,8505,2693
845,1820,8460,2677
508,1575,8442,2667
231,1388,8414,2651
-57,1304,8388,2642
-375,1299,8328,2630
-587,1319,8290,2627
-618,1328,8250,2619
-605,1315,8223,2615
-647,1318,8168,2606
-672,1362,8144,2601
-675,1364,8123,2592
-857,1144,8100,2592
-1282,625,8024,2589
-1687,-55,7961,2590
-1833,-657,7909,2582
-1826,-1041,7880,2577
-1866,-1227,7820,2567
-1931,-1306,7786,2564
-1953,-1371,7764,2556
-2035,-1462,7754,2553
-2238,-1557,7696,2541
-2362,-1595,7647,2532
-2220,-1558,7608,2518
-1958,-1499,7587,2512
-1840,-1485,7531,2504
-1876,-1510,7494,2501
-1858,-1519,7470,2491
-1706,-1480,7462,2488
-1538,-1426,7410,2482
-1488,-1406,7362,2485
-1555,-1422,7320,2483
-1667,-1442,7298,2490
-1754,-1444,7240,2493
-1784,-1437,7191,2499
-1733,-1424,7143,2497
-1619,-1394,7119,2501
-1517,-1360,7070,2502
-1510,-1375,7032,2515
-1558,-1437,6997,2519
-1559,-1485,6985,2525
-1510,-1465,6949,2519
-1539,-1424,6918,2518
-1641,-1418,6881,2506
-1654,-1448,6867,2502
-1521,-1461,6832,2493
-1424,-1459,6796,2497
-1445,-1460,6742,2498
-1416,-1470,6709,2519
-1235,-1469,6666,2546
-1108,-1462,6634,2607
-1198,-1446,6588,2687
-1344,-1416,6568,2811
-1322,-1377,6542,2962
-1200,-1366,6514,3163
-1125,-1369,6456,3397
-1055,-1348,6416,3683
-911,-1297,6378,3996
-832,-1295,6346,4344
-942,-1367,6283,4701
-1101,-1440,6238,5074
-1090,-1431,6202,5434
-954,-1379,6177,5782
-871,-1366,6123,6085
-889,-1414,6091,6351
-923,-1470,6070,6557
-961,-1514,6055,6719
-1023,-1549,5998,6814
-1078,-1581,5949,6862
-1091,-1584,5911,6856
-1106,-1561,5888,6825
-1135,-1531,5834,6761
-1127,-1521,5797,6685
-1084,-1527,5774,6586
-1120,-1539,5764,6496
-1244,-1552,5718,6406
-1298,-1567,5682,6339
-1164,-1562,5657,6278
-975,-1517,5648,6242
-922,-1441,5604,6214
-1001,-1381,5567,6212
-1039,-1356,5541,6212
-960,-1336,5531,6229
-851,-1278,5486,6238
-815,-1200,5438,6256
-825,-1147,5391,6258
-796,-1136,5367,6262
-701,-1113,5319,6245
-618,-1043,5269,6228
-620,-958,5212,6185
-700,-924,5185,6141
-775,-922,5148,6072
-804,-880,5112,6003
-805,-785,5061,5918
-816,-732,5040,5844
-842,-778,5025,5757
-870,-858,5027,5677
-863,-855,5004,5583
-806,-769,4999,5500
-732,-703,5005,5411
-700,-723,5059,5335
-684,-756,5104,5247
-624,-715,5150,5169
-561,-634,5193,5083
-625,-632,5306,5006
-792,-702,5431,4914
-880,-720,5535,4826
-810,-638,5607,4724
-733,-578,5762,4634
-743,-612,5959,4533
-716,-643,6113,4433
-565,-568,6195,4315
-455,-471,6410,4205
-546,-470,6802,4087
-692,-531,7230,3978
-610,-521,7513,3856
-280,-419,7758,3747
61,-277,8033,3638
208,-128,8282,3549
156,7,8383,3460
-6,46,8474,3392
-177,-58,8647,3332
-296,-233,8857,3295
-377,-364,8952,3266
-492,-431,9023,3263
-648,-487,9149,3271
-761,-558,9317,3299
-768,-615,9396,3322
-717,-642,9455,3355
-680,-655,9552,3387
-678,-678,9695,3436
-717,-705,9772,3475
-819,-724,9827,3510
-941,-731,9891,3523
-972,-728,9993,3536
-877,-714,10047,3535
-770,-688,10090,3534
-759,-663,10128,3516
-804,-658,10204,3496
-797,-662,10248,3465
-722,-645,10289,3436
-644,-600,10305,3394
-592,-562,10343,3356
-564,-552,10356,3317
-566,-535,10377,3290
-578,-476,10375,3260
-532,-385,10399,3238
-377,-293,10410,3216
-153,-206,10439,3212
41,-118,10437,3209
155,-49,10440,3214
226,-11,10417,3210
303,14,10419,3212
367,50,10398,3210
370,91,10376,3214
339,117,10318,3210
342,125,10289,3210
353,120,10250,3201
282,99,10208,3194
203,67,10122,3174
305,52,10069,3158
545,75,10023,3136
607,120,9983,3121
378,153,9893,3096
160,160,9833,3074
211,129,9788,3045
376,62,9751,3022
408,-22,9650,2994
358,-84,9569,2971
364,-113,9507,2944
357,-116,9470,2927
263,-81,9379,2906
239,41,9304,2890
401,249,9249,2867
542,465,9227,2851
442,597,9159,2834
250,665,9104,2825
273,780,9060,2810
503,1006,9045,2800
645,1242,8989,2784
554,1355,8951,2774
420,1385,8920,2759
510,1524,8916,2752
850,1837,8867,2743
1194,2139,8823,2741
1273,2232,8773,2732
1040,2122,8751,2728
704,1933,8700,2718
471,1722,8664,2715
349,1519,8627,2706
195,1402,8617,2702
-50,1411,8579,2693
-291,1439,8550,2690
-406,1374,8511,2681
-410,1256,8498,2677
-418,1213,8463,2667
-497,1276,8436,2664
-574,1370,8395,2655
-578,1409,8380,2652
-605,1319,8348,2642
-821,1020,8317,2639
-1164,501,8259,2630
-1380,-116,8225,2626
-1390,-641,8183,2617
-1410,-960,8154,2613
-1565,-1090,8103,2606
-1700,-1130,8082,2602
-1702,-1188,8058,2588
-1718,-1296,8033,2578
-1818,-1393,7970,2565
-1798,-1391,7934,2561
-1575,-1292,7901,2553
-1431,-1196,7858,2550
-1544,-1176,7752,2541
-1653,-1193,7658,2536
-1499,-1177,7582,2527
-1274,-1131,7533,2526
-1259,-1118,7450,2522
-1351,-1167,7394,2525
-1306,-1241,7359,2523
-1204,-1287,7341,2525
-1262,-1290,7275,2522
-1432,-1260,7222,2525
-1471,-1224,7184,2522
-1354,-1203,7166,2525
-1260,-1196,7103,2521
-1283,-1195,7050,2525
-1307,-1181,7009,2521
-1232,-1172,6990,2525
-1100,-1182,6935,2517
-1035,-1216,6896,2514
-1057,-1237,6869,2502
-1078,-1221,6862,2499
-1001,-1168,6814,2492
-861,-1121,6767,2500
-754,-1108,6722,2506
-741,-1126,6698,2531
-790,-1139,6645,2561
-855,-1143,6596,2623
-887,-1157,6546,2704
-867,-1206,6520,2826
-830,-1257,6472,2977
-855,-1274,6435,3180
-929,-1254,6397,3419
-962,-1250,6384,3709
-936,-1278,6349,4024
-951,-1302,6313,4377
-1005,-1282,6259,4739
-972,-1249,6226,5112
-834,-1256,6183,5462
-779,-1317,6144,5799
-884,-1375,6085,6097
-969,-1393,6047,6362
-909,-1387,6008,6565
-856,-1405,5979,6718
-932,-1441,5930,6806
-995,-1453,5904,6852
-906,-1415,5880,6846
-810,-1368,5862,6814
-872,-1359,5816,6746
-971,-1390,5787,6666
-903,-1408,5763,6567
-728,-1385,5747,6480
-633,-1337,5701,6392
-643,-1303,5669,6325
-655,-1280,5646,6263
-655,-1246,5632,6226
-677,-1184,5586,6197
-669,-1116,5552,6194
-563,-1073,5528,6191
-431,-1061,5516,6207
-385,-1048,5465,6217
-425,-1005,5413,6235
-447,-929,5367,6232
-402,-843,5348,6230
-308,-751,5304,6207
-209,-656,5262,6185
-159,-573,5221,6138
-185,-538,5217,6084
-212,-541,5200,6004
-131,-532,5175,5929
33,-469,5134,5840
104,-382,5137,5759
-5,-335,5151,5665
-172,-349,5162,5580
-240,-365,5142,5487
-212,-328,5162,5403
-164,-261,5212,5308
-106,-234,5276,5226
-12,-246,5297,5140
52,-236,5344,5071
7,-182,5434,4990
-109,-151,5575,4911
-158,-167,5687,4814
-77,-167,5800,4724
60,-103,5921,4625
142,-38,6092,4533
162,-30,6239,4426
195,-34,6370,4326
273,18,6490,4211
338,79,6676,4102
333,52,6873,3978
258,-69,7048,3866
104,-181,7173,3751
-158,-221,7353,3652
-451,-226,7567,3551
-601,-265,7763,3470
-562,-347,7878,3397
-492,-419,8027,3347
-509,-437,8218,3298
-524,-413,8394,3269
-472,-407,8480,3247
-445,-442,8621,3251
-480,-473,8866,3260
-429,-437,9149,3285
-254,-349,9317,3308
-158,-281,9449,3345
-242,-271,9598,3375
-285,-276,9755,3409
-122,-242,9813,3429
64,-178,9852,3452
71,-127,9922,3463
41,-91,10033,3472
184,-37,10077,3461
411,53,10106,3448
502,150,10150,3425
492,227,10236,3404
581,288,10274,3370
798,355,10299,3337
997,433,10318,3294
1111,503,10378,3262
1189,551,10409,3231
1258,587,10432,3214
1291,633,10423,3197
1273,680,10433,3187
1186,694,10419,3170
1022,648,10411,3163
840,565,10378,3156
752,496,10373,3162
772,481,10357,3165
798,518,10356,3176
792,558,10318,3180
838,553,10289,3187
953,514,10241,3183
1007,495,10216,3180
911,506,10160,3170
781,503,10107,3166
774,481,10032,3152
869,492,9990,3137
911,528,9933,3107
853,520,9882,3078
804,462,9800,3044
850,454,9752,3021
886,489,9701,2992
775,442,9657,2966
568,259,9572,2931
461,106,9515,2904
475,100,9464,2877
429,152,9433,2856
239,138,9363,2827
79,135,9319,2803
75,255,9281,2777
112,440,9258,2764
83,541,9190,2750
132,588,9144,2741
380,741,9106,2724
655,1051,9085,2714
727,1373,9017,2699
677,1579,8969,2690
768,1716,8930,2673
1077,1947,8911,2662
1454,2317,8845,2648
1734,2674,8795,2645
1811,2804,8753,2635
1649,2660,8736,2626
1356,2408,8679,2610
1139,2230,8642,2604
1065,2148,8615,2601
976,2066,8609,2606
750,1965,8562,2599
493,1924,8529,2594
377,1968,8500,2584
395,2000,8493,2581
423,1960,8444,2573
429,1932,8400,2569
483,2005,8351,2560
548,2094,8328,2556
426,2007,8277,2547
-1,1644,8241,2544
-535,1066,8204,2536
-821,418,8194,2529
-771,-149,8156,2513
-666,-516,8127,2505
-775,-681,8089,2495
-1035,-756,8075,2491
-1248,-861,8040,2477
-1359,-985,8013,2466
-1389,-1040,7972,2455
-1283,-983,7957,2453
-1049,-885,7925,2445
-852,-838,7894,2441
-787,-847,7837,2431
-723,-840,7802,2427
-591,-802,7760,2419
-544,-789,7731,2419
-650,-831,7680,2417
-698,-860,7659,2420
-565,-822,7635,2418
-442,-756,7611,2419
-479,-721,7548,2417
-508,-698,7511,2420
-387,-656,7477,2417
-285,-622,7437,2417
-322,-624,7342,2409
-306,-634,7263,2404
-112,-614,7203,2393
-3,-602,7163,2391
-204,-635,7086,2382
-477,-681,7032,2379
-445,-676,6998,2366
-176,-643,6978,2359
-47,-656,6913,2342
-203,-741,6859,2332
-415,-824,6823,2313
-459,-844,6804,2311
-365,-806,6740,2316
-304,-782,6687,2345
-337,-803,6648,2378
-389,-844,6629,2441
-368,-859,6568,2525
-297,-857,6515,2657
-250,-880,6473,2817
-260,-951,6452,3022
-303,-1039,6396,3258
-358,-1107,6344,3545
-418,-1145,6297,3863
-471,-1174,6274,4214
-523,-1205,6225,4564
-589,-1240,6186,4921
-618,-1261,6151,5260
-538,-1271,6140,5586
-402,-1285,6103,5869
-388,-1329,6062,6112
-536,-1387,6010,6290
-667,-1421,5979,6419
-656,-1424,5935,6485
-623,-1433,5900,6512
-690,-1452,5858,6491
-772,-1451,5840,6446
-753,-1425,5811,6369
-692,-1420,5786,6284
-675,-1433,5744,6184
-650,-1401,5722,6094
-594,-1317,5695,6006
-616,-1274,5673,5942
-700,-1294,5629,5885
-640,-1272,5604,5854
-427,-1137,5579,5828
-358,-987,5556,5820
-530,-934,5499,5811
-610,-940,5454,5818
-392,-895,5413,5818
-167,-795,5388,5827
-213,-700,5331,5817
-338,-626,5277,5808
-284,-551,5229,5775
-189,-504,5216,5735
-238,-494,5190,5669
-257,-469,5160,5604
-60,-380,5124,5522
134,-288,5139,5444
67,-272,5159,5348
-100,-326,5164,5254
-53,-362,5139,5146
157,-338,5176,5047
253,-276,5254,4942
185,-218,5328,4851
139,-179,5348,4756
188,-170,5421,4672
210,-193,5552,4579
103,-247,5691,4495
-95,-314,5756,4402
-293,-373,5850,4317
-441,-391,6008,4220
-521,-365,6193,4130
-521,-335,6300,4030
-459,-353,6411,3937
-411,-407,6580,3828
-461,-437,6800,3724
-583,-423,6958,3610
-647,-412,7097,3507
-595,-427,7260,3396
-494,-418,7479,3297
-406,-348,7660,3194
-284,-262,7814,3109
-121,-218,7952,3029
-26,-198,8133,2971
-51,-144,8298,2922
-63,-59,8442,2900
48,1,8548,2888
201,6,8687,2903
272,-15,8825,2929
288,-16,8955,2976
318,16,9033,3023
341,70,9135,3078
368,138,9245,3125
506,218,9357,3180
755,289,9411,3228
932,332,9480,3277
949,365,9566,3307
971,424,9668,3329
1110,496,9714,3331
1198,511,9768,3329
1052,441,9836,3311
780,348,9927,3295
591,299,9966,3269
506,288,10007,3246
461,283,10059,3212
498,296,10156,3183
646,334,10210,3151
760,358,10240,3132
714,344,10233,3112
591,327,10248,3100
531,328,10236,3084
523,301,10220,3080
507,225,10174,3078
514,171,10159,3087
548,203,10136,3089
512,279,10119,3095
392,325,10065,3093
355,333,10040,3095
494,327,10017,3088
631,302,10006,3082
547,246,9945,3063
291,195,9889,3045
97,157,9825,3019
70,94,9790,2996
91,-30,9726,2962
33,-149,9679,2928
-85,-176,9627,2887
-168,-114,9603,2853
-222,-104,9550,2820
-313,-233,9507,2797
-435,-418,9451,2771
-477,-476,9425,2748
-405,-380,9376,2718
-310,-250,9337,2696
-261,-159,9277,2674
-184,-27,9246,2664
-38,170,9201,2650
61,320,9173,2640
0,356,9124,2623
-106,443,9105,2614
-40,753,9076,2603
234,1200,9058,2600
525,1517,9010,2592
692,1630,8988,2587
811,1745,8960,2578
1070,2089,8944,2575
1526,2612,8894,2567
1991,3038,8870,2561
2167,3156,8844,2552
1945,3006,8828,2552
1574,2780,8767,2550
1396,2599,8724,2550
1445,2460,8683,2541
1444,2332,8661,2538
1238,2249,8605,2536
979,2244,8573,2538
844,2295,8547,2530
769,2339,8539,2525
657,2348,8489,2515
606,2354,8457,2513
716,2388,8430,2504
825,2389,8422,2499
670,2194,8374,2490
241,1694,8342,2489
-215,997,8314,2479
-513,361,8306,2469
-702,-68,8260,2454
-900,-362,8228,2448
-1107,-640,8198,2440
-1205,-876,8189,2433
-1125,-986,8145,2417
-912,-958,8113,2408
-681,-858,8081,2400
-496,-716,8071,2399
-380,-557,8029,2388
-328,-429,7998,2383
-304,-365,7965,2378
-231,-315,7954,2381
-102,-255,7913,2377
1,-224,7874,2373
32,-242,7822,2364
60,-235,7794,2365
115,-171,7746,2364
138,-117,7704,2368
127,-137,7647,2364
182,-176,7616,2361
274,-178,7572,2351
235,-186,7534,2348
79,-248,7474,2339
67,-314,7438,2335
279,-311,7398,2322
435,-265,7369,2311
345,-231,7318,2294
222,-209,7295,2285
306,-177,7272,2269
445,-173,7249,2260
383,-222,7187,2241
217,-270,7147,2233
230,-252,7112,2220
428,-201,7078,2219
557,-191,6997,2214
504,-237,6932,2230
413,-292,6883,2257
434,-336,6852,2312
526,-379,6785,2377
550,-428,6732,2477
439,-466,6694,2604
278,-488,6674,2782
222,-502,6620,2994
320,-516,6582,3255
414,-530,6557,3545
328,-549,6550,3873
125,-582,6504,4210
54,-629,6468,4563
193,-667,6441,4907
344,-666,6433,5245
319,-624,6389,5545
198,-584,6354,5811
158,-603,6325,6018
214,-689,6315,6180
234,-784,6274,6279
187,-817,6240,6335
169,-780,6209,6336
243,-721,6197,6308
321,-677,6159,6243
314,-638,6126,6167
267,-573,6092,6074
296,-494,6078,5986
395,-446,6043,5894
443,-442,6012,5817
403,-417,5975,5745
413,-309,5959,5699
571,-158,5927,5665
781,-67,5898,5659
902,-40,5859,5654
946,22,5841,5660
972,158,5811,5655
971,267,5780,5660
956,275,5724,5654
1036,258,5684,5654
1218,320,5643,5631
1327,431,5617,5602
1262,505,5571,5547
1141,533,5537,5490
1055,548,5507,5413
902,524,5511,5335
639,426,5503,5238
448,291,5494,5145
441,193,5476,5042
450,143,5507,4947
315,106,5540,4840
185,84,5559,4740
261,105,5549,4636
445,155,5610,4548
473,168,5714,4456
313,116,5806,4369
165,59,5838,4269
171,75,5929,4180
257,147,6087,4085
311,183,6245,4000
299,140,6316,3903
277,103,6424,3812
290,160,6611,3710
340,279,6816,3616
387,347,6924,3509
427,324,7044,3415
503,289,7232,3323
657,344,7452,3251
849,487,7578,3179
1011,642,7692,3126
