II,aVR,PLETH
2246,830,3394
2235,863,3401
2218,909,3386
2199,949,3368
2177,968,3354
2163,992,3368
2143,1021,3385
2127,1035,3401
2117,1014,3399
2127,992,3401
2133,1001,3397
2127,1035,3401
2103,1062,3395
2091,1078,3401
2090,1095,3409
2091,1121,3434
2074,1143,3450
2055,1164,3466
2038,1185,3473
2019,1208,3499
1982,1225,3528
1947,1251,3564
1932,1277,3590
1947,1294,3630
1985,1270,3674
2055,1208,3728
2157,1097,3770
2271,949,3826
2353,768,3887
2379,604,3957
2340,482,4006
2235,431,4055
2037,459,4099
1730,604,4153
1321,876,4189
865,1251,4218
421,1652,4232
36,2027,4251
-286,2349,4264
-541,2631,4284
-738,2868,4297
-865,3062,4317
-932,3204,4320
-937,3321,4317
-902,3440,4296
-829,3579,4284
-736,3701,4267
-613,3752,4251
-450,3703,4217
-216,3579,4186
75,3406,4149
397,3191,4120
689,2936,4082
937,2674,4055
1134,2448,4022
1298,2286,3990
1430,2180,3936
1550,2113,3891
1658,2056,3850
1766,1984,3826
1871,1882,3791
1983,1768,3761
2103,1659,3724
2235,1553,3695
2363,1409,3647
2487,1208,3597
2609,961,3548
2740,733,3532
2853,567,3519
2920,474,3499
2928,422,3452
2920,388,3434
2926,350,3474
2956,302,3597
2987,237,3747
3028,173,3891
3067,121,3988
3100,86,4055
3112,50,4089
3136,0,4120
3190,-74,4136
3280,-173,4153
3382,-296,4161
3497,-431,4186
3600,-557,4205
3677,-647,4218
3712,-699,4211
3749,-733,4218
3798,-783,4232
3857,-863,4251
3895,-946,4248
3929,-992,4251
3946,-986,4261
3929,-949,4284
3859,-906,4285
3785,-863,4284
3735,-816,4277
3713,-776,4284
3679,-766,4280
3641,-776,4284
3594,-765,4282
3533,-690,4284
3430,-563,4266
3316,-431,4251
3221,-332,4240
3172,-259,4251
3137,-204,4254
3100,-173,4251
3047,-161,4228
2992,-129,4218
2914,-43,4213
2812,86,4218
2687,223,4204
2596,345,4186
2545,445,4159
2523,518,4153
2479,572,4149
2415,647,4153
2328,766,4139
2235,906,4120
2131,1016,4093
2055,1078,4088
2017,1119,4085
2019,1164,4088
2010,1214,4069
1983,1251,4055
1937,1273,4035
1911,1294,4022
1908,1311,3998
1947,1294,3990
2008,1212,3985
2091,1078,3990
2168,945,3972
2235,863,3957
2265,832,3945
2271,819,3957
2270,788,3960
2307,733,3957
2376,665,3935
2451,604,3924
2486,563,3917
2487,561,3924
2467,582,3921
2451,604,3924
2431,605,3919
2415,604,3924
2406,616,3920
2415,647,3924
2413,684,3920
2379,733,3924
2316,783,3920
2271,819,3924
2259,826,3921
2271,819,3924
2281,803,3919
2307,776,3924
2337,740,3922
2343,733,3924
2295,780,3915
2235,863,3924
2201,926,3936
2199,949,3957
2196,945,3956
2199,949,3957
2203,966,3959
2199,992,3990
2155,1025,4019
2091,1078,4055
2026,1146,4078
1983,1208,4120
1952,1240,4172
1947,1251,4251
1950,1262,4327
1947,1294,4415
1912,1338,4502
1875,1380,4611
1857,1399,4712
1875,1380,4807
1903,1312,4881
1947,1208,4971
2006,1089,5065
2091,992,5167
2163,930,5237
2199,906,5298
2195,902,5343
2199,906,5396
2227,895,5429
2271,863,5461
2295,813,5486
2307,776,5527
2310,765,5550
2307,776,5559
2277,793,5547
2235,819,5559
2201,858,5577
2199,906,5592
2203,938,5572
2199,949,5559
2177,944,5553
2163,949,5559
2159,966,5539
2163,992,5527
2158,1002,5520
2163,992,5527
2178,966,5508
2199,949,5494
2193,954,5475
2163,992,5461
2118,1053,5422
2091,1121,5396
2081,1165,5374
2091,1164,5363
2107,1111,5326
2127,1035,5298
2136,969,5273
2127,949,5265
2095,961,5232
2055,992,5200
2032,1016,5160
2055,1035,5134
2118,1018,5095
2199,949,5069
2275,821,5044
2343,690,5036
2387,585,5015
2379,518,5003
2284,480,4983
2091,518,4971
1794,669,4945
1406,949,4938
945,1314,4933
469,1725,4938
21,2133,4920
-360,2501,4905
-665,2795,4892
-865,3019,4905
-962,3184,4908
-973,3321,4905
-948,3444,4881
-901,3579,4873
-845,3720,4867
-757,3838,4873
-627,3885,4855
-433,3838,4840
-193,3698,4817
72,3493,4807
336,3246,4787
613,2976,4774
880,2691,4754
1118,2415,4742
1295,2182,4719
1442,2027,4709
1574,1943,4691
1694,1898,4676
1777,1854,4640
1838,1811,4611
1911,1759,4584
2019,1682,4578
2145,1564,4561
2271,1423,4546
2380,1263,4521
2487,1078,4513
2604,859,4497
2740,647,4480
2865,472,4442
2956,345,4415
3000,245,4390
3028,173,4382
3048,122,4363
3064,86,4349
3061,56,4328
3064,43,4317
3076,47,4296
3100,43,4284
3114,8,4263
3136,-43,4251
3174,-90,4229
3244,-129,4218
3317,-184,4200
3389,-259,4186
3452,-346,4161
3533,-431,4153
3612,-518,4149
3677,-604,4153
3712,-680,4135
3749,-733,4120
3787,-773,4108
3821,-819,4120
3825,-873,4124
3821,-906,4120
3809,-899,4097
3785,-863,4088
3730,-818,4081
3677,-776,4088
3636,-745,4083
3605,-733,4088
3552,-728,4086
3497,-690,4088
3442,-610,4068
3389,-518,4055
3304,-436,4045
3208,-345,4055
3121,-234,4055
3064,-129,4055
3001,-59,4047
2920,0,4055
2819,80,4056
2740,173,4055
2680,246,4034
2632,302,4022
2571,363,4013
2523,431,4022
2485,495,4022
2451,561,4022
2386,652,4014
2307,776,4022
2227,913,4024
2163,1035,4022
2090,1130,4001
2019,1208,3990
1949,1278,3982
1911,1337,3990
1896,1362,3986
1911,1337,3990
1929,1273,3988
1947,1208,3990
1955,1160,3971
1983,1121,3957
2027,1067,3946
2091,992,3957
2146,905,3960
2199,819,3957
2247,745,3935
2307,690,3924
2363,647,3916
2415,604,3924
2454,554,3922
2487,518,3924
2500,506,3918
2487,518,3924
2450,533,3922
2415,561,3924
2393,599,3917
2379,647,3924
2369,667,3925
2379,647,3924
2422,586,3903
2487,518,3891
2558,437,3885
2632,345,3891
2701,241,3887
2740,173,3891
2708,150,3890
2596,173,3891
2392,235,3872
2091,388,3859
1677,649,3849
1190,992,3859
690,1356,3857
252,1725,3859
-107,2083,3853
-397,2415,3859
-651,2714,3854
-865,3019,3859
-1038,3344,3863
-1154,3666,3891
-1230,3945,3919
-1262,4183,3957
-1248,4375,3992
-1154,4485,4055
-978,4474,4129
-721,4356,4218
-424,4167,4294
-108,3924,4382
190,3632,4472
469,3321,4578
713,3037,4673
937,2803,4774
1139,2614,4869
1334,2458,4971
1516,2314,5053
1694,2156,5134
1869,1958,5199
2055,1725,5265
2240,1469,5313
2415,1208,5363
2566,941,5397
2704,690,5428
2834,457,5440
2956,259,5461
3046,99,5475
3100,0,5494
3122,-55,5491
3136,-86,5494
3150,-117,5490
3172,-129,5494
3190,-128,5477
3208,-129,5461
3222,-153,5437
3244,-173,5428
3263,-175,5410
3280,-173,5396
3291,-191,5371
3316,-216,5363
3350,-235,5347
3389,-259,5330
3409,-301,5291
3425,-345,5265
3436,-371,5241
3461,-388,5232
3480,-412,5201
3497,-431,5167
3487,-423,5122
3461,-388,5101
3418,-345,5080
3389,-302,5069
3358,-248,5036
3316,-173,5003
3244,-85,4960
3172,0,4938
3110,73,4915
3064,129,4905
3017,154,4883
2992,129,4873
2985,53,4853
2992,-43,4840
2977,-123,4814
2956,-173,4807
2942,-201,4801
2956,-216,4807
2965,-208,4800
2956,-173,4807
2917,-125,4807
2884,-86,4807
2851,-55,4784
2812,0,4774
2742,96,4770
2668,216,4774
2601,318,4754
2559,388,4742
2520,434,4734
2487,474,4742
2450,516,4727
2415,561,4709
2373,604,4684
2343,647,4676
2320,687,4659
2307,733,4644
2286,780,4619
2271,819,4611
2263,843,4595
2271,863,4578
2274,883,4540
2271,906,4513
2253,926,4488
2235,949,4480
2212,972,4460
2199,992,4447
2190,997,4427
2199,992,4415
2205,986,4392
2199,992,4382
2165,1008,4365
2127,1035,4349
2087,1084,4312
2055,1164,4284
2015,1258,4259
1983,1337,4251
1946,1399,4232
1911,1466,4218
1875,1522,4197
1875,1509,4186
1903,1399,4164
1947,1251,4153
1976,1140,4135
2019,1078,4120
2092,1009,4095
2199,906,4088
2298,785,4084
2379,690,4088
2446,619,4069
2523,561,4055
2618,483,4045
2740,388,4055
2870,278,4054
2992,173,4055
3080,75,4048
3136,0,4055
3162,-46,4053
3172,-43,4055
3162,9,4048
3136,129,4055
3073,343,4054
2956,690,4055
2757,1155,4045
2487,1682,4055
2173,2201,4069
1875,2674,4088
1634,3059,4084
1478,3321,4088
1386,3440,4096
1334,3450,4120
1290,3380,4133
1262,3234,4153
1249,3012,4166
1262,2760,4186
1280,2540,4193
1298,2372,4218
1300,2213,4248
1298,2027,4284
1291,1833,4297
1298,1682,4317
1309,1574,4341
1334,1466,4382
1364,1341,4411
1406,1251,4447
1437,1228,4479
1442,1251,4513
1409,1269,4525
1370,1294,4546
1350,1326,4571
1370,1337,4611
1416,1275,4631
1478,1164,4644
1537,1045,4640
1586,949,4644
1612,867,4638
1622,819,4644
1619,810,4641
1622,819,4644
1633,807,4627
1658,776,4611
1682,744,4587
1694,733,4578
1672,744,4560
1622,776,4546
1557,809,4521
1514,819,4513
1501,799,4499
1514,776,4480
1522,769,4440
1514,776,4415
1481,788,4395
1442,819,4382
1409,867,4345
1406,906,4317
1430,901,4294
1478,863,4284
1521,815,4251
1550,776,4218
1563,746,4190
1586,733,4186
1618,733,4171
1658,733,4153
1691,715,4125
1730,690,4120
1779,678,4118
1838,690,4120
1883,711,4101
1911,733,4088
1925,752,4077
1947,776,4088
1967,810,4088
1983,863,4088
1982,925,4077
1983,992,4088
1982,1056,4101
1983,1121,4120
1975,1166,4120
1983,1164,4120
2018,1109,4116
2091,1035,4120
2170,968,4117
2235,906,4120
2273,837,4118
2307,776,4120
2341,731,4114
2379,690,4120
2411,640,4122
2451,604,4120
2492,595,4108
2523,604,4120
2527,603,4138
2523,604,4120
2520,619,3991
2523,647,3761
2520,657,3480
2523,647,3237
2527,634,3057
2523,647,2943
2490,685,2853
2451,733,2780
2422,765,2714
2415,776,2682
2412,773,2663
2415,776,2649
2415,792,2613
2415,819,2583
2400,843,2560
2379,863,2551
2354,880,2532
2343,906,2518
2338,931,2501
2343,949,2485
2343,950,2451
2343,949,2420
2328,959,2395
2307,992,2387
2280,1036,2371
2271,1078,2355
2270,1105,2333
2271,1121,2322
2255,1136,2305
2235,1164,2289
2204,1205,2268
2163,1251,2256
2101,1284,2241
2055,1294,2224
2046,1268,2189
2091,1208,2158
2150,1121,2133
2199,1035,2126
2219,974,2111
2235,949,2093
2248,936,2067
2271,906,2060
2306,844,2058
2379,776,2060
2463,722,2052
2523,690,2060
2530,664,2083
2523,647,2126
2522,640,2156
2523,647,2191
2502,652,2236
2487,647,2322
2497,626,2428
2523,604,2551
2520,603,2671
2487,647,2812
2443,717,2966
2415,776,3139
2393,803,3312
2379,819,3499
2370,829,3681
2379,819,3859
2386,787,4009
2379,776,4153
2354,809,4286
2343,863,4415
2343,893,4518
2343,906,4611
2322,922,4684
2307,949,4742
2305,970,4765
2307,992,4774
2289,1016,4773
2271,1035,4774
2256,1035,4761
2235,1035,4742
2181,1050,4709
2127,1078,4676
2094,1101,4628
2091,1121,4578
2078,1143,4513
2055,1164,4447
2028,1170,4375
2019,1164,4317
2015,1158,4253
2019,1164,4186
2025,1173,4098
2055,1164,4022
2100,1116,3953
2163,1035,3891
2219,951,3808
2271,906,3728
2308,899,3652
2343,906,3597
2375,892,3532
2415,863,3466
2442,823,3392
2451,776,3336
2443,711,3279
2451,647,3237
2472,605,3195
2487,604,3172
2461,623,3151
2415,647,3139
2380,665,3118
2379,690,3107
2385,715,3097
2379,733,3107
2355,733,3116
2343,733,3139
2342,745,3155
2343,776,3172
2326,816,3180
2307,863,3205
2287,909,3235
2271,949,3270
2246,974,3286
2235,992,3303
2234,1011,3316
2235,1035,3336
2217,1057,3338
2199,1078,3336
2193,1085,3328
2199,1078,3336
2190,1066,3338
2163,1078,3336
2124,1104,3317
2091,1121,3303
2073,1118,3286
2091,1121,3270
2147,1110,3237
2235,1035,3205
2330,870,3168
2415,690,3139
2463,556,3103
2451,474,3074
2361,408,3040
2199,388,3009
1955,471,2970
1622,690,2943
1203,1007,2913
757,1380,2878
331,1761,2822
-36,2113,2780
-336,2401,2755
-541,2631,2747
-661,2816,2720
-721,2976,2682
-759,3111,2638
-757,3234,2616
-708,3348,2598
-613,3450,2583
-503,3508,2562
-360,3493,2551
-174,3394,2536
72,3234,2518
340,3046,2482
613,2846,2453
860,2634,2430
1081,2415,2420
1260,2215,2402
1406,2070,2387
1519,1987,2369
1622,1941,2355
1723,1887,2333
1838,1811,2322
1962,1720,2318
2091,1639,2322
2206,1561,2309
2307,1466,2289
2404,1319,2265
2523,1121,2256
2655,896,2252
2776,690,2256
2859,519,2256
2920,388,2256
2963,285,2251
2992,216,2256
2994,179,2259
2992,173,2256
2999,176,2238
3028,173,2224
3060,143,2217
3100,86,2224
3146,15,2224
3208,-43,2224
3265,-84,2220
3316,-129,2224
3360,-204,2223
3425,-302,2224
3496,-399,2220
3569,-474,2224
3622,-527,2223
3677,-561,2224
3722,-584,2220
3749,-604,2224
3745,-625,2224
3749,-647,2224
3767,-669,2217
3785,-690,2224
3760,-702,2238
3713,-690,2256
3667,-651,2259
3641,-604,2256
3608,-573,2251
3569,-561,2256
3515,-549,2256
3461,-518,2256
3400,-462,2252
3353,-388,2256
3302,-317,2257
3244,-259,2256
3166,-202,2251
3100,-129,2256
3044,-53,2260
2992,0,2256
2919,31,2236
2848,86,2224
2777,187,2221
2704,302,2224
2608,395,2209
2523,474,2191
2458,562,2180
2415,647,2191
2360,701,2196
2307,733,2191
2262,780,2170
2235,863,2158
2189,958,2154
2127,1035,2158
2056,1085,2156
2019,1121,2158
2009,1149,2157
2019,1164,2158
2017,1167,2152
2019,1164,2158
2035,1143,2171
2091,1078,2191
2162,970,2193
2235,863,2191
2290,788,2194
2343,733,2224
2384,669,2259
2415,604,2289
2429,565,2301
2451,561,2322
2476,563,2351
2487,561,2387
2471,556,2406
2451,561,2420
2446,561,2431
2451,561,2453
2450,566,2469
2451,604,2485
2474,645,2497
2523,647,2518
2590,566,2535
2668,431,2551
2740,273,2551
2776,129,2551
2741,8,2545
2632,-43,2551
2442,4,2549
2163,173,2551
1773,447,2543
1298,819,2551
789,1249,2560
324,1682,2583
-61,2056,2602
-360,2372,2649
-613,2665,2714
-829,2976,2812
-1008,3290,2915
-1118,3579,3041
-1174,3829,3174
-1190,4054,3336
-1174,4245,3501
-1081,4356,3695
-902,4345,3914
-649,4226,4186
-372,4037,4475
-72,3795,4774
237,3493,5051
541,3148,5330
796,2825,5604
1009,2588,5886
1192,2439,6141
1370,2329,6377
1533,2209,6578
1694,2070,6769
1861,1901,6927
2055,1682,7064
2268,1395,7164
2487,1078,7260
2686,774,7332
2848,518,7391
2960,312,7410
3028,173,7423
3055,89,7421
3064,43,7423
3072,-3,7404
3100,-43,7391
3137,-72,7369
3172,-86,7358
3191,-107,7323
3208,-129,7292
3225,-143,7251
3244,-129,7227
3248,-105,7190
3244,-86,7162
3237,-85,7112
3244,-86,7064
3256,-84,6992
3280,-86,6933
3309,-127,6862
3353,-216,6802
3391,-320,6718
3425,-388,6638
3431,-402,6547
3425,-388,6475
3404,-383,6390
3389,-388,6311
3359,-381,6218
3316,-345,6148
3255,-285,6076
3208,-216,6017
3170,-147,5942
3136,-86,5886
3082,-37,5830
3028,0,5788
2982,26,5730
2956,43,5690
2931,49,5649
2920,43,5625
2914,25,5583
2920,0,5559
2919,-27,5536
2920,-43,5527
2907,-37,5493
2884,0,5461
2842,50,5421
2812,86,5396
2791,92,5358
2776,86,5330
2741,95,5294
2704,129,5265
2664,175,5214
2632,216,5167
2591,252,5111
2559,302,5069
2528,376,5015
2487,474,4971
2416,583,4918
2343,690,4873
2289,772,4808
2271,819,4742
2256,839,4666
2235,863,4611
2206,903,4558
2199,949,4513
2200,977,4447
2199,992,4382
2178,1009,4309
2163,1035,4251
2158,1048,4193
2163,1035,4153
2148,1005,4106
2127,992,4055
2104,1005,3983
2091,1035,3924
2061,1070,3869
2019,1121,3826
1971,1187,3770
1947,1251,3728
1931,1308,3691
1911,1380,3663
1880,1449,3612
1875,1466,3564
1892,1409,3521
1911,1337,3499
1905,1302,3466
1911,1294,3434
1939,1263,3394
1983,1208,3368
2014,1143,3335
2055,1078,3303
2110,1006,3261
2163,949,3237
2183,921,3217
2199,906,3205
2230,869,3181
2271,819,3172
2281,782,3168
2271,776,3172
2262,791,3155
2271,819,3139
2265,857,3127
2235,906,3139
2188,952,3153
2163,992,3172
2159,1016,3174
2163,1035,3172
2147,1053,3161
2127,1078,3172
2116,1090,3188
2127,1078,3205
2133,1050,3199
2127,1035,3205
2104,1036,3218
2091,1035,3237
2087,1024,3235
2091,1035,3237
2078,1076,3246
2055,1121,3270
2029,1143,3283
2019,1164,3303
2008,1203,3327
1983,1251,3368
1941,1275,3399
1911,1294,3434
1902,1317,3472
1911,1337,3532
1940,1316,3585
2019,1251,3630
2144,1126,3656
2271,949,3695
2340,746,3741
2343,604,3793
2286,549,3827
2163,561,3859
1941,605,3887
1622,733,3924
1225,984,3945
793,1337,3957
359,1711,3954
-36,2070,3957
-376,2406,3955
-649,2717,3957
-855,2977,3944
-973,3191,3924
-1017,3371,3888
-1009,3536,3859
-987,3680,3826
-937,3795,3793
-845,3854,3743
-685,3838,3695
-474,3739,3643
-216,3579,3597
64,3379,3543
360,3148,3499
643,2891,3451
901,2631,3401
1107,2403,3332
1262,2243,3270
1373,2153,3215
1478,2113,3172
1585,2080,3110
1694,2027,3041
1796,1946,2975
1911,1854,2943
2047,1744,2916
2199,1596,2878
2345,1392,2818
2487,1164,2780
2621,949,2761
2740,776,2747
2825,633,2708
2884,518,2682
2924,430,2674
2956,388,2682
2964,381,2665
2956,388,2649
2942,378,2641
2956,345,2649
2988,300,2644
3028,259,2649
3056,209,2662
3100,129,2682
3162,9,2680
3244,-129,2682
3326,-265,2692
3425,-388,2714
3534,-503,2717
3641,-604,2714
3707,-681,2709
3749,-733,2714
3780,-776,2712
3821,-819,2714
3848,-855,2712
3857,-863,2714
3841,-844,2709
3821,-819,2714
3789,-802,2717
3749,-776,2714
3693,-736,2693
3641,-690,2682
3586,-650,2679
3533,-604,2682
3471,-541,2665
3425,-474,2649
3388,-426,2642
3353,-388,2649
3288,-337,2639
3208,-259,2616
3116,-169,2589
3028,-86,2583
2932,-19,2584
2848,43,2583
2769,118,2565
2704,216,2551
2628,328,2535
2559,431,2518
2496,506,2484
2451,561,2453
2400,629,2428
2343,733,2420
2268,854,2405
2199,949,2387
2135,1001,2365
2091,1035,2355
2050,1077,2339
2019,1121,2322
1990,1139,2297
1983,1121,2289
1980,1092,2288
1983,1078,2289
1986,1080,2273
2019,1078,2256
2070,1049,2238
2127,992,2224
2163,923,2202
2199,863,2191
2245,815,2188
2307,776,2191
2351,734,2175
2379,690,2158
2394,643,2148
2415,604,2158
2424,585,2163
2415,604,2158
2390,646,2138
2379,690,2126
2380,714,2119
2379,733,2126
2349,766,2126
2307,819,2126
2275,859,2119
2271,863,2126
2273,824,2138
2271,776,2158
2264,741,2162
2271,733,2158
2278,745,2148
2271,776,2158
2234,817,2173
2199,863,2191
2184,893,2189
2199,906,2191
2208,914,2197
2199,949,2224
2164,1010,2249
2127,1078,2289
2086,1128,2338
2055,1164,2420
2029,1191,2511
2019,1208,2616
2006,1218,2718
1983,1251,2845
1931,1312,2992
1875,1380,3172
1824,1418,3361
1802,1423,3564
1805,1407,3752
1838,1380,3924
1878,1339,4066
1911,1294,4218
1924,1251,4386
1947,1208,4578
1990,1136,4751
2055,1035,4905
2112,930,5033
2163,863,5167
2202,833,5288
2235,819,5396
2244,806,5467
2235,819,5527
2211,862,5573
2199,906,5625
2206,915,5659
2235,906,5690
2251,899,5705
2235,906,5723
2179,917,5723
2127,949,5723
2105,996,5705
2127,1035,5690
2163,1029,5667
2199,992,5657
2211,955,5640
2199,949,5625
2162,965,5589
2127,992,5559
2100,1016,5523
2091,1035,5494
2085,1039,5444
2091,1035,5396
2095,1041,5338
2091,1078,5298
2060,1129,5248
2019,1164,5200
1988,1166,5131
1983,1164,5069
1987,1177,4998
1983,1208,4938
1963,1242,4865
1947,1294,4807
1949,1340,4749
1983,1337,4709
2052,1225,4658
2163,1035,4611
2289,833,4553
2379,690,4513
2377,600,4472
2271,561,4447
2062,587,4412
1766,733,4382
1391,998,4342
973,1337,4317
536,1695,4292
108,2070,4284
-289,2451,4265
-613,2803,4251
-853,3075,4228
-1009,3278,4218
-1093,3438,4202
-1081,3579,4186
-1002,3695,4149
-901,3795,4120
-822,3877,4096
-721,3924,4088
-559,3901,4062
-324,3795,4022
-53,3610,3964
252,3364,3924
569,3082,3889
865,2803,3859
1083,2560,3807
1226,2372,3761
1317,2240,3718
1406,2156,3695
1513,2094,3664
1658,2027,3630
1825,1928,3580
1983,1811,3532
2103,1696,3475
2199,1596,3434
2296,1473,3396
2415,1294,3368
2543,1055,3322
2668,819,3270
2770,635,3211
2848,518,3172
2893,438,3137
2920,388,3107
2934,348,3058
2956,302,3009
2974,237,2963
2992,173,2943
3002,123,2918
3028,86,2878
3061,44,2818
3100,0,2780
3140,-53,2760
3208,-129,2747
3296,-236,2711
3389,-345,2682
3459,-437,2662
3533,-518,2649
3610,-594,2614
3677,-647,2583
3701,-671,2562
3713,-690,2551
3736,-730,2518
3785,-776,2485
3816,-806,2461
3821,-819,2453
3801,-828,2435
3785,-819,2420
3757,-784,2401
3713,-733,2387
3650,-688,2364
3605,-647,2355
3571,-603,2353
3533,-561,2355
3462,-524,2337
3389,-474,2322
3327,-408,2315
3280,-345,2322
3213,-301,2321
3136,-259,2322
3057,-199,2320
