III,V,PLETH,RESP
7370,14789,3941,225
7564,14852,4133,225
7765,14915,4297,225
7898,14972,4453,225
7915,14957,4593,225
7898,14972,4741,225
7846,15033,4882,225
7786,15211,5030,225
7673,15278,5161,225
7564,15092,5286,225
7487,14657,5384,225
7564,14373,5478,225
7825,14387,5557,225
8231,14612,5638,225
8504,14751,5703,225
8454,14852,5767,225
8127,14963,5814,225
7898,15092,5863,225
7937,14972,5893,225
8120,14612,5927,225
8143,14178,5951,225
8009,14014,5991,225
7877,14105,6021,224
7898,14373,6055,225
7988,14678,6068,226
8120,15092,6087,225
8292,15410,6098,223
8565,15451,6119,225
8816,15173,6119,233
8899,14972,6119,241
8666,14927,6107,244
8231,14852,6119,241
7789,14548,6131,239
7564,14373,6151,241
7549,14534,6148,247
7675,14852,6151,257
7799,14907,6144,267
7898,14852,6151,274
7891,14995,6145,274
7786,15451,6151,274
7610,15852,6147,278
7564,16050,6151,290
7752,16083,6133,301
8120,16169,6119,306
8339,16229,6095,304
8231,16169,6087,306
7914,15857,6068,312
7786,15451,6055,322
7963,15067,6023,329
8231,14852,5991,338
8231,14677,5939,347
8009,14493,5895,354
7852,14225,5840,354
8009,14014,5799,354
8297,13879,5747,358
8454,13894,5703,370
8388,13945,5640,381
8343,14014,5574,386
8437,13975,5490,385
8565,13894,5414,386
8462,13776,5331,391
8120,13774,5254,402
7683,13857,5156,412
7341,14014,5062,418
7162,14059,4959,418
7230,14014,4870,418
7490,13927,4770,423
7898,14014,4677,434
8193,14173,4575,445
8231,14253,4485,450
7957,14088,4387,449
7675,13894,4293,450
7596,13822,4188,457
7786,14014,4101,467
8014,14427,4014,470
8009,15092,3941,467
7408,15728,3864,463
6340,16050,3812,467
5571,15909,3764,475
5673,15571,3716,483
5707,15050,3644,483
4449,14253,3588,483
2870,13263,3548,487
4004,12816,3524,499
8963,13378,3477,510
15017,14612,3428,515
18603,15455,3384,514
19243,15451,3364,515
18768,15025,3334,521
18354,14972,3300,531
17674,15202,3258,539
16463,15092,3236,547
14877,14289,3217,554
13014,13415,3204,563
10908,13038,3172,571
9121,13175,3140,579
8161,13420,3101,586
7898,13774,3076,595
7754,14192,3053,603
7564,14493,3043,611
7422,14474,3028,619
7341,14493,3011,627
7153,14694,2977,635
6896,14852,2947,644
6708,14665,2922,651
6674,14493,2915,660
6678,14604,2903,667
6674,14852,2883,676
6633,14867,2847,683
6674,14852,2819,692
6705,14969,2797,699
6674,15092,2787,708
6525,14898,2769,716
6452,14612,2755,724
6536,14472,2737,731
6785,14493,2723,740
7032,14421,2702,749
7230,14373,2691,756
7334,14439,2686,756
7341,14612,2691,756
7200,14710,2679,760
7008,14852,2659,772
6847,15012,2633,784
6785,15092,2627,788
6733,14948,2626,786
6674,14852,2627,788
6649,14920,2611,796
6785,15092,2595,804
7029,15142,2585,804
7230,15211,2595,804
7204,15338,2600,810
7008,15451,2595,821
6782,15341,2572,823
6674,15211,2563,821
6625,15234,2562,816
6563,15451,2563,821
6429,15575,2545,828
6340,15571,2531,837
6400,15499,2524,838
6674,15571,2531,837
6984,15726,2529,833
7119,15930,2531,837
6930,16056,2530,844
6563,16169,2531,853
6224,16198,2515,854
6118,16169,2499,853
6254,16039,2489,850
6563,15930,2499,853
6817,15766,2503,854
6896,15571,2499,853
6842,15413,2479,849
6896,15571,2467,853
7081,15891,2461,861
7230,16050,2467,869
7158,15845,2466,869
7008,15690,2467,869
6948,15814,2463,870
7008,16050,2467,869
6999,15966,2466,860
6896,15690,2467,853
6779,15504,2462,850
6785,15571,2467,853
6871,15622,2468,852
7008,15571,2467,853
7154,15387,2450,854
7341,15211,2435,853
7466,15032,2425,843
7453,14972,2435,837
7301,14984,2440,836
7230,15092,2435,837
7366,15220,2412,828
7675,15451,2403,821
7921,15618,2402,819
8009,15571,2403,821
7947,15206,2385,813
7898,14852,2371,804
7939,14744,2364,801
8120,14972,2371,804
8297,15257,2369,801
8343,15451,2371,788
8193,15404,2371,775
8009,15211,2371,772
7872,14946,2353,774
7786,14852,2339,772
7660,14929,2331,762
7564,15092,2339,756
7556,15057,2340,756
7675,14852,2339,756
7801,14614,2325,747
7898,14612,2307,740
7944,14743,2282,739
8009,14852,2275,740
8062,14811,2275,732
8120,14852,2275,724
8156,15013,2255,722
8231,15211,2243,724
8326,15236,2238,717
8454,15211,2243,708
8540,15159,2227,703
8565,15092,2211,708
8452,14960,2200,711
8231,14972,2211,708
7946,15034,2212,699
7786,14972,2211,692
7882,14759,2200,688
8231,14852,2211,692
8483,15275,2232,694
8343,15571,2275,692
7875,15288,2316,682
7564,14852,2371,676
7604,14774,2433,674
7786,15092,2531,676
7814,15280,2648,675
7786,15211,2787,676
7764,15026,2922,677
7675,14972,3076,676
7508,14985,3239,667
7564,15092,3428,660
7801,15184,3615,657
7786,15211,3812,660
7298,15040,4002,660
6896,14852,4197,660
7057,14793,4374,659
7564,14972,4549,660
7820,15158,4709,657
7786,15211,4870,660
7758,15032,5006,666
7898,14852,5126,676
8051,14834,5210,678
8231,15092,5286,676
8467,15361,5355,673
8676,15451,5446,676
8592,15274,5531,677
8231,15092,5606,676
7838,14988,5652,672
7675,14972,5703,676
7611,14894,5748,684
7453,14852,5799,692
7243,14832,5828,692
7341,14852,5863,692
7761,14815,5891,691
8120,14852,5927,692
8057,14918,5939,689
7786,14972,5959,692
7631,14921,5980,699
7675,14972,6023,708
7785,15116,6044,709
8009,15211,6055,708
8268,14986,6045,707
8343,14612,6055,708
8105,14340,6066,706
7898,14373,6087,708
7956,14513,6085,715
8120,14612,6087,724
8028,14550,6080,725
7786,14493,6087,724
7700,14540,6082,723
7898,14852,6087,724
8104,15355,6083,722
8120,15930,6087,724
7915,16226,6070,731
7675,16169,6055,740
7524,15962,6030,742
7564,16050,6023,740
7716,16310,6006,737
7898,16289,5991,740
8010,15688,5955,746
8120,14972,5927,756
8261,14535,5890,765
8454,14373,5863,772
8573,14159,5815,772
8565,14014,5767,772
8404,14067,5699,777
8231,14253,5638,788
8122,14229,5568,798
8120,14014,5510,804
8135,13691,5444,809
8120,13415,5382,821
8019,13208,5301,836
7898,13295,5222,853
7803,13605,5134,861
7786,13894,5062,869
7761,13876,4980,876
7675,13774,4902,885
7505,13804,4803,891
7453,14014,4709,901
7537,14096,4607,914
7675,14014,4517,933
7674,13834,4417,949
7675,13774,4325,965
7762,13785,4223,980
7898,13894,4133,998
7801,14107,4041,1013
7341,14612,3973,1030
6443,15329,3905,1044
5450,16050,3844,1062
5057,16388,3771,1081
5562,16169,3716,1110
5811,15222,3665,1143
4561,13774,3620,1175
2839,12469,3562,1197
3671,12217,3524,1223
8164,13061,3501,1252
13793,14253,3492,1287
17369,15020,3461,1313
18576,15451,3428,1335
18883,15692,3391,1355
18910,15690,3364,1384
18239,15470,3325,1414
17019,15571,3300,1448
15661,15903,3279,1479
14015,15690,3268,1512
11854,14503,3236,1542
9900,13295,3204,1577
8869,12957,3167,1612
8454,13295,3140,1657
7861,13485,3102,1699
7119,13534,3076,1738
6700,13728,3054,1767
6674,14014,3043,1802
6708,14029,3014,1840
6785,14014,2979,1882
7008,14215,2939,1915
7230,14493,2915,1947
7136,14443,2895,1975
6785,14253,2883,2011
6429,14207,2865,2048
6340,14373,2851,2092
6477,14487,2832,2132
6785,14612,2819,2172
7019,14759,2801,2202
7008,14852,2787,2236
6653,14660,2767,2272
6229,14373,2755,2317
6006,14192,2738,2357
6118,14253,2723,2397
6365,14372,2701,2433
6563,14493,2691,2478
6636,14518,2687,2519
6674,14493,2691,2558
6626,14386,2679,2586
6452,14373,2659,2623
6252,14516,2634,2660
6340,14852,2627,2703
6735,15122,2625,2734
7119,15211,2627,2767
7137,15114,2612,2797
6896,15092,2595,2832
6685,15139,2573,2854
6674,15211,2563,2880
6764,15252,2556,2906
6896,15451,2563,2944
6998,15644,2566,2976
7008,15571,2563,3009
6830,15170,2543,3035
6563,14972,2531,3073
6337,15173,2526,3106
6229,15451,2531,3137
6101,15301,2519,3156
5895,14972,2499,3186
5715,14901,2474,3215
5784,15211,2467,3250
6035,15456,2465,3271
6229,15451,2467,3298
6228,15269,2453,3326
6229,15211,2435,3363
6308,15317,2411,3386
6340,15571,2403,3411
6203,15691,2400,3431
6118,15571,2403,3459
6210,15284,2391,3479
6340,15211,2371,3507
6290,15336,2345,3535
6229,15451,2339,3572
6374,15418,2339,3596
6674,15571,2339,3620
6765,15900,2321,3637
6563,16050,2307,3668
6285,15659,2299,3698
6229,15092,2307,3733
6343,14720,2308,3754
6452,14612,2307,3781
6472,14504,2292,3801
6563,14493,2275,3829
6747,14635,2251,3849
6896,14852,2243,3877
6863,14876,2242,3900
6785,14852,2243,3926
6793,14923,2225,3938
6896,15092,2211,3958
6976,15053,2204,3977
7119,14852,2211,4006
7404,14699,2201,4022
7786,14852,2179,4038
8015,15095,2152,4048
8009,15211,2146,4071
7834,15143,2148,4086
7675,15211,2146,4103
7577,15428,2127,4101
7564,15571,2114,4103
7590,15343,2111,4098
7675,14972,2114,4103
7753,14696,2100,4099
7786,14612,2082,4103
7726,14527,2072,4098
7675,14493,2082,4103
7687,14511,2088,4099
7786,14612,2082,4103
7868,14716,2062,4098
7898,14972,2050,4103
7816,15287,2047,4099
7675,15451,2050,4103
7549,15222,2038,4098
7564,14852,2018,4103
7613,14570,1994,4099
7564,14493,1986,4103
7423,14484,1984,4098
7453,14612,1986,4103
7658,14768,1972,4098
7786,14852,1954,4103
7629,14787,1930,4098
7453,14852,1922,4103
7521,15028,1917,4098
7786,15092,1922,4103
7900,14833,1928,4098
7786,14612,1954,4103
7576,14647,1983,4098
7453,14852,2018,4103
7381,14921,2050,4098
7341,14972,2114,4103
7282,15049,2202,4098
7230,15092,2307,4103
7154,14964,2405,4098
7119,14972,2531,4103
7137,15230,2681,4098
7230,15571,2851,4103
7295,15634,3006,4098
7341,15571,3172,4103
7450,15574,3353,4098
7786,15690,3556,4103
8243,15659,3738,4098
8565,15571,3908,4103
8517,15613,4065,4098
8231,15930,4229,4103
7931,16198,4377,4098
7786,16169,4517,4103
7745,15793,4632,4098
7786,15451,4741,4103
7846,15334,4836,4098
7898,15451,4934,4103
7852,15538,5009,4098
7786,15571,5062,4103
7805,15536,5086,4098
8009,15571,5126,4103
8246,15677,5174,4098
8343,15930,5222,4103
8207,16108,5236,4098
8009,16050,5254,4103
7860,15732,5279,4098
7786,15571,5318,4103
7704,15699,5334,4098
7675,15930,5350,4103
7711,15848,5361,4098
7786,15571,5382,4103
7786,15397,5381,4098
7786,15571,5382,4103
7871,15825,5386,4098
8120,15930,5414,4103
8430,15763,5431,4098
8676,15571,5446,4103
8626,15482,5442,4098
8231,15571,5446,4103
7663,15620,5442,4098
7341,15571,5446,4103
7407,15431,5440,4098
7675,15451,5446,4103
7806,15666,5444,4098
7786,16050,5446,4103
7744,16364,5428,4098
7786,16529,5414,4103
7802,16427,5391,4098
7786,16169,5382,4103
7813,15822,5363,4098
8009,15571,5350,4103
8246,15377,5329,4099
8343,15211,5318,4103
8189,14903,5290,4098
8009,14612,5254,4103
8060,14606,5198,4099
8454,15092,5158,4103
8912,15568,5123,4098
9121,15451,5094,4103
8907,14675,5034,4099
8454,14014,4966,4103
8006,13845,4890,4098
7786,13894,4838,4103
7809,13696,4777,4100
8009,13534,4709,4103
8167,13691,4612,4096
8120,14014,4517,4103
7836,14059,4425,4105
7564,14014,4357,4103
7453,14184,4290,4072
7564,14612,4229,4038
7698,14880,4150,4000
7786,14852,4069,3974
7773,14500,3969,3938
7786,14014,3876,3910
7801,13645,3784,3879
7786,13894,3716,3861
7595,14744,3649,3835
7230,15690,3588,3813
6709,16102,3516,3783
6229,16050,3460,3765
5948,15797,3407,3739
5784,15451,3364,3717
5189,14769,3309,3686
4116,13894,3268,3668
3822,13229,3230,3650
6118,13295,3204,3636
10964,14091,3166,3608
16018,15211,3140,3588
18856,15856,3117,3566
19355,15690,3108,3556
18911,15078,3088,3536
18465,14852,3076,3524
17822,15066,3059,3506
16685,15092,3043,3491
15022,14409,3009,3464
13014,13534,2979,3443
10971,13120,2955,3422
9455,13295,2947,3411
8655,13586,2931,3386
8231,13894,2915,3363
7756,14305,2894,3333
7341,14852,2883,3314
7169,15156,2866,3289
7119,15092,2851,3266
6918,14758,2831,3232
6674,14493,2819,3202
6597,14359,2802,3165
6674,14373,2787,3137
6656,14397,2766,3109
6563,14493,2755,3089
6520,14636,2740,3057
6674,14852,2723,3025
6865,14923,2698,2986
7008,14852,2691,2960
7014,14767,2692,2936
7008,14972,2691,2912
7085,15340,2670,2871
7341,15571,2659,2832
7542,15370,2657,2793
7453,14972,2659,2767
7078,14664,2640,2736
6785,14612,2627,2703
6701,14573,2623,2659
6674,14493,2627,2623
6582,14494,2610,2586
6674,14852,2595,2558
7025,15332,2589,2525
7341,15571,2595,2494
7279,15392,2583,2457
7008,15211,2563,2429
6823,15255,2539,2402
6785,15451,2531,2381
6719,15522,2525,2350
6674,15571,2531,2317
6735,15575,2533,2279
6896,15451,2531,2252
7041,15153,2511,2227
7230,15092,2499,2204
7425,15337,2493,2170
7453,15571,2499,2140
7134,15416,2496,2112
6674,15211,2499,2092
6361,15286,2499,2066
6340,15571,2499,2043
6477,15606,2481,2017
6674,15451,2467,1995
6826,15408,2459,1967
6896,15690,2467,1947
6847,15973,2467,1929
6785,16050,2467,1915
6755,15929,2463,1890
6785,15930,2467,1866
6850,16051,2465,1845
7008,16169,2467,1834
7173,16083,2464,1818
7230,15930,2467,1802
7113,15749,2465,1781
7008,15571,2467,1770
7019,15317,2464,1760
7119,15211,2467,1754
7168,15322,2464,1738
7230,15571,2467,1722
7363,15640,2464,1701
7564,15571,2467,1689
7677,15496,2464,1679
7675,15571,2467,1673
7573,15587,2464,1658
7453,15451,2467,1641
7312,15151,2464,1620
7230,14972,2467,1609
7232,15004,2464,1600
7341,15211,2467,1593
7459,15259,2464,1577
7564,15092,2467,1561
7651,14873,2464,1542
7786,14972,2467,1528
7894,15271,2464,1512
7898,15451,2467,1496
7733,15253,2464,1477
7564,14972,2467,1464
7555,14828,2464,1449
7786,14852,2467,1432
8062,14826,2464,1406
8231,14852,2467,1384
8272,14987,2464,1365
8343,15211,2467,1351
8409,15270,2465,1330
8343,15211,2467,1303
8060,15110,2464,1274
7786,15092,2467,1255
7696,15040,2465,1238
7786,14972,2467,1223
7856,14806,2463,1199
7898,14612,2467,1175
7969,14438,2465,1153
8120,14493,2467,1142
8222,14680,2462,1129
8231,14852,2467,1110
8156,14877,2468,1083
8120,14972,2467,1062
8151,15129,2448,1046
8231,15211,2435,1030
8171,15032,2426,1004
7898,14852,2435,981
7516,14840,2435,964
7341,14972,2435,949
7434,14953,2425,926
7675,14852,2435,901
7913,14813,2456,880
8231,14972,2499,869
8562,15097,2540,854
8676,15092,2595,837
8345,14938,2657,818
7786,14852,2755,804
7355,14827,2872,790
7230,14852,3011,772
7193,14822,3139,747
7119,14852,3268,724
7097,14910,3396,705
7341,14972,3556,692
7703,14906,3728,676
7898,14852,3908,660
7820,14887,4076,642
7786,15092,4261,627
7946,15298,4451,612
8120,15451,4645,595
8017,15407,4808,576
7786,15211,4966,563
7718,14932,5111,554
7898,14852,5254,547
8046,14988,5368,537
8009,15211,5478,531
7813,15226,5576,525
7675,15092,5671,515
7690,14938,5734,497
7898,14972,5799,483
8126,15095,5859,479
8231,15211,5927,483
8163,15110,5973,479
8120,14852,6023,467
8195,14589,6059,453
8343,14612,6087,450
8362,14783,6082,453
8231,14852,6087,450
7995,14644,6106,441
7786,14493,6151,434
7654,14580,6173,434
7675,14852,6183,434
7779,14980,6173,427
7898,14972,6183,418
7946,14885,6192,416
8009,14852,6215,418
8080,14842,6226,418
8120,14972,6247,418
8031,15141,6247,419
7898,15211,6247,418
7785,15021,6233,410
7786,14852,6247,402
7920,14971,6263,399
8231,15451,6279,402
8528,15889,6260,403
8565,16050,6247,402
8223,15947,6237,401
7786,15930,6247,402
7509,16052,6234,403
7453,16169,6215,402
7463,15978,6178,401
7564,15571,6151,402
7790,15159,6113,403
8120,14972,6087,402
8365,14835,6052,401
8454,14612,6023,402
8340,14255,5972,404
8120,14014,5927,402
7942,13936,5874,394
8009,14014,5831,386
8196,14098,5767,384
8231,14253,5703,386
7996,14377,5620,387
7786,14373,5542,386
7790,14087,5454,385
7898,13774,5382,386
7873,13702,5302,386
7786,14014,5222,386
7757,14365,5120,386
7786,14493,5030,386
7744,14344,4934,385
7786,14253,4838,386
7925,14263,4716,387
8009,14253,4613,386
7815,14042,4524,383
7564,13894,4453,386
7409,13995,4366,394
7341,14373,4293,402
7254,14788,4226,403
7230,15211,4165,402
7036,15527,4078,402
6452,15690,4005,402
5839,15653,3947,400
5784,15571,3908,402
5640,15255,3846,411
4338,14493,3780,418
2800,13432,3718,418
4004,12936,3684,418
9048,13473,3648,425
15128,14612,3620,434
18587,15295,3584,436
19021,15211,3556,434
18507,14840,3519,437
18354,14852,3492,450
18022,15073,3459,462
16908,14972,3428,467
15140,14284,3387,464
13126,13534,3364,467
11071,13178,3346,475
9344,13295,3332,483
8250,13559,3296,483
7786,13894,3268,483
7598,14161,3246,487
7453,14253,3236,499
7244,14085,3205,508
7008,14014,3172,515
6782,14199,3143,520
6674,14493,3140,531
6685,14511,3129,541
6785,14373,3108,547
6863,14351,3068,546
6896,14612,3043,547
6837,14868,3025,552
6785,14972,3011,563
6684,14896,2978,572
6563,14852,2947,579
6458,14832,2922,586
6563,14852,2915,595
6804,14827,2901,604
7008,14852,2883,611
7024,14866,2859,618
7008,14852,2851,627
7025,14713,2848,637
7008,14612,2851,644
6868,14640,2838,644
6785,14852,2819,644
6837,14986,2794,648
6896,14972,2787,660
6759,14907,2786,670
6563,15092,2787,676
6519,15370,2770,674
6674,15451,2755,676
6797,15188,2746,682
6785,14972,2755,692
6665,14947,2758,695
6563,14972,2755,692
6479,14833,2736,688
6452,14852,2723,692
6500,15166,2715,700
6674,15571,2723,708
6847,15685,2726,709
6896,15690,2723,708
6750,15774,2704,706
6563,15930,2691,708
6454,15927,2684,708
6452,15930,2691,708
6415,16004,2690,707
6340,16050,2691,708
6314,15829,2687,707
6452,15571,2691,708
6619,15478,2690,707
6674,15571,2691,708
6616,15578,2687,707
6674,15571,2691,708
6863,15664,2692,708
7008,15930,2691,708
6952,16094,2674,707
6896,16050,2659,708
7012,15788,2649,708
7230,15571,2659,708
7270,15514,2665,705
7119,15690,2659,708
6933,15871,2636,710
6896,15930,2627,708
6977,15770,2627,698
7119,15571,2627,692
7209,15366,2607,692
7230,15211,2595,692
7194,15005,2592,683
7230,14852,2595,676
7342,14779,2578,675
7453,14852,2563,676
7398,14881,2556,668
7230,14852,2563,660
7111,14843,2561,657
7230,15092,2563,660
7480,15394,2563,654
7675,15451,2563,644
7723,15130,2544,638
7786,14852,2531,644
7884,14804,2526,648
7898,14852,2531,644
7722,14712,2517,632
7564,14612,2499,627
7558,14723,2487,628
7675,14972,2499,627
7797,15029,2506,618
8009,14972,2499,611
8259,14892,2475,611
8343,14852,2467,611
8098,14781,2467,603
7786,14852,2467,595
7681,14949,2447,594
7786,14852,2435,595
7836,14497,2432,588
7786,14373,2435,579
7738,14608,2417,576
7786,14852,2403,579
7812,14699,2398,579
7786,14493,2403,579
7772,14565,2388,580
7898,14852,2371,579
8032,14962,2360,571
8009,14972,2371,563
7796,14986,2374,561
7675,14972,2371,563
7784,14728,2351,563
8009,14493,2339,563
8054,14459,2328,564
7898,14612,2339,563
7648,14645,2359,555
7453,14612,2403,547
7297,14651,2446,544
7230,14852,2499,547
7248,14946,2549,547
7341,14852,2627,547
7402,14642,2725,546
7453,14612,2851,547
7525,14724,2983,546
7675,14852,3140,547
7783,14837,3307,548
7786,14852,3492,547
7691,14909,3667,539
7675,14972,3844,531
7768,14930,4007,528
7898,14972,4165,531
7895,15073,4304,532
7786,15092,4453,531
7643,14841,4598,530
7564,14612,4741,531
7497,14625,4863,531
7453,14852,4998,531
7449,14926,5130,530
7564,14852,5254,531
7700,14825,5336,531
7786,15092,5414,531
7838,15428,5491,530
8009,15571,5574,531
8200,15330,5626,530
8231,14972,5671,531
8098,14757,5711,530
8120,14852,5767,531
8312,14989,5800,530
8343,14972,5831,531
7973,14714,5853,530
7564,14493,5895,531
7454,14411,5927,530
7564,14493,5959,531
7572,14548,5971,530
7564,14612,5991,531
7725,14684,6002,530
8009,14852,6023,531
8108,14998,6023,531
8009,15092,6023,531
7884,15014,6011,530
7898,14852,6023,531
7963,14657,6035,531
8009,14612,6055,531
7938,14684,6052,529
7786,14852,6055,531
7633,14988,6049,532
7675,15211,6055,531
7892,15567,6048,527
8120,16050,6055,531
8138,16304,6052,540
8009,16169,6055,547
7879,15797,6035,546
7898,15690,6023,547
8000,15858,6003,554
8120,15930,5991,563
8182,15536,5957,564
8231,14972,5927,563
8241,14552,5887,568
8231,14373,5863,579
8198,14245,5827,583
8231,14253,5799,579
8292,14347,5752,574
8343,14373,5703,579
8339,14128,5633,588
8343,13894,5574,595
8258,13868,5508,595
8009,14014,5446,595
7700,14001,5363,601
7675,13894,5286,611
7940,13855,5202,615
8120,14014,5126,611
7904,14162,5028,606
7564,14253,4934,611
7458,14274,4831,621
7675,14373,4741,627
7841,14458,4641,626
7786,14493,4549,627
7568,14372,4448,635
7453,14253,4357,644
7404,14217,4255,643
7341,14373,4165,644
7216,14616,4075,650
7119,14972,4005,660
6857,15403,3933,662
6340,15930,3876,660
5918,16284,3820,662
6007,16169,3780,676
5941,15284,3732,688
4783,13894,3684,692
3283,12680,3626,688
4004,12456,3588,692
8144,13228,3553,701
13682,14373,3524,708
17459,15132,3483,706
18576,15451,3460,708
18306,15537,3443,716
17909,15571,3428,724
17462,15381,3391,723
16685,14972,3364,724
15366,14375,3344,731
13459,13774,3332,740
11201,13222,3297,740
9344,12936,3268,740
8413,12964,3246,746
8231,13295,3236,756
8161,13676,3204,757
7898,14014,3172,756
7457,14177,3145,761
7008,14253,3140,772
6692,14305,3125,776
6674,14493,3108,772
6830,14646,3083,768
6896,14612,3076,772
6784,14394,3063,781
6785,14373,3043,788
6975,14598,3006,789
7119,14852,2979,788
6871,14860,2958,787
6452,14852,2947,788
6222,14932,2926,788
6340,14972,2915,788
6514,14706,2910,787
6563,14373,2915,788
6473,14203,2902,789
6452,14253,2883,788
6592,14325,2860,785
6896,14493,2851,788
7131,14705,2836,795
7119,14852,2819,804
6869,14809,2795,806
6674,14852,2787,804
6674,15040,2786,802
6785,15211,2787,804
6810,15137,2770,806
6785,15092,2755,804
6774,15232,2746,801
6785,15451,2755,804
6706,15405,2758,813
6563,15211,2755,821
6404,15063,2736,821
6340,15092,2723,821
6445,15128,2714,820
6785,15211,2723,821
7146,15322,2727,817
7230,15451,2723,821
6951,15389,2702,829
6674,15211,2691,837
6678,15076,2686,835
6896,15211,2691,837
7022,15439,2687,844
7008,15571,2691,853
6911,15518,2692,853
