II,III,PLETH,ABP
-490,-749,4917,2469
-525,-792,4838,2447
-525,-832,4783,2435
-522,-892,4687,2419
-542,-971,4583,2412
-582,-1044,4494,2396
-624,-1087,4436,2390
-645,-1106,4349,2384
-635,-1120,4250,2399
-605,-1135,4152,2419
-586,-1135,4085,2466
-586,-1106,4010,2528
-586,-1060,3928,2627
-561,-1017,3837,2747
-508,-982,3774,2902
-450,-937,3715,3070
-400,-869,3658,3259
-350,-777,3585,3443
-291,-675,3534,3635
-234,-578,3493,3815
-201,-491,3454,3999
-187,-415,3389,4171
-165,-343,3337,4346
-121,-269,3301,4508
-81,-193,3275,4672
-72,-126,3225,4820
-93,-83,3184,4968
-121,-73,3157,5098
-146,-92,3145,5220
-171,-118,3111,5321
-192,-131,3085,5417
-199,-119,3068,5496
-197,-89,3061,5566
-199,-51,3033,5613
-207,-18,3008,5652
-205,-1,2988,5672
-176,-2,2982,5685
-114,2,2959,5670
-32,39,2940,5647
40,120,2926,5605
85,220,2925,5563
111,309,2911,5503
145,375,2901,5440
189,416,2892,5361
223,423,2893,5288
240,394,2883,5205
261,349,2876,5128
305,316,2867,5036
346,300,2866,4947
352,284,2858,4847
323,251,2860,4756
290,210,2860,4657
274,179,2864,4567
271,166,2855,4467
270,154,2851,4377
273,131,2844,4278
280,97,2843,4188
281,61,2829,4088
264,23,2818,3997
229,-12,2805,3900
188,-34,2799,3815
149,-42,2780,3725
112,-54,2757,3647
75,-81,2727,3564
47,-108,2707,3493
31,-126,2681,3416
11,-145,2652,3347
-30,-180,2611,3269
-91,-227,2581,3203
-152,-271,2552,3133
-200,-308,2527,3079
-236,-340,2484,3025
-261,-357,2445,2984
-272,-349,2412,2940
-264,-319,2407,2905
-243,-281,2394,2865
-223,-239,2375,2837
-219,-193,2353,2806
-234,-148,2377,2786
-254,-118,2413,2760
-260,-104,2426,2743
-253,-100,2416,2721
-248,-96,2470,2709
-259,-89,2572,2693
-278,-77,2649,2688
-290,-59,2669,2682
-293,-39,2755,2688
-294,-22,2923,2691
-295,-11,3070,2702
-282,9,3123,2708
-239,64,3241,2720
-153,163,3525,2725
-35,285,3889,2734
86,397,4164,2735
175,479,4387,2739
227,528,4626,2737
267,548,4862,2743
318,547,4992,2744
375,537,5073,2753
424,528,5182,2759
457,519,5332,2774
474,503,5432,2787
468,474,5492,2808
439,432,5551,2821
399,383,5636,2836
357,342,5695,2845
313,320,5730,2858
277,309,5749,2864
264,279,5783,2873
262,217,5805,2874
232,138,5821,2881
168,61,5816,2885
107,-11,5815,2899
81,-77,5804,2906
65,-121,5801,2915
20,-141,5780,2917
-43,-160,5754,2924
-81,-196,5715,2928
-85,-238,5693,2936
-89,-270,5663,2935
-121,-294,5628,2934
-170,-318,5574,2925
-212,-335,5544,2921
-237,-334,5514,2914
-257,-326,5470,2915
-283,-327,5391,2912
-311,-336,5335,2913
-332,-343,5295,2905
-344,-345,5242,2902
-362,-356,5141,2893
-386,-368,5063,2891
-413,-370,5015,2883
-415,-333,4962,2882
-403,-274,4852,2872
-390,-226,4759,2864
-382,-209,4705,2845
-362,-192,4653,2831
-344,-164,4537,2817
-352,-129,4430,2811
-365,-88,4365,2798
-353,-51,4315,2789
-355,-87,4208,2776
-432,-236,4104,2773
-502,-377,4039,2766
-368,-328,3995,2760
45,-92,3899,2742
610,152,3795,2728
1237,404,3720,2713
2064,994,3674,2706
3225,2186,3595,2693
4439,3627,3512,2685
5044,4472,3450,2671
4612,4236,3416,2664
3471,3425,3359,2651
2392,2989,3296,2643
1772,3183,3241,2629
1338,3319,3212,2622
728,2774,3171,2608
43,1797,3130,2600
-372,1072,3086,2587
-445,808,3063,2580
-369,697,3036,2566
-266,507,3013,2558
-110,319,2983,2546
56,227,2968,2538
112,164,2950,2523
32,55,2938,2511
-73,-67,2916,2494
-116,-144,2904,2484
-118,-179,2893,2470
-135,-216,2889,2464
-193,-291,2875,2452
-258,-394,2868,2443
-311,-484,2861,2428
-339,-518,2863,2420
-375,-520,2858,2412
-429,-530,2860,2409
-479,-568,2859,2398
-503,-609,2861,2390
-512,-639,2849,2379
-535,-656,2844,2376
-577,-669,2837,2367
-618,-678,2836,2359
-642,-688,2823,2347
-660,-715,2817,2343
-686,-757,2811,2336
-708,-784,2810,2334
-708,-767,2796,2324
-684,-717,2791,2323
-661,-673,2786,2319
-653,-659,2784,2322
-659,-671,2766,2316
-671,-687,2754,2312
-677,-687,2743,2303
-663,-656,2737,2302
-623,-602,2716,2293
-561,-549,2701,2291
-489,-513,2691,2284
-413,-484,2685,2288
-334,-446,2663,2288
-246,-389,2642,2299
-149,-317,2623,2309
-44,-236,2612,2344
64,-153,2587,2396
167,-81,2564,2484
255,-17,2544,2592
322,59,2532,2738
382,161,2508,2903
454,273,2481,3099
544,364,2449,3299
630,412,2429,3511
696,427,2406,3714
745,436,2388,3922
787,460,2369,4117
819,496,2361,4313
844,535,2348,4493
868,571,2333,4676
886,611,2308,4846
870,660,2291,5017
817,698,2274,5169
761,695,2259,5318
729,648,2237,5449
701,583,2227,5575
656,533,2218,5679
597,499,2203,5773
537,463,2168,5844
464,411,2142,5910
370,345,2123,5952
276,273,2100,5986
208,203,2053,5997
151,141,2008,6001
80,88,1975,5983
-5,39,1949,5958
-82,-19,1902,5910
-143,-87,1850,5862
-206,-155,1808,5800
-278,-208,1791,5739
-347,-249,1758,5661
-392,-293,1707,5581
-413,-346,1654,5487
-421,-388,1649,5400
-432,-410,1664,5307
-447,-415,1661,5223
-456,-413,1634,5128
-448,-396,1661,5043
-429,-366,1737,4949
-412,-340,1802,4865
-413,-329,1817,4771
-424,-317,1875,4685
-425,-288,2006,4591
-401,-248,2154,4507
-359,-210,2241,4413
-318,-167,2342,4328
-276,-108,2513,4233
-213,-40,2724,4149
-138,23,2880,4055
-86,80,3018,3969
-67,129,3197,3876
-38,163,3432,3796
40,192,3636,3715
143,238,3804,3647
222,301,3969,3573
264,349,4180,3509
294,375,4386,3439
334,417,4557,3378
383,509,4689,3310
431,620,4843,3252
474,693,5009,3189
509,711,5156,3139
534,700,5247,3086
551,688,5341,3047
561,676,5456,3006
559,654,5571,2976
540,617,5631,2940
511,565,5675,2913
486,505,5730,2881
470,453,5803,2857
462,421,5834,2828
452,408,5839,2807
434,397,5840,2783
407,367,5867,2773
379,319,5873,2762
360,277,5855,2760
353,252,5820,2750
345,230,5818,2749
323,192,5816,2747
283,143,5790,2755
237,101,5726,2757
204,77,5696,2767
193,73,5686,2774
193,85,5649,2787
176,86,5533,2791
125,51,5414,2799
56,-10,5322,2804
7,-48,5244,2818
-9,-45,5124,2827
-20,-43,5019,2840
-61,-91,4952,2847
-133,-175,4906,2861
-206,-247,4809,2869
-258,-280,4709,2882
-288,-288,4635,2889
-298,-283,4586,2903
-287,-260,4498,2911
-258,-206,4401,2924
-238,-145,4318,2932
-248,-107,4264,2945
-274,-93,4187,2953
-270,-67,4100,2967
-231,-18,4014,2973
-192,28,3959,2982
-193,53,3897,2983
-208,90,3834,2991
-207,150,3764,2995
-162,220,3719,3002
-99,258,3677,3000
-39,269,3637,3002
8,280,3581,2999
51,327,3543,3004
95,408,3511,3000
153,511,3487,2999
250,620,3445,2990
364,681,3415,2991
413,607,3393,2989
369,417,3382,2990
389,327,3352,2981
679,520,3328,2977
1217,844,3309,2970
1796,1015,3305,2969
2389,1143,3287,2959
3219,1727,3277,2950
4316,2914,3270,2936
5184,4045,3273,2929
5199,4281,3260,2916
4281,3584,3252,2908
3001,2764,3244,2893
1965,2508,3246,2887
1259,2621,3234,2875
595,2413,3227,2865
-133,1654,3219,2847
-672,828,3219,2834
-800,433,3208,2820
-635,395,3201,2813
-431,352,3193,2796
-258,215,3193,2783
-61,134,3182,2766
102,135,3176,2759
118,96,3167,2748
22,6,3166,2740
-41,-36,3155,2722
-26,-25,3150,2709
-23,-51,3142,2693
-80,-121,3140,2685
-158,-168,3129,2672
-195,-169,3124,2665
-204,-180,3116,2651
-211,-215,3114,2643
-238,-256,3102,2630
-271,-282,3092,2622
-301,-302,3076,2609
-335,-326,3069,2601
-386,-363,3053,2588
-446,-408,3040,2580
-498,-448,3023,2567
-540,-472,3016,2559
-583,-484,3002,2546
-625,-490,2987,2538
-646,-488,2961,2525
-630,-469,2946,2517
-597,-432,2928,2503
-578,-387,2911,2496
-581,-348,2882,2483
-579,-315,2866,2475
-557,-288,2851,2461
-519,-268,2832,2453
-477,-246,2795,2440
-419,-209,2768,2433
-339,-158,2749,2418
-256,-113,2730,2410
-195,-92,2691,2398
-152,-86,2661,2399
-106,-77,2642,2394
-44,-62,2627,2399
27,-52,2594,2400
114,-45,2571,2423
225,-24,2560,2461
355,28,2548,2531
477,111,2508,2618
566,203,2478,2742
624,270,2463,2889
669,295,2446,3072
720,288,2390,3261
778,282,2330,3463
828,305,2284,3655
862,352,2251,3850
893,395,2198,4033
936,414,2150,4220
977,427,2122,4396
987,467,2104,4577
967,538,2065,4745
945,602,2022,4915
935,625,1990,5069
908,610,1970,5220
846,579,1937,5349
767,540,1902,5475
704,498,1873,5581
656,462,1856,5684
595,435,1830,5765
516,399,1800,5840
447,346,1769,5892
404,296,1748,5934
372,268,1725,5950
328,253,1703,5959
280,241,1679,5948
252,242,1663,5933
244,253,1644,5894
225,244,1624,5850
166,190,1600,5789
86,120,1585,5732
26,74,1567,5660
4,64,1539,5591
-4,60,1494,5510
-28,44,1454,5435
-69,18,1420,5348
-106,-2,1389,5268
-130,-14,1340,5179
-147,-22,1293,5100
-167,-30,1256,5011
-176,-31,1234,4929
-168,-12,1198,4835
-148,34,1148,4750
-137,89,1103,4656
-139,128,1103,4571
-134,148,1115,4476
-103,172,1101,4393
-55,211,1071,4304
-11,251,1107,4223
10,280,1191,4130
20,312,1248,4046
32,358,1253,3955
52,402,1327,3876
73,414,1491,3788
100,399,1644,3712
155,402,1712,3632
258,464,1825,3564
386,571,2047,3490
488,666,2286,3429
533,702,2425,3363
537,679,2570,3305
526,630,2813,3236
515,581,3097,3178
506,542,3289,3121
509,513,3452,3081
527,495,3682,3037
547,483,3969,2998
550,463,4192,2952
538,430,4367,2915
522,395,4560,2875
504,372,4799,2848
476,358,5006,2819
444,328,5167,2803
421,265,5306,2783
406,184,5475,2771
384,121,5637,2753
343,98,5770,2744
299,99,5860,2731
271,90,5956,2724
255,55,6054,2713
223,13,6145,2716
167,-19,6190,2718
114,-39,6228,2728
93,-54,6267,2726
92,-64,6317,2728
69,-71,6333,2727
4,-82,6336,2739
-72,-99,6335,2747
-108,-106,6356,2762
-87,-97,6359,2769
-37,-83,6344,2780
-5,-79,6310,2783
-12,-77,6307,2792
-49,-63,6301,2798
-93,-41,6274,2813
-125,-31,6212,2822
-139,-39,6182,2833
-146,-46,6166,2835
-160,-28,6130,2844
-186,11,6043,2851
-208,45,5992,2865
-207,60,5977,2869
-183,68,5933,2876
-154,88,5784,2877
-131,124,5618,2887
-111,169,5488,2890
-82,219,5384,2894
-47,269,5235,2890
-19,298,5104,2892
-12,288,5023,2891
-15,249,4971,2894
22,221,4867,2887
132,241,4754,2884
276,311,4669,2879
375,394,4617,2882
387,443,4528,2878
366,433,4430,2876
369,380,4344,2866
415,336,4289,2864
441,318,4216,2857
422,307,4141,2853
404,288,4069,2840
437,275,4026,2831
480,257,3972,2818
457,227,3914,2810
397,204,3846,2797
389,200,3803,2789
412,140,3758,2776
340,-57,3713,2768
177,-324,3650,2755
138,-460,3605,2748
394,-363,3568,2734
849,-179,3539,2723
1315,-85,3490,2705
1835,56,3453,2693
2636,648,3426,2680
3668,1763,3412,2675
4376,2754,3379,2661
4164,2834,3355,2650
3096,2092,3337,2631
1883,1483,3330,2620
1098,1628,3302,2607
656,2060,3277,2599
184,1966,3256,2586
-372,1276,3253,2578
-764,582,3242,2566
-868,263,3239,2556
-803,156,3238,2538
-685,7,3244,2525
-540,-196,3234,2511
-408,-347,3227,2504
-361,-426,3218,2492
-407,-486,3219,2483
-478,-548,3212,2469
-525,-590,3214,2462
-545,-579,3214,2449
-537,-512,3218,2441
-504,-423,3207,2428
-448,-329,3202,2420
-391,-229,3196,2407
-333,-121,3195,2399
-291,-39,3179,2386
-265,-3,3167,2378
-247,0,3155,2365
-223,-1,3149,2357
-187,-2,3129,2344
-157,-16,3110,2335
-151,-55,3089,2322
-181,-119,3076,2316
-226,-188,3053,2308
-258,-244,3033,2305
-242,-268,3009,2293
-175,-252,2995,2283
-91,-195,2975,2270
-42,-128,2960,2262
-47,-93,2941,2249
-84,-125,2933,2241
-124,-211,2920,2227
-165,-312,2905,2220
-207,-384,2880,2209
-243,-425,2863,2208
-266,-461,2846,2201
-295,-526,2831,2199
-346,-619,2809,2185
-412,-712,2800,2178
-462,-776,2790,2167
-484,-813,2775,2168
-489,-838,2740,2164
-494,-869,2714,2170
-501,-911,2695,2174
-505,-958,2673,2200
-495,-993,2628,2237
-470,-997,2593,2305
-435,-968,2570,2391
-398,-921,2547,2517
-354,-867,2499,2665
-297,-806,2460,2844
-231,-736,2438,3028
-172,-672,2417,3227
-119,-622,2370,3419
-60,-575,2329,3613
13,-507,2305,3793
79,-424,2287,3975
112,-358,2239,4147
112,-336,2190,4325
98,-336,2155,4487
86,-317,2132,4646
73,-264,2094,4790
55,-209,2062,4938
37,-180,2048,5072
31,-167,2040,5198
36,-145,2009,5301
37,-120,1975,5398
26,-109,1952,5479
11,-112,1939,5556
6,-109,1903,5610
11,-92,1852,5654
18,-65,1801,5677
24,-32,1768,5692
39,12,1729,5684
74,63,1682,5669
131,108,1630,5638
200,144,1598,5602
261,196,1570,5545
300,280,1542,5484
318,373,1496,5412
327,418,1464,5347
325,388,1452,5271
306,322,1471,5197
288,292,1485,5108
311,332,1496,5024
390,418,1516,4930
486,500,1594,4845
538,542,1686,4751
523,537,1754,4665
470,504,1805,4571
420,470,1935,4487
394,450,2123,4393
381,434,2282,4307
364,406,2376,4213
331,357,2538,4131
288,291,2788,4042
240,215,3014,3961
181,135,3136,3867
102,56,3299,3783
14,-14,3574,3693
-50,-70,3850,3614
-74,-114,4001,3527
-82,-152,4149,3451
-107,-184,4396,3373
-156,-211,4663,3310
-205,-236,4810,3243
-236,-268,4926,3184
-254,-307,5117,3116
-276,-345,5346,3061
-308,-369,5480,3004
-341,-382,5566,2960
-372,-401,5689,2912
-410,-436,5847,2874
-457,-474,5938,2832
-501,-487,5988,2802
-526,-480,6052,2766
-533,-482,6150,2739
-547,-519,6210,2706
-581,-576,6243,2684
-627,-613,6265,2662
-657,-613,6307,2653
-662,-603,6328,2640
-655,-611,6338,2633
-663,-636,6331,2617
-683,-640,6338,2611
-680,-598,6335,2604
-617,-521,6335,2607
-509,-448,6314,2605
-412,-403,6298,2607
-359,-377,6268,2604
-326,-341,6252,2613
-271,-277,6221,2619
-186,-195,6192,2630
-98,-114,6150,2632
-26,-43,6130,2638
31,27,6099,2641
79,110,6055,2654
128,202,5981,2662
186,280,5930,2675
264,326,5884,2682
354,341,5826,2697
436,354,5727,2705
489,384,5655,2715
516,424,5604,2717
527,446,5546,2727
539,447,5436,2735
551,443,5348,2747
558,453,5294,2750
552,458,5239,2758
530,438,5125,2765
487,392,5030,2779
431,343,4976,2783
377,303,4927,2789
338,266,4814,2790
311,220,4715,2799
279,170,4661,2803
230,123,4613,2811
180,81,4481,2811
142,32,4327,2816
107,-27,4207,2815
45,-87,4131,2820
-42,-141,4032,2818
-108,-185,3942,2819
-140,-220,3886,2814
-166,-241,3865,2816
-214,-251,3817,2811
-242,-244,3765,2809
-241,-243,3726,2800
-247,-261,3713,2797
-284,-289,3682,2789
-306,-296,3647,2787
-303,-306,3611,2779
-323,-332,3597,2776
-361,-345,3574,2769
-364,-320,3556,2765
-370,-352,3535,2753
-497,-550,3530,2744
-686,-823,3516,2729
-679,-914,3505,2723
-357,-730,3484,2714
100,-472,3476,2712
547,-315,3464,2705
1179,-39,3458,2702
2227,771,3444,2690
3439,2057,3440,2682
4125,3055,3433,2668
3822,3055,3432,2661
2792,2336,3419,2648
1757,1926,3414,2640
1172,2326,3407,2626
894,2903,3406,2618
535,2799,3393,2605
-24,2014,3388,2598
-565,1211,3381,2585
-855,785,3380,2575
-861,597,3366,2557
-684,438,3362,2542
-444,319,3356,2524
-233,284,3353,2512
-95,279,3333,2499
-19,246,3322,2491
32,208,3311,2479
64,200,3304,2470
75,221,3281,2456
89,254,3268,2449
120,283,3259,2437
156,307,3253,2428
161,320,3226,2410
139,316,3206,2397
108,276,3191,2382
93,218,3180,2375
91,172,3147,2363
89,149,3116,2355
74,125,3092,2341
52,87,3078,2333
34,49,3045,2320
16,30,3013,2314
-1,25,2986,2306
-20,10,2970,2305
-40,-33,2942,2298
-71,-97,2919,2292
-115,-159,2898,2279
-171,-210,2887,2270
-231,-256,2862,2257
-289,-305,2834,2251
-345,-352,2804,2241
-394,-393,2785,2239
-438,-436,2759,2232
-481,-496,2733,2234
-528,-573,2699,2231
-574,-647,2677,2235
-611,-701,2654,2231
-638,-732,2634,2234
-660,-749,2607,2231
-674,-747,2591,2234
-669,-735,2574,2230
-637,-724,2553,2237
-592,-723,2518,2245
-560,-722,2493,2269
-551,-709,2473,2298
-543,-686,2449,2352
-517,-664,2405,2420
-476,-640,2371,2522
-438,-607,2347,2642
-411,-567,2323,2797
-385,-530,2276,2968
-344,-490,2237,3158
-277,-426,2214,3340
-183,-318,2195,3526
-77,-176,2153,3701
24,-30,2119,3877
117,107,2100,4040
214,237,2087,4208
310,360,2054,4367
383,456,2028,4530
425,510,2018,4674
455,526,2007,4814
491,526,1964,4939
515,518,1917,5065
503,500,1885,5174
456,473,1861,5277
415,449,1815,5358
404,433,1769,5433
409,414,1739,5486
395,384,1723,5531
364,360,1685,5554
347,359,1635,5570
353,374,1590,5569
350,368,1566,5565
315,322,1534,5541
271,259,1490,5512
246,217,1440,5462
227,204,1418,5410
191,198,1406,5341
147,182,1393,5275
123,160,1361,5196
119,143,1351,5120
109,123,1367,5032
75,92,1410,4952
23,50,1437,4862
-27,12,1466,4779
-58,-10,1518,4685
-63,-18,1629,4597
-61,-33,1749,4505
-80,-67,1850,4425
-127,-96,1941,4336
-172,-92,2101,4253
-190,-73,2300,4159
-191,-80,2468,4076
-199,-119,2585,3987
-221,-134,2762,3909
-247,-96,3010,3821
-271,-46,3232,3739
-296,-46,3362,3652
-319,-88,3527,3580
-325,-114,3781,3505
-308,-91,4030,3441
-288,-43,4167,3368
-292,-6,4301,3304
-315,10,4517,3238
-318,18,4749,3186
-286,26,4874,3129
-241,35,4968,3081
-218,56,5119,3025
-211,107,5298,2980
-189,188,5393,2933
-130,276,5447,2901
-49,342,5534,2866
24,374,5655,2838
68,367,5721,2803
80,318,5749,2778
69,240,5781,2752
58,174,5840,2739
75,159,5866,2720
131,198,5869,2708
209,258,5865,2691
278,316,5886,2683
327,372,5893,2673
370,434,5891,2673
412,495,5870,2670
434,528,5866,2674
421,512,5859,2671
388,453,5853,2674
355,385,5822,2670
325,339,5795,2673
290,314,5762,2670
258,284,5741,2675
247,239,5701,2676
250,194,5663,2683
244,169,5618,2683
215,159,5592,2691
173,136,5550,2695
129,83,5498,2705
91,15,5427,2710
59,-34,5379,2721
30,-55,5328,2727
5,-65,5265,2738
-10,-78,5170,2741
-10,-88,5102,2751
-2,-86,5048,2759
-1,-74,4984,2770
-10,-66,4878,2773
-20,-60,4794,2782
-31,-52,4736,2789
-53,-46,4678,2803
-92,-51,4574,2806
-128,-57,4488,2812
-144,-49,4436,2814
-144,-22,4392,2823
-147,10,4297,2826
-153,36,4212,2834
-152,57,4161,2835
-144,79,4127,2838
-142,107,4047,2836
-150,141,3976,2843
-161,170,3936,2846
-152,192,3910,2850
-119,216,3828,2841
-57,269,3729,2838
-8,329,3649,2835
16,382,3605,2839
30,428,3546,2832
73,488,3495,2829
135,531,3463,2824
177,514,3457,2827
184,436,3434,2823
182,360,3412,2820
210,340,3393,2811
243,330,3393,2808
231,232,3378,2801
201,71,3362,2799
309,51,3342,2791
664,293,3338,2786
1169,588,3325,2773
1686,707,3318,2765
2340,914,3304,2751
3367,1737,3302,2744
4575,3081,3295,2730
5256,4028,3297,2722
4886,3850,3293,2709
3719,2933,3297,2702
2485,2275,3293,2688
1599,2263,3293,2680
923,2349,3281,2667
209,1901,3277,2661
-494,1007,3270,2647
-939,262,3271,2635
-1009,-1,3266,2617
-833,11,3271,2606
-603,-22,3269,2593
-407,-122,3265,2586
-247,-150,3247,2573
-144,-125,3237,2564
-134,-175,3225,2551
-191,-279,3219,2544
-243,-305,3203,2531
-254,-236,3198,2523
-254,-184,3193,2509
-261,-187,3190,2501
-281,-192,3170,2489
-305,-163,3158,2481
-352,-148,3148,2467
-399,-164,3141,2458
-426,-191,3114,2447
-424,-203,3094,2443
-418,-196,3078,2435
-427,-169,3067,2429
-455,-138,3038,2416
-486,-118,3015,2406
-489,-111,2998,2394
-450,-103,2988,2390
-396,-86,2961,2382
-360,-57,2938,2381
-341,-15,2919,2372
-305,47,2908,2366
-244,127,2884,2353
-185,204,2867,2347
-148,248,2854,2338
-108,249,2850,2338
-44,228,2830,2330
23,212,2810,2325
57,194,2789,2310
66,147,2777,2304
79,66,2754,2295
105,-9,2732,2295
131,-45,2710,2285
160,-44,2697,2282
213,-26,2676,2275
300,11,2655,2282
400,75,2631,2288
483,146,2618,2313
528,180,2598,2344
541,156,2574,2405
546,98,2540,2482
559,53,2518,2597
578,39,2496,2732
589,38,2470,2898
583,27,2427,3069
572,12,2394,3257
576,13,2369,3441
601,32,2346,3632
622,47,2305,3813
610,41,2276,3999
570,29,2257,4172
539,38,2240,4348
529,74,2202,4510
513,117,2170,4675
471,148,2151,4829
430,173,2137,4984
417,207,2105,5118
416,248,2081,5248
389,277,2067,5358
336,286,2057,5465
282,284,2029,5552
245,288,2012,5634
215,286,2009,5693
183,262,2002,5747
144,223,1953,5780
100,201,1886,5808
53,204,1827,5814
13,207,1790,5810
-17,184,1742,5783
-35,149,1691,5753
-43,140,1647,5708
-32,170,1633,5664
-5,226,1618,5602
26,292,1593,5539
51,364,1558,5463
79,427,1555,5391
106,454,1569,5308
123,440,1578,5231
127,410,1561,5142
145,404,1570,5062
202,425,1617,4973
285,443,1689,4894
346,436,1737,4804
360,418,1790,4720
344,410,1878,4625
340,405,2014,4539
357,380,2141,4447
373,331,2252,4366
367,284,2367,4277
356,263,2542,4198
363,267,2734,4110
385,286,2897,4030
408,320,3025,3941
429,376,3203,3861
450,440,3423,3776
462,480,3616,3704
455,469,3738,3628
431,415,3889,3559
393,342,4100,3480
338,267,4303,3411
275,195,4419,3341
232,141,4531,3286
217,110,4698,3226
203,93,4875,3176
164,76,4967,3122
114,55,5036,3080
75,29,5144,3033
53,4,5275,2995
32,-19,5341,2951
18,-32,5373,2917
4,-46,5421,2881
1,-56,5494,2854
-12,-73,5525,2820
-28,-84,5532,2795
-28,-78,5543,2769
6,-41,5584,2757
33,-5,5603,2744
14,16,5603,2740
-16,32,5588,2731
0,45,5592,2730
22,-19,5586,2725
-31,-195,5574,2728
-93,-350,5543,2726
42,-278,5529,2729
452,9,5516,2724
984,277,5504,2729
1516,409,5465,2734
2193,690,5434,2749
3204,1520,5404,2756
4331,2781,5385,2769
4931,3704,5339,2777
4541,3656,5293,2792
3421,2982,5244,2797
2315,2659,5212,2806
1666,3024,5162,2809
1275,3364,5105,2820
769,2959,5037,2829
163,2055,4989,2844
-233,1409,4935,2851
-273,1257,4876,2859
-103,1240,4800,2860
103,1094,4749,2872
290,916,4700,2886
445,826,4643,2906
530,778,4556,2915
540,703,4489,2924
514,627,4438,2927
492,583,4389,2935
481,557,4306,2934
478,531,4241,2937
462,501,4196,2936
423,469,4157,2944
364,430,4080,2946
320,393,4016,2949
289,354,3976,2944
251,319,3947,2947
193,290,3880,2946
131,263,3819,2948
71,210,3781,2939
0,129,3760,2935
-88,36,3708,2928
-174,-49,3662,2927
-233,-122,3635,2917
-268,-183,3622,2910
-294,-237,3572,2898
-314,-279,3513,2894
-328,-306,3464,2884
-348,-325,3441,2880
-387,-357,3407,2868
-429,-412,3381,2858
-451,-470,3364,2840
-447,-496,3365,2828
-435,-495,3348,2812
-431,-503,3331,2805
-430,-544,3313,2788
-416,-592,3310,2776
-386,-612,3297,2758
-346,-606,3288,2751
-309,-598,3276,2737
-273,-592,3276,2731
-240,-579,3267,2722
-206,-560,3262,2733
-173,-551,3251,2748
-135,-553,3249,2783
-88,-545,3241,2822
-37,-509,3237,2890
7,-458,3225,2975
51,-411,3222,3091
114,-377,3214,3212
211,-336,3211,3353
313,-272,3199,3497
375,-190,3196,3661
391,-115,3189,3820
409,-59,3186,3987
460,-13,3174,4143
524,42,3170,4306
572,115,3163,4458
610,197,3158,4616
665,279,3139,4759
736,357,3128,4900
804,434,3117,5019
863,510,3108,5135
919,577,3086,5235
964,630,3074,5335
985,677,3065,5416
987,732,3057,5493
982,807,3030,5549
969,885,3009,5602
948,931,2993,5635
925,917,2982,5663
908,857,2952,5670
888,792,2930,5670
852,742,2914,5647
800,686,2904,5621
746,607,2875,5578
696,523,2852,5535
645,469,2835,5473
582,447,2825,5412
507,420,2799,5339
429,358,2782,5274
352,263,2772,5198
275,162,2768,5126
190,73,2744,5042
100,-5,2722,4967
12,-83,2706,4884
-65,-165,2696,4807
-132,-234,2666,4719
-184,-273,2636,4640
-224,-287,2610,4556
-255,-300,2594,4482
-286,-328,2562,4394
-318,-357,2527,4312
-353,-372,2492,4222
