I,aVL,ABP,RESP
1765,1831,5532,2139
1847,1885,5795,2187
1868,1924,5996,2236
1825,1939,6128,2275
1799,1955,6228,2332
1832,1976,6283,2402
1868,1986,6327,2477
1854,1969,6354,2536
1834,1955,6393,2606
1851,1956,6429,2688
1868,1955,6493,2783
1827,1935,6576,2862
1765,1924,6692,2944
1734,1928,6796,3032
1730,1924,6890,3137
1720,1897,6954,3227
1730,1893,7023,3314
1761,1917,7077,3400
1765,1924,7122,3507
1708,1867,7127,3608
1661,1800,7122,3700
1668,1769,7101,3773
1695,1769,7089,3860
1681,1751,7055,3947
1661,1738,7023,4021
1682,1756,6972,4053
1730,1800,6923,4070
1744,1815,6845,4081
1730,1800,6758,4102
1720,1776,6651,4103
1730,1769,6559,4102
1730,1765,6457,4095
1730,1769,6360,4102
1750,1778,6241,4100
1799,1800,6128,4102
1825,1807,6005,4097
1799,1800,5897,4102
1745,1795,5776,4099
1730,1831,5665,4102
1745,1887,5542,4097
1730,1924,5433,4102
1656,1920,5311,4098
1592,1924,5201,4102
1571,1945,5086,4097
1557,1955,5002,4102
1519,1930,4925,4098
1522,1924,4870,4102
1583,1956,4809,4097
1626,1986,4770,4102
1591,1961,4732,4097
1557,1924,4704,4102
1585,1923,4652,4097
1626,1955,4605,4102
1610,1964,4558,4097
1592,1955,4538,4102
1612,1947,4508,4097
1626,1955,4472,4102
1582,1953,4415,4097
1557,1955,4373,4102
1592,1956,4334,4097
1626,1955,4306,4102
1587,1933,4258,4097
1557,1924,4207,4102
1597,1932,4148,4097
1661,1955,4108,4102
1662,1965,4068,4097
1661,1986,4041,4102
1716,2005,4006,4097
1799,2017,3975,4102
1843,2016,3935,4097
1903,2048,3909,4102
2034,2108,3885,4097
2214,2172,3876,4102
2370,2237,3857,4097
2526,2389,3843,4102
2723,2668,3821,4097
2941,3010,3810,4102
3109,3292,3790,4097
3253,3506,3776,4102
3464,3738,3755,4097
3806,4065,3743,4102
4214,4427,3724,4097
4567,4717,3710,4102
4770,4871,3687,4097
4810,4934,3677,4102
4714,4929,3661,4097
4533,4841,3644,4102
4308,4646,3607,4097
4083,4406,3578,4102
3850,4183,3553,4097
3564,3972,3545,4102
3188,3699,3526,4097
2768,3351,3511,4102
2387,2987,3490,4097
2111,2700,3478,4102
1947,2528,3458,4097
1868,2451,3445,4102
1795,2376,3435,4097
1661,2234,3445,4102
1471,2033,3449,4098
1315,1862,3445,4102
1212,1747,3422,4097
1107,1645,3412,4102
956,1501,3408,4098
830,1365,3412,4102
776,1280,3396,4097
761,1241,3379,4102
721,1194,3357,4098
692,1148,3346,4102
694,1112,3325,4097
692,1086,3313,4102
648,1047,3305,4100
623,1024,3313,4102
643,1023,3312,4095
657,1024,3313,4102
618,996,3306,4104
588,962,3313,4102
610,935,3313,4076
623,900,3313,4053
560,835,3295,4028
484,776,3280,4005
469,750,3259,3964
484,745,3246,3925
450,712,3226,3883
381,652,3213,3844
333,592,3195,3787
311,559,3180,3732
267,531,3156,3677
208,496,3147,3635
171,457,3142,3580
173,434,3147,3523
170,413,3141,3455
138,372,3147,3394
90,318,3157,3326
69,310,3180,3265
99,370,3183,3199
173,465,3180,3137
252,538,3160,3063
311,590,3147,2992
352,642,3124,2914
415,714,3114,2847
530,805,3103,2779
692,931,3114,2718
841,1068,3130,2652
934,1179,3180,2590
998,1258,3254,2522
1107,1365,3379,2461
1263,1515,3544,2400
1384,1645,3776,2348
1415,1702,4053,2292
1419,1738,4373,2236
1468,1807,4689,2173
1557,1893,5002,2123
1626,1939,5281,2074
1661,1955,5532,2027
1672,1969,5714,1967
1661,1986,5830,1914
1630,1994,5874,1869
1626,2017,5897,1834
1662,2058,5907,1791
1695,2079,5930,1753
1685,2042,5949,1717
1661,1986,5996,1689
1648,1956,6063,1655
1626,1955,6162,1625
1579,1942,6258,1596
1557,1924,6360,1576
1587,1925,6446,1556
1626,1955,6526,1544
1617,1980,6578,1533
1592,1986,6625,1528
1597,1971,6650,1517
1626,1955,6658,1512
1624,1929,6627,1508
1592,1893,6592,1512
1562,1841,6552,1514
1557,1800,6526,1528
1556,1783,6478,1544
1557,1800,6427,1560
1556,1812,6357,1565
1557,1800,6294,1576
1553,1760,6212,1595
1557,1738,6128,1625
1570,1743,6025,1644
1592,1769,5930,1657
1607,1785,5826,1666
1626,1800,5731,1689
1645,1814,5616,1713
1661,1831,5499,1737
1652,1832,5361,1751
1626,1831,5234,1769
1589,1835,5106,1790
1557,1862,5002,1818
1521,1892,4895,1840
1488,1924,4803,1866
1469,1950,4708,1889
1488,1986,4638,1914
1517,2012,4576,1931
1522,2017,4538,1946
1496,1996,4497,1959
1488,1986,4472,1978
1517,1995,4447,1994
1557,2017,4439,2011
1574,2030,4412,2019
1592,2048,4373,2027
1616,2066,4302,2031
1626,2079,4240,2043
1603,2074,4181,2051
1592,2079,4141,2059
1609,2088,4088,2057
1626,2079,4041,2059
1606,2036,3995,2059
1592,2017,3975,2059
1607,2039,3957,2050
1626,2079,3942,2043
1595,2083,3906,2035
1557,2079,3876,2027
1553,2078,3849,2009
1592,2079,3843,1995
1623,2064,3827,1979
1661,2079,3810,1962
1716,2109,3782,1936
1799,2110,3776,1914
1890,2066,3774,1896
2007,2079,3776,1882
2141,2182,3757,1857
2284,2327,3743,1834
2444,2484,3733,1814
2664,2731,3743,1802
2893,3053,3744,1779
3045,3320,3743,1753
3132,3469,3726,1721
3322,3662,3710,1689
3694,4005,3687,1653
4118,4375,3677,1625
4395,4574,3660,1600
4498,4624,3644,1576
4500,4645,3617,1544
4429,4655,3611,1512
4257,4556,3611,1479
4014,4344,3611,1448
3754,4091,3589,1411
3495,3848,3578,1383
3209,3601,3575,1360
2906,3351,3578,1335
2594,3084,3558,1295
2284,2793,3545,1255
2015,2517,3540,1220
1868,2358,3545,1190
1824,2314,3527,1150
1765,2265,3511,1110
1597,2107,3503,1075
1384,1893,3511,1046
1216,1712,3500,1007
1107,1583,3478,965
990,1443,3450,922
865,1303,3445,885
770,1200,3443,844
727,1148,3445,804
672,1083,3438,763
588,993,3445,724
523,921,3448,682
554,931,3445,643
634,974,3422,609
657,962,3412,579
583,874,3410,547
519,807,3412,515
537,812,3392,482
588,838,3379,450
586,805,3374,417
554,745,3379,386
545,715,3362,354
554,714,3346,322
539,691,3336,288
519,652,3346,257
511,620,3345,231
484,590,3346,209
421,531,3341,185
381,465,3346,161
387,423,3341,136
381,403,3346,113
300,365,3346,88
208,310,3346,64
180,272,3325,44
208,279,3313,32
209,304,3304,24
173,310,3313,16
137,288,3309,7
138,279,3313,0
172,308,3308,-2
242,372,3313,0
342,444,3306,1
450,528,3313,0
538,626,3320,-1
623,745,3346,0
727,875,3367,0
865,1024,3412,0
1020,1175,3473,0
1176,1303,3578,0
1312,1396,3711,0
1419,1489,3909,0
1492,1600,4159,0
1557,1707,4472,0
1634,1786,4800,0
1730,1862,5135,0
1816,1946,5432,0
1868,2017,5698,0
1886,2053,5902,0
1903,2079,6062,0
1925,2105,6160,-1
1938,2110,6228,0
1933,2084,6261,4
1938,2079,6294,16
1959,2113,6318,37
1972,2141,6360,64
1946,2116,6410,90
1903,2079,6493,113
1873,2070,6585,134
1868,2079,6692,161
1867,2064,6777,192
1868,2048,6857,225
1869,2048,6921,252
1868,2048,6990,273
1850,2016,7033,294
1834,1986,7056,322
1836,1981,7039,353
1868,1986,7023,386
1896,1959,7001,417
1903,1924,6990,450
1883,1911,6949,483
1868,1924,6890,515
1864,1927,6802,544
1868,1924,6725,579
1865,1920,6639,618
1868,1924,6559,659
1879,1920,6457,693
1903,1924,6360,724
1930,1935,6255,754
1972,1955,6162,788
2014,1959,6047,821
2041,1955,5930,853
2040,1948,5800,882
2041,1955,5698,917
2057,1973,5596,951
2076,2017,5499,981
2067,2077,5376,1004
2041,2141,5267,1029
2008,2165,5168,1055
1972,2141,5101,1078
1927,2092,5028,1092
1903,2079,4969,1110
1910,2107,4916,1133
1938,2141,4903,1158
1947,2128,4889,1175
1938,2079,4870,1190
1916,2029,4817,1206
1903,2017,4770,1222
1904,2037,4718,1230
1938,2079,4671,1239
1970,2099,4599,1252
1972,2079,4538,1271
1942,2032,4481,1281
1938,2017,4439,1287
1950,2033,4381,1291
1938,2048,4340,1303
1891,2026,4312,1312
1903,2017,4306,1319
1983,2032,4278,1323
2041,2048,4240,1335
1978,2009,4194,1350
1868,1955,4174,1367
1819,1937,4155,1375
1868,1986,4141,1383
1947,2033,4115,1395
2041,2048,4108,1415
2153,2044,4103,1433
2284,2079,4108,1448
2399,2136,4091,1459
2526,2203,4075,1480
2702,2317,4051,1504
2941,2576,4041,1528
3183,2946,4024,1543
3391,3289,4008,1560
3565,3513,3976,1576
3772,3724,3942,1592
4060,4042,3889,1604
4429,4437,3843,1625
4789,4746,3798,1649
5052,4903,3776,1673
5176,4963,3756,1681
5190,4996,3743,1689
5104,4971,3720,1702
4913,4841,3710,1721
4631,4599,3704,1732
4325,4313,3710,1737
4035,4041,3707,1737
3737,3786,3710,1737
3374,3488,3707,1734
2976,3134,3710,1737
2632,2792,3705,1741
2422,2576,3710,1737
2311,2485,3710,1720
2214,2420,3710,1705
2071,2279,3691,1693
1903,2079,3677,1673
1731,1879,3658,1633
1557,1707,3644,1592
1369,1532,3619,1556
1211,1365,3611,1512
1102,1229,3609,1448
1038,1148,3611,1383
980,1095,3591,1329
934,1055,3578,1271
887,997,3571,1182
830,931,3578,1078
769,875,3563,982
761,869,3545,901
794,885,3530,807
796,869,3545,692
736,801,3552,570
692,745,3545,466
699,728,3517,369
692,714,3511,257
619,656,3515,136
554,590,3511,48
552,551,3474,15
554,528,3445,16
480,474,3436,12
381,403,3445,0
332,347,3430,-6
311,310,3412,0
243,266,3401,3
138,217,3412,0
47,162,3411,-3
-35,93,3412,0
-149,6,3406,1
-277,-62,3412,0
-370,-100,3407,-1
-415,-124,3412,0
-449,-154,3410,0
-484,-155,3412,0
-515,-116,3401,0
-519,-62,3412,0
-481,-23,3426,0
-381,31,3445,0
-241,126,3438,0
-104,248,3445,0
2,356,3465,0
104,465,3511,0
232,605,3549,0
381,776,3611,0
513,923,3708,0
623,1024,3876,0
739,1111,4083,0
900,1241,4340,0
1103,1414,4628,0
1315,1583,4969,0
1495,1706,5311,0
1626,1800,5632,0
1703,1877,5884,0
1730,1924,6095,0
1729,1929,6250,0
1730,1924,6360,0
1729,1928,6403,0
1695,1924,6427,0
1623,1892,6445,0
1557,1862,6493,0
1520,1857,6545,0
1488,1862,6625,0
1442,1846,6715,0
1419,1831,6824,0
1424,1830,6921,0
1419,1831,7023,0
1386,1811,7101,0
1384,1800,7155,0
1427,1813,7159,0
1453,1831,7155,0
1424,1819,7148,0
1419,1800,7155,0
1475,1795,7141,0
1522,1800,7122,0
1482,1777,7077,0
1419,1738,7023,0
1413,1705,6937,0
1453,1707,6857,0
1472,1731,6770,0
1488,1769,6692,0
1526,1794,6590,-1
1557,1800,6493,0
1539,1780,6378,0
1522,1769,6261,0
1562,1786,6119,-2
1626,1831,5996,0
1625,1842,5875,1
1557,1800,5764,0
1501,1745,5626,-4
1522,1769,5499,0
1578,1866,5375,4
1592,1955,5267,0
1531,1967,5141,-10
1453,1955,5035,0
1413,1975,4950,13
1419,2017,4903,0
1425,2017,4849,-31
1419,1986,4803,0
1408,1967,4748,131
1419,1986,4704,322
1449,2008,4647,494
1488,2017,4605,643
1494,2005,4554,800
1453,1986,4505,981
1403,1970,4433,1155
1419,1986,4373,1319
1475,2012,4315,1486
1488,2017,4273,1673
1433,1989,4218,1853
1419,1986,4174,2011
1477,2009,4132,2149
1522,2017,4108,2300
1481,1977,4071,2454
1453,1955,4041,2590
1499,1978,4004,2698
1557,2017,3975,2815
1538,2015,3936,2944
1522,2017,3909,3056
1577,2045,3885,3124
1661,2079,3876,3185
1709,2075,3857,3260
1799,2079,3843,3330
1980,2116,3821,3360
2180,2172,3810,3378
2304,2228,3790,3405
2422,2358,3776,3426
2615,2606,3755,3409
2837,2917,3743,3378
2979,3168,3723,3354
3079,3351,3710,3330
3269,3553,3690,3273
3599,3848,3677,3201
3957,4159,3656,3132
4221,4375,3644,3072
4363,4487,3624,2995
4429,4592,3611,2911
4407,4688,3590,2828
4256,4655,3578,2751
3995,4442,3559,2662
3737,4189,3545,2574
3526,4001,3522,2484
3287,3817,3511,2397
2952,3539,3495,2294
2595,3227,3478,2188
2312,2953,3452,2079
2111,2700,3445,1978
1945,2472,3445,1869
1834,2389,3445,1753
1775,2442,3423,1633
1695,2420,3412,1528
1522,2173,3409,1430
1315,1862,3412,1335
1151,1683,3392,1232
1038,1614,3379,1142
925,1501,3374,1065
830,1365,3379,997
769,1291,3363,921
727,1272,3346,853
667,1208,3326,792
623,1117,3313,740
604,1062,3288,685
588,1055,3280,643
545,1032,3278,615
519,993,3280,595
533,965,3259,567
554,962,3246,547
537,952,3243,540
519,931,3246,547
534,902,3228,551
554,869,3213,563
520,821,3207,583
450,776,3213,611
394,738,3199,633
381,714,3180,659
382,694,3159,689
381,683,3147,724
369,663,3125,753
346,621,3114,788
310,553,3107,828
277,496,3114,869
245,470,3111,899
208,465,3114,933
162,452,3112,976
138,434,3114,1029
148,433,3095,1077
173,465,3081,1126
188,503,3070,1179
208,528,3081,1239
247,543,3082,1294
311,590,3081,1351
388,674,3069,1407
484,776,3081,1464
601,867,3094,1512
727,962,3114,1560
836,1067,3118,1607
934,1179,3147,1657
1031,1283,3205,1697
1142,1396,3313,1737
1261,1522,3440,1775
1384,1645,3611,1818
1490,1734,3824,1857
1557,1800,4108,1898
1570,1851,4419,1937
1557,1893,4737,1978
1565,1920,5015,2013
1626,1955,5267,2043
1701,1994,5471,2065
1730,2017,5632,2091
1708,2013,5717,2115
1695,2017,5764,2139
1716,2037,5787,2154
1730,2048,5830,2171
1698,2020,5874,2186
1661,1986,5930,2204
1654,1977,5982,2212
1661,1986,6062,2220
1643,1975,6154,2224
1626,1955,6261,2236
1636,1946,6347,2243
1661,1955,6427,2252
1664,1958,6481,2256
1661,1955,6526,2268
1663,1942,6543,2276
1661,1924,6559,2284
1637,1900,6560,2281
1626,1893,6559,2284
1642,1895,6529,2288
1661,1893,6493,2300
1645,1870,6440,2302
1626,1862,6393,2300
1634,1884,6327,2294
1661,1924,6261,2300
1667,1927,6177,2307
1661,1893,6095,2316
1655,1855,5994,2314
1661,1862,5897,2316
1669,1887,5780,2319
1695,1893,5665,2332
1725,1867,5537,2339
1730,1862,5433,2348
1693,1891,5330,2352
1661,1924,5234,2365
1657,1915,5114,2376
1661,1893,5002,2397
1623,1892,4892,2412
1557,1924,4803,2429
1502,1947,4709,2440
1488,1955,4638,2461
1498,1951,4585,2482
1522,1955,4571,2509
1543,1964,4555,2530
1557,1986,4538,2558
1557,2007,4499,2581
1557,2017,4472,2606
1556,2001,4438,2619
1557,1986,4406,2638
1553,1981,4352,2659
1557,1986,4306,2686
1560,1975,4254,2702
1557,1955,4207,2718
1537,1932,4147,2730
1522,1924,4108,2751
1517,1918,4082,2765
1522,1924,4075,2783
1509,1924,4045,2791
1488,1924,4008,2799
1471,1916,3964,2801
1488,1924,3942,2815
1510,1929,3920,2830
1522,1924,3909,2847
1521,1906,3888,2848
1557,1924,3876,2847
1633,1954,3855,2843
1730,1955,3843,2847
1821,1924,3822,2846
1938,1955,3810,2847
2077,2066,3788,2839
2214,2203,3776,2831
2346,2344,3757,2813
2526,2576,3743,2799
2735,2890,3720,2781
2906,3165,3710,2767
3044,3343,3693,2743
3287,3568,3677,2718
3681,3926,3650,2685
4083,4282,3644,2654
4327,4458,3644,2618
4429,4499,3644,2590
4468,4544,3621,2558
4429,4592,3611,2525
4249,4514,3608,2481
3979,4282,3611,2445
3711,3987,3590,2411
3460,3724,3578,2381
3170,3491,3574,2338
2837,3258,3578,2300
2496,2982,3558,2265
2180,2669,3545,2236
1918,2385,3540,2195
1765,2234,3545,2155
1709,2204,3526,2118
1661,2172,3511,2091
1523,2025,3506,2059
1315,1800,3511,2027
1112,1584,3495,1991
969,1427,3478,1962
858,1295,3469,1930
761,1179,3478,1898
676,1084,3468,1862
623,1024,3445,1834
576,967,3415,1807
519,900,3412,1785
449,824,3413,1759
415,776,3412,1737
425,753,3390,1712
450,745,3379,1689
442,729,3374,1661
415,714,3379,1641
391,690,3363,1623
381,652,3346,1609
375,606,3334,1588
381,590,3346,1576
389,598,3350,1567
381,590,3346,1560
344,532,3324,1543
311,465,3313,1528
298,418,3306,1517
277,372,3313,1512
215,296,3311,1501
138,217,3313,1496
87,171,3308,1494
69,155,3313,1496
47,130,3310,1488
0,93,3313,1480
-61,56,3307,1475
-104,31,3313,1480
-118,16,3309,1480
-104,31,3313,1480
-85,65,3306,1477
-69,93,3313,1480
-60,99,3310,1479
-35,124,3313,1480
27,198,3304,1477
138,310,3313,1480
276,419,3322,1485
415,528,3346,1496
547,654,3363,1504
692,807,3412,1512
850,956,3487,1517
1003,1086,3611,1528
1132,1205,3762,1536
1246,1334,3975,1544
1345,1458,4241,1547
1419,1552,4571,1560
1466,1612,4916,1577
1522,1676,5267,1592
1598,1746,5582,1597
1661,1800,5863,1609
1675,1827,6074,1624
1661,1862,6228,1641
1653,1908,6310,1646
1661,1924,6360,1657
1672,1888,6374,1676
1695,1862,6393,1705
1724,1886,6420,1723
1730,1924,6493,1737
1698,1911,6584,1749
1661,1862,6692,1769
1629,1819,6784,1784
1592,1800,6890,1802
1550,1789,6992,1820
1557,1800,7089,1850
1616,1825,7136,1876
1661,1831,7155,1898
1625,1787,7150,1910
1557,1738,7155,1930
1538,1722,7151,1953
1592,1738,7155,1978
1637,1733,7150,1992
1626,1707,7155,2011
1587,1688,7133,2032
1592,1707,7089,2059
1634,1731,7004,2074
1661,1738,6923,2091
1651,1728,6836,2110
1661,1738,6758,2139
1703,1751,6656,2162
1730,1738,6559,2188
1705,1700,6454,2209
1695,1707,6360,2236
1743,1762,6245,2257
1799,1800,6128,2284
1785,1769,5992,2312
1730,1738,5863,2348
1696,1757,5722,2374
1695,1800,5598,2397
1673,1803,5474,2413
1626,1800,5367,2445
1580,1825,5245,2478
1557,1862,5135,2509
1547,1864,5030,2528
1557,1862,4969,2558
1577,1879,4925,2594
1592,1893,4903,2638
1577,1871,4865,2667
1557,1862,4836,2702
1549,1891,4799,2739
1557,1924,4770,2783
1558,1903,4720,2812
1557,1862,4671,2847
1554,1846,4613,2884
1557,1862,4571,2927
1554,1864,4519,2957
1557,1862,4472,2992
1557,1860,4413,3028
1557,1862,4373,3072
1548,1843,4333,3103
1557,1831,4306,3137
1575,1837,4268,3167
1592,1862,4240,3201
1576,1857,4213,3222
1557,1831,4207,3249
1553,1816,4192,3278
1592,1862,4174,3314
1651,1916,4135,3335
1730,1924,4108,3362
1821,1884,4083,3389
1938,1893,4075,3426
2067,1971,4055,3450
2214,2079,4041,3474
2386,2209,4020,3493
2595,2451,4008,3523
2804,2803,3988,3546
2976,3134,3975,3571
3117,3351,3955,3584
3322,3568,3942,3603
3655,3907,3920,3616
4083,4313,3909,3635
4468,4618,3891,3647
4706,4779,3876,3667
4778,4860,3850,3681
4740,4903,3843,3700
4623,4853,3839,3710
4429,4686,3843,3732
4155,4423,3826,3747
3841,4127,3810,3764
3535,3837,3788,3767
3253,3568,3776,3780
2936,3281,3754,3793
2560,2948,3743,3812
2197,2623,3737,3816
1972,2420,3743,3828
1891,2341,3731,3840
1834,2265,3710,3860
1688,2089,3682,3867
1488,1862,3677,3877
1302,1668,3676,3880
1142,1520,3677,3893
972,1363,3657,3895
830,1210,3644,3909
752,1102,3636,3921
727,1055,3644,3941
684,1015,3632,3947
623,962,3611,3957
561,894,3582,3961
519,838,3578,3973
487,793,3578,3976
484,776,3578,3989
504,765,3556,4001
519,745,3545,4021
504,706,3540,4028
484,683,3545,4037
472,673,3529,4040
450,652,3511,4053
406,602,3499,4059
381,559,3511,4070
384,531,3517,4072
381,496,3511,4086
334,432,3487,4091
277,372,3478,4102
239,338,3476,4099
208,310,3478,4102
154,261,3460,4097
104,217,3445,4102
82,199,3435,4098
69,186,3445,4102
24,144,3444,4097
-35,93,3445,4102
-70,64,3438,4098
-69,62,3445,4102
-57,67,3443,4097
-35,93,3445,4102
5,146,3437,4098
69,217,3445,4102
148,286,3444,4097
242,372,3445,4102
343,486,3433,4097
450,621,3445,4102
560,746,3468,4097
692,869,3511,4102
846,1001,3545,4097
1003,1148,3611,4102
1126,1282,3721,4097
1211,1396,3909,4102
1295,1509,4137,4097
1419,1645,4406,4102
1550,1775,4696,4097
1626,1862,5035,4102
1638,1903,5379,4097
1661,1955,5698,4102
1730,2028,5938,4097
1799,2079,6128,4102
1812,2080,6263,4097
1799,2079,6360,4102
1799,2110,6400,4097
1799,2141,6427,4102
1766,2121,6448,4097
1730,2079,6493,4102
1722,2063,6541,4097
1730,2079,6625,4102
1723,2084,6722,4097
1730,2079,6824,4102
1766,2076,6890,4097
1799,2079,6957,4102
1779,2066,7021,4097
1730,2048,7089,4102
1697,2039,7116,4097
1695,2048,7122,4102
1705,2052,7104,4097
1730,2048,7089,4102
1757,2024,7053,4097
1765,1986,7023,4102
1742,1941,6976,4097
1730,1924,6923,4102
1734,1933,6837,4097
1730,1955,6758,4102
1709,1966,6673,4097
1730,1986,6592,4102
1803,2008,6477,4097
1868,2017,6360,4102
1863,1997,6237,4097
1834,1986,6128,4102
1839,1997,6006,4097
1868,2017,5897,4102
1854,2007,5779,4098
1799,1986,5665,4102
1757,1982,5525,4097
1765,2017,5400,4102
1781,2055,5277,4098
1765,2079,5168,4102
1708,2088,5041,4097
1661,2110,4936,4102
1645,2131,4851,4099
1661,2141,4803,4102
1680,2142,4748,4097
1695,2172,4704,4102
1688,2207,4660,4100
1661,2203,4638,4102
1635,2154,4604,4095
1661,2141,4571,4102
1715,2180,4519,4104
1730,2203,4472,4102
1672,2154,4415,4076
1626,2110,4373,4053
1654,2137,4321,4025
1730,2203,4273,3989
1758,2211,4214,3925
1730,2172,4174,3860
1682,2139,4136,3800
1661,2141,4108,3748
1663,2140,4066,3677
1695,2141,4041,3603
1724,2140,4021,3526
1730,2141,4008,3458
1711,2128,3973,3382
1730,2141,3942,3314
1794,2173,3916,3245
1868,2203,3909,3185
1910,2199,3891,3111
1972,2203,3876,3040
2098,2234,3853,2969
2284,2296,3843,2911
2465,2373,3824,2848
2630,2513,3810,2783
2795,2747,3788,2706
2976,3041,3776,2638
3129,3285,3757,2569
3253,3444,3743,2509
3412,3594,3721,2442
3702,3848,3710,2381
4088,4172,3693,2313
4429,4437,3677,2252
4606,4573,3651,2189
4637,4655,3644,2139
4564,4717,3641,2090
4394,4686,3644,2043
4126,4496,3626,1987
3841,4251,3611,1946
3605,4063,3591,1912
3391,3910,3578,1882
3112,3676,3553,1838
2768,3351,3545,1802
2431,3009,3542,1773
2180,2731,3545,1753
2032,2549,3516,1725
1972,2482,3478,1705
1930,2457,3445,1692
1834,2358,3445,1689
1653,2141,3448,1677
1453,1924,3445,1673
1290,1799,3422,1676
1176,1738,3412,1689
1079,1642,3409,1690
1003,1520,3412,1689
935,1421,3394,1690
865,1365,3379,1705
780,1305,3371,1719
727,1241,3379,1737
717,1193,3368,1751
727,1179,3346,1769
712,1168,3317,1783
692,1148,3313,1802
686,1115,3313,1815
692,1086,3313,1834
679,1054,3292,1851
657,1024,3280,1882
639,991,3273,1914
623,962,3280,1946
589,922,3269,1967
554,869,3246,1995
529,809,3208,2024
519,776,3180,2059
504,764,3156,2082
484,745,3147,2107
456,697,3140,2129
415,652,3147,2155
359,621,3147,2175
311,590,3147,2204
286,537,3137,2234
277,496,3147,2268
262,488,3161,2290
242,496,3180,2316
220,483,3177,2345
208,465,3180,2381
209,476,3177,2405
242,528,3180,2429
303,589,3170,2449
