III,V,ABP,RESP
3750,-1025,2696,4099
3586,-1016,2721,4095
3393,-977,2754,4099
3273,-925,2791,4095
3215,-879,2868,4099
3136,-850,2981,4095
3036,-830,3155,4099
2924,-784,3381,4095
2786,-684,3671,4099
2601,-551,3997,4095
2429,-439,4360,4099
2283,-356,4728,4095
2107,-244,5106,4099
1843,-76,5462,4095
1572,98,5794,4099
1399,218,6059,4095
1357,293,6253,4099
1361,365,6365,4095
1357,439,6425,4099
1326,496,6423,4095
1286,537,6368,4099
1230,585,6256,4095
1179,635,6138,4099
1144,668,6021,4095
1143,684,5909,4099
1137,703,5782,4095
1107,732,5679,4099
1067,761,5607,4095
1072,781,5565,4099
1093,802,5508,4095
1072,830,5450,4099
1004,848,5388,4095
1000,830,5335,4099
1097,778,5257,4095
1214,732,5163,4099
1263,721,5045,4095
1286,732,4934,4099
1321,737,4813,4095
1322,732,4704,4099
1245,730,4585,4095
1179,732,4475,4099
1198,732,4354,4095
1250,732,4245,4099
1235,734,4127,4095
1179,732,4016,4099
1155,727,3892,4095
1179,732,3786,4099
1211,742,3689,4095
1250,732,3614,4099
1279,700,3529,4095
1250,684,3442,4099
1152,702,3343,4095
1072,732,3270,4099
1061,739,3220,4095
1072,732,3213,4099
1036,731,3210,4095
1000,732,3213,4099
1034,726,3203,4095
1107,732,3213,4099
1084,772,3233,4095
929,830,3270,4099
761,856,3296,4095
750,830,3327,4099
901,774,3352,4095
1072,732,3385,4099
1121,721,3408,4095
1072,732,3442,4099
1018,752,3471,4095
1000,781,3499,4099
944,812,3503,4095
821,830,3499,4099
717,830,3491,4095
750,830,3499,4099
897,836,3501,4095
1036,830,3499,4099
1110,791,3489,4095
1214,732,3499,4099
1427,677,3508,4095
1679,635,3499,4099
1804,600,3461,4095
1750,586,3442,4099
1610,600,3442,4095
1500,635,3442,4099
1416,665,3409,4095
1322,684,3385,4099
1252,688,3381,4096
1286,684,3385,4099
1358,676,3355,4095
1322,684,3327,4099
1168,693,3319,4097
1107,684,3327,4099
1268,635,3304,4094
1500,586,3270,4099
1586,563,3250,4099
1500,586,3270,4099
1369,626,3282,4082
1250,684,3270,4067
1147,722,3232,4045
1107,732,3213,4019
1184,718,3208,3962
1322,732,3213,3890
1409,781,3189,3809
1429,830,3155,3746
1418,866,3116,3686
1393,928,3098,3633
1329,1035,3089,3566
1250,1172,3098,3504
1167,1365,3101,3441
1000,1709,3098,3392
566,2241,3068,3336
-214,2881,3040,3279
-1191,3551,3026,3211
-2000,4297,3040,3151
-2354,5177,3048,3090
-2286,6055,3040,3038
-2170,6579,3006,2980
-2286,6445,2983,2926
-2455,5641,2973,2866
-2179,4443,2983,2813
-1267,3191,2984,2755
-71,2100,2983,2701
910,1254,2977,2640
1536,684,2983,2588
1918,362,2983,2535
2143,195,2983,2492
2222,71,2977,2442
2250,-49,2983,2395
2305,-130,2984,2343
2357,-146,2983,2299
2340,-136,2972,2251
2322,-146,2983,2202
2378,-195,3009,2143
2464,-244,3040,2090
2470,-264,3045,2040
2393,-244,3040,1993
2314,-220,3033,1936
2250,-195,3040,1881
2136,-164,3040,1829
1964,-98,3040,1784
1848,-44,3035,1731
1893,-49,3040,1672
2045,-109,3039,1610
2143,-146,3040,1559
2104,-126,3035,1511
2036,-98,3040,1463
2049,-112,3040,1406
2143,-146,3040,1350
2222,-154,3033,1298
2286,-146,3040,1254
2367,-160,3045,1207
2464,-195,3040,1157
2514,-222,3008,1101
2536,-244,2983,1045
2591,-285,2973,987
2714,-342,2983,932
2817,-368,2982,876
2822,-342,2983,820
2721,-297,2978,761
2643,-293,2983,707
2705,-351,2977,652
2893,-439,2983,595
3000,-504,2981,534
2893,-537,2983,482
2734,-584,2970,436
2857,-684,2983,386
3280,-805,3008,326
3643,-879,3040,273
3635,-885,3038,227
3393,-879,3040,177
3238,-913,3066,115
3286,-977,3155,64
3408,-1035,3278,40
3500,-1074,3442,32
3502,-1095,3638,17
3357,-1074,3901,0
3069,-993,4214,-6
2786,-879,4589,0
2619,-786,5013,3
2536,-732,5507,0
2460,-693,6014,-2
2429,-635,6482,0
2459,-561,6857,1
2464,-488,7171,0
2334,-410,7416,-1
2107,-293,7572,0
1878,-129,7589,0
1679,49,7515,0
1450,207,7398,0
1214,342,7286,0
1070,455,7147,0
1072,537,6999,0
1069,604,6856,0
929,684,6769,0
768,748,6724,0
857,732,6712,0
1131,668,6686,0
1214,684,6655,0
950,815,6613,0
679,928,6597,0
699,923,6576,0
857,879,6540,0
869,897,6455,0
821,928,6368,0
941,876,6274,0
1179,781,6196,0
1282,746,6101,0
1214,781,6023,0
1131,816,5939,0
1107,830,5851,0
1077,837,5730,0
1036,830,5622,0
1045,798,5526,0
1107,781,5450,0
1123,802,5340,0
1036,830,5220,0
890,829,5094,0
786,830,4991,0
754,856,4876,0
750,879,4761,0
723,861,4635,0
714,830,4532,0
795,822,4434,0
964,830,4360,0
1111,811,4288,0
1107,781,4245,0
895,797,4207,0
571,879,4188,0
353,950,4169,0
429,928,4188,0
742,820,4216,0
1036,732,4245,0
1106,731,4240,0
1000,781,4245,0
870,815,4263,0
786,830,4302,0
734,855,4327,0
750,879,4360,0
869,853,4389,0
1036,781,4417,0
1123,722,4415,0
1072,732,4417,0
907,803,4418,0
750,879,4417,0
763,891,4385,0
1000,830,4360,0
1227,765,4350,0
1143,781,4360,0
812,856,4340,0
679,879,4302,0
956,792,4259,0
1322,684,4245,0
1368,663,4241,0
1143,732,4245,0
963,791,4223,0
964,781,4188,0
1053,728,4142,0
1179,684,4130,0
1340,656,4132,0
1464,635,4130,0
1449,619,4096,0
1322,635,4073,0
1172,679,4066,0
1036,732,4073,0
927,749,4050,0
929,732,4016,0
1106,695,3976,0
1357,684,3958,0
1484,681,3946,0
1393,684,3958,0
1186,689,3966,0
1036,732,3958,0
1030,805,3920,0
1107,879,3901,0
1113,944,3900,0
1000,1025,3901,0
911,1110,3867,0
1000,1172,3844,0
1132,1262,3838,0
1000,1514,3844,0
517,1986,3815,0
-71,2588,3786,0
-607,3215,3774,0
-1179,3906,3786,0
-1826,4749,3784,0
-2286,5664,3786,0
-2374,6361,3786,0
-2286,6543,3786,0
-2307,6107,3756,0
-2286,5176,3729,0
-1786,3973,3715,0
-679,2734,3729,0
572,1669,3731,0
1393,928,3729,0
1648,527,3721,0
1679,342,3729,0
1806,204,3729,0
2036,49,3729,0
2196,-85,3720,0
2250,-146,3729,0
2263,-152,3733,0
2250,-146,3729,0
2169,-150,3697,0
2072,-146,3671,0
2041,-141,3658,0
2072,-146,3671,0
2070,-164,3674,0
2000,-146,3671,0
1909,-95,3661,0
1857,-49,3671,0
1873,-76,3678,0
1964,-146,3671,0
2092,-200,3637,0
2179,-195,3614,0
2159,-163,3606,0
2072,-146,3614,0
2003,-162,3610,0
2036,-195,3614,0
2151,-225,3615,0
2286,-244,3614,0
2365,-249,3584,0
2393,-244,3557,0
2399,-237,3542,0
2429,-244,3557,0
2467,-266,3560,0
2500,-293,3557,0
2523,-316,3545,0
2572,-342,3557,0
2640,-368,3562,0
2714,-391,3557,0
2777,-422,3520,0
2857,-488,3499,0
2942,-575,3489,0
3000,-635,3499,0
3009,-654,3491,0
3036,-684,3499,0
3135,-755,3516,0
3286,-830,3557,0
3387,-865,3581,0
3393,-879,3614,0
3343,-918,3652,0
3322,-977,3729,0
3341,-1016,3837,0
3357,-1025,4016,0
3320,-1025,4246,0
3250,-1025,4532,0
3186,-1012,4845,0
3143,-977,5220,0
3078,-930,5637,0
2965,-879,6081,0
2804,-817,6494,0
2643,-732,6884,0
2505,-633,7212,0
2393,-537,7458,0
2257,-448,7581,0
2072,-342,7630,0
1845,-205,7622,0
1643,-49,7572,0
1495,104,7447,0
1393,244,7286,0
1298,361,7120,0
1214,439,6999,0
1147,486,6899,0
1107,537,6827,0
1079,612,6759,0
1072,684,6712,0
1073,721,6655,0
1072,732,6597,0
1040,749,6528,0
1000,781,6482,0
979,813,6432,0
1000,830,6368,0
1038,834,6253,0
1072,830,6138,0
1088,813,6034,0
1107,781,5966,0
1129,748,5884,0
1143,732,5794,0
1128,732,5676,0
1107,732,5565,0
1116,728,5443,0
1179,732,5335,0
1246,740,5217,0
1250,732,5106,0
1159,717,4983,0
1036,732,4876,0
969,772,4762,0
1000,781,4647,0
1062,731,4501,0
1072,684,4360,0
1014,692,4226,0
964,732,4130,0
969,745,4039,-1
1000,732,3958,0
1006,725,3864,5
1000,732,3786,16
1009,734,3715,32
1036,732,3671,48
1057,734,3632,59
1072,732,3614,64
1057,723,3603,69
1000,732,3614,80
939,762,3616,97
964,781,3614,113
1059,761,3600,121
1107,732,3614,129
1063,725,3640,141
1036,732,3671,161
1082,731,3672,179
1107,732,3671,193
1033,752,3667,206
964,781,3671,225
1006,791,3665,248
1107,781,3671,273
1156,760,3676,296
1179,732,3671,322
1242,701,3636,351
1322,684,3614,386
1337,684,3610,418
1322,684,3614,450
1353,662,3588,480
1429,635,3557,514
1452,625,3524,552
1393,635,3499,595
1321,640,3461,636
1322,635,3442,675
1373,628,3439,707
1393,635,3442,739
1343,641,3413,774
1286,635,3385,820
1284,608,3373,868
1322,586,3385,916
1340,576,3369,961
1322,586,3327,1013
1290,602,3278,1068
1250,635,3270,1125
1208,662,3276,1178
1179,684,3270,1238
1163,681,3232,1301
1143,684,3213,1366
1152,697,3212,1421
1250,732,3213,1479
1379,788,3180,1540
1393,879,3155,1608
1239,1001,3150,1665
1072,1123,3155,1720
1028,1203,3128,1772
1072,1269,3098,1833
1028,1425,3086,1893
786,1758,3098,1961
289,2243,3081,2030
-464,2783,3040,2106
-1366,3353,2994,2177
-2107,4053,2983,2251
-2404,4953,2984,2319
-2286,5908,2983,2395
-2150,6550,2954,2471
-2286,6543,2926,2556
-2476,5827,2910,2635
-2143,4639,2926,2717
-1037,3309,2935,2793
429,2100,2926,2878
1552,1182,2890,2957
2036,635,2868,3038
2119,384,2862,3108
2179,244,2868,3183
2306,88,2864,3254
2393,-49,2868,3328
2388,-99,2872,3389
2393,-98,2868,3456
2454,-132,2836,3519
2500,-195,2811,3585
2456,-223,2802,3643
2393,-195,2811,3713
2406,-177,2808,3784
2464,-195,2811,3858
2444,-221,2814,3918
2322,-195,2811,3987
2222,-155,2779,4050
2250,-146,2754,4099
2350,-184,2745,4106
2393,-195,2754,4099
2351,-166,2751,4091
2322,-146,2754,4099
2350,-172,2757,4098
2393,-195,2754,4099
2388,-173,2722,4094
2393,-146,2696,4099
2443,-164,2687,4097
2500,-195,2696,4099
2488,-195,2694,4095
2464,-195,2696,4099
2491,-236,2698,4096
2572,-293,2696,4099
2643,-307,2668,4095
2714,-293,2639,4099
2778,-299,2625,4095
2822,-342,2639,4099
2855,-392,2643,4095
2965,-439,2639,4099
3125,-488,2628,4095
3215,-537,2639,4099
3181,-582,2646,4095
3179,-635,2639,4099
3313,-705,2604,4095
3500,-781,2581,4099
3587,-839,2573,4095
3607,-879,2581,4099
3669,-920,2575,4095
3786,-977,2581,4099
3860,-1036,2601,4095
3857,-1074,2639,4099
3799,-1082,2647,4095
3715,-1074,2639,4099
3614,-1072,2620,4095
3536,-1074,2639,4099
3469,-1064,2681,4095
3357,-1025,2754,4099
3166,-960,2827,4095
2965,-879,2926,4099
2797,-787,3060,4095
2643,-684,3270,4099
2459,-580,3534,4095
2286,-488,3844,4099
2143,-402,4169,4095
2000,-293,4532,4099
1817,-151,4908,4095
1643,0,5278,4099
1509,133,5589,4095
1393,244,5851,4099
1243,348,6052,4095
1107,439,6196,4099
1051,503,6254,4095
1072,537,6253,4099
1058,573,6205,4095
964,635,6138,4099
864,703,6034,4095
893,732,5909,4099
1040,713,5775,4095
1179,684,5679,4099
1207,690,5613,4095
1179,732,5565,4099
1158,786,5504,4095
1143,830,5450,4099
1107,849,5393,4095
1107,830,5335,4099
1171,778,5249,4095
1250,732,5163,4099
1287,720,5074,4095
1322,732,4991,4099
1365,738,4879,4095
1357,732,4761,4099
1262,728,4638,4095
1179,732,4532,4099
1184,734,4414,4095
1214,732,4302,4099
1166,730,4182,4095
1072,732,4073,4099
1016,731,3954,4095
1000,732,3844,4099
938,746,3723,4095
821,781,3614,4099
739,819,3511,4095
786,830,3442,4099
953,794,3381,4095
1143,732,3327,4099
1231,686,3257,4095
1179,684,3213,4099
1059,709,3196,4095
1000,732,3213,4099
1039,736,3216,4095
1107,732,3213,4099
1095,730,3200,4095
1000,732,3213,4099
924,731,3234,4095
964,732,3270,4099
1067,734,3296,4095
1107,732,3327,4099
1055,725,3353,4096
1000,732,3385,4099
947,771,3393,4095
821,830,3385,4099
671,860,3366,4097
714,830,3385,4099
1009,767,3421,4094
1322,732,3442,4099
1420,736,3414,4098
1393,732,3385,4099
1443,687,3374,4091
1572,635,3385,4099
1612,618,3382,4105
1536,635,3385,4099
1464,641,3387,4055
1464,635,3385,4003
1441,643,3351,3950
1322,684,3327,3906
1173,725,3322,3844
1143,732,3327,3778
1258,692,3301,3707
1393,635,3270,3649
1399,606,3254,3584
1286,635,3270,3521
1191,678,3275,3451
1214,684,3270,3392
1301,645,3259,3331
1322,635,3270,3279
1224,675,3277,3222
1072,732,3270,3167
979,742,3235,3100
1000,732,3213,3038
1093,712,3204,2971
1179,684,3213,2910
1229,650,3210,2841
1250,684,3213,2781
1214,800,3213,2716
1107,928,3213,2652
994,993,3184,2577
1000,1025,3155,2508
1117,1090,3139,2440
1179,1221,3155,2379
1005,1455,3164,2308
607,1855,3155,2234
115,2401,3120,2157
-393,2978,3098,2090
-972,3551,3089,2022
-1607,4248,3098,1961
-2110,5163,3097,1901
-2286,6103,3098,1849
-2252,6651,3093,1793
-2286,6494,3098,1736
-2394,5658,3096,1670
-2179,4443,3098,1608
-1372,3184,3094,1547
-214,2100,3098,1495
794,1277,3095,1439
1429,732,3098,1382
1758,417,3094,1318
1893,244,3098,1254
1885,130,3095,1186
1857,49,3098,1125
1923,-5,3094,1067
2072,-49,3098,1013
2195,-102,3095,955
2250,-146,3098,900
2229,-160,3095,848
2143,-146,3098,804
2056,-142,3095,757
2072,-146,3098,707
2172,-154,3095,651
2214,-146,3098,595
2140,-146,3095,538
2072,-146,3098,482
2102,-153,3094,424
2143,-146,3098,370
2071,-125,3095,319
1964,-98,3098,273
2002,-99,3094,222
2214,-146,3098,161
2376,-199,3095,96
2322,-195,3098,48
2157,-150,3093,24
2143,-146,3098,16
2292,-203,3097,8
2393,-244,3098,0
2317,-219,3091,-3
2250,-195,3098,0
2364,-233,3101,1
2572,-293,3098,0
2649,-304,3067,-1
2607,-293,3040,0
2626,-322,3025,0
2786,-391,3040,0
2928,-448,3045,-1
2929,-488,3040,0
2860,-536,3023,0
2893,-586,3040,0
3004,-614,3068,0
3036,-635,3098,0
2952,-686,3093,0
2965,-781,3098,0
3216,-889,3114,0
3572,-977,3155,0
3761,-1038,3194,0
3715,-1074,3270,0
3537,-1073,3385,0
3357,-1025,3557,0
3248,-975,3754,0
3250,-977,4016,0
3246,-1010,4346,0
3036,-977,4761,0
2601,-841,5209,0
2214,-684,5679,0
2070,-589,6142,0
2072,-537,6597,0
2041,-470,6986,0
2000,-391,7286,0
2003,-325,7469,0
1964,-244,7572,0
1785,-110,7583,0
1572,49,7515,0
1463,183,7371,0
1429,293,7228,0
1330,398,7104,0
1179,488,6999,0
1064,557,6873,0
1000,635,6769,0
876,741,6711,0
679,830,6712,0
539,854,6715,0
607,830,6712,0
835,816,6684,0
1036,830,6655,0
1052,855,6598,0
929,879,6540,0
810,905,6473,0
786,928,6425,0
812,934,6350,0
821,928,6253,0
796,924,6124,0
786,928,6023,0
826,918,5935,0
929,879,5851,0
1066,820,5730,0
1179,781,5622,0
1174,788,5527,0
1036,830,5450,0
876,855,5338,0
857,830,5220,0
979,771,5098,0
1072,732,4991,0
1005,741,4867,0
857,781,4761,0
778,813,4665,0
786,830,4589,0
766,848,4497,0
679,879,4417,0
608,896,4345,0
643,879,4302,0
729,840,4260,0
750,830,4245,0
674,855,4238,0
607,879,4245,0
631,862,4236,0
714,830,4245,0
786,819,4264,0
857,830,4302,0
959,821,4327,0
1072,781,4360,0
1127,737,4387,0
1107,732,4417,0
1008,773,4419,0
857,830,4417,0
746,853,4410,0
786,830,4417,0
920,804,4413,0
964,830,4417,0
876,882,4415,0
857,879,4417,0
1028,799,4393,0
1214,732,4360,0
1168,754,4318,0
929,830,4302,0
748,866,4298,0
786,830,4302,0
983,755,4279,0
1214,684,4245,0
1381,635,4202,0
1429,635,4188,0
1343,678,4184,0
1179,732,4188,0
999,764,4164,0
857,781,4130,0
796,790,4089,0
857,781,4073,0
1008,734,4067,0
1143,684,4073,0
1192,660,4053,0
1179,684,4016,0
1155,709,3968,0
1107,732,3958,0
1007,748,3962,0
893,781,3958,0
868,811,3921,0
964,830,3901,0
1079,854,3900,0
1072,928,3901,0
913,1052,3867,0
750,1172,3844,0
757,1228,3840,0
964,1269,3844,0
1154,1442,3812,0
1036,1855,3786,0
472,2462,3780,0
-393,3125,3786,0
-1278,3802,3758,0
-1929,4590,3729,0
-2244,5538,3716,0
-2286,6445,3729,0
-2253,6912,3728,0
-2286,6640,3729,0
-2301,5672,3728,0
-2000,4346,3729,0
-1221,3034,3699,0
-143,1953,3671,0
826,1172,3657,0
1429,684,3671,0
1696,414,3674,0
1822,244,3671,0
1920,99,3662,0
2000,0,3671,0
2040,-34,3676,0
2072,-49,3671,0
2122,-96,3640,0
2179,-146,3614,0
2189,-160,3601,0
2143,-146,3614,0
2066,-148,3619,0
2000,-146,3614,0
1974,-126,3583,0
2000,-98,3557,0
2060,-114,3541,0
2107,-146,3557,0
2104,-163,3566,0
2072,-146,3557,0
2071,-134,3518,0
2143,-146,3499,0
2225,-174,3498,0
2250,-195,3499,0
2227,-200,3469,0
2250,-195,3442,0
2310,-190,3432,0
2322,-195,3442,0
2266,-214,3424,0
2286,-244,3385,0
2428,-274,3339,0
2572,-293,3327,0
2590,-295,3327,0
2572,-293,3327,0
2620,-304,3300,0
2714,-342,3270,0
2782,-405,3234,0
2893,-488,3213,0
3091,-570,3181,0
3286,-635,3155,0
3355,-683,3120,0
3357,-732,3098,0
3392,-786,3066,-1
3465,-830,3040,0
3506,-855,3003,1
3536,-879,2983,0
3569,-921,2970,-3
3572,-977,2983,0
3520,-1030,2984,9
3500,-1074,2983,16
3546,-1108,2982,17
3572,-1123,3040,16
3487,-1110,3155,21
3357,-1074,3327,32
3271,-1029,3524,41
3215,-977,3786,48
3111,-912,4120,55
2965,-830,4532,64
2798,-736,4961,73
2607,-635,5392,80
2388,-536,5801,88
2214,-439,6196,96
2108,-331,6526,105
2000,-195,6769,113
1812,-42,6896,119
1607,98,6941,129
1474,205,6910,138
1429,293,6827,145
1407,374,6687,149
1393,439,6540,161
1371,487,6405,178
1322,537,6310,193
1217,607,6221,200
1107,684,6138,209
1032,742,6061,225
1000,781,6023,241
983,812,5998,249
1000,830,5966,257
1058,819,5903,272
1143,781,5851,289
1197,744,5801,299
1214,732,5737,305
1223,736,5621,316
1250,732,5507,338
1248,722,5410,361
1179,732,5335,386
1084,764,5226,409
1072,781,5106,434
1140,761,4980,457
1179,732,4876,482
1125,725,4759,510
1072,732,4647,547
1085,732,4526,587
1107,732,4417,627
1061,736,4297,664
1000,732,4188,707
979,720,4071,755
964,732,3958,804
923,767,3833,844
929,781,3729,884
1002,752,3635,929
1036,732,3557,981
959,754,3462,1029
893,781,3385,1077
943,765,3332,1123
1036,732,3327,1174
1043,724,3328,1220
1000,732,3327,1270
991,729,3313,1321
1000,732,3327,1382
963,758,3354,1444
929,781,3385,1511
971,765,3384,1574
1072,732,3385,1640
1147,719,3398,1701
1179,732,3442,1768
1168,752,3477,1831
1107,781,3499,1897
1028,816,3498,1958
1036,830,3499,2026
1156,794,3496,2089
1286,732,3499,2154
1324,689,3495,2213
1322,684,3499,2283
1362,689,3498,2355
1429,684,3499,2427
1440,673,3477,2487
1393,684,3442,2556
1341,711,3400,2632
1322,732,3385,2717
1327,720,3383,2788
1357,684,3385,2861
1392,648,3358,2936
1393,635,3327,3022
1351,631,3310,3101
1322,635,3327,3183
1339,646,3339,3260
1357,684,3327,3344
1313,719,3288,3416
1214,732,3270,3488
1150,705,3269,3555
1179,684,3270,3633
1276,675,3239,3705
1357,684,3213,3778
1373,690,3203,3838
1322,732,3213,3906
1222,833,3194,3966
1107,977,3155,4019
1016,1101,3112,4045
1000,1172,3098,4067
1042,1206,3095,4081
1072,1269,3098,4099
998,1426,3076,4099
786,1709,3040,4099
392,2119,2998,4094
-214,2637,2983,4099
-999,3230,2982,4097
-1750,3906,2983,4099
-2207,4712,2955,4095
-2286,5615,2926,4099
-2222,6350,2910,4096
-2286,6543,2926,4099
-2442,6050,2936,4095
-2286,5078,2926,4099
-1490,3921,2890,4095
-179,2734,2868,4099
1113,1636,2862,4095
1929,830,2868,4099
2188,431,2865,4095
2143,293,2868,4099
2059,185,2871,4095
2072,49,2868,4099
2184,-49,2839,4095
2357,-98,2811,4099
2501,-150,2798,4095
2536,-195,2811,4099
2459,-203,2815,4095
2393,-195,2811,4099
2450,-233,2801,4095
2607,-293,2811,4099
2725,-322,2818,4095
2714,-293,2811,4099
2619,-259,2777,4095
2536,-244,2754,4099
2497,-250,2746,4095
2464,-244,2754,4099
2416,-238,2751,4095
2393,-244,2754,4099
2419,-256,2755,4095
2464,-244,2754,4099
2453,-209,2726,4095
2393,-195,2696,4099
2330,-220,2681,4095
2322,-244,2696,4099
2359,-227,2706,4095
2429,-195,2696,4099
2487,-197,2662,4095
2536,-244,2639,4099
2598,-299,2631,4095
2714,-342,2639,4099
2807,-370,2638,4095
2786,-391,2639,4099
2688,-408,2635,4095
2714,-439,2639,4099
2919,-489,2635,4095
3143,-537,2639,4099
3217,-565,2638,4095
3215,-586,2639,4099
3260,-623,2629,4095
3357,-684,2639,4099
3430,-756,2661,4095
3500,-830,2696,4099
3569,-890,2703,4095
3572,-928,2696,4099
3489,-963,2680,4095
3465,-1025,2696,4099
3563,-1098,2721,4095
3643,-1123,2754,4099
3528,-1082,2772,4095
3286,-1025,2811,4099
3106,-997,2860,4095
3072,-977,2926,4099
3100,-947,2989,4095
3107,-928,3098,4099
3028,-912,3264,4095
2822,-830,3499,4099
2489,-662,3764,4095
2143,-488,4073,4099
1898,-379,4423,4095
1786,-293,4819,4099
1728,-174,5206,4095
1679,-49,5565,4099
1634,32,5869,4095
1607,98,6138,4099
1523,205,6346,4095
1322,342,6482,4099
1040,457,6518,4095
857,537,6482,4099
885,599,6399,4096
1072,635,6310,4099
1230,635,6203,4095
1250,635,6081,4099
1121,686,5931,4096
929,781,5794,4099
784,860,5684,4094
786,879,5622,4099
889,867,5569,4098
964,879,5507,4099
947,916,5418,4091
929,928,5335,4099
981,886,5250,4104
1072,830,5163,4099
1148,799,5047,4065
1250,781,4934,4035
1384,754,4815,4005
1464,732,4704,3971
1426,731,4579,3898
1357,732,4475,3810
1344,722,4366,3720
1322,732,4245,3649
1158,781,4088,3575
893,830,3958,3504
730,826,3862,3429
821,781,3786,3360
1071,742,3673,3283
1250,732,3557,3215
