I,V,PLETH,RESP
5180,7001,5717,4675
5148,7023,5684,4670
5076,7097,5655,4675
5050,7064,5614,4670
5076,7001,5593,4675
5047,6980,5563,4670
4972,7001,5531,4675
4899,6953,5483,4670
4869,6905,5469,4675
4825,6918,5468,4670
4765,7001,5469,4675
4695,7024,5431,4670
4662,7001,5407,4675
4648,6971,5399,4670
4662,7001,5407,4675
4669,7013,5378,4670
4662,7001,5344,4675
4584,6968,5307,4670
4454,7001,5282,4675
4310,7058,5240,4670
4247,7097,5220,4675
4276,7049,5214,4670
4351,7001,5220,4675
4343,7008,5191,4670
4247,7097,5158,4675
4170,7139,5121,4670
4247,7097,5096,4675
4368,7003,5054,4670
4351,7001,5034,4675
4190,7059,5027,4670
4144,7097,5034,4675
4266,7040,5004,4670
4351,7001,4972,4675
4239,7001,4951,4670
4144,7001,4972,4675
4224,6930,4981,4670
4351,6905,4972,4675
4319,6951,4930,4670
4247,7001,4909,4675
4280,6948,4901,4670
4351,6905,4909,4675
4305,6934,4903,4670
4247,7001,4909,4675
4287,6996,4911,4670
4351,7001,4909,4675
4301,7048,4876,4670
4247,7097,4847,4675
4288,7046,4814,4670
4351,7001,4785,4675
4304,7026,4739,4670
4247,7097,4723,4675
4282,7073,4722,4670
4351,7001,4723,4675
4332,6988,4685,4670
4247,7001,4661,4675
4213,6940,4655,4670
4351,7001,4661,4675
4479,7126,4628,4670
4351,7001,4599,4675
4120,6773,4585,4670
4247,7097,4599,4675
4496,7526,4592,4670
4247,7001,4599,4675
3872,6224,4619,4670
4351,7001,4661,4675
4991,8153,4667,4670
4247,6905,4661,4675
3127,4933,4645,4670
4247,6809,4661,4675
6242,10210,4680,4670
4351,6905,4723,4675
-1351,-2860,4769,4671
-3833,-6809,4847,4675
832,1646,4929,4669
7044,12371,5034,4675
7822,13201,5140,4673
4558,7001,5282,4675
3084,4292,5430,4657
4454,6809,5593,4638
5252,8313,5738,4607
4351,6809,5904,4583
3710,5847,6077,4545
4144,6809,6277,4510
4441,7376,6461,4466
4144,6713,6650,4436
3938,6299,6810,4405
4040,6713,6960,4381
4023,6959,7076,4343
3937,6713,7209,4308
4031,6518,7352,4266
4144,6617,7520,4235
4031,6684,7654,4195
3937,6617,7768,4161
4050,6527,7852,4119
4144,6521,7955,4088
4026,6575,8047,4050
3937,6617,8141,4015
4037,6555,8201,3965
4144,6521,8265,3923
4070,6546,8320,3875
3937,6617,8390,3831
3923,6641,8427,3773
4144,6521,8452,3721
4292,6398,8446,3670
4040,6617,8452,3630
3757,6863,8445,3581
4144,6521,8452,3538
4592,6029,8442,3490
3937,6521,8452,3446
3131,7228,8449,3389
4144,6425,8452,3336
5463,5262,8420,3284
3937,6521,8390,3245
1762,8381,8345,3199
4144,6425,8327,3153
8024,3160,8296,3096
3937,6521,8265,3043
-6762,14914,8199,2985
-9013,15344,8141,2933
3785,2858,8069,2875
17404,-9110,8017,2823
16616,-7240,7947,2765
6319,3261,7892,2713
1099,8690,7821,2655
3522,6809,7768,2603
5303,5270,7698,2546
3315,7001,7644,2493
1884,8065,7573,2435
2901,6905,7520,2383
3571,6120,7450,2327
2693,6809,7395,2273
1986,7304,7324,2214
2175,7001,7271,2163
2227,6817,7197,2110
1865,7001,7147,2053
1710,6944,7127,1985
1865,6713,7209,1925
1942,6675,7334,1869
1968,6713,7457,1815
2079,6502,7498,1748
2175,6233,7520,1687
2251,6074,7538,1631
2486,5946,7582,1577
2705,5790,7586,1509
2590,5754,7582,1448
2141,5834,7566,1398
1865,5850,7582,1357
2038,5717,7580,1302
2383,5754,7582,1247
2553,6097,7567,1196
2693,6521,7582,1155
2972,6763,7584,1108
3211,7001,7582,1063
3230,7340,7542,1023
3315,7576,7520,990
3703,7495,7504,953
4144,7384,7520,917
4255,7487,7516,879
4144,7672,7520,843
4098,7653,7508,804
4144,7576,7520,770
4158,7635,7515,741
4247,7768,7520,715
4476,7748,7508,680
4662,7672,7520,642
4628,7686,7517,607
4558,7768,7520,587
4610,7740,7505,571
4662,7672,7520,550
4552,7680,7525,520
4454,7768,7520,495
4530,7762,7474,476
4662,7672,7457,458
4639,7607,7454,431
4558,7672,7457,403
4575,7726,7417,381
4662,7672,7395,367
4672,7550,7388,350
4662,7576,7395,330
4709,7710,7358,310
4765,7768,7333,293
4690,7645,7323,275
4558,7576,7333,257
4529,7663,7299,243
4662,7768,7271,238
4779,7687,7255,234
4765,7576,7271,220
4667,7587,7247,198
4662,7672,7209,183
4736,7642,7159,181
4765,7576,7147,183
4688,7561,7119,177
4662,7576,7085,165
4726,7511,7031,154
4765,7480,7022,147
4687,7527,7023,138
4662,7576,7022,128
4768,7513,6980,119
4869,7480,6960,110
4817,7531,6955,99
4765,7576,6960,92
4819,7505,6922,90
4869,7480,6898,92
4793,7548,6889,87
4765,7576,6898,73
4880,7424,6864,59
4972,7288,6836,55
4872,7280,6821,57
4765,7288,6836,55
4802,7140,6829,45
4869,7001,6836,37
4804,7009,6836,36
4765,7097,6836,37
4869,7064,6795,30
4972,7001,6774,18
4887,7017,6766,14
4765,7097,6774,18
4781,7071,6739,23
4869,7001,6712,18
4838,6998,6698,8
4765,7097,6712,0
4785,7112,6687,-2
4869,7001,6650,0
4822,6868,6602,1
4662,6905,6587,0
4569,7035,6558,-1
4662,7097,6525,0
4751,7019,6476,0
4662,7001,6463,0
4468,7099,6459,0
4454,7192,6463,0
4610,7115,6429,0
4662,7001,6401,0
4480,6970,6381,0
4351,7001,6401,0
4442,6955,6407,0
4558,6905,6401,0
4467,6898,6361,0
4351,6905,6339,0
4388,6836,6324,0
4454,6809,6339,0
4353,6857,6339,0
4247,6905,6339,0
4291,6843,6324,0
4351,6809,6339,0
4241,6856,6344,0
4144,6905,6339,0
4224,6839,6296,0
4351,6809,6277,0
4314,6892,6271,0
4247,7001,6277,0
4291,6971,6243,0
4351,6905,6214,0
4286,6890,6197,0
4247,6905,6214,0
4319,6842,6214,0
4351,6809,6214,0
4218,6851,6204,0
4144,6905,6214,0
4252,6852,6210,0
4351,6809,6214,0
4244,6842,6206,0
4144,6905,6214,0
4230,6866,6209,0
4351,6809,6214,0
4292,6822,6206,0
4144,6809,6214,0
4105,6677,6209,0
4247,6713,6214,0
4319,6892,6205,1
4144,6809,6214,0
3984,6512,6211,-1
4247,6713,6214,0
4519,7147,6202,1
4144,6809,6214,0
3704,6194,6216,-3
4351,6905,6214,0
5186,7932,6190,9
4351,6809,6214,18
2989,5087,6268,20
4144,6905,6339,18
6378,10013,6362,23
4351,6809,6401,37
-1902,-2321,6469,50
-4558,-5850,6587,55
733,2283,6683,53
7666,12467,6774,55
8468,13239,6851,63
4765,7288,6960,73
3059,4563,7069,82
4454,6809,7209,92
5206,8186,7351,103
4247,6713,7520,110
3758,5687,7669,110
4351,6521,7830,110
4506,7099,7976,117
3937,6521,8141,128
3718,6085,8289,137
4040,6425,8452,147
4133,6697,8599,158
3937,6521,8762,165
3910,6326,8894,165
4040,6425,9011,165
4009,6586,9093,172
3937,6617,9197,183
4001,6508,9294,192
4040,6425,9384,202
3911,6461,9416,213
3833,6521,9446,220
3932,6428,9468,219
4040,6329,9508,220
3973,6333,9509,229
3937,6425,9508,238
4088,6457,9494,238
4144,6329,9508,238
3920,6235,9504,246
3937,6521,9508,257
4259,6802,9495,259
4144,6425,9508,257
3645,5922,9506,256
3937,6521,9508,257
4651,7359,9473,254
4040,6521,9446,257
2893,5195,9403,266
3937,6425,9384,275
5716,8460,9347,276
4040,6617,9322,275
1162,3227,9261,277
3937,6425,9197,275
9580,14833,9113,265
6423,15344,9073,257
-5399,2852,9039,257
-9013,-9110,9011,257
3774,-7144,8938,248
17404,3356,8887,238
15225,8582,8845,237
3626,6521,8825,238
-839,5016,8761,231
3419,6809,8700,220
5833,7780,8628,210
3211,6521,8576,202
1471,5796,8499,190
2901,6521,8452,183
3777,6838,8411,184
2590,6329,8390,183
1653,6204,8324,174
1968,6617,8265,165
2215,6630,8212,164
1968,6233,8203,165
1937,6044,8174,158
2175,6138,8141,147
2201,6107,8089,142
2175,5946,8079,147
2411,5759,8074,151
2693,5562,8079,147
2663,5388,8042,136
2383,5370,8017,128
2079,5455,7996,127
1968,5466,8017,128
2051,5338,8019,129
2279,5370,8017,128
2580,5696,7977,128
2901,6138,7955,128
3123,6440,7935,128
3211,6713,7955,128
3248,7038,7958,129
3419,7288,7955,128
3762,7280,7912,127
4144,7192,7892,128
4353,7205,7880,135
4351,7288,7892,147
4229,7282,7866,157
4144,7288,7830,165
4175,7382,7778,173
4351,7480,7768,183
4557,7435,7763,193
4662,7384,7768,202
4616,7448,7736,210
4558,7576,7706,220
4583,7598,7662,230
4662,7576,7644,238
4684,7573,7625,245
4662,7576,7644,257
4645,7507,7650,274
4662,7480,7644,293
4664,7527,7597,306
4662,7576,7582,312
4656,7518,7578,317
4662,7480,7582,330
4653,7521,7540,349
4662,7576,7520,367
4667,7523,7513,377
4662,7480,7520,385
4636,7514,7481,392
4662,7576,7457,403
4724,7535,7449,418
4765,7480,7457,440
4719,7470,7421,462
4662,7480,7395,477
4641,7417,7383,484
4662,7384,7395,495
4659,7422,7366,513
4662,7480,7333,532
4693,7438,7293,541
4765,7384,7271,550
4792,7372,7226,566
4765,7384,7209,587
4729,7326,7202,600
4765,7288,7209,605
4801,7317,7174,610
4765,7384,7147,623
4697,7359,7131,641
4765,7288,7147,660
4921,7218,7124,672
4972,7192,7085,678
4842,7167,7031,678
4765,7192,7022,678
4860,7217,7020,684
4972,7192,7022,697
4894,7102,6986,709
4765,7097,6960,715
4799,7167,6941,713
4972,7192,6960,715
5015,7077,6964,722
4869,7001,6960,733
4719,7040,6922,736
4765,7097,6898,733
4883,7010,6881,729
4869,6905,6898,733
4714,6881,6901,742
4662,6905,6898,752
4771,6848,6860,753
4869,6809,6836,752
4811,6846,6819,749
4765,6905,6836,752
4827,6856,6836,753
4869,6809,6836,752
4754,6838,6820,748
4662,6905,6836,752
4711,6871,6843,761
4765,6809,6836,770
4657,6785,6791,771
4558,6809,6774,770
4603,6795,6771,769
4662,6809,6774,770
4557,6859,6734,767
4454,6905,6712,770
4495,6858,6704,778
4558,6809,6712,788
4460,6795,6676,790
4351,6809,6650,788
4379,6786,6637,787
4454,6809,6650,788
4409,6870,6621,786
4351,6905,6587,788
4364,6841,6563,795
4351,6809,6587,807
4213,6851,6596,810
4144,6905,6587,807
4243,6855,6544,802
4351,6809,6525,807
4297,6836,6514,816
4247,6905,6525,825
4312,6877,6518,825
4351,6809,6525,825
4226,6774,6523,824
4144,6809,6525,825
4241,6818,6492,822
4351,6809,6463,825
4262,6792,6441,833
4144,6809,6463,843
4199,6808,6472,845
4351,6809,6463,843
4351,6801,6418,841
4247,6809,6401,843
4234,6772,6396,843
4351,6713,6401,843
4400,6690,6366,842
4247,6713,6339,843
4046,6713,6322,843
4144,6809,6339,843
4402,6887,6336,842
4351,6713,6339,843
4047,6493,6329,843
4144,6809,6339,843
4490,7199,6332,842
4247,6713,6339,843
3710,6039,6333,842
4144,6809,6339,843
4975,7904,6326,842
4351,6809,6339,843
3136,5097,6357,842
4247,6905,6401,843
6388,9993,6424,843
4351,6809,6463,843
-1880,-2282,6505,842
-4558,-5850,6587,843
729,2182,6668,843
7769,12371,6774,843
8707,13306,6879,842
4972,7480,7022,843
3046,4667,7166,844
4247,6713,7333,843
4974,7979,7481,840
4040,6521,7644,843
3490,5543,7808,852
4040,6425,8017,862
4315,7065,8213,863
3937,6521,8390,862
3783,6047,8508,860
4040,6329,8638,862
4093,6617,8762,860
3937,6521,8887,862
3943,6372,8968,868
4040,6425,9073,880
3945,6511,9191,884
3833,6521,9322,880
3917,6429,9391,874
4040,6329,9446,880
4003,6329,9493,891
3937,6425,9570,898
3972,6421,9611,896
4040,6329,9632,898
4018,6247,9621,906
3937,6329,9632,917
3919,6483,9629,918
4144,6425,9632,917
4295,6243,9616,916
3937,6425,9632,917
3504,6735,9637,914
3937,6425,9632,917
4615,5862,9584,925
4040,6329,9570,935
3044,7177,9567,935
3937,6521,9570,935
5450,5285,9525,936
4144,6329,9508,935
1843,8158,9506,924
3937,6425,9508,917
7854,3253,9442,916
4144,6329,9384,917
-6396,14513,9340,907
-9013,15344,9322,898
3416,3369,9254,897
17404,-9110,9197,898
17621,-8758,9153,890
7977,767,9135,880
2373,6833,9072,876
3833,6329,9011,880
5044,5424,8942,875
3211,6905,8887,862
2174,7761,8786,847
3315,6809,8700,843
3862,6192,8622,844
2901,6713,8576,843
2245,6967,8503,834
2486,6617,8452,825
2473,6530,8407,815
1968,6809,8390,807
1716,6787,8330,795
1865,6521,8265,788
1961,6410,8203,786
1968,6425,8203,788
2054,6293,8205,783
2175,6138,8203,770
2285,6027,8158,755
2486,5850,8141,752
2653,5590,8132,753
2590,5466,8141,752
2255,5550,8106,741
1968,5658,8079,733
1967,5593,8058,732
2175,5562,8079,733
2380,5766,8079,725
2590,6138,8079,715
2856,6410,8062,711
3108,6617,8079,715
3222,6903,8082,716
3315,7288,8079,715
3557,7514,8036,714
3937,7480,8017,715
4212,7316,8004,714
4247,7288,8017,715
4122,7390,8008,715
4040,7480,8017,715
4062,7460,8015,712
4144,7480,8017,715
4229,7583,7978,723
4351,7672,7955,733
4455,7623,7941,734
4454,7576,7955,733
4358,7614,7929,737
4351,7672,7892,752
4471,7621,7841,764
4558,7576,7830,770
4498,7613,7823,768
4454,7672,7830,770
4517,7622,7802,776
4558,7576,7768,788
4475,7609,7718,798
4454,7672,7706,807
4579,7627,7700,814
4662,7576,7706,825
4546,7600,7672,834
4454,7672,7644,843
4544,7644,7621,850
4662,7576,7644,862
4609,7542,7652,872
4558,7576,7644,880
4658,7580,7597,879
4765,7576,7582,880
4675,7566,7576,885
4558,7576,7582,898
4615,7562,7545,908
4765,7576,7520,917
4765,7587,7504,923
4662,7576,7520,935
4615,7505,7497,946
4662,7480,7457,953
4674,7516,7403,953
4662,7576,7395,953
4688,7547,7394,958
4765,7480,7395,972
4789,7441,7359,984
4765,7480,7333,990
4770,7474,7298,988
4869,7384,7271,990
4934,7268,7223,997
4869,7288,7209,1008
4739,7375,7204,1011
4765,7384,7209,1008
4917,7255,7172,1003
4972,7192,7147,1008
4838,7246,7134,1017
4765,7288,7147,1027
4873,7181,7121,1027
4972,7097,7085,1027
4873,7132,7036,1025
4765,7192,7022,1027
4804,7107,7010,1025
4869,7001,7022,1027
4797,6980,7022,1026
4765,7001,7022,1027
4885,6936,6987,1023
4972,6905,6960,1027
4828,6958,6942,1035
4662,7001,6960,1045
4677,6897,6949,1046
4765,6809,6898,1045
4719,6837,6792,1043
4662,6905,6712,1045
4716,6856,6662,1044
4765,6809,6650,1045
4656,6846,6614,1044
4558,6905,6587,1045
4603,6853,6568,1043
4662,6809,6587,1045
4558,6846,6591,1045
4454,6905,6587,1045
4492,6854,6550,1042
4558,6809,6525,1045
4468,6843,6506,1053
4351,6905,6525,1063
4365,6860,6533,1065
4454,6809,6525,1063
4433,6833,6480,1061
4351,6905,6463,1063
4322,6877,6459,1063
4351,6809,6463,1063
4313,6803,6426,1062
4247,6905,6401,1063
4253,6957,6390,1062
4351,6905,6401,1063
4371,6803,6373,1063
4247,6809,6339,1063
4101,6877,6314,1060
4144,6905,6339,1063
4303,6834,6350,1071
4351,6809,6339,1082
4214,6858,6292,1083
4144,6905,6277,1082
4246,6846,6274,1079
4351,6809,6277,1082
4295,6849,6239,1082
4247,6905,6214,1082
4315,6855,6204,1079
4351,6809,6214,1082
4222,6839,6185,1083
4144,6905,6152,1082
4247,6869,6129,1071
4351,6809,6152,1063
4270,6817,6161,1060
4144,6809,6152,1063
4168,6711,6108,1063
4351,6809,6090,1063
4391,7027,6082,1061
4144,6905,6090,1063
3978,6559,6060,1063
4351,6809,6028,1063
4743,7317,6001,1062
4351,6905,6028,1063
3783,6143,6060,1062
4351,6905,6090,1063
5195,8135,6080,1062
4351,7001,6090,1063
2999,5046,6123,1062
4351,6905,6214,1063
6874,10478,6304,1062
4869,7576,6401,1063
-1691,-1845,6477,1062
-4558,-5850,6587,1063
884,2149,6700,1062
7977,12371,6836,1063
8499,12973,6965,1062
4247,6809,7147,1063
2298,4159,7352,1062
3937,6617,7582,1063
5002,8029,7767,1062
4040,6521,7955,1063
3381,5624,8148,1063
4040,6617,8390,1063
4518,7169,8615,1061
4144,6521,8825,1063
3798,6172,8980,1063
3937,6617,9135,1063
4049,6815,9279,1060
3937,6521,9446,1063
3858,6360,9580,1071
3937,6521,9695,1082
4039,6572,9772,1083
4144,6425,9881,1082
4204,6294,9984,1079
4144,6329,10067,1082
4000,6450,10071,1081
3937,6521,10067,1082
3975,6428,10076,1080
4040,6329,10130,1082
4044,6345,10144,1081
3937,6521,10130,1082
3793,6668,10079,1080
3937,6521,10067,1082
4207,6247,10061,1082
4040,6425,10067,1082
3635,6799,10031,1079
3937,6521,10005,1082
4539,5940,9983,1083
4040,6425,10005,1082
3182,7290,10008,1071
4144,6521,10005,1063
5564,5190,9964,1061
4040,6425,9943,1063
1682,8479,9908,1062
4040,6521,9881,1063
8126,3019,9814,1065
4040,6425,9757,1063
-6883,15104,9684,1052
-9013,15344,9632,1045
4160,2366,9559,1044
17404,-9110,9508,1045
15327,-5575,9442,1036
4247,5946,9384,1027
-251,10424,9285,1023
3419,6809,9197,1027
5562,4637,9113,1026
3211,6809,9073,1027
1699,8098,9015,1027
3004,6617,8949,1027
3714,5681,8843,1018
2590,6617,8762,1008
1819,7238,8685,1003
2175,6713,8638,1008
2288,6336,8569,1011
1865,6617,8514,1008
1798,6721,8440,998
2175,6425,8390,990
2313,6176,8335,986
2175,6138,8327,990
2202,6038,8323,992
2486,5850,8327,990
2728,5654,8288,979
2693,5562,8265,972
2342,5566,8248,969
1968,5562,8265,972
1826,5469,8260,971
1968,5466,8265,972
2253,5647,8255,970
2590,5946,8265,972
2896,6185,8255,970
3108,6425,8265,972
3174,6739,8262,971
3211,7097,8265,972
3379,7288,8230,969
3729,7288,8203,972
4081,7225,8181,979
4247,7288,8203,990
4210,7410,8209,992
4144,7480,8203,990
4130,7480,8159,986
4144,7576,8141,990
4182,7727,8130,991
4351,7768,8141,990
4581,7634,8113,985
4662,7576,8079,990
4530,7679,8031,1000
4454,7768,8017,1008
4563,7665,7987,1007
4662,7576,7955,1008
4561,7652,7902,1015
4454,7768,7892,1027
4527,7696,7891,1028
4662,7576,7892,1027
4638,7579,7850,1030
4558,7672,7830,1045
4583,7649,7823,1058
4662,7576,7830,1063
4626,7579,7794,1061
4558,7672,7768,1063
4581,7669,7754,1070
4662,7576,7768,1082
4639,7506,7741,1089
4558,7576,7706,1100
4549,7664,7660,1110
4662,7672,7644,1118
4758,7589,7609,1118
4765,7576,7582,1118
4700,7632,7541,1123
4662,7672,7520,1137
4650,7608,7482,1148
4662,7576,7457,1155
4686,7619,7418,1154
4765,7672,7395,1155
4817,7621,7356,1159
4765,7576,7333,1173
4647,7577,7296,1186
4662,7576,7271,1192
4801,7496,7230,1188
4869,7480,7209,1192
4750,7548,7174,1201
4662,7576,7147,1210
4744,7456,7101,1208
4869,7384,7085,1210
4839,7440,7076,1217
4765,7480,7085,1228
4789,7334,7057,1228
4869,7192,7022,1228
4868,7203,6976,1233
4869,7288,6960,1247
4930,7252,6931,1250
4972,7192,6898,1247
4904,7191,6846,1241
4869,7192,6836,1247
4934,7077,6837,1256
4972,7001,6836,1265
4860,7041,6793,1265
4765,7097,6774,1265
4805,7002,6770,1264
4869,6905,6774,1265
4810,6923,6734,1262
4765,7001,6712,1265
4825,6967,6706,1272
4869,6905,6712,1283
4760,6891,6673,1285
4662,6905,6650,1283
4698,6843,6642,1280
4765,6809,6650,1283
4713,6848,6613,1283
4662,6905,6587,1283
4685,6857,6578,1281
4662,6809,6587,1283
4480,6834,6553,1283
4351,6905,6525,1283
4425,6877,6513,1281
4558,6809,6525,1283
4501,6801,6496,1283
4351,6905,6463,1283
4324,6960,6440,1281
4454,6905,6463,1283
4522,6797,6470,1284
4454,6809,6463,1283
4352,6887,6423,1273
4351,6905,6401,1265
4382,6815,6385,1261
4351,6809,6401,1265
4258,6918,6404,1266
4247,7001,6401,1265
4316,6909,6363,1261
4351,6809,6339,1265
4280,6827,6322,1267
4247,6905,6339,1265
4305,6869,6341,1254
4351,6809,6339,1247
4285,6825,6303,1244
4247,6905,6277,1247
4306,6914,6256,1245
4351,6905,6277,1247
4278,6909,6286,1247
4247,6905,6277,1247
4323,6830,6230,1236
4351,6809,6214,1228
4216,6862,6213,1225
4144,6905,6214,1228
4251,6840,6174,1227
4351,6809,6152,1228
4266,6885,6146,1229
4144,6905,6152,1228
4172,6764,6116,1218
4351,6809,6090,1210
4416,7041,6079,1206
4247,7001,6090,1210
4113,6705,6059,1210
4351,6905,6028,1210
4578,7358,6008,1208
4247,7001,6028,1210
3887,6286,6028,1209
4454,6905,6028,1210
5122,7976,6013,1209
4351,7001,6028,1210
3287,5325,6043,1208
4558,7001,6090,1210
6611,10008,6138,1209
4558,7001,6214,1210
-1361,-1805,6288,1207
-3833,-5370,6401,1210
1082,2212,6516,1211
7459,11796,6650,1210
8043,12446,6777,1200
4351,6809,6960,1192
2573,4366,7169,1188
3937,6617,7395,1192
4868,7912,7576,1192
4040,6521,7768,1192
3417,5691,7970,1190
3937,6617,8203,1192
4380,7138,8398,1191
4144,6521,8576,1192
3878,6171,8723,1190
3937,6617,8887,1192
3975,6881,9034,1191
3937,6617,9197,1192
3981,6360,9347,1190
4040,6425,9508,1192
3972,6532,9635,1191
3937,6521,9757,1192
4012,6442,9847,1190
4040,6425,9943,1192
3949,6479,10007,1191
3937,6521,10067,1192
4058,6452,10093,1190
4144,6425,10130,1192
4072,6470,10153,1192
3937,6521,10192,1192
3874,6480,10196,1189
4040,6329,10192,1192
4185,6247,10152,1194
3937,6521,10130,1192
3633,6777,10092,1180
4040,6425,10067,1173
4567,5964,10022,1173
3937,6521,10005,1173
3061,7257,9975,1163
4040,6425,9943,1155
5425,5265,9868,1153
3937,6617,9819,1155
1730,8522,9777,1147
4144,6425,9757,1137
8099,3022,9692,1125
3937,6521,9632,1118
-6898,15113,9560,1107
-9013,15344,9508,1100
4045,2511,9433,1097
17404,-9110,9384,1100
15779,-6160,9322,1094
4972,4987,9260,1082
194,9838,9152,1067
3419,6905,9073,1063
5481,4991,9004,1063
3315,7001,8949,1063
1863,8200,8845,1054
3108,6809,8762,1045
3854,5856,8691,1035
2797,6617,8638,1027
1946,7175,8536,1015
2175,6809,8452,1008
2309,6587,8394,1006
1968,6809,8390,1008
1842,6746,8358,1002
2072,6425,8327,990
2189,6304,8283,976
2175,6329,8265,972
2277,6161,8225,972
2486,5946,8203,972
2648,5809,8183,963
2693,5658,8203,953
2509,5474,8205,948
2175,5466,8203,953
1918,5610,8163,956
1968,5658,8141,953
2239,5513,8123,941
2486,5562,8141,935
2641,5990,8142,933
2901,6521,8141,935
3245,6803,8103,932
3419,7001,8079,935
3381,7278,8057,942
3522,7480,8079,953
3979,7394,8086,955
4351,7288,8079,953
4278,7395,8031,951
4040,7576,8017,953
4015,7553,8013,954
4144,7480,8017,953
4183,7547,7976,950
4247,7672,7955,953
4470,7637,7946,959
4662,7576,7955,972
4590,7642,7919,982
4454,7768,7892,990
4510,7746,7878,990
4662,7672,7892,990
4654,7687,7866,994
4558,7768,7830,1008
4564,7717,7784,1021
4662,7576,7768,1027
4654,7495,7735,1024
4558,7576,7706,1027
4535,7667,7663,1035
4662,7672,7644,1045
4776,7592,7610,1045
4765,7576,7582,1045
4674,7623,7535,1049
4662,7672,7520,1063
4697,7627,7510,1075
4662,7576,7520,1082
4549,7556,7493,1080
4558,7576,7457,1082
4698,7564,7407,1086
4765,7576,7395,1100
4640,7590,7389,1112
4558,7576,7395,1118
4654,7495,7365,1116
4765,7480,7333,1118
4708,7535,7289,1126
4662,7576,7271,1137
4765,7510,7238,1137
4869,7480,7209,1137
4776,7530,7161,1140
4662,7576,7147,1155
4692,7511,7139,1167
4765,7480,7147,1173
4705,7535,7117,1171
4662,7576,7085,1173
4758,7474,7041,1180
4869,7384,7022,1192
4818,7384,6989,1195
4765,7384,6960,1192
4854,7264,6915,1186
4972,7192,6898,1192
4935,7242,6888,1201
4869,7288,6898,1210
4906,7181,6874,1208
4972,7097,6836,1210
4922,7138,6782,1216
4869,7192,6774,1228
4913,7092,6775,1231
4972,7001,6774,1228
4916,7034,6731,1223
4869,7097,6712,1228
4920,7007,6706,1236
4972,6905,6712,1247
4882,6922,6675,1248
4765,7001,6650,1247
4740,6935,6637,1242
4765,6809,6650,1247
4713,6784,6621,1255
4662,6905,6587,1265
4693,6967,6563,1265
4765,6905,6587,1265
4739,6796,6597,1269
4662,6809,6587,1283
4631,6881,6543,1295
4662,6905,6525,1302
4610,6830,6519,1299
4454,6809,6525,1302
4317,6861,6494,1309
4351,6905,6463,1320
4457,6842,6441,1321
4454,6809,6463,1320
4311,6854,6472,1317
4247,6905,6463,1320
4344,6847,6418,1320
4454,6809,6401,1320
4415,6852,6396,1318
4351,6905,6401,1320
4384,6848,6367,1319
4454,6809,6339,1320
4416,6853,6320,1318
4351,6905,6339,1320
4344,6842,6343,1320
4351,6809,6339,1320
4281,6890,6305,1317
4247,7001,6277,1320
4300,6973,6235,1322
4351,6905,6214,1320
