II,aVR,ABP,RESP
1591,4924,3863,1573
638,5342,3794,1545
-409,5895,3745,1522
-1465,6556,3684,1492
-2363,7143,3627,1470
-2869,7426,3563,1455
-2909,7490,3508,1444
-2796,7538,3443,1421
-2909,7698,3390,1393
-3136,7840,3342,1363
-2909,7837,3311,1341
-2000,7608,3271,1316
-909,7282,3232,1289
-286,7067,3186,1261
-227,7213,3154,1238
-461,7698,3125,1212
-818,8322,3114,1186
-1250,8843,3098,1158
-1545,9224,3075,1135
-1495,9408,3031,1110
-1136,9293,2996,1083
-664,8779,2968,1052
-136,8045,2956,1032
422,7377,2935,1019
864,7005,2917,1006
1047,6875,2894,980
1045,6866,2878,954
1044,6835,2854,936
1091,6797,2838,928
1116,6764,2817,916
1091,6797,2799,903
1070,6841,2772,888
1091,6866,2759,877
1139,6808,2755,862
1182,6727,2759,851
1180,6677,2744,839
1136,6727,2720,825
1085,6809,2691,808
1091,6866,2681,799
1158,6834,2677,800
1227,6797,2681,799
1225,6800,2666,787
1182,6866,2641,774
1217,6855,2609,770
1409,6727,2602,774
1649,6555,2603,766
1773,6519,2602,748
1782,6562,2578,728
1863,6519,2562,722
2077,6321,2557,723
2273,6172,2562,722
2339,6142,2544,711
2409,6103,2523,696
2602,5918,2510,682
2818,5756,2523,671
2902,5734,2528,657
2909,5756,2523,645
2963,5636,2508,631
3045,5479,2523,619
3053,5409,2556,605
3000,5410,2602,593
2944,5338,2633,581
2863,5271,2681,567
2715,5293,2746,550
2545,5410,2838,542
2382,5509,2928,542
2182,5618,3035,542
1941,5715,3148,530
1773,5756,3272,516
1713,5693,3383,502
1636,5687,3508,490
1426,5822,3642,474
1182,6034,3784,464
1068,6121,3903,463
1091,6103,4021,464
1080,6108,4136,454
954,6242,4257,438
807,6372,4357,424
773,6381,4454,413
808,6271,4547,400
773,6242,4652,387
624,6354,4736,374
500,6519,4809,361
492,6564,4864,345
545,6519,4927,335
555,6478,4986,334
545,6519,5046,335
565,6568,5086,326
591,6589,5125,309
559,6551,5147,293
500,6519,5164,284
465,6516,5160,273
455,6589,5164,258
437,6659,5163,242
455,6658,5164,232
542,6542,5142,224
636,6450,5125,206
619,6469,5103,179
500,6589,5085,155
434,6625,5046,142
545,6519,5006,129
744,6346,4951,105
818,6311,4888,77
694,6434,4802,59
545,6589,4730,52
577,6563,4667,43
773,6381,4612,26
915,6209,4532,9
864,6242,4454,0
717,6383,4374,-8
682,6450,4297,-26
806,6343,4195,-53
954,6242,4100,-77
994,6264,4012,-91
954,6381,3942,-103
931,6421,3858,-126
954,6381,3784,-155
999,6297,3717,-174
1045,6242,3666,-181
1049,6204,3603,-188
954,6242,3548,-206
798,6317,3498,-233
727,6381,3469,-258
791,6371,3430,-273
864,6381,3390,-284
836,6419,3343,-295
773,6450,3311,-309
753,6404,3272,-324
727,6381,3232,-335
645,6410,3182,-346
591,6450,3154,-361
632,6409,3132,-377
682,6381,3114,-387
633,6423,3073,-387
545,6519,3035,-387
523,6542,3006,-395
545,6519,2996,-413
518,6516,2976,-429
455,6589,2956,-438
413,6672,2931,-439
409,6727,2917,-438
374,6732,2896,-438
318,6727,2878,-438
283,6737,2853,-438
318,6797,2838,-438
380,6845,2817,-439
409,6866,2799,-438
402,6805,2774,-436
409,6727,2759,-438
445,6676,2740,-442
455,6727,2720,-438
417,6768,2691,-425
364,6727,2681,-413
308,6636,2679,-410
318,6589,2681,-413
668,6277,2661,-405
1636,5340,2641,-387
3045,3925,2620,-368
4318,2705,2602,-361
5150,1843,2564,-362
5772,971,2523,-361
6313,185,2479,-350
6318,555,2444,-335
5271,2658,2411,-321
3363,5618,2405,-309
1342,7958,2417,-297
-227,9224,2444,-284
-1263,9782,2459,-271
-1863,9918,2483,-258
-2067,9566,2517,-244
-1909,8947,2562,-232
-1513,8399,2588,-221
-1045,8045,2602,-206
-640,7713,2600,-191
-364,7421,2602,-181
-213,7252,2596,-172
-136,7213,2602,-155
-74,7151,2615,-127
0,7074,2641,-103
51,7037,2651,-91
45,7074,2641,-77
-2,7097,2613,-52
0,7074,2602,-26
55,7018,2600,-11
91,7005,2602,0
47,7030,2592,22
0,7074,2602,52
13,7073,2624,72
45,7074,2641,77
48,7065,2623,83
45,7074,2602,103
76,7060,2593,132
91,7074,2602,155
49,7080,2600,167
0,7074,2602,181
10,7040,2603,204
45,7074,2602,232
39,7155,2579,250
0,7213,2562,258
-15,7152,2558,266
0,7074,2562,284
-5,7063,2545,309
-45,7143,2523,335
-85,7198,2499,352
-91,7213,2483,361
-84,7198,2459,369
-91,7213,2444,387
-107,7197,2427,413
-91,7143,2405,438
-30,7051,2360,453
45,7005,2326,464
100,6977,2301,484
136,6935,2286,516
176,6826,2267,547
227,6727,2286,567
286,6651,2337,578
364,6589,2405,593
457,6477,2452,616
545,6381,2523,645
613,6323,2627,670
682,6311,2759,696
771,6272,2873,723
864,6242,2996,748
927,6226,3138,762
954,6242,3311,774
947,6234,3471,793
909,6242,3627,825
867,6260,3777,856
864,6311,3942,877
882,6344,4097,887
864,6381,4257,903
801,6391,4412,926
773,6381,4573,954
815,6310,4714,972
864,6242,4849,980
851,6206,4966,987
818,6242,5085,1006
828,6281,5187,1032
864,6311,5282,1057
846,6323,5347,1072
773,6381,5401,1083
715,6436,5435,1093
727,6450,5479,1109
767,6395,5517,1122
773,6381,5558,1135
739,6416,5578,1145
727,6450,5598,1161
776,6390,5610,1173
864,6311,5637,1186
928,6256,5655,1196
954,6242,5676,1212
969,6219,5688,1227
1000,6242,5716,1238
1031,6268,5736,1238
1045,6242,5755,1238
1042,6134,5751,1244
1045,6103,5755,1264
1067,6175,5753,1280
1091,6242,5755,1289
1074,6174,5735,1295
1000,6103,5716,1315
907,6135,5681,1344
864,6242,5637,1367
881,6267,5558,1368
909,6242,5479,1367
899,6224,5397,1374
864,6242,5322,1393
835,6229,5221,1406
818,6242,5125,1418
797,6295,5032,1429
773,6381,4967,1444
750,6417,4902,1456
727,6450,4849,1470
698,6486,4778,1482
682,6519,4691,1496
683,6485,4570,1504
682,6450,4454,1522
644,6457,4336,1545
591,6519,4218,1573
550,6564,4072,1589
545,6589,3942,1599
532,6608,3840,1607
500,6658,3784,1625
453,6703,3737,1639
455,6727,3705,1651
507,6710,3676,1657
545,6727,3666,1676
517,6741,3657,1701
455,6727,3666,1728
419,6678,3670,1741
409,6727,3666,1754
396,6811,3629,1764
364,6797,3587,1779
301,6655,3542,1789
318,6519,3508,1805
754,6133,3453,1827
1863,5132,3390,1857
3319,3695,3330,1873
4454,2566,3311,1883
5121,1838,3310,1888
5772,971,3311,1908
6441,112,3288,1933
6318,624,3272,1960
4809,3152,3266,1974
2500,6450,3272,1986
502,8716,3256,1995
-727,9640,3232,2012
-1411,9924,3204,2023
-1727,9918,3193,2037
-1664,9440,3175,2048
-1364,8739,3154,2063
-1083,8260,3114,2074
-864,8045,3075,2089
-587,7741,3030,2099
-273,7351,2996,2115
-67,7102,2956,2126
0,7074,2917,2141
42,7062,2871,2151
136,7005,2838,2166
221,6942,2812,2178
227,6935,2799,2192
163,6954,2777,2202
136,7005,2759,2218
175,7055,2736,2231
227,7074,2720,2244
216,7031,2696,2243
182,7005,2681,2244
188,7015,2671,2249
227,7074,2681,2269
246,7068,2685,2286
227,7005,2681,2295
203,6920,2656,2290
182,6935,2641,2295
158,7008,2635,2306
136,7074,2641,2321
116,7068,2639,2321
91,7074,2641,2321
82,7090,2639,2319
136,7074,2641,2321
231,6959,2635,2316
273,6866,2641,2321
212,6882,2645,2331
136,7005,2641,2347
145,7081,2616,2348
227,7074,2602,2347
285,6996,2599,2343
273,6935,2602,2347
232,6887,2581,2345
227,6866,2562,2347
277,6811,2553,2344
364,6727,2562,2347
446,6623,2560,2344
500,6589,2562,2347
535,6576,2571,2345
591,6519,2602,2347
679,6364,2633,2343
773,6242,2681,2347
845,6210,2743,2348
909,6242,2838,2347
979,6199,2936,2332
1045,6103,3035,2321
1082,6019,3123,2315
1091,6034,3232,2321
1079,6093,3358,2320
1045,6172,3508,2321
981,6213,3648,2318
909,6242,3784,2321
864,6257,3901,2319
864,6311,4021,2321
876,6358,4132,2318
864,6381,4257,2321
817,6360,4376,2318
773,6381,4494,2321
758,6424,4590,2319
773,6450,4691,2321
783,6405,4788,2318
773,6381,4888,2321
746,6402,4966,2321
727,6450,5046,2321
722,6447,5120,2315
727,6450,5203,2321
715,6477,5267,2332
682,6519,5322,2347
654,6496,5358,2347
682,6450,5401,2347
767,6405,5435,2344
864,6381,5479,2347
923,6313,5515,2344
954,6242,5558,2347
978,6202,5581,2347
1000,6242,5598,2347
1003,6288,5593,2333
1000,6311,5598,2321
1012,6275,5596,2314
1045,6242,5598,2321
1065,6221,5576,2323
1045,6242,5558,2321
996,6244,5533,2306
954,6242,5519,2295
930,6242,5494,2288
909,6311,5479,2295
881,6395,5447,2299
864,6450,5401,2295
864,6419,5330,2277
864,6381,5282,2269
843,6363,5244,2268
818,6381,5203,2269
798,6354,5123,2255
773,6311,5046,2244
725,6296,4979,2239
682,6381,4927,2244
670,6478,4849,2234
682,6519,4770,2218
676,6470,4688,2198
636,6450,4612,2192
578,6498,4510,2190
545,6589,4415,2192
536,6635,4329,2182
545,6658,4257,2166
531,6685,4160,2145
500,6727,4060,2141
459,6737,3966,2141
455,6727,3903,2141
483,6704,3839,2124
500,6727,3784,2115
480,6738,3721,2112
455,6727,3666,2115
441,6690,3600,2102
409,6727,3548,2089
357,6764,3499,2081
318,6727,3469,2089
274,6637,3429,2090
273,6589,3390,2089
635,6259,3342,2083
1682,5271,3311,2089
3155,3832,3285,2091
4363,2705,3272,2089
5057,1996,3250,2073
5636,1179,3232,2063
6211,363,3208,2058
6090,832,3193,2063
4703,3221,3171,2062
2545,6381,3154,2063
645,8585,3129,2060
-545,9501,3114,2063
-1242,9797,3093,2061
-1636,9848,3075,2063
-1688,9468,3048,2061
-1454,8808,3035,2063
-1157,8265,3030,2061
-909,7976,3035,2063
-655,7683,3021,2062
-364,7351,2996,2063
-107,7119,2964,2060
45,7074,2956,2063
107,7059,2956,2063
136,7005,2956,2063
162,6931,2936,2050
182,6935,2917,2037
164,7000,2896,2029
136,7074,2878,2037
122,7090,2849,2042
136,7074,2838,2037
141,7038,2837,2019
136,7005,2838,2012
133,6944,2816,2012
136,6935,2799,2012
140,6961,2792,1996
136,7005,2799,1986
135,6996,2784,1984
136,7005,2759,1986
138,7035,2731,1972
136,7074,2720,1960
135,7043,2713,1956
136,7005,2720,1960
137,6986,2722,1949
136,7005,2720,1934
135,6997,2697,1919
136,7005,2681,1908
138,7028,2671,1891
136,7074,2681,1883
133,7078,2682,1881
136,7074,2681,1883
139,7064,2662,1870
136,7074,2641,1857
140,7048,2612,1843
182,7005,2602,1831
255,6931,2597,1813
318,6866,2602,1805
344,6786,2595,1805
364,6727,2602,1805
416,6658,2624,1790
500,6589,2681,1779
590,6481,2738,1777
682,6381,2799,1779
777,6287,2848,1766
864,6242,2917,1754
920,6220,3000,1749
954,6242,3114,1754
980,6251,3239,1751
1000,6242,3390,1754
1005,6190,3543,1763
1000,6172,3705,1779
985,6189,3857,1782
954,6242,4021,1779
906,6272,4179,1776
864,6311,4336,1779
838,6343,4471,1777
818,6381,4612,1779
791,6379,4749,1786
773,6381,4888,1805
769,6374,4993,1820
773,6381,5085,1831
770,6366,5171,1830
773,6381,5282,1831
778,6411,5387,1836
773,6450,5479,1857
759,6426,5538,1882
773,6381,5598,1908
807,6367,5653,1922
818,6450,5716,1934
785,6531,5757,1944
773,6519,5795,1960
837,6376,5814,1971
954,6242,5834,1986
1035,6196,5843,1997
1045,6242,5874,2012
1030,6260,5900,2021
1045,6242,5913,2037
1080,6213,5887,2052
1091,6242,5874,2063
1065,6263,5870,2061
1045,6242,5874,2063
1061,6156,5836,2072
1091,6103,5795,2089
1087,6108,5761,2100
1045,6172,5755,2115
992,6215,5735,2128
954,6242,5716,2141
941,6238,5690,2140
954,6242,5676,2141
970,6231,5641,2140
954,6242,5598,2141
904,6242,5534,2134
864,6242,5479,2141
857,6221,5415,2155
864,6242,5361,2166
846,6278,5298,2154
818,6311,5243,2141
796,6297,5179,2135
773,6311,5125,2141
729,6366,5051,2139
682,6450,4967,2141
649,6491,4859,2142
636,6519,4770,2141
612,6550,4687,2124
591,6589,4612,2115
577,6593,4512,2114
591,6589,4415,2115
596,6585,4324,2099
591,6589,4257,2089
571,6565,4180,2087
545,6589,4100,2089
529,6632,4010,2074
545,6658,3942,2063
572,6625,3877,2061
545,6658,3824,2063
459,6724,3758,2049
364,6727,3705,2037
286,6631,3656,2034
318,6519,3627,2037
773,6110,3587,2025
1909,5063,3548,2012
3411,3604,3499,2004
4591,2497,3469,2012
5237,1827,3445,2012
5772,1040,3430,2012
6291,246,3393,2008
6090,763,3351,2012
4619,3248,3300,2010
2409,6519,3272,2012
496,8794,3248,2009
-682,9709,3232,2012
-1334,9948,3207,2009
-1636,9918,3193,2012
-1589,9457,3175,2010
-1318,8739,3154,2012
-1050,8176,3110,2007
-818,7906,3075,2012
-532,7654,3047,2021
-227,7351,3035,2037
-31,7123,3013,2041
45,7074,2996,2037
88,7080,2974,2029
136,7074,2956,2037
164,7034,2929,2051
182,7005,2917,2063
200,6969,2914,2060
227,6935,2917,2063
243,6890,2899,2074
273,6866,2878,2089
304,6856,2864,2088
318,6866,2878,2089
300,6851,2885,2096
273,6866,2878,2115
254,6892,2850,2119
227,6935,2838,2115
205,6914,2837,2106
227,6866,2838,2115
289,6823,2818,2127
318,6866,2799,2141
278,6939,2778,2141
227,7005,2759,2141
220,7007,2731,2137
227,7005,2720,2141
205,6999,2720,2139
182,7005,2720,2141
198,6991,2695,2138
227,7005,2681,2141
216,7016,2678,2139
182,7005,2681,2141
182,6926,2657,2138
227,6866,2641,2141
266,6850,2637,2138
273,6866,2641,2141
288,6816,2619,2139
364,6727,2602,2141
473,6632,2605,2138
545,6589,2641,2141
550,6551,2664,2139
545,6519,2681,2141
603,6455,2699,2137
727,6381,2759,2141
857,6271,2834,2141
954,6172,2917,2141
1028,6079,2997,2126
1091,6034,3114,2115
1120,6030,3251,2108
1091,6103,3390,2115
1018,6186,3501,2117
954,6242,3627,2115
924,6233,3776,2100
909,6242,3942,2089
885,6271,4070,2082
864,6311,4179,2089
858,6305,4283,2093
864,6311,4415,2089
863,6336,4539,2071
864,6381,4652,2063
868,6382,4744,2062
864,6381,4849,2063
839,6377,4948,2049
818,6381,5046,2037
816,6340,5121,2032
818,6311,5203,2037
798,6318,5282,2029
773,6381,5361,2012
761,6427,5406,1991
773,6450,5440,1986
803,6423,5468,1985
864,6381,5519,1986
928,6323,5561,1973
954,6311,5598,1960
942,6313,5613,1944
954,6311,5637,1934
1008,6265,5655,1920
1045,6242,5676,1908
1013,6235,5675,1893
954,6242,5676,1883
932,6224,5672,1868
954,6242,5676,1857
993,6259,5660,1842
1045,6242,5637,1831
1081,6168,5595,1817
1045,6172,5558,1805
939,6274,5512,1790
864,6381,5479,1779
892,6340,5439,1765
954,6242,5401,1754
918,6231,5340,1739
773,6381,5282,1728
655,6519,5216,1714
682,6519,5164,1702
801,6367,5102,1686
864,6242,5046,1676
796,6245,4981,1664
682,6381,4927,1651
639,6492,4855,1625
682,6519,4770,1599
718,6485,4662,1579
682,6519,4573,1573
584,6621,4491,1565
500,6727,4415,1547
452,6751,4313,1517
455,6727,4218,1496
487,6708,4129,1482
545,6727,4060,1470
572,6736,3978,1445
545,6727,3903,1418
487,6697,3832,1392
455,6727,3784,1367
485,6754,3726,1336
545,6727,3666,1315
537,6659,3596,1303
409,6727,3548,1289
282,6844,3503,1262
318,6797,3469,1238
491,6531,3424,1223
727,6242,3390,1212
1262,5714,3350,1187
2409,4577,3311,1161
3885,3083,3262,1142
4954,2081,3232,1135
5439,1581,3210,1116
5909,832,3193,1083
6474,12,3152,1048
6227,763,3114,1032
4495,3744,3085,1022
2000,7282,3075,1006
29,9295,3055,976
-1000,9779,3035,954
-1498,9875,3010,941
-1727,9918,2996,928
-1633,9430,2974,902
-1318,8600,2956,877
-1025,8038,2933,862
-773,7837,2917,851
-465,7563,2894,827
-182,7213,2878,799
-51,7042,2856,781
0,7074,2838,774
83,7056,2814,755
136,7005,2799,722
72,7020,2779,688
0,7074,2759,671
36,7043,2731,661
136,7005,2720,645
163,7031,2719,617
136,7074,2720,593
125,7035,2700,579
136,7005,2681,567
123,7025,2659,544
91,7074,2641,516
71,7039,2613,496
45,7005,2602,490
21,7017,2601,483
45,7074,2602,464
105,7075,2579,436
91,7074,2562,413
-8,7098,2558,397
-45,7143,2562,387
48,7120,2543,375
136,7074,2523,361
93,7045,2514,347
0,7074,2523,335
-24,7104,2511,322
0,7143,2483,309
23,7134,2450,296
91,7074,2444,284
176,6988,2446,271
136,7005,2444,258
-19,7075,2420,245
-45,7074,2405,232
148,6925,2398,219
318,6797,2405,206
283,6755,2400,193
227,6727,2405,181
368,6588,2415,167
591,6450,2444,155
679,6394,2473,142
682,6381,2523,129
770,6259,2588,116
909,6103,2681,103
935,6036,2772,90
864,6103,2878,77
857,6142,2986,65
954,6103,3114,52
1017,6046,3244,38
954,6103,3390,26
859,6201,3530,14
864,6242,3666,0
944,6180,3780,-14
954,6172,3903,-26
839,6266,4031,-37
727,6381,4179,-52
754,6347,4316,-68
864,6242,4454,-77
884,6223,4575,-77
773,6381,4691,-77
662,6530,4787,-87
682,6519,4888,-103
796,6348,4983,-118
864,6242,5085,-129
788,6316,5167,-140
636,6519,5243,-155
573,6611,5301,-169
682,6519,5361,-181
827,6368,5403,-192
818,6381,5440,-206
665,6494,5457,-220
591,6519,5479,-232
707,6385,5494,-243
864,6311,5519,-258
870,6375,5535,-274
773,6450,5558,-284
750,6381,5562,-284
864,6311,5558,-284
998,6338,5533,-293
1045,6381,5519,-309
1007,6282,5499,-324
954,6172,5479,-335
932,6193,5435,-346
954,6311,5401,-361
1004,6321,5373,-375
1045,6242,5361,-387
1041,6189,5326,-397
1000,6242,5282,-413
971,6274,5220,-429
1000,6242,5164,-438
1051,6172,5099,-438
1045,6172,5046,-438
958,6210,4984,-447
864,6242,4927,-464
836,6225,4859,-480
864,6242,4809,-490
877,6283,4754,-493
864,6311,4691,-490
852,6265,4591,-486
864,6242,4494,-490
874,6285,4404,-503
864,6381,4336,-516
826,6425,4256,-518
773,6450,4179,-516
715,6477,4094,-514
682,6519,4021,-516
671,6521,3937,-516
682,6519,3863,-516
671,6538,3793,-516
636,6589,3745,-516
578,6626,3687,-514
545,6658,3627,-516
539,6662,3556,-518
545,6658,3508,-516
557,6614,3467,-503
591,6589,3430,-490
634,6574,3368,-486
636,6589,3311,-490
594,6558,3260,-493
545,6519,3232,-490
493,6524,3206,-480
455,6589,3193,-464
622,6422,3174,-447
1273,5756,3154,-438
2411,4632,3111,-438
3681,3468,3075,-438
4747,2438,3046,-429
5590,1456,3035,-413
6252,593,3016,-396
6499,485,2996,-387
5979,1649,2970,-377
4636,3884,2956,-361
2805,6319,2936,-343
954,8253,2917,-335
-550,9404,2890,-336
-1500,9848,2878,-335
-1875,9704,2872,-324
-1818,9224,2878,-309
-1527,8650,2864,-296
-1136,8184,2838,-284
-738,7807,2805,-269
-409,7490,2799,-258
-189,7214,2802,-256
-45,7074,2799,-258
63,7050,2772,-250
136,7074,2759,-232
153,7041,2759,-214
136,7005,2759,-206
120,6996,2736,-206
136,7005,2720,-206
160,6968,2718,-197
182,6935,2720,-181
183,6948,2697,-163
182,7005,2681,-155
179,7016,2677,-155
182,7005,2681,-155
186,6984,2659,-145
182,7005,2641,-129
179,7006,2636,-113
182,7005,2641,-103
189,6988,2622,-93
182,7005,2602,-77
157,7009,2592,-60
136,7005,2602,-52
134,6981,2601,-53
136,7005,2602,-52
121,7043,2600,-40
91,7074,2602,-26
60,7059,2582,-15
45,7074,2562,0
55,7112,2550,25
91,7143,2562,52
128,7104,2568,68
136,7074,2562,77
122,7071,2537,89
136,7074,2523,103
200,6987,2515,116
273,6866,2523,129
306,6765,2520,143
318,6727,2523,155
361,6670,2529,163
455,6589,2562,181
571,6473,2598,208
682,6381,2641,232
778,6296,2684,245
