I,V,ABP,RESP
6831,3090,5581,1160
6827,3103,5565,1138
6831,3132,5543,1119
6819,3113,5502,1105
6831,3090,5467,1098
6831,3102,5422,1087
6831,3132,5391,1077
6812,3118,5354,1067
6831,3090,5315,1057
6841,3078,5244,1037
6831,3090,5163,1015
6790,3086,5064,999
6831,3090,4973,994
6943,3110,4874,988
7059,3132,4783,974
7074,3113,4684,950
7059,3090,4594,932
7052,3105,4492,921
7059,3175,4404,912
7000,3224,4318,892
6945,3217,4252,870
6953,3172,4177,854
7059,3175,4100,849
7143,3231,4001,843
7172,3302,3910,829
7178,3341,3823,806
7286,3386,3758,787
7464,3442,3695,774
7628,3471,3644,767
7666,3422,3585,757
7628,3344,3531,746
7532,3285,3466,733
7400,3259,3417,725
7212,3231,3370,716
7059,3217,3341,704
6938,3206,3301,689
6831,3175,3265,684
6717,3089,3219,685
6717,3005,3189,684
6799,2963,3161,672
6831,2963,3151,663
6708,2959,3143,661
6603,2963,3151,663
6623,2968,3151,654
6717,2963,3151,642
6728,2930,3140,636
6717,2921,3151,642
6723,2941,3168,646
6717,2963,3189,642
6629,2940,3186,630
6603,2921,3189,622
6696,2931,3199,619
6831,2963,3227,622
6850,2966,3244,622
6831,2963,3265,622
6827,2960,3281,619
6831,2963,3303,622
6789,2948,3314,623
6831,2963,3341,622
6958,3004,3375,618
7059,3048,3417,622
7000,3035,3437,631
6945,3005,3455,642
6974,3003,3468,644
7059,3048,3493,642
7044,3086,3509,640
7059,3090,3531,642
7185,3073,3547,643
7400,3090,3569,642
7497,3163,3581,641
7514,3302,3606,642
7548,3522,3628,643
7628,3852,3644,642
7552,4258,3639,640
7286,4699,3644,642
7026,5196,3658,644
7172,5799,3682,642
7908,6356,3684,632
9108,6561,3682,622
10353,6230,3676,617
11499,5503,3682,622
12813,4578,3680,624
14573,3556,3682,622
16251,2519,3679,611
16964,1693,3682,601
16511,1172,3677,596
15711,804,3682,601
15084,388,3684,605
14231,0,3682,601
12645,-205,3660,588
10816,-212,3644,580
9554,-144,3637,580
8994,0,3644,580
8583,262,3631,570
8083,635,3606,559
7641,1029,3575,557
7400,1439,3569,559
7220,1851,3568,553
7059,2243,3569,539
6923,2568,3548,523
6831,2878,3531,518
6699,3156,3509,518
6603,3344,3493,518
6565,3388,3465,510
6603,3386,3455,497
6603,3416,3452,483
6603,3471,3455,477
6581,3483,3436,477
6603,3471,3417,477
6631,3467,3394,468
6717,3471,3379,456
6787,3461,3352,443
6831,3471,3341,435
6813,3514,3337,431
6831,3556,3341,435
6881,3543,3322,439
6945,3513,3303,435
6944,3515,3280,423
6945,3556,3265,414
6974,3572,3239,414
7059,3556,3227,414
7122,3534,3222,405
7172,3556,3227,394
7180,3587,3210,389
7172,3598,3189,394
7141,3569,3164,395
7172,3556,3151,394
7265,3568,3130,392
7400,3598,3113,394
7476,3598,3101,394
7514,3598,3113,394
7540,3608,3119,392
7628,3640,3113,394
7737,3659,3086,394
7856,3683,3075,394
7921,3701,3074,391
7969,3725,3075,394
8006,3735,3052,402
8083,3767,3037,414
8151,3809,3033,419
8197,3852,3037,414
8191,3875,3017,408
8197,3937,2999,414
8200,4036,2990,427
8197,4148,2999,435
8137,4228,2997,433
8083,4318,2999,435
8058,4423,2998,446
8083,4529,2999,456
8058,4603,2979,455
7969,4699,2961,456
7829,4827,2951,466
7742,4953,2961,477
7685,5009,2962,476
7628,5037,2961,477
7508,5074,2953,486
7400,5122,2961,497
7321,5121,2963,498
7286,5080,2961,497
7224,5004,2948,505
7172,4910,2961,518
7143,4770,2992,521
7172,4614,3037,518
7182,4456,3058,517
7172,4318,3075,518
7146,4168,3096,516
7172,4021,3151,518
7192,3880,3209,527
7172,3767,3265,539
7092,3658,3298,542
7059,3556,3341,539
7063,3453,3388,536
7059,3386,3455,539
6982,3338,3520,540
6945,3302,3606,539
6984,3250,3697,536
7059,3217,3796,539
7033,3193,3881,542
6945,3175,3986,539
6855,3140,4108,527
6831,3132,4252,518
6820,3149,4374,516
6831,3175,4480,518
6833,3172,4567,517
6831,3175,4669,518
6774,3180,4765,521
6717,3175,4859,518
6686,3139,4932,506
6717,3132,5011,497
6733,3157,5085,497
6717,3175,5163,497
6649,3144,5220,486
6603,3132,5277,477
6582,3169,5318,475
6603,3217,5353,477
6605,3206,5367,467
6603,3175,5391,456
6587,3163,5412,453
6603,3175,5429,456
6606,3169,5412,450
6603,3175,5391,435
6583,3186,5367,420
6603,3175,5353,414
6616,3116,5317,414
6603,3090,5277,414
6559,3125,5232,408
6603,3175,5201,394
6719,3163,5152,378
6831,3132,5087,373
6837,3123,4991,375
6831,3132,4897,373
6871,3108,4797,361
6945,3090,4707,352
6922,3113,4608,352
6831,3175,4518,352
6763,3209,4419,342
6831,3217,4328,331
6959,3223,4225,330
7059,3259,4138,331
7064,3300,4054,324
7059,3344,3986,311
7080,3382,3907,305
7172,3429,3834,311
7312,3460,3754,315
7514,3471,3682,311
7656,3441,3601,299
7628,3386,3531,290
7401,3314,3462,288
7172,3259,3417,290
7036,3224,3372,291
6945,3217,3341,290
6770,3204,3300,289
6603,3175,3265,290
6543,3112,3220,291
6603,3048,3189,290
6633,2991,3161,288
6603,2963,3151,290
6531,2950,3132,292
6489,2963,3113,290
6463,2971,3084,286
6489,2963,3075,290
6539,2931,3071,302
6603,2921,3075,311
6614,2935,3067,310
6603,2963,3075,311
6580,2965,3089,319
6603,2963,3113,331
6643,2959,3126,334
6717,2963,3151,331
6775,2954,3173,336
6831,2963,3189,352
6839,2982,3181,368
6831,3005,3189,373
6809,3000,3218,370
6831,3005,3265,373
6839,3020,3288,383
6831,3048,3303,394
6793,3048,3314,395
6831,3048,3341,394
6894,3059,3358,398
6945,3090,3379,414
6912,3102,3393,430
6945,3090,3417,435
7078,3070,3432,432
7286,3090,3455,435
7413,3165,3471,446
7514,3302,3493,456
7631,3509,3505,456
7742,3810,3531,456
7664,4184,3552,463
7400,4614,3569,477
7119,5115,3563,481
7172,5715,3569,477
7799,6259,3583,471
8994,6476,3606,477
10329,6190,3609,488
11499,5503,3606,497
12697,4584,3601,499
14345,3556,3606,497
16052,2523,3604,496
16850,1693,3606,497
16380,1145,3604,497
15483,762,3606,497
14845,366,3600,497
14117,0,3606,497
12655,-219,3609,495
10816,-254,3606,497
9432,-181,3582,500
8766,0,3569,497
8334,295,3564,486
7856,677,3569,477
7417,1057,3550,474
7172,1439,3531,477
7028,1832,3508,475
6945,2243,3493,477
6882,2620,3467,479
6831,2963,3455,477
6710,3225,3451,465
6603,3386,3455,456
6553,3440,3437,455
6603,3471,3417,456
6623,3503,3393,446
6603,3513,3379,435
6547,3480,3354,432
6603,3471,3341,435
6722,3512,3335,435
6831,3556,3341,435
6826,3541,3326,436
6831,3513,3303,435
6878,3522,3273,425
6945,3556,3265,414
6937,3560,3262,410
6945,3556,3265,414
6993,3568,3248,416
7059,3598,3227,414
7053,3602,3199,412
7059,3598,3189,414
7105,3596,3184,415
7172,3598,3189,414
7166,3573,3175,412
7172,3556,3151,414
7250,3562,3119,423
7400,3598,3113,435
7486,3621,3114,439
7514,3640,3113,435
7531,3642,3088,430
7628,3640,3075,435
7747,3626,3072,447
7856,3640,3075,456
7909,3676,3054,454
7969,3725,3037,456
8024,3745,3030,465
8083,3767,3037,477
8118,3799,3023,478
8197,3852,2999,477
8304,3881,2971,482
8425,3894,2961,497
8489,3899,2955,511
8539,3937,2961,518
8554,3990,2962,518
8539,4064,2961,518
8464,4149,2940,524
8425,4275,2923,539
8424,4411,2913,554
8425,4529,2923,559
8326,4607,2926,556
8197,4699,2923,559
8100,4806,2902,571
8083,4910,2885,580
8047,4974,2874,579
7969,5037,2885,580
7841,5096,2891,590
7742,5122,2885,601
7665,5081,2857,600
7628,5037,2847,601
7572,5008,2858,610
7514,4953,2885,622
7440,4803,2888,622
7400,4614,2885,622
7348,4446,2888,630
7286,4318,2923,642
7201,4172,2960,645
7172,4021,2999,642
7172,3879,3027,641
7172,3767,3075,642
7110,3654,3128,640
7059,3556,3189,642
7039,3463,3227,651
7059,3386,3265,663
7021,3306,3306,666
6945,3259,3379,663
6855,3246,3454,661
6831,3259,3531,663
6829,3246,3594,663
6831,3217,3682,663
6781,3182,3787,662
6717,3175,3910,663
6640,3171,4021,663
6603,3175,4138,663
6585,3168,4249,662
6603,3175,4366,663
6607,3177,4461,662
6603,3175,4556,663
6549,3149,4645,662
6489,3132,4745,663
6447,3136,4826,662
6489,3175,4897,663
6555,3206,4950,662
6603,3217,5011,663
6593,3194,5066,662
6603,3175,5125,663
6616,3164,5165,662
6603,3175,5201,663
6523,3177,5220,662
6489,3175,5239,663
6528,3165,5241,662
6603,3175,5239,663
6611,3181,5219,662
6603,3175,5201,663
6598,3144,5177,662
6603,3132,5163,663
6575,3133,5131,662
6603,3132,5087,663
6705,3105,5022,662
6831,3090,4973,663
6858,3089,4921,663
6831,3090,4859,663
6807,3073,4763,662
6831,3090,4669,663
6834,3150,4575,663
6831,3217,4480,663
6816,3229,4358,660
6831,3217,4252,663
6861,3219,4166,672
6945,3259,4100,684
7019,3312,4007,687
7059,3386,3910,684
7070,3452,3820,679
7172,3471,3758,684
7326,3414,3685,693
7400,3344,3606,704
7268,3293,3519,713
7059,3259,3455,725
6900,3207,3394,737
6831,3175,3341,746
6730,3172,3276,745
6603,3175,3227,746
6499,3124,3183,752
6489,3048,3151,767
6496,2984,3107,778
6489,2963,3075,787
6460,2956,3048,795
6489,2963,3037,808
6547,2965,3016,820
6603,2963,2999,829
6598,2937,2975,834
6603,2921,2961,849
6641,2926,2949,871
6717,2963,2961,891
6736,2992,2979,899
6717,3005,2999,912
6684,2999,2996,931
6717,3005,2999,953
6772,3006,3009,964
6831,3005,3037,974
6836,3005,3055,990
6831,3048,3075,1015
6815,3089,3089,1036
6831,3090,3113,1057
6830,3029,3130,1077
6831,3005,3151,1098
6809,3039,3166,1108
6831,3090,3189,1119
6871,3082,3205,1134
6945,3048,3227,1160
6957,3047,3242,1183
6945,3090,3265,1202
6938,3110,3281,1218
7059,3090,3303,1243
7264,3108,3317,1273
7514,3259,3341,1305
7703,3507,3358,1328
7856,3767,3379,1347
7973,4067,3391,1363
8083,4529,3417,1388
8098,5114,3438,1417
8083,5672,3455,1450
8264,6200,3450,1474
8880,6815,3455,1492
9719,7244,3468,1505
10474,6857,3493,1533
11249,5389,3497,1567
12523,3471,3493,1595
14121,1965,3483,1605
15142,1143,3493,1616
14967,645,3507,1633
14117,169,3531,1657
13333,-310,3537,1676
12637,-677,3531,1699
11544,-868,3505,1727
10133,-804,3493,1761
8944,-514,3487,1783
8311,-127,3493,1803
7965,215,3488,1821
7628,550,3493,1844
7265,932,3494,1862
7059,1355,3493,1885
7017,1740,3470,1907
7059,2116,3455,1927
7029,2500,3448,1934
6945,2878,3455,1948
6849,3161,3440,1966
6831,3344,3417,1989
6825,3431,3387,1999
6831,3471,3379,2010
6811,3498,3375,2025
6831,3556,3379,2051
6829,3609,3363,2072
6831,3598,3341,2093
6806,3516,3310,2110
6831,3471,3303,2134
6873,3518,3303,2153
6945,3598,3303,2175
6992,3619,3280,2194
7059,3598,3265,2217
7117,3586,3258,2235
7172,3598,3265,2258
7173,3596,3251,2277
7172,3598,3227,2300
7165,3616,3197,2317
7172,3640,3189,2341
7155,3624,3187,2362
7172,3598,3189,2383
7214,3594,3172,2390
7286,3640,3151,2403
7333,3689,3123,2419
7400,3725,3113,2445
7460,3728,3109,2463
7514,3725,3113,2486
7539,3716,3098,2505
7628,3725,3075,2528
7751,3727,3046,2543
7856,3725,3037,2569
7890,3709,3035,2598
7969,3725,3037,2631
8096,3761,3018,2651
8197,3810,2999,2673
8186,3830,2987,2692
8197,3852,2999,2714
8294,3881,3005,2723
8425,3937,2999,2735
8445,3991,2973,2749
8425,4064,2961,2776
8448,4141,2958,2796
8539,4233,2961,2818
8569,4312,2942,2835
8539,4402,2923,2859
8472,4498,2912,2877
8425,4614,2923,2901
8329,4720,2927,2919
8197,4826,2923,2942
8049,4925,2901,2959
7969,5037,2885,2983
7915,5133,2875,3003
7856,5207,2885,3025
7736,5249,2891,3033
7628,5291,2885,3046
7547,5301,2859,3060
7514,5249,2847,3087
7459,5134,2845,3108
7400,5037,2847,3128
7329,4952,2837,3137
7286,4826,2847,3149
7224,4624,2867,3156
7172,4445,2885,3170
7138,4318,2876,3177
7172,4191,2885,3191
7196,4004,2917,3198
7172,3852,2961,3211
7088,3778,2976,3218
7059,3725,2999,3232
7068,3599,3045,3240
7059,3471,3113,3253
6944,3406,3154,3258
6831,3386,3189,3274
6789,3324,3231,3284
6831,3259,3303,3294
6842,3238,3364,3289
6831,3259,3417,3294
6814,3245,3460,3302
6831,3217,3531,3315
6798,3203,3615,3312
6717,3217,3720,3315
6617,3202,3826,3320
6603,3175,3948,3336
6650,3167,4063,3337
6717,3217,4176,3336
6724,3261,4268,3329
6717,3259,4366,3336
6709,3216,4461,3335
6717,3217,4556,3336
6671,3263,4618,3329
6603,3302,4669,3336
6554,3280,4715,3337
6603,3259,4783,3336
6678,3273,4846,3320
6717,3302,4897,3315
6662,3285,4918,3312
6603,3259,4935,3315
6577,3252,4949,3302
6603,3259,4973,3294
6606,3236,4979,3289
6603,3217,4973,3294
6590,3214,4948,3285
6603,3217,4935,3274
6600,3188,4918,3257
6603,3175,4897,3253
6592,3191,4856,3241
6603,3217,4821,3232
6630,3199,4784,3216
6717,3175,4745,3211
6796,3166,4675,3201
6831,3175,4594,3191
6804,3167,4498,3167
6831,3175,4404,3149
6900,3197,4288,3132
6945,3217,4176,3128
6883,3206,4068,3118
6831,3217,3986,3108
6854,3259,3905,3091
6945,3302,3834,3087
7002,3298,3755,3078
7059,3302,3682,3066
7115,3350,3600,3040
7172,3429,3531,3025
7198,3466,3465,3013
7286,3471,3417,3004
7422,3469,3359,2980
7514,3471,3303,2963
7437,3427,3237,2949
7286,3344,3189,2942
7149,3266,3145,2920
7059,3259,3113,2901
6935,3291,3070,2885
6831,3302,3037,2880
6789,3246,3008,2861
6831,3175,2999,2838
6851,3120,2981,2811
6831,3090,2961,2797
6763,3047,2932,2783
6717,3005,2923,2776
6689,2973,2920,2763
6717,2963,2923,2756
6765,2954,2915,2743
6831,2963,2923,2735
6845,2982,2940,2721
6831,3005,2961,2714
6800,3004,2960,2702
6831,3005,2961,2693
6886,3018,2970,2678
6945,3048,2999,2673
6946,3053,3018,2664
6945,3048,3037,2652
6938,3036,3051,2625
6945,3048,3075,2611
6929,3063,3092,2605
6945,3090,3113,2611
6986,3094,3128,2601
7059,3090,3151,2590
7073,3074,3167,2576
7059,3090,3189,2569
7027,3104,3205,2555
7059,3090,3227,2548
7067,3059,3242,2544
7059,3090,3265,2548
7046,3159,3282,2540
7172,3175,3303,2528
7363,3129,3316,2511
7514,3175,3341,2507
7551,3389,3361,2504
7628,3683,3379,2507
7743,3976,3376,2498
7742,4360,3379,2486
7466,4894,3388,2468
7172,5503,3417,2465
7237,6110,3438,2466
7856,6730,3455,2465
8818,7183,3453,2451
9905,7069,3455,2445
11020,6169,3451,2443
12296,4826,3455,2445
13771,3574,3451,2432
15256,2667,3455,2424
16192,1980,3452,2421
16167,1397,3455,2424
15274,888,3450,2412
14117,466,3455,2403
13038,86,3454,2399
11954,-212,3455,2403
10705,-359,3447,2394
9563,-296,3455,2383
8816,-73,3459,2369
8425,254,3455,2362
8051,619,3429,2348
7628,1016,3417,2341
7292,1416,3415,2338
7172,1820,3417,2341
7129,2202,3394,2332
7059,2582,3379,2320
6923,2916,3374,2305
6831,3175,3379,2300
6794,3312,3360,2290
6831,3386,3341,2279
6839,3433,3331,2263
6831,3471,3341,2258
6793,3476,3329,2257
6831,3471,3303,2258
6887,3468,3270,2248
6945,3471,3265,2238
6935,3465,3266,2225
6945,3471,3265,2217
6982,3479,3242,2204
7059,3471,3227,2196
7078,3450,3221,2186
7059,3471,3227,2175
7022,3527,3212,2153
7059,3556,3189,2134
7120,3511,3159,2118
7172,3471,3151,2113
7164,3493,3148,2103
7172,3556,3151,2093
7208,3572,3135,2079
7286,3556,3113,2072
7340,3541,3084,2061
7400,3556,3075,2051
7450,3558,3073,2037
7514,3556,3075,2030
7558,3547,3056,2020
7628,3556,3037,2010
7689,3565,3025,1994
7742,3598,3037,1989
7767,3627,3043,1988
7856,3640,3037,1989
7981,3625,3011,1978
8083,3640,2999,1968
8084,3682,2996,1956
8083,3725,2999,1948
8121,3721,2980,1933
8197,3725,2961,1927
8241,3768,2950,1925
8311,3852,2961,1927
8390,3918,2965,1917
8425,3979,2961,1906
8326,4047,2938,1894
8197,4148,2923,1885
8109,4250,2914,1871
8083,4360,2923,1865
8027,4463,2926,1863
7969,4572,2923,1865
7909,4671,2901,1855
7856,4783,2885,1844
7744,4893,2876,1831
7628,4995,2885,1823
7508,5051,2886,1810
7400,5080,2885,1803
7263,5095,2876,1799
7172,5122,2885,1803
7142,5112,2900,1795
7172,5037,2923,1782
7175,4903,2935,1766
7172,4783,2961,1761
7160,4672,2992,1760
7172,4529,3037,1761
7165,4326,3070,1752
7172,4148,3113,1740
7168,4031,3160,1725
7172,3937,3227,1720
7156,3791,3284,1718
7172,3640,3341,1720
7183,3530,3388,1711
7172,3471,3455,1699
7103,3404,3534,1683
7059,3344,3644,1678
7048,3295,3756,1677
7059,3259,3872,1678
7007,3206,3976,1669
6945,3175,4100,1657
6910,3169,4230,1644
6945,3175,4366,1637
6964,3136,4478,1626
6945,3090,4594,1616
6874,3080,4705,1603
6831,3132,4821,1595
6813,3176,4916,1584
6831,3175,5011,1575
6828,3136,5102,1561
6831,3132,5201,1554
6822,3158,5279,1544
6831,3175,5353,1533
6824,3147,5410,1512
6831,3132,5467,1492
6825,3150,5505,1476
6831,3175,5543,1471
6821,3155,5564,1463
6831,3132,5581,1450
6832,3140,5577,1427
6831,3175,5581,1409
6778,3182,5580,1396
6717,3175,5581,1388
6674,3155,5549,1371
6717,3132,5505,1347
6783,3095,5454,1320
6831,3090,5429,1305
6821,3114,5398,1295
6831,3132,5353,1285
6839,3106,5274,1263
6831,3090,5201,1243
6788,3107,5127,1229
6831,3132,5049,1222
6947,3113,4935,1206
7059,3090,4821,1181
7065,3096,4714,1153
7059,3132,4631,1140
7070,3152,4536,1131
7059,3175,4442,1119
6934,3199,4339,1096
6831,3217,4252,1077
6872,3207,4166,1066
7059,3217,4100,1057
7181,3257,4027,1036
7172,3302,3948,1015
7106,3314,3844,1000
7172,3344,3758,994
7378,3409,3690,985
7628,3471,3644,974
7751,3456,3584,961
7742,3386,3531,953
7634,3308,3481,943
7514,3259,3455,932
7356,3225,3418,920
7172,3217,3379,912
6966,3208,3330,901
6831,3175,3303,891
6784,3101,3279,878
6831,3048,3265,870
6859,3025,3240,860
6831,3005,3227,849
6745,2952,3218,835
6717,2921,3227,829
6756,2934,3227,828
6831,2963,3227,829
6843,2947,3218,819
6831,2921,3227,808
6814,2924,3239,803
6831,2963,3265,808
6828,2976,3281,811
6831,2963,3303,808
6820,2947,3317,796
6831,2963,3341,787
6823,2972,3356,784
6831,2963,3379,787
6823,2942,3394,788
