I,MCL,ABP,RESP
11898,12416,5348,3145
12017,12693,5311,3132
12101,12894,5288,3122
12180,13037,5283,3095
12304,13180,5288,3076
12366,13246,5252,3062
12406,13276,5228,3053
12399,13257,5223,3028
12406,13276,5228,3008
12388,13303,5192,2992
12406,13371,5168,2985
12409,13387,5162,2963
12406,13371,5168,2939
12367,13298,5133,2912
12406,13276,5108,2894
12496,13265,5102,2867
12609,13276,5108,2848
12623,13248,5074,2832
12609,13276,5048,2826
12586,13321,5040,2805
12609,13371,5048,2780
12598,13324,5016,2750
12609,13276,4987,2734
12629,13242,4976,2721
12711,13276,4987,2712
12765,13273,4962,2689
12813,13276,4927,2666
12805,13255,4904,2637
12813,13276,4927,2620
12797,13266,4939,2606
12813,13276,4927,2598
12803,13260,4884,2577
12813,13276,4867,2552
12796,13263,4864,2521
12813,13276,4867,2507
12806,13263,4834,2495
12813,13276,4807,2484
12788,13261,4792,2458
12813,13276,4807,2438
12848,13265,4807,2423
12915,13276,4807,2415
12922,13259,4798,2393
12915,13276,4807,2370
12859,13246,4804,2351
12813,13180,4807,2347
12713,13023,4797,2338
12609,12894,4807,2324
12476,12803,4818,2299
12406,12798,4867,2279
12371,12761,4938,2261
12406,12703,5048,2256
12413,12585,5142,2246
12406,12512,5228,2233
12339,12470,5295,2207
12304,12512,5408,2188
12280,12523,5547,2171
12304,12512,5709,2165
12298,12459,5847,2152
12304,12512,6009,2142
12286,12636,6182,2128
12304,12798,6370,2119
12298,12858,6517,2106
12304,12894,6670,2096
12283,12918,6833,2083
12304,12989,7031,2074
12306,13000,7211,2060
12304,12989,7391,2051
12240,12950,7544,2037
12203,12989,7691,2028
12177,13060,7806,2014
12203,13180,7932,2005
12197,13243,8050,1992
12203,13276,8172,1982
12185,13251,8258,1968
12203,13276,8352,1960
12193,13311,8441,1948
12203,13371,8533,1937
12187,13369,8572,1920
12203,13371,8593,1914
12193,13353,8604,1913
12203,13371,8653,1914
12187,13359,8691,1902
12203,13371,8713,1891
12194,13360,8684,1879
12203,13371,8653,1869
12184,13352,8612,1852
12203,13371,8593,1846
12202,13370,8560,1846
12203,13371,8533,1846
12142,13309,8476,1831
12101,13276,8413,1823
12070,13251,8317,1822
12101,13276,8232,1823
12103,13267,8137,1809
12101,13276,8052,1800
12072,13237,7933,1798
12101,13180,7812,1800
12115,13058,7677,1787
12101,12989,7571,1777
11989,12958,7452,1775
11898,12989,7331,1777
11853,12981,7190,1765
11898,12989,7091,1755
11908,12977,7000,1752
11898,12989,6910,1755
11856,12961,6777,1743
11898,12989,6670,1732
11980,13080,6593,1726
12101,13276,6550,1732
12159,13437,6463,1731
12203,13562,6370,1732
12226,13657,6282,1731
12304,13849,6249,1732
12362,14015,6218,1720
12406,14040,6189,1709
12392,13843,6127,1703
12406,13658,6069,1709
12407,13593,6014,1709
12406,13658,6009,1709
12340,13670,6011,1705
12304,13658,6009,1709
12310,13612,5967,1709
12406,13562,5949,1709
12501,13394,5944,1705
12609,13180,5949,1709
12673,12957,5913,1711
12711,12798,5889,1709
12617,12581,5879,1696
12406,12321,5889,1686
12079,12056,5860,1682
11796,11939,5829,1686
11584,11895,5808,1686
11491,11843,5829,1686
11422,11707,5835,1684
11389,11652,5829,1686
11334,11711,5793,1685
11287,11843,5769,1686
11214,11866,5751,1685
11186,11843,5769,1686
11168,11819,5777,1684
11186,11843,5769,1686
11168,11777,5724,1687
11186,11652,5709,1686
11240,11511,5708,1674
11389,11461,5709,1663
11536,11357,5669,1657
11694,11079,5648,1663
11849,10488,5645,1667
12101,9742,5648,1663
12315,9030,5611,1648
12304,8596,5588,1641
11812,8397,5583,1639
10881,8405,5588,1641
9658,8580,5552,1629
8542,9073,5528,1618
7919,9791,5523,1611
8135,10506,5528,1618
8984,10856,5493,1621
9966,10792,5468,1618
10584,10388,5463,1604
10881,9933,5468,1595
11032,9660,5432,1590
11186,9837,5408,1595
11271,10385,5402,1597
11389,11079,5408,1595
11592,11616,5372,1582
11898,12034,5348,1572
12106,12382,5342,1568
12203,12703,5348,1572
12221,12856,5312,1573
12304,12894,5288,1572
12375,12893,5282,1562
12406,12989,5288,1549
12365,13099,5252,1534
12406,13180,5228,1527
12512,13174,5222,1524
12609,13180,5228,1527
12541,13176,5192,1519
12406,13180,5168,1504
12323,13147,5162,1485
12406,13180,5168,1481
12522,13234,5133,1482
12609,13276,5108,1481
12603,13218,5102,1468
12609,13180,5108,1458
12630,13172,5074,1456
12711,13180,5048,1458
12765,13083,5040,1449
12813,12989,5048,1436
12805,12943,5016,1427
12813,12989,4987,1436
12798,12993,4976,1441
12813,12989,4987,1436
12801,12965,4962,1419
12813,12989,4927,1413
12798,12982,4904,1414
12813,12989,4927,1413
12803,12972,4939,1398
12813,12989,4927,1390
12793,12978,4883,1389
12813,12989,4867,1390
12835,12976,4865,1377
12915,12989,4867,1367
12998,12974,4833,1366
13118,12989,4807,1367
13160,12981,4794,1355
13118,12989,4807,1344
12981,12940,4803,1343
12915,12894,4807,1344
12902,12822,4804,1332
12915,12798,4807,1322
12847,12751,4791,1319
12813,12703,4807,1322
12807,12593,4851,1311
12813,12512,4927,1299
12710,12437,4982,1294
12609,12416,5048,1299
12560,12361,5120,1299
12609,12321,5228,1299
12619,12279,5333,1298
12609,12321,5468,1299
12579,12364,5609,1288
12609,12416,5769,1276
12613,12428,5908,1269
12609,12512,6069,1276
12577,12636,6236,1280
12609,12798,6430,1276
12627,12867,6604,1262
12609,12894,6790,1253
12492,12898,6966,1250
12406,12989,7151,1253
12372,13085,7302,1252
12406,13180,7451,1253
12372,13212,7589,1252
12304,13276,7752,1253
12214,13327,7901,1251
12203,13371,8052,1253
12196,13322,8172,1255
12203,13276,8292,1253
12175,13242,8385,1241
12203,13276,8473,1230
12242,13276,8529,1226
12304,13276,8593,1230
12305,13247,8647,1231
12304,13276,8713,1230
12285,13308,8748,1228
12304,13371,8773,1230
12296,13381,8768,1231
12304,13371,8773,1230
12289,13305,8767,1227
12304,13276,8773,1230
12294,13253,8748,1232
12304,13276,8713,1230
12290,13266,8646,1218
12304,13276,8593,1208
12294,13260,8530,1203
12304,13276,8473,1208
12291,13262,8382,1208
12304,13276,8292,1208
12265,13261,8191,1206
12203,13276,8112,1208
12109,13263,8019,1207
12101,13276,7932,1208
12112,13237,7814,1206
12101,13180,7691,1208
11984,13061,7536,1206
11898,12989,7391,1208
11867,12952,7248,1207
11898,12989,7151,1208
11855,12992,7058,1205
11796,12989,6970,1208
11749,12953,6845,1208
11796,12989,6730,1208
11838,13080,6620,1203
11898,13276,6550,1208
11958,13495,6479,1219
12101,13753,6430,1230
12226,13965,6365,1231
12304,14135,6309,1230
12287,14151,6236,1230
12304,14040,6189,1230
12348,13816,6148,1226
12406,13658,6129,1230
12364,13598,6092,1241
12304,13658,6069,1253
12265,13679,6035,1253
12304,13658,6009,1253
12311,13583,5964,1260
12304,13562,5949,1276
12300,13507,5943,1281
12406,13371,5949,1276
12531,13086,5917,1268
12609,12798,5889,1276
12535,12533,5869,1289
12406,12321,5889,1299
12244,12089,5895,1296
12101,11939,5889,1299
11896,11863,5851,1309
11694,11843,5829,1322
11501,11750,5814,1322
11389,11652,5829,1322
11308,11591,5831,1328
11287,11652,5829,1344
11274,11738,5795,1349
11287,11843,5769,1344
11272,11871,5749,1337
11287,11843,5769,1344
11285,11729,5778,1357
11287,11652,5769,1367
11254,11626,5724,1365
11287,11652,5709,1367
11360,11526,5708,1375
11491,11174,5709,1390
11637,10575,5669,1394
11898,9933,5648,1390
12152,9334,5645,1384
12203,8882,5648,1390
11764,8561,5612,1401
10881,8500,5588,1413
9714,8724,5583,1414
8644,9264,5588,1413
8005,9936,5553,1410
8135,10601,5528,1413
8898,11015,5521,1412
9864,11079,5528,1413
10506,10724,5495,1411
10779,10219,5468,1413
10854,9908,5459,1412
10982,10124,5468,1413
11153,10716,5439,1411
11389,11365,5408,1413
11627,11791,5392,1411
11898,12130,5408,1413
12116,12469,5391,1412
12304,12798,5348,1413
12386,12940,5294,1411
12406,12989,5288,1413
12367,13046,5293,1412
12406,13180,5288,1413
12495,13254,5246,1410
12609,13276,5228,1413
12627,13255,5226,1414
12609,13276,5228,1413
12579,13271,5191,1401
12609,13276,5168,1390
12643,13256,5161,1384
12711,13276,5168,1390
12758,13270,5136,1393
12813,13276,5108,1390
12811,13256,5096,1377
12813,13276,5108,1367
12795,13277,5083,1362
12813,13276,5048,1367
12803,13213,5024,1370
12813,13180,5048,1367
12797,13157,5061,1354
12813,13180,5048,1344
12802,13168,5002,1340
12813,13180,4987,1344
12797,13170,4988,1345
12813,13180,4987,1344
12804,13157,4949,1341
12813,13180,4927,1344
12790,13190,4923,1346
12813,13180,4927,1344
12845,13073,4893,1332
12915,12989,4867,1322
12925,12949,4859,1316
12915,12989,4867,1322
12873,12991,4838,1325
12915,12989,4807,1322
12997,12965,4790,1308
13118,12989,4807,1299
13150,12987,4807,1295
13118,12989,4807,1299
13003,12938,4798,1299
12915,12894,4807,1299
12832,12823,4801,1297
12813,12798,4807,1299
12793,12753,4817,1298
12813,12703,4867,1299
12808,12589,4919,1297
12813,12512,4987,1299
12761,12444,5055,1297
12711,12416,5168,1299
12635,12350,5287,1298
12609,12321,5408,1299
12588,12296,5506,1297
12609,12321,5648,1299
12602,12336,5821,1299
12609,12416,6009,1299
12591,12479,6153,1295
12609,12512,6309,1299
12603,12468,6481,1308
12609,12512,6670,1322
12586,12638,6817,1324
12609,12798,6970,1322
12617,12822,7137,1318
12609,12798,7331,1322
12508,12794,7486,1323
12406,12894,7631,1322
12315,12962,7770,1317
12304,12989,7932,1322
12293,12956,8062,1332
12304,12989,8172,1344
12288,13059,8253,1346
12304,13180,8352,1344
12295,13242,8443,1341
12304,13276,8533,1344
12287,13254,8572,1345
12304,13276,8593,1344
12298,13305,8602,1342
12304,13371,8653,1344
12279,13382,8696,1345
12304,13371,8713,1344
12341,13304,8673,1340
12406,13276,8653,1344
12410,13253,8649,1355
12406,13276,8653,1367
12381,13267,8599,1369
12406,13276,8533,1367
12408,13259,8462,1364
12406,13276,8413,1367
12344,13264,8326,1367
12304,13276,8232,1367
12273,13258,8128,1365
12304,13276,8052,1367
12311,13266,7961,1366
12304,13276,7872,1367
12237,13257,7752,1365
12203,13276,7631,1367
12181,13246,7477,1366
12203,13180,7331,1367
12168,13048,7187,1365
12101,12989,7091,1367
11977,12972,6998,1367
11898,12989,6910,1367
11850,12954,6785,1365
11898,12989,6670,1367
11973,13093,6559,1368
12101,13276,6490,1367
12204,13437,6420,1362
12304,13658,6370,1367
12318,13880,6303,1378
12304,14040,6249,1390
12292,13990,6179,1391
12406,13849,6129,1390
12544,13706,6084,1388
12609,13658,6069,1390
12508,13601,6039,1387
12406,13562,6009,1390
12367,13526,5962,1399
12406,13562,5949,1413
12393,13577,5944,1416
12406,13562,5949,1413
12496,13442,5918,1407
12711,13276,5889,1413
12874,13036,5868,1423
12915,12798,5889,1436
12784,12536,5897,1438
12609,12321,5889,1436
12397,12110,5846,1430
12203,11939,5829,1436
11978,11760,5823,1446
11796,11652,5829,1458
11623,11601,5797,1460
11491,11652,5769,1458
11354,11728,5750,1453
11287,11843,5769,1458
11263,11907,5773,1467
11287,11939,5769,1481
11276,11891,5733,1485
11287,11843,5709,1481
11282,11752,5690,1474
11287,11652,5709,1481
11280,11523,5717,1494
11389,11461,5709,1504
11574,11353,5664,1501
11796,11079,5648,1504
11966,10485,5648,1514
12203,9742,5648,1527
12418,9043,5609,1526
12406,8596,5588,1527
11867,8346,5585,1535
10881,8309,5588,1549
9670,8482,5551,1552
8644,8978,5528,1549
8134,9655,5523,1547
8440,10315,5528,1549
9354,10673,5492,1547
10372,10697,5468,1549
10972,10379,5463,1557
11186,9933,5468,1572
11222,9625,5432,1577
11287,9837,5408,1572
11345,10525,5402,1557
11491,11365,5408,1549
11747,11952,5372,1546
12101,12321,5348,1549
12332,12576,5342,1549
12406,12798,5348,1549
12366,12897,5312,1548
12406,12989,5288,1549
12500,13118,5282,1548
12609,13276,5288,1549
12616,13307,5252,1549
12609,13276,5228,1549
12623,13242,5222,1546
12711,13276,5228,1549
12773,13277,5192,1551
12813,13276,5168,1549
12801,13254,5162,1536
12813,13276,5168,1527
12802,13270,5132,1523
12813,13276,5108,1527
12799,13258,5102,1525
12813,13276,5108,1527
12802,13268,5072,1528
12813,13276,5048,1527
12798,13257,5042,1514
12813,13276,5048,1504
12802,13247,5012,1500
12813,13180,4987,1504
12797,13049,4982,1502
12813,12989,4987,1504
12805,12972,4953,1505
12813,12989,4927,1504
12789,12955,4921,1490
12813,12989,4927,1481
12846,13072,4895,1479
12915,13180,4867,1481
12923,13183,4858,1471
12915,13180,4867,1458
12882,13199,4838,1452
12915,13276,4807,1458
12925,13285,4789,1462
12915,13276,4807,1458
12863,13250,4809,1445
12915,13276,4807,1436
13024,13246,4796,1430
13118,13180,4807,1436
13043,13057,4805,1438
12915,12989,4807,1436
12809,12928,4795,1422
12813,12894,4807,1413
12813,12823,4823,1409
12813,12798,4867,1413
12759,12758,4913,1413
12711,12703,4987,1413
12633,12577,5064,1410
12609,12512,5168,1413
12595,12491,5272,1412
12609,12512,5408,1413
12588,12480,5548,1410
12609,12512,5709,1413
12620,12590,5852,1413
12609,12703,6009,1413
12498,12736,6170,1408
12406,12798,6370,1413
12363,12885,6556,1423
12406,12989,6730,1436
12414,12986,6868,1437
12406,12989,7031,1436
12347,13041,7204,1432
12304,13180,7391,1436
12233,13251,7541,1435
12203,13276,7691,1436
12180,13252,7835,1433
12203,13276,7992,1436
12195,13272,8116,1435
12203,13276,8232,1436
12187,13248,8322,1432
12203,13276,8413,1436
12191,13309,8471,1437
12203,13371,8533,1436
12190,13375,8586,1423
12203,13371,8653,1413
12189,13343,8689,1408
12203,13371,8713,1413
12191,13375,8707,1413
12203,13371,8713,1413
12188,13328,8708,1410
12203,13371,8713,1413
12194,13457,8687,1412
12203,13562,8653,1413
12185,13569,8589,1411
12203,13562,8533,1413
12202,13541,8464,1412
12203,13562,8413,1413
12142,13547,8348,1411
12101,13562,8292,1413
12070,13561,8206,1411
12101,13562,8112,1413
12103,13471,7987,1411
12101,13371,7872,1413
12071,13278,7744,1411
12101,13276,7631,1413
12116,13269,7503,1411
12101,13276,7391,1413
11988,13250,7265,1412
11898,13276,7151,1413
11855,13278,7018,1411
11898,13276,6910,1413
11905,13231,6806,1412
11898,13276,6730,1413
11861,13386,6636,1411
11898,13562,6550,1413
11970,13693,6447,1412
12101,13849,6370,1413
12204,13997,6293,1409
12304,14135,6249,1413
12353,14129,6207,1421
12406,14040,6189,1436
12412,13907,6156,1440
12406,13849,6129,1436
12343,13795,6088,1428
12304,13753,6069,1436
12277,13676,6039,1449
12304,13658,6009,1458
12302,13653,5961,1455
12304,13658,5949,1458
12306,13551,5947,1469
12406,13371,5949,1481
12529,13119,5912,1479
12609,12894,5889,1481
12512,12647,5880,1491
12304,12416,5889,1504
12027,12178,5859,1503
11796,12034,5829,1504
11568,11953,5809,1513
11389,11939,5829,1527
11239,11887,5834,1527
11186,11843,5829,1527
11169,11802,5793,1533
11186,11843,5769,1549
11173,11888,5750,1554
11186,11939,5769,1549
11178,11932,5777,1543
11186,11939,5769,1549
11164,11902,5724,1560
11186,11843,5709,1572
11216,11730,5708,1574
11287,11652,5709,1572
11344,11501,5669,1567
11491,11174,5648,1572
11770,10553,5645,1583
12203,9837,5648,1595
12473,9196,5611,1596
12304,8787,5588,1595
11579,8563,5583,1593
10576,8596,5588,1595
9489,8856,5552,1594
8542,9360,5528,1595
7985,9968,5523,1594
8237,10601,5528,1595
9193,10990,5493,1593
10271,10983,5468,1595
10812,10589,5463,1596
10881,10219,5468,1595
10844,10163,5432,1583
10982,10506,5408,1572
11173,11007,5402,1566
11389,11556,5408,1572
11614,12026,5372,1576
11898,12416,5348,1572
12125,12667,5342,1558
12304,12894,5348,1549
12381,13097,5312,1546
12406,13276,5288,1549
12369,13310,5282,1548
12406,13276,5288,1549
12496,13232,5252,1550
12609,13276,5228,1549
12625,13324,5222,1537
12609,13371,5228,1527
12586,13363,5192,1521
12609,13371,5168,1527
12604,13359,5162,1528
12609,13371,5168,1527
12593,13356,5132,1523
12609,13371,5108,1527
12599,13367,5102,1528
12609,13371,5108,1527
12598,13316,5073,1514
12609,13276,5048,1504
12590,13241,5042,1499
12609,13276,5048,1504
12635,13284,5014,1506
12711,13276,4987,1504
12760,13208,4980,1492
12813,13180,4987,1481
12810,13161,4956,1475
12813,13180,4927,1481
12791,13163,4916,1485
12813,13180,4927,1481
12812,13205,4901,1466
12813,13276,4867,1458
12780,13287,4846,1458
12813,13276,4867,1458
12863,13235,4877,1446
12915,13276,4867,1436
12868,13327,4827,1431
12813,13371,4807,1436
12771,13321,4796,1435
12813,13276,4807,1436
12854,13219,4803,1436
12915,13180,4807,1436
12924,13074,4801,1423
12915,12989,4807,1413
12845,12915,4799,1408
12813,12894,4807,1413
12795,12836,4820,1413
12813,12798,4867,1413
12766,12737,4915,1410
12711,12703,4987,1413
12634,12661,5061,1412
12609,12703,5168,1413
12586,12732,5277,1411
12609,12703,5408,1413
12607,12559,5522,1412
12609,12512,5648,1413
12581,12606,5776,1411
12609,12798,5949,1413
12625,12877,6128,1411
12609,12894,6309,1413
12493,12897,6453,1411
12406,12989,6610,1413
12369,13076,6775,1411
12406,13180,6970,1413
12402,13235,7149,1411
12406,13276,7331,1413
12394,13255,7485,1411
12406,13276,7631,1413
12355,13310,7745,1411
12304,13371,7872,1413
12261,13365,7991,1411
12304,13371,8112,1413
12351,13364,8198,1411
12406,13371,8292,1413
12401,13313,8381,1411
12406,13276,8473,1413
12390,13248,8512,1411
12406,13276,8533,1413
12395,13268,8544,1411
12406,13276,8593,1413
12392,13261,8630,1411
12406,13276,8653,1413
12394,13258,8624,1411
12406,13276,8593,1413
12394,13300,8552,1412
12406,13371,8533,1413
12391,13387,8499,1411
12406,13371,8473,1413
12396,13298,8416,1412
12406,13276,8352,1413
12388,13260,8256,1410
12406,13276,8172,1413
12404,13255,8079,1413
12406,13276,7992,1413
12346,13277,7870,1409
12304,13276,7752,1413
12271,13208,7622,1422
12304,13180,7511,1436
12311,13169,7383,1438
12304,13180,7271,1436
12240,13091,7146,1431
12203,12989,7031,1436
12144,12925,6896,1437
12101,12989,6790,1436
12050,13026,6691,1429
12101,12989,6610,1436
12196,12899,6508,1447
12304,12989,6430,1458
12337,13248,6359,1457
12406,13562,6309,1458
12502,13732,6239,1467
12609,13849,6189,1481
12613,13948,6149,1483
12609,14040,6129,1481
12630,13977,6072,1484
12711,13849,6009,1504
12729,13739,5951,1520
12711,13753,5949,1527
12645,13766,5952,1522
12609,13753,5949,1527
12572,13658,5908,1538
12609,13562,5889,1549
12686,13423,5882,1548
12813,13276,5889,1549
12881,13049,5858,1558
12915,12798,5829,1572
12876,12520,5809,1574
12813,12321,5829,1572
12643,12156,5834,1576
12406,12034,5829,1595
12109,11902,5792,1611
11898,11843,5769,1618
11761,11823,5752,1613
11694,11843,5769,1618
11589,11824,5775,1628
11491,11843,5769,1641
11403,11874,5728,1641
11389,11939,5709,1641
11378,11942,5701,1646
11389,11939,5709,1663
11371,11894,5680,1677
11389,11843,5648,1686
11408,11735,5627,1684
11491,11652,5648,1686
11603,11545,5659,1692
11796,11365,5648,1709
11991,10938,5605,1723
12203,10315,5588,1732
12350,9610,5585,1728
12406,9073,5588,1732
12126,8728,5555,1740
11389,8596,5528,1755
10244,8633,5514,1763
9152,8978,5528,1777
8486,9586,5510,1791
8440,10315,5468,1800
8848,10827,5415,1796
9559,10983,5408,1800
10300,10710,5413,1811
10881,10219,5408,1823
11125,9798,5366,1820
11186,9837,5348,1823
11247,10317,5346,1833
11491,10983,5348,1846
11804,11506,5310,1844
12101,11939,5288,1846
12272,12336,5284,1854
12406,12703,5288,1869
12500,12889,5252,1868
12609,12989,5228,1869
12660,13068,5223,1876
12711,13180,5228,1891
12743,13229,5192,1893
12813,13276,5168,1891
12831,13317,5162,1894
12813,13371,5168,1914
12740,13355,5132,1930
12711,13371,5108,1937
12697,13436,5102,1931
12711,13562,5108,1937
12690,13600,5072,1948
12711,13562,5048,1960
12746,13451,5042,1957
12813,13371,5048,1960
12817,13295,5013,1969
12813,13276,4987,1982
12788,13257,4982,1981
12813,13276,4987,1982
12810,13264,4953,1990
12813,13276,4927,2005
12787,13261,4920,2006
12813,13276,4927,2005
12816,13262,4895,2003
12813,13276,4867,2005
12774,13263,4857,2000
12813,13276,4867,2005
12869,13260,4840,2016
12915,13276,4807,2028
12881,13266,4787,2026
12915,13276,4807,2028
13006,13256,4814,2037
13118,13276,4807,2051
13118,13272,4771,2050
13118,13276,4747,2051
13149,13246,4731,2057
13220,13276,4747,2074
13185,13295,4753,2078
13118,13276,4747,2074
13068,13129,4706,2066
13118,12989,4687,2074
13141,12893,4696,2085
13118,12894,4747,2096
13006,12883,4782,2095
12915,12894,4807,2096
12832,12859,4817,2101
12813,12798,4867,2119
12792,12641,4942,2132
12813,12512,5048,2142
12809,12445,5134,2140
12813,12512,5228,2142
12759,12597,5326,2147
12711,12703,5468,2165
12639,12753,5614,2178
12609,12798,5769,2188
12581,12783,5905,2185
12609,12798,6069,2188
12618,12841,6242,2194
12609,12989,6430,2210
12508,13139,6581,2221
12406,13276,6730,2233
12314,13319,6885,2241
12304,13371,7091,2256
12293,13438,7286,2267
12304,13562,7451,2279
12287,13605,7561,2286
12304,13562,7691,2301
12298,13432,7838,2314
12304,13371,7992,2324
12279,13354,8090,2321
12304,13371,8172,2324
12340,13340,8250,2332
12406,13371,8352,2347
12410,13449,8422,2355
12406,13562,8473,2370
12381,13576,8495,2382
12406,13562,8533,2393
12407,13535,8559,2388
