II,aVL,PLETH,RESP
6684,-3065,4137,0
5669,-2181,4095,0
4704,-1171,4058,0
4081,-287,4026,0
3698,327,3973,0
3439,689,3923,0
3274,888,3868,0
3174,1033,3819,0
3060,1159,3759,0
2948,1263,3716,0
2873,1329,3679,0
2834,1378,3647,0
2787,1411,3592,0
2759,1435,3544,0
2755,1438,3501,0
2759,1435,3475,0
2730,1428,3437,0
2721,1435,3407,0
2735,1463,3369,0
2759,1492,3338,0
2739,1507,3294,0
2721,1492,3269,0
2726,1461,3250,0
2759,1435,3235,0
2766,1428,3199,0
2759,1435,3200,0
2749,1438,3282,0
2759,1435,3475,0
2759,1428,3710,0
2759,1435,3923,0
2754,1456,4054,0
2759,1492,4129,0
2757,1526,4166,0
2759,1550,4198,0
2755,1554,4205,0
2759,1550,4198,0
2756,1543,4173,0
2759,1550,4164,0
2756,1554,4150,0
2759,1550,4129,0
2754,1539,4087,0
2759,1550,4060,0
2768,1562,4042,0
2797,1550,4026,0
2820,1524,3987,0
2834,1550,3957,0
2830,1620,3937,0
2834,1665,3923,0
2837,1653,3885,0
2834,1665,3854,0
2820,1728,3832,0
2834,1779,3819,0
2861,1768,3783,0
2872,1779,3751,0
2845,1863,3726,0
2834,1952,3716,0
2852,1960,3684,0
2872,1952,3647,0
2850,1997,3616,0
2834,2066,3613,0
2856,2080,3601,0
2910,2066,3579,0
2947,2070,3536,0
2986,2066,3510,0
3037,2009,3489,0
3099,1952,3475,0
3135,1942,3440,0
3174,1952,3407,0
3227,1908,3378,0
3288,1837,3372,0
3315,1789,3359,0
3326,1779,3338,0
3326,1775,3298,0
3326,1779,3269,0
3305,1786,3245,0
3288,1779,3235,0
3271,1742,3215,0
3250,1722,3200,0
3207,1741,3179,0
3174,1779,3166,0
3152,1787,3146,0
3137,1779,3131,0
3107,1776,3110,0
3099,1779,3097,0
3115,1757,3077,0
3137,1722,3062,0
3111,1701,3042,0
3061,1722,3028,0
3020,1756,3007,0
3023,1779,2994,0
3031,1778,2974,0
3023,1779,2959,0
2994,1782,2938,0
2986,1779,2925,0
2988,1768,2906,0
2986,1779,2890,0
2948,1810,2866,0
2910,1837,2856,0
2883,1835,2852,0
2872,1837,2856,0
2849,1845,2842,0
2834,1837,2822,0
2828,1797,2795,0
2834,1779,2787,0
2829,1805,2785,0
2834,1837,2787,0
2847,1819,2771,0
2872,1779,2753,0
2907,1763,2729,0
2986,1779,2718,0
3068,1786,2700,0
3099,1779,2684,0
3056,1771,2658,0
3023,1779,2650,0
3037,1783,2643,0
3061,1779,2650,0
3039,1773,2653,0
3023,1779,2684,0
3053,1783,2727,0
3099,1779,2787,0
3081,1770,2833,0
3023,1779,2890,0
2981,1789,2959,0
2986,1779,3062,0
2982,1755,3173,0
2948,1779,3303,0
2885,1863,3441,0
2834,1952,3613,0
2791,1974,3794,0
2759,1952,3992,0
2720,1937,4177,0
2683,1952,4370,0
2630,1944,4555,0
2570,1894,4749,0
2511,1821,4923,-1
2494,1779,5093,0
2510,1771,5244,6
2532,1779,5402,16
2518,1777,5544,25
2494,1779,5678,32
2481,1798,5782,43
2494,1837,5884,64
2509,1853,5970,90
2532,1837,6056,113
2550,1797,6122,128
2570,1779,6194,145
2565,1779,6250,163
2570,1779,6297,177
2579,1778,6313,184
2608,1779,6331,193
2623,1786,6345,209
2645,1779,6366,225
2648,1753,6363,233
2645,1722,6366,241
2636,1727,6362,256
2645,1779,6366,274
2633,1803,6346,284
2570,1779,6331,290
2458,1857,6309,297
2381,2181,6297,306
2387,2574,6262,313
2494,2755,6228,322
2707,2842,6186,337
3174,3214,6159,354
4087,3647,6111,365
5404,3214,6056,370
6633,1387,5980,376
7256,-1091,5918,386
7289,-2939,5847,396
7256,-3616,5781,402
7365,-3526,5701,407
7218,-3157,5643,418
6419,-2598,5589,434
5253,-1779,5540,451
4321,-845,5456,460
3855,-57,5368,467
3613,432,5282,473
3401,689,5230,483
3226,844,5168,490
3137,976,5093,499
3067,1073,4993,511
2986,1148,4921,531
2909,1228,4863,550
2872,1320,4817,563
2848,1372,4745,569
2834,1378,4680,579
2823,1364,4619,594
2834,1378,4576,612
2837,1408,4519,621
2834,1435,4473,628
2806,1445,4430,638
2797,1435,4404,660
2806,1427,4366,685
2834,1435,4336,708
2828,1445,4298,724
2797,1435,4267,740
2771,1419,4223,760
2797,1435,4198,789
2822,1475,4177,819
2797,1492,4164,853
2739,1461,4126,884
2759,1435,4095,917
2830,1467,4070,952
2834,1550,4060,998
2745,1607,4030,1046
2721,1607,3992,1094
2782,1585,3946,1134
2759,1607,3923,1175
2566,1678,3902,1218
2381,1779,3888,1271
2257,1903,3855,1321
2041,2066,3819,1368
1737,2225,3775,1406
1701,2296,3751,1448
2040,2223,3730,1492
2381,2066,3716,1545
2399,1904,3682,1598
2343,1779,3647,1658
2514,1689,3606,1713
2759,1665,3579,1770
2763,1726,3552,1827
2645,1837,3544,1899
2687,1873,3530,1973
2872,1779,3510,2044
2939,1639,3469,2098
2872,1607,3441,2157
2829,1694,3421,2219
2872,1779,3407,2285
2903,1782,3370,2340
2910,1779,3338,2398
2934,1831,3313,2459
2986,1894,3303,2527
3013,1913,3283,2582
3023,1952,3269,2639
3016,2033,3251,2699
2986,2066,3235,2768
2942,1968,3198,2830
2986,1837,3166,2897
3168,1794,3140,2960
3439,1837,3131,3026
3652,1887,3114,3079
3741,1952,3097,3138
3734,2032,3075,3198
3704,2066,3062,3267
3621,1995,3043,3329
3439,1894,3028,3396
3178,1832,3007,3453
2986,1779,2994,3509
2936,1668,2974,3551
2986,1550,2959,3605
3020,1507,2939,3661
3023,1550,2925,3718
3009,1610,2905,3756
2986,1665,2890,3798
2926,1718,2870,3842
2872,1779,2856,3895
2843,1834,2837,3933
2834,1894,2822,3975
2817,1945,2800,4014
2834,1952,2787,4056
2901,1880,2769,4074
2986,1779,2753,4088
3011,1730,2728,4092
2986,1779,2718,4104
2949,1857,2715,4103
2948,1894,2718,4104
2963,1897,2704,4099
2986,1952,2684,4104
2982,2042,2659,4101
2948,2066,2650,4104
2882,1964,2644,4100
2834,1837,2650,4104
2818,1779,2650,4100
2834,1779,2650,4104
2861,1788,2633,4100
2910,1837,2615,4104
2949,1919,2593,4100
2948,1952,2581,4104
2895,1885,2562,4100
2834,1837,2546,4104
2724,1922,2524,4100
2494,2124,2512,4104
2172,2324,2494,4100
1965,2468,2477,4104
2009,2512,2451,4100
2230,2411,2443,4104
2436,2181,2440,4100
2570,2009,2443,4104
2650,2077,2434,4100
2721,2353,2443,4104
2815,2550,2467,4100
2986,2468,2512,4104
3136,2236,2553,4100
3099,2181,2615,4104
2858,2383,2692,4100
2645,2583,2787,4104
2567,2512,2868,4100
2494,2239,2959,4104
2327,2007,3063,4100
2230,1952,3200,4104
2283,2012,3335,4100
2305,2124,3475,4104
2134,2227,3616,4100
1965,2239,3785,4104
2038,2079,3957,4100
2305,1837,4129,4104
2538,1699,4279,4100
2683,1779,4439,4104
2770,1963,4596,4100
2759,2066,4749,4104
2593,2022,4868,4101
2419,1952,4989,4104
2401,1940,5108,4099
2532,1952,5230,4104
2628,1886,5329,4104
2645,1779,5437,4104
2658,1717,5541,4096
2759,1722,5643,4104
2852,1767,5711,4108
2834,1837,5781,4104
2709,1912,5850,4089
2645,1952,5918,4104
2685,1980,5952,4126
2721,2066,5987,4104
2653,2169,6030,3994
2570,2181,6091,3847
2512,2148,6126,3708
2419,2296,6159,3589
2309,2686,6187,3451
2381,3100,6228,3299
2658,3338,6248,3148
3023,3501,6263,3010
3596,3679,6259,2855
4724,3559,6263,2688
6211,2564,6247,2518
7256,574,6228,2366
7428,-1727,6190,2210
7256,-3329,6159,2044
7288,-3779,6110,1867
7256,-3387,6056,1706
6609,-2689,5980,1550
5518,-1894,5918,1384
4594,-1028,5850,1202
4081,-230,5781,1046
3728,292,5687,921
3401,574,5609,805
3181,812,5535,669
3099,1091,5471,547
3021,1301,5382,452
2910,1378,5299,370
2832,1369,5221,272
2834,1378,5161,193
2841,1438,5078,154
2797,1550,4989,145
2702,1644,4892,124
2645,1665,4817,113
2654,1606,4742,125
2721,1550,4680,161
2757,1540,4607,188
2759,1550,4542,225
2728,1567,4467,280
2721,1607,4404,354
2748,1664,4333,421
2834,1665,4267,499
2911,1564,4189,589
2910,1435,4129,692
2821,1384,4073,785
2759,1435,4026,885
2767,1495,3966,998
2797,1492,3923,1127
2775,1447,3884,1246
2759,1435,3854,1368
2796,1466,3801,1497
2872,1492,3751,1642
2917,1470,3704,1780
2948,1435,3682,1915
2974,1424,3651,2050
2986,1435,3613,2205
2966,1420,3556,2361
2986,1378,3510,2511
3051,1332,3467,2648
3099,1320,3441,2800
3063,1337,3406,2960
3023,1378,3372,3106
3042,1415,3330,3224
3099,1435,3303,3348
3110,1416,3281,3476
3099,1378,3269,3589
3094,1354,3238,3666
3099,1378,3200,3750
3084,1417,3154,3848
3099,1435,3131,3927
3154,1425,3114,3949
3212,1435,3097,3959
3204,1467,3058,3985
3174,1492,3028,4007
3184,1503,3004,3983
3250,1550,2994,3943
3303,1628,2972,3918
3326,1665,2959,3895
3331,1610,2952,3832
3363,1550,2959,3750
3404,1574,2956,3674
3439,1665,2959,3605
3452,1708,2967,3513
3477,1665,2994,3412
3522,1586,3011,3309
3590,1550,3028,3203
3639,1548,3045,3074
3666,1550,3097,2945
3666,1539,3164,2824
3666,1550,3235,2704
3652,1582,3282,2561
3628,1607,3338,2414
3585,1588,3401,2273
3552,1550,3475,2141
3527,1532,3529,1991
3515,1550,3579,1835
3484,1561,3626,1677
3439,1550,3682,1529
3378,1531,3720,1370
3326,1550,3751,1207
3267,1604,3768,1047
3212,1665,3785,901
3168,1685,3786,743
3174,1665,3785,563
3202,1624,3771,377
3212,1607,3751,241
3164,1624,3713,164
3099,1665,3682,113
3046,1686,3648,50
3023,1665,3613,0
2998,1604,3560,-15
2986,1550,3510,0
2993,1530,3458,6
3023,1550,3407,0
3012,1578,3336,-5
2948,1607,3269,0
2871,1634,3208,2
2872,1665,3166,0
2924,1676,3115,-2
2948,1665,3062,0
2900,1649,3005,-1
2872,1665,2959,0
2913,1684,2908,-1
2986,1665,2856,0
3010,1597,2796,-2
3023,1550,2753,0
3057,1547,2715,2
3099,1550,2684,0
3100,1501,2634,-5
3099,1435,2581,0
3107,1409,2522,6
3099,1435,2477,0
3056,1451,2426,-15
3061,1435,2374,0
3126,1412,2313,50
3174,1435,2271,113
3137,1494,2241,166
3099,1550,2237,241
3126,1564,2230,367
3174,1550,2237,531
3151,1519,2251,685
3099,1492,2305,821
3082,1490,2380,960
3099,1550,2477,1127
3074,1648,2581,1296
3023,1722,2718,1448
2988,1731,2870,1590
2986,1722,3028,1754
2972,1724,3162,1925
2948,1722,3303,2060
2913,1687,3451,2143
2872,1665,3613,2221
2809,1686,3762,2317
2759,1722,3923,2398
2729,1709,4089,2427
2721,1665,4267,2430
2712,1642,4424,2441
2721,1665,4576,2446
2730,1682,4716,2420
2721,1665,4852,2382
2685,1622,4959,2354
2683,1607,5058,2318
2721,1627,5144,2245
2759,1665,5230,2157
2742,1677,5289,2082
2721,1665,5334,2012
2723,1636,5363,1916
2759,1607,5402,1803
2767,1597,5427,1693
2759,1607,5437,1593
2743,1635,5418,1480
2759,1665,5402,1352
2764,1680,5383,1219
2759,1665,5368,1094
2770,1643,5332,964
2834,1665,5299,821
2836,1718,5262,674
2683,1779,5230,547
2490,1921,5178,422
2494,2239,5127,274
2642,2601,5070,110
2721,2813,5024,0
2870,2962,4957,-26
3628,3214,4886,0
5085,3110,4806,10
6538,1837,4749,0
7231,-548,4693,-8
7256,-2755,4645,0
7189,-3695,4577,3
7256,-3616,4508,0
7145,-3386,4429,-3
6614,-3157,4370,0
5761,-2513,4312,-1
4875,-1435,4267,0
4155,-451,4211,0
3704,115,4164,0
3477,398,4107,-5
3363,631,4060,0
3258,838,4012,5
3174,976,3992,0
3117,1044,3974,-13
3061,1091,3957,0
2974,1139,3916,45
2910,1205,3888,97
2895,1251,3867,135
2910,1263,3854,193
2894,1267,3817,292
2872,1320,3785,418
2857,1384,3758,529
2872,1378,3751,628
2873,1309,3732,732
2872,1263,3716,853
2862,1287,3695,969
2872,1320,3682,1078
2882,1319,3659,1184
2910,1320,3647,1304
2934,1357,3640,1424
2948,1378,3647,1545
2928,1328,3645,1661
2910,1263,3647,1786
2911,1246,3645,1910
2948,1263,3647,2028
2976,1259,3631,2130
2986,1263,3613,2237
2975,1311,3589,2345
2986,1378,3579,2446
3008,1398,3562,2526
3023,1378,3544,2607
3005,1346,3509,2694
2986,1320,3475,2784
2977,1302,3436,2858
2986,1320,3407,2929
2993,1362,3370,3000
3023,1378,3338,3074
3065,1343,3299,3130
3099,1320,3269,3187
3098,1344,3232,3246
3099,1378,3200,3315
3103,1359,3161,3368
3099,1320,3131,3412
3068,1321,3096,3447
3061,1378,3062,3492
3083,1440,3020,3532
3099,1492,2994,3573
3060,1545,2974,3602
3023,1607,2959,3637
3036,1649,2924,3667
3099,1665,2890,3702
3136,1676,2862,3724
3137,1722,2856,3750
3110,1789,2853,3769
3099,1837,2856,3798
3112,1825,2844,3820
3174,1779,2822,3847
3257,1754,2781,3865
3326,1779,2753,3895
3346,1805,2732,3918
3363,1779,2718,3943
3395,1707,2686,3955
3439,1665,2650,3975
3448,1667,2611,3994
3439,1665,2581,4024
3429,1610,2544,4045
3439,1550,2512,4072
3431,1530,2476,4088
3401,1550,2443,4104
3352,1572,2404,4103
3326,1607,2374,4104
3318,1648,2352,4099
3326,1665,2340,4104
3322,1633,2311,4101
3326,1607,2271,4104
3327,1609,2226,4099
3326,1607,2202,4104
3294,1568,2187,4100
3250,1550,2168,4104
3202,1594,2130,4100
3174,1665,2099,4104
3160,1684,2078,4100
3174,1665,2065,4104
3196,1651,2033,4100
3212,1665,1996,4104
3197,1670,1958,4100
3174,1665,1927,4104
3138,1658,1891,4100
3099,1665,1858,4104
3059,1666,1824,4100
3061,1665,1789,4104
3086,1661,1739,4100
3099,1665,1686,4104
3061,1664,1632,4100
3023,1665,1583,4104
3012,1663,1519,4100
3023,1665,1445,4104
3007,1662,1368,4100
2986,1665,1308,4104
2974,1664,1255,4100
2986,1665,1204,4104
2994,1661,1146,4100
3023,1665,1101,4104
3073,1665,1065,4100
3137,1665,1032,4104
3167,1658,980,4100
3174,1665,929,4104
3167,1672,885,4100
3174,1665,860,4104
3188,1630,835,4100
3212,1607,826,4104
3211,1619,830,4100
3174,1665,860,4104
3114,1704,900,4100
3099,1722,963,4104
3133,1703,1038,4100
3174,1665,1136,4104
3153,1638,1251,4100
3099,1665,1411,4104
3067,1712,1595,4100
3099,1722,1789,4104
3138,1678,1978,4100
3137,1665,2202,4104
3069,1731,2458,4100
2986,1837,2718,4104
2914,1891,2934,4100
2872,1894,3131,4104
2821,1902,3329,4100
2759,1952,3544,4104
2687,1986,3749,4100
2645,1952,3957,4104
2633,1856,4163,4100
2645,1779,4370,4104
2648,1759,4548,4100
2645,1779,4714,4104
2638,1787,4870,4100
2645,1779,5024,4104
2649,1771,5151,4100
2645,1779,5265,4104
2631,1781,5356,4100
2645,1779,5437,4104
2679,1773,5491,4100
2721,1779,5540,4104
2721,1784,5576,4100
2721,1779,5609,4104
2730,1776,5624,4100
2759,1779,5643,4104
2771,1785,5649,4100
2797,1779,5643,4104
2800,1756,5606,4100
2759,1722,5574,4104
2712,1715,5550,4100
2759,1779,5540,4104
2790,1876,5508,4100
2645,1952,5471,4104
2438,2067,5419,4100
2494,2353,5368,4104
2737,2742,5296,4100
2834,3042,5230,4104
2980,3213,5169,4100
3930,3272,5127,4104
5722,2810,5065,4100
7256,1263,4989,4104
7614,-1134,4893,4100
7256,-3157,4817,4104
7115,-3885,4746,4100
7256,-3616,4680,4104
7037,-3178,4589,4100
6273,-2755,4508,4104
5356,-2037,4430,4100
4611,-1033,4370,4104
4030,-167,4296,4100
3628,344,4232,4104
3436,635,4171,4100
3363,861,4129,4104
3244,1011,4076,4100
3099,1091,4026,4104
3012,1162,3967,4100
2986,1263,3923,4104
2934,1343,3877,4100
2872,1378,3854,4104
2845,1372,3833,4100
2872,1378,3819,4104
2886,1403,3784,4100
2872,1435,3751,4104
2834,1445,3720,4100
2834,1435,3716,4104
2854,1433,3714,4100
2872,1435,3716,4104
2849,1435,3699,4100
2834,1435,3682,4104
2841,1440,3657,4100
2872,1435,3647,4104
2880,1422,3631,4100
2872,1435,3613,4104
2860,1472,3585,4100
2872,1492,3579,4104
2888,1467,3580,4100
2910,1435,3579,4104
2916,1428,3545,4100
2910,1435,3510,4104
2884,1429,3482,4100
2872,1435,3475,4104
2879,1465,3458,4100
2910,1492,3441,4104
2934,1474,3418,4100
2948,1435,3407,4104
2934,1417,3388,4100
2910,1435,3372,4104
2889,1446,3340,4100
2910,1435,3303,4104
2951,1419,3258,4100
2986,1435,3235,4104
2984,1467,3217,4100
2986,1492,3200,4104
3000,1508,3162,4100
3023,1550,3131,4104
3023,1614,3109,4100
3023,1665,3097,4104
3023,1669,3063,4100
3023,1665,3028,4104
3010,1683,2999,4100
3023,1722,2994,4104
3061,1751,2980,4100
3099,1779,2959,4104
3087,1811,2931,4100
3061,1837,2925,4104
3058,1835,2925,4100
3099,1837,2925,4104
3140,1861,2904,4100
3174,1894,2890,4104
3202,1885,2884,4101
3250,1837,2890,4104
3293,1788,2887,4099
3326,1779,2890,4104
3337,1789,2891,4098
3363,1779,2890,4088
3401,1726,2871,4055
3439,1665,2856,4024
3435,1637,2848,3986
3401,1665,2856,3959
3352,1705,2855,3923
3326,1722,2856,3895
3316,1697,2853,3859
3326,1665,2856,3830
3318,1650,2851,3792
3288,1665,2856,3766
3237,1674,2858,3738
3212,1665,2856,3718
3211,1648,2835,3683
3212,1665,2822,3653
3178,1701,2817,3622
3137,1722,2822,3605
3105,1713,2806,3579
3099,1722,2787,3557
3094,1757,2775,3527
3099,1779,2787,3509
3100,1751,2793,3483
3099,1722,2787,3460
3076,1736,2763,3424
3061,1779,2753,3396
3055,1792,2750,3366
3061,1779,2753,3348
3046,1769,2745,3321
3023,1779,2753,3299
2995,1783,2769,3271
2986,1779,2787,3251
2979,1775,2784,3224
2986,1779,2787,3203
2987,1779,2799,3175
2986,1779,2822,3154
2964,1777,2823,3127
2948,1779,2822,3106
2947,1777,2827,3079
2986,1779,2856,3058
3041,1779,2878,3030
3099,1779,2890,3010
3115,1774,2884,2984
3099,1779,2890,2961
3076,1783,2900,2928
3099,1779,2925,2897
3136,1767,2940,2861
3137,1779,2959,2833
3074,1812,2970,2798
3023,1837,2994,2768
3037,1817,3017,2734
3099,1779,3062,2704
3114,1760,3108,2664
3061,1779,3166,2623
2990,1810,3219,2578
2986,1837,3303,2543
3020,1841,3408,2508
3023,1837,3544,2479
2941,1860,3675,2439
2834,1952,3819,2398
2767,2050,3972,2348
2759,2066,4164,2301
2753,1993,4365,2250
2721,1952,4576,2205
2650,1986,4766,2156
2570,2009,4955,2108
2503,1934,5126,2052
2494,1837,5299,1996
2528,1809,5451,1937
2570,1837,5609,1883
2575,1841,5757,1826
2570,1837,5918,1770
2567,1857,6069,1712
2570,1894,6228,1658
2549,1896,6368,1600
2532,1894,6503,1545
2534,1917,6608,1486
2570,1952,6710,1432
2602,1942,6794,1376
2645,1894,6882,1320
2661,1858,6950,1259
2645,1837,7020,1207
2609,1809,7070,1158
2645,1779,7123,1111
2713,1772,7155,1053
2721,1779,7192,998
2655,1792,7208,946
2645,1837,7226,901
2665,1912,7222,853
2570,2009,7226,805
2389,2189,7220,755
2381,2526,7226,708
2545,2888,7210,663
2645,3100,7192,628
2766,3243,7151,596
3477,3444,7123,563
4942,3229,7084,526
6462,1837,7054,499
7217,-610,7000,482
7256,-2813,6951,467
7182,-3723,6890,440
7256,-3616,6848,418
7157,-3344,6793,408
6614,-3042,6744,402
5723,-2323,6673,386
4800,-1205,6607,370
4057,-220,6528,364
3590,344,6469,370
3355,651,6397,372
3250,918,6331,370
3150,1136,6250,367
3023,1263,6194,370
2887,1339,6138,376
2797,1435,6091,386
2760,1522,6016,396
2759,1550,5953,402
2732,1512,5891,406
2683,1492,5850,418
2648,1518,5792,441
2683,1550,5746,467
2735,1545,5700,483
2759,1550,5678,499
2717,1613,5641,519
2683,1665,5609,547
2683,1631,5566,572
2721,1550,5540,595
2741,1535,5503,617
2759,1607,5471,644
2776,1675,5426,673
2797,1665,5402,708
2784,1597,5379,743
2759,1550,5368,773
2742,1542,5334,794
2759,1550,5299,821
2768,1560,5255,853
2759,1607,5230,885
2740,1662,5196,908
2759,1665,5161,933
2801,1611,5104,964
2834,1607,5058,998
2821,1677,5014,1022
2797,1722,4989,1046
2796,1667,4952,1074
2834,1607,4921,1111
2852,1624,4879,1143
2834,1665,4852,1175
2807,1641,4814,1204
2834,1607,4783,1239
2878,1626,4742,1271
2872,1665,4714,1304
2800,1660,4677,1333
2759,1665,4645,1368
2786,1721,4602,1401
2834,1779,4576,1432
2835,1777,4554,1454
2834,1779,4542,1481
2857,1852,4509,1510
2872,1952,4473,1545
2831,1977,4429,1576
2797,1952,4404,1609
2807,1969,4382,1641
2834,2066,4370,1674
2824,2160,4338,1701
2834,2181,4301,1738
2901,2146,4255,1778
2986,2124,4232,1819
3013,2111,4214,1848
3023,2066,4198,1883
3065,1988,4158,1922
3137,1952,4129,1963
3180,1964,4106,1993
3212,1952,4095,2028
3249,1863,4061,2066
3288,1779,4026,2108
3290,1766,3985,2134
3288,1779,3957,2157
3300,1734,3919,2182
3326,1665,3888,2221
3316,1641,3851,2254
3288,1665,3819,2285
3258,1658,3778,2308
3250,1607,3751,2334
3234,1557,3719,2354
3212,1550,3682,2382
3184,1553,3623,2406
3174,1550,3579,2430
3170,1555,3543,2444
3174,1607,3510,2462
3173,1665,3453,2478
3174,1665,3407,2495
3161,1594,3370,2500
3137,1550,3338,2511
3092,1588,3282,2524
3061,1665,3235,2543
3048,1688,3199,2551
3061,1665,3166,2559
3076,1647,3100,2564
3099,1665,3028,2575
3106,1690,2967,2576
3099,1722,2925,2575
3073,1755,2863,2570
3061,1779,2787,2575
3050,1781,2708,2576
3023,1779,2650,2575
2961,1765,2586,2563
2910,1722,2512,2559
2882,1663,2420,2556
2872,1665,2340,2559
2854,1729,2268,2551
2872,1779,2202,2543
2936,1755,2118,2531
3023,1722,2030,2527
3075,1739,1940,2517
3099,1779,1858,2511
3103,1768,1769,2499
3099,1722,1686,2495
3075,1698,1607,2485
3061,1722,1548,2479
3048,1754,1493,2467
3023,1779,1445,2462
2982,1787,1392,2453
2986,1779,1342,2446
3042,1762,1285,2434
3099,1779,1239,2430
3072,1820,1206,2427
2986,1837,1204,2430
2901,1802,1216,2422
2872,1779,1239,2414
2869,1817,1261,2401
2872,1894,1308,2398
2857,1942,1379,2394
2834,1952,1480,2398
2796,1947,1580,2397
2759,1952,1686,2398
2708,1949,1795,2389
2645,1952,1927,2382
2563,1971,2063,2374
2494,2009,2202,2382
2442,2011,2324,2391
2419,1952,2443,2398
2417,1864,2559,2392
2456,1837,2684,2398
2496,1884,2795,2411
2494,1952,2890,2430
2441,1969,2969,2436
2419,1952,3062,2446
2459,1922,3166,2459
2532,1894,3269,2479
2561,1853,3344,2484
