I,II,PLETH
223,4291,2343
221,4283,2402
223,4291,2510
224,4298,2646
223,4291,2812
222,4222,2982
223,4143,3180
223,4104,3397
223,4143,3649
222,4174,3899
223,4143,4151
224,4047,4391
223,3995,4653
221,4029,4912
223,4143,5155
232,4274,5349
251,4439,5523
277,4639,5678
307,4883,5824
337,5118,5934
363,5327,6025
380,5453,6086
391,5475,6126
399,5398,6126
419,5327,6126
461,5308,6124
530,5327,6126
603,5286,6096
642,5179,6059
624,5033,6016
558,4883,5992
472,4647,5956
391,4291,5925
324,3863,5884
279,3551,5858
247,3415,5821
223,3403,5791
203,3351,5749
195,3255,5724
196,3151,5688
195,3107,5657
183,3096,5612
167,3107,5590
162,3110,5569
167,3107,5556
173,3088,5519
167,3107,5490
155,3199,5462
140,3403,5456
111,3704,5436
84,4143,5423
131,4790,5400
335,5770,5389
680,7084,5357
1060,8582,5322
1397,9913,5277
1674,10653,5255
1815,10392,5226
1674,9026,5188
1219,6901,5118
642,4735,5054
179,3112,4997
-112,2219,4954
-316,1889,4890
-474,1923,4820
-543,2135,4735
-502,2367,4653
-404,2489,4551
-307,2515,4452
-223,2508,4346
-140,2515,4251
-52,2511,4146
28,2515,4050
84,2556,3955
112,2663,3883
124,2761,3811
140,2811,3749
156,2800,3677
167,2811,3615
167,2822,3553
167,2811,3515
169,2769,3477
167,2811,3448
163,2957,3408
167,3107,3381
182,3141,3357
195,3107,3347
197,3089,3328
195,3107,3314
206,3108,3292
223,3107,3280
231,3110,3260
223,3107,3247
215,3083,3226
223,3107,3213
240,3185,3193
251,3255,3180
250,3254,3160
251,3255,3146
263,3315,3125
279,3403,3113
292,3426,3095
307,3403,3079
324,3387,3057
335,3403,3046
334,3407,3032
335,3403,3013
347,3397,2974
363,3403,2946
366,3399,2925
363,3403,2912
362,3408,2879
363,3403,2845
360,3345,2817
363,3255,2812
376,3160,2800
391,3107,2778
394,3089,2740
391,3107,2711
389,3115,2689
391,3107,2678
391,3087,2659
391,3107,2644
391,3127,2625
391,3107,2611
388,3060,2590
391,3107,2577
395,3253,2562
391,3403,2544
375,3471,2508
363,3551,2477
362,3694,2453
363,3847,2444
351,3921,2427
335,3995,2410
329,4129,2388
335,4291,2377
339,4380,2369
335,4439,2377
322,4511,2380
307,4587,2377
292,4598,2356
279,4587,2343
266,4587,2337
251,4587,2343
234,4520,2341
223,4439,2343
220,4404,2341
223,4439,2343
224,4458,2338
223,4439,2343
222,4407,2346
223,4439,2343
223,4513,2321
223,4587,2310
222,4599,2308
223,4587,2310
223,4573,2290
223,4587,2276
222,4588,2271
223,4587,2276
224,4577,2259
223,4587,2243
221,4586,2231
223,4587,2243
225,4577,2251
223,4587,2276
219,4588,2310
223,4587,2377
238,4572,2458
251,4587,2577
252,4600,2716
251,4587,2879
261,4509,3037
279,4439,3213
288,4411,3400
279,4439,3615
261,4449,3836
251,4439,4084
258,4414,4343
279,4439,4619
298,4537,4876
307,4735,5121
314,4967,5340
335,5179,5556
367,5329,5749
391,5475,5925
401,5631,6056
419,5770,6159
464,5809,6229
530,5770,6293
594,5730,6333
642,5770,6360
670,5821,6359
670,5770,6360
631,5533,6347
558,5179,6326
471,4788,6274
391,4439,6226
325,4112,6182
279,3847,6159
245,3647,6123
223,3551,6092
205,3478,6052
195,3403,6025
192,3307,5986
195,3255,5958
198,3244,5920
195,3255,5891
185,3245,5849
167,3255,5824
151,3303,5799
140,3403,5791
120,3518,5769
84,3699,5757
51,4022,5736
84,4587,5724
247,5407,5699
558,6510,5690
966,7869,5673
1367,9322,5657
1643,10390,5617
1702,10505,5590
1517,9392,5567
1144,7398,5556
695,5239,5514
279,3551,5456
-48,2527,5380
-279,2071,5322
-429,2009,5257
-502,2219,5188
-504,2505,5089
-446,2663,4987
-355,2614,4878
-251,2515,4787
-149,2528,4687
-56,2663,4586
23,2776,4464
84,2811,4351
122,2798,4240
140,2811,4151
140,2817,4061
140,2811,3983
146,2788,3895
167,2811,3816
187,2828,3735
195,2811,3682
193,2768,3640
195,2811,3615
209,2957,3579
223,3107,3548
227,3143,3510
223,3107,3481
222,3084,3443
223,3107,3414
224,3115,3387
223,3107,3381
224,3099,3367
223,3107,3347
221,3105,3308
223,3107,3280
235,3108,3259
251,3107,3247
266,3091,3224
279,3107,3213
285,3167,3209
279,3255,3213
269,3331,3198
279,3403,3180
310,3437,3158
335,3403,3146
337,3309,3127
335,3255,3113
347,3259,3093
363,3255,3079
365,3179,3058
363,3107,3046
373,3090,3030
391,3107,3013
396,3099,2976
391,3107,2946
387,3130,2923
391,3107,2912
393,2968,2884
391,2811,2845
389,2750,2801
391,2811,2778
392,2892,2761
391,2959,2745
389,3022,2709
391,3107,2678
392,3144,2653
391,3107,2644
388,3048,2630
391,3107,2611
395,3304,2576
391,3551,2544
375,3728,2515
363,3847,2510
361,3931,2511
363,3995,2510
353,4038,2491
335,4143,2477
319,4304,2471
307,4439,2477
293,4460,2465
279,4439,2444
266,4433,2417
251,4439,2410
234,4416,2408
223,4439,2410
221,4521,2395
223,4587,2377
222,4535,2353
223,4439,2343
226,4400,2338
223,4439,2343
209,4457,2341
195,4439,2343
191,4417,2340
195,4439,2343
197,4453,2340
195,4439,2343
194,4409,2340
195,4439,2343
195,4514,2339
195,4587,2343
195,4595,2339
195,4587,2343
194,4584,2338
195,4587,2343
197,4531,2348
195,4439,2377
192,4340,2414
195,4291,2477
209,4274,2546
223,4291,2644
227,4299,2760
223,4291,2912
220,4223,3080
223,4143,3280
226,4098,3497
223,4143,3749
219,4187,4011
223,4143,4285
228,4022,4539
223,3995,4787
215,4112,5010
223,4291,5222
252,4428,5398
279,4587,5556
291,4769,5690
307,4883,5824
343,4866,5945
391,4883,6059
432,5053,6137
474,5327,6192
537,5562,6213
614,5770,6226
667,5929,6224
670,5918,6226
625,5622,6210
558,5179,6192
487,4765,6156
419,4439,6126
347,4119,6086
279,3847,6059
224,3652,6020
195,3551,5992
181,3458,5953
167,3403,5925
150,3391,5885
140,3403,5858
138,3354,5819
140,3255,5791
138,3151,5750
140,3107,5724
144,3130,5687
140,3255,5657
114,3489,5614
84,3847,5590
94,4298,5567
195,4883,5556
408,5674,5523
725,6806,5490
1112,8261,5447
1479,9765,5423
1680,10739,5389
1591,10653,5356
1219,9383,5302
725,7398,5255
279,5421,5200
-56,3995,5155
-304,3194,5090
-474,2811,5021
-543,2609,4933
-502,2515,4854
-387,2495,4766
-251,2515,4686
-135,2518,4596
-56,2515,4519
-8,2514,4435
28,2515,4351
62,2499,4247
84,2515,4151
86,2575,4057
84,2663,3983
91,2692,3897
112,2663,3816
130,2581,3735
140,2515,3682
140,2475,3631
140,2515,3582
139,2632,3519
140,2811,3481
140,2983,3458
140,3107,3448
140,3148,3414
140,3107,3381
138,2974,3352
140,2811,3347
148,2720,3332
167,2811,3314
187,3038,3287
195,3255,3280
193,3318,3278
195,3255,3280
208,3159,3264
223,3107,3247
227,3083,3225
223,3107,3213
220,3211,3194
223,3403,3180
233,3561,3160
251,3551,3146
271,3345,3126
279,3107,3113
276,3008,3094
279,3107,3079
294,3280,3057
307,3403,3046
307,3424,3031
307,3403,3013
320,3387,2976
335,3403,2946
338,3414,2922
335,3403,2912
336,3341,2894
335,3255,2879
322,3161,2859
307,3107,2845
302,3091,2824
307,3107,2812
309,3107,2795
307,3107,2778
305,3141,2743
307,3255,2711
308,3372,2685
307,3403,2678
306,3323,2664
307,3255,2644
307,3282,2608
307,3403,2577
308,3541,2551
307,3699,2544
297,3859,2541
279,3995,2544
260,4068,2531
251,4143,2510
252,4229,2484
251,4291,2477
239,4284,2477
223,4291,2477
216,4353,2457
223,4439,2444
230,4460,2438
223,4439,2444
205,4383,2431
195,4291,2410
197,4170,2385
195,4143,2377
181,4256,2372
167,4439,2377
165,4550,2376
167,4587,2377
165,4590,2370
167,4587,2377
182,4526,2380
195,4439,2377
196,4387,2354
195,4439,2343
207,4528,2340
223,4587,2343
228,4583,2324
223,4587,2310
221,4598,2300
223,4587,2310
223,4509,2316
223,4439,2343
226,4416,2383
223,4439,2444
210,4439,2498
195,4439,2577
191,4440,2686
195,4439,2845
197,4374,3019
195,4291,3213
194,4246,3415
195,4291,3649
195,4329,3892
195,4291,4151
196,4185,4398
195,4143,4653
192,4196,4893
195,4291,5121
208,4352,5313
223,4439,5490
236,4575,5644
251,4735,5791
268,4865,5902
279,5031,5992
293,5255,6048
335,5475,6092
405,5581,6110
474,5622,6126
521,5679,6126
558,5770,6126
590,5776,6105
586,5622,6092
520,5295,6073
419,4883,6059
332,4462,6023
279,4143,5992
237,3941,5952
195,3847,5925
159,3732,5885
140,3551,5858
135,3297,5822
140,3107,5791
143,3046,5737
140,3107,5690
135,3189,5644
140,3255,5623
147,3267,5592
140,3255,5556
112,3308,5499
84,3551,5456
73,3885,5414
84,4143,5389
135,4396,5352
279,5031,5322
553,6199,5284
921,7694,5255
1271,9272,5207
1479,10801,5155
1464,11737,5093
1228,11245,5054
843,9152,5010
419,6510,4954
39,4551,4865
-251,3551,4787
-435,2985,4716
-502,2515,4653
-473,2187,4556
-391,2071,4452
-295,2087,4352
-195,2219,4285
-100,2414,4207
-28,2515,4117
8,2401,4005
28,2219,3916
54,2148,3841
84,2219,3782
93,2338,3710
84,2515,3649
74,2707,3591
84,2811,3548
101,2704,3494
112,2515,3448
110,2417,3405
112,2515,3381
124,2728,3347
140,2959,3314
146,3103,3272
140,3107,3247
134,2970,3224
140,2811,3213
155,2742,3194
167,2811,3180
171,2953,3158
167,3107,3146
164,3213,3128
167,3255,3113
178,3213,3090
195,3107,3079
212,2953,3064
223,2811,3046
225,2743,3019
223,2811,3013
223,2963,3015
223,3107,3013
222,3185,2979
223,3255,2946
232,3338,2923
251,3403,2912
270,3406,2880
279,3403,2845
279,3413,2817
279,3403,2812
288,3327,2799
307,3255,2778
325,3236,2741
335,3255,2711
336,3250,2686
335,3255,2678
334,3269,2664
335,3255,2644
334,3174,2607
335,3107,2577
335,3095,2554
335,3107,2544
333,3089,2527
335,3107,2510
338,3181,2489
335,3255,2477
321,3255,2460
307,3255,2444
302,3311,2422
307,3403,2410
310,3465,2394
307,3551,2377
303,3691,2351
307,3847,2343
312,3935,2343
307,3995,2343
291,4066,2323
279,4143,2310
277,4158,2306
279,4143,2310
270,4131,2293
251,4143,2276
232,4140,2268
223,4143,2276
222,4148,2277
223,4143,2276
223,4078,2272
223,3995,2276
223,3950,2274
223,3995,2276
223,4076,2274
223,4143,2276
223,4152,2272
223,4143,2276
223,4133,2278
223,4143,2276
224,4142,2256
223,4143,2243
222,4137,2236
223,4143,2243
225,4140,2231
223,4143,2209
220,4139,2179
223,4143,2176
236,4138,2185
251,4143,2209
255,4140,2221
251,4143,2243
248,4135,2274
251,4143,2343
254,4148,2430
251,4143,2544
246,4084,2664
251,3995,2812
266,3896,2967
279,3847,3146
281,3832,3341
279,3847,3582
278,3847,3844
279,3847,4117
278,3839,4366
279,3847,4619
281,3843,4871
279,3847,5121
273,3880,5333
279,3995,5523
303,4152,5683
335,4291,5824
354,4365,5919
363,4439,5992
380,4556,6042
419,4735,6092
473,4941,6116
530,5179,6126
587,5385,6108
642,5475,6092
678,5380,6068
670,5179,6059
611,4952,6041
530,4735,6025
454,4460,5989
391,4143,5958
331,3810,5919
279,3551,5891
242,3360,5851
223,3255,5824
209,3176,5788
195,3107,5757
189,3021,5703
195,2959,5657
202,2937,5610
195,2959,5590
179,2968,5568
167,2959,5556
161,2970,5523
140,3107,5490
98,3397,5444
84,3847,5423
166,4487,5403
391,5475,5389
734,6886,5351
1116,8582,5322
1426,10118,5297
1563,10949,5289
1479,10603,5260
1200,9026,5222
805,6697,5165
391,4439,5121
34,2818,5069
-223,1923,5021
-385,1568,4953
-474,1628,4887
-506,1933,4804
-474,2219,4720
-388,2284,4616
-279,2219,4519
-177,2190,4415
-84,2219,4318
6,2218,4210
84,2219,4117
128,2277,4026
140,2367,3950
137,2387,3871
140,2367,3816
142,2349,3763
140,2367,3715
133,2363,3654
140,2367,3615
156,2370,3592
167,2367,3582
167,2345,3547
167,2367,3515
180,2443,3487
195,2515,3481
199,2520,3464
195,2515,3448
195,2562,3424
195,2663,3414
193,2752,3396
195,2811,3381
208,2828,3358
223,2811,3347
227,2781,3331
223,2811,3314
222,2893,3278
223,2959,3247
222,2956,3221
223,2959,3213
233,3021,3199
251,3107,3180
268,3130,3144
279,3107,3113
290,3091,3086
307,3107,3079
324,3112,3068
335,3107,3046
335,3100,3005
335,3107,2979
344,3109,2961
363,3107,2946
381,3060,2909
391,2959,2879
392,2843,2858
391,2811,2845
390,2836,2812
391,2811,2778
391,2665,2752
391,2515,2745
390,2464,2729
391,2515,2711
391,2582,2689
391,2663,2678
390,2749,2662
391,2811,2644
391,2806,2611
391,2811,2577
390,2908,2548
391,3107,2544
392,3291,2547
391,3403,2544
381,3464,2512
363,3551,2477
344,3640,2450
335,3699,2444
335,3736,2430
335,3847,2410
324,4016,2384
307,4143,2377
291,4150,2376
279,4143,2377
266,4204,2358
251,4291,2343
235,4266,2335
223,4143,2343
219,4025,2344
223,3995,2343
228,3999,2337
223,3995,2343
208,3975,2344
195,3995,2343
192,4058,2325
195,4143,2310
196,4172,2299
195,4143,2310
195,4103,2315
195,4143,2310
195,4230,2284
195,4291,2276
197,4282,2275
195,4291,2276
192,4354,2253
195,4439,2243
209,4457,2248
223,4439,2276
227,4427,2299
223,4439,2343
221,4394,2409
223,4291,2510
224,4177,2615
223,4143,2745
222,4151,2903
223,4143,3113
223,4067,3339
223,3995,3582
223,3967,3823
223,3995,4084
222,4004,4328
223,3995,4552
224,3979,4744
223,3995,4954
221,4002,5173
223,3995,5389
234,3974,5561
251,3995,5724
267,4052,5878
279,4143,6025
289,4254,6122
307,4439,6192
346,4704,6243
419,5031,6293
508,5344,6313
586,5622,6326
636,5825,6327
670,5918,6326
688,5843,6295
670,5622,6259
601,5280,6217
502,4883,6192
408,4472,6157
335,4143,6126
273,3887,6084
223,3699,6059
188,3522,6023
167,3403,5992
152,3322,5947
140,3255,5925
135,3166,5903
140,3107,5891
143,3097,5854
140,3107,5824
137,3087,5796
140,3107,5791
128,3246,5773
84,3551,5757
33,3985,5731
56,4587,5724
222,5440,5707
530,6658,5690
913,8188,5652
1284,9765,5623
1547,10861,5588
1618,10949,5556
1460,9794,5503
1116,7694,5456
688,5288,5403
279,3255,5356
-50,1972,5286
-279,1480,5222
-423,1522,5151
-502,1776,5088
-522,1982,5005
-474,2071,4920
-371,2072,4819
-251,2071,4720
-145,2114,4609
-56,2219,4519
15,2320,4432
56,2367,4351
69,2352,4246
84,2367,4151
113,2430,4068
140,2515,4017
142,2531,3953
140,2515,3883
150,2496,3801
167,2515,3749
170,2524,3710
167,2515,3682
177,2499,3641
195,2515,3615
203,2570,3595
195,2663,3582
188,2752,3546
195,2811,3515
211,2820,3489
223,2811,3481
226,2803,3463
223,2811,3448
221,2814,3427
223,2811,3414
232,2803,3393
251,2811,3381
271,2817,3364
279,2811,3347
275,2793,3311
279,2811,3280
295,2872,3256
307,2959,3247
306,3037,3229
307,3107,3213
321,3138,3193
335,3107,3180
335,3019,3160
335,2959,3146
347,2953,3128
363,2959,3113
364,2899,3091
363,2811,3079
373,2770,3064
391,2811,3046
396,2845,3009
391,2811,2979
387,2718,2957
391,2663,2946
394,2661,2916
391,2663,2879
379,2599,2836
363,2515,2812
353,2475,2793
363,2515,2778
383,2585,2747
391,2663,2711
377,2728,2670
363,2811,2644
362,2928,2624
363,3107,2611
350,3285,2590
335,3403,2577
332,3456,2560
335,3551,2544
333,3707,2519
335,3847,2510
341,3871,2510
335,3847,2510
307,3878,2492
279,3995,2477
272,4100,2470
279,4143,2477
273,4136,2475
251,4143,2477
231,4153,2477
223,4143,2477
223,4075,2458
223,3995,2444
223,3952,2436
223,3995,2444
223,4076,2442
223,4143,2444
223,4152,2441
223,4143,2444
223,4134,2429
223,4143,2410
222,4142,2385
223,4143,2377
224,4138,2361
223,4143,2343
222,4139,2315
223,4143,2310
225,4139,2309
223,4143,2310
219,4137,2295
223,4143,2310
237,4146,2349
251,4143,2410
255,4087,2461
251,3995,2544
248,3893,2670
251,3847,2845
253,3838,3021
251,3847,3213
248,3836,3425
251,3847,3682
254,3859,3946
251,3847,4218
237,3772,4478
223,3699,4753
217,3670,5022
223,3699,5289
236,3714,5518
251,3699,5724
266,3674,5895
279,3699,6059
289,3757,6189
307,3847,6293
348,3999,6359
419,4291,6427
505,4670,6483
586,5031,6527
649,5326,6531
698,5622,6527
729,5839,6520
725,5770,6527
674,5318,6513
586,4735,6494
484,4281,6465
391,3995,6460
310,3701,6446
251,3403,6427
213,3180,6383
195,3107,6360
191,3098,6339
195,3107,6326
200,3107,6286
195,3107,6259
180,3099,6235
167,3107,6226
165,3113,6189
167,3107,6159
160,3109,6130
140,3255,6126
121,3641,6106
140,4291,6092
243,5141,6068
474,6214,6059
828,7540,6035
1228,9026,6025
1547,10251,6006
1674,10653,5992
1572,9846,5955
1284,7990,5925
882,5701,5887
446,3699,5858
56,2343,5808
-223,1628,5757
-386,1378,5689
-474,1480,5623
-520,1777,5537
-502,2071,5456
-409,2204,5367
-279,2219,5289
-167,2211,5189
-84,2219,5088
-11,2209,4976
56,2219,4887
97,2278,4800
112,2367,4720
120,2392,4617
140,2367,4519
159,2333,4422
167,2367,4351
164,2435,4280
167,2515,4218
181,2542,4143
195,2515,4084
199,2480,4025
195,2515,3983
194,2601,3932
195,2663,3883
196,2658,3823
195,2663,3782
196,2726,3743
195,2811,3715
192,2835,3676
195,2811,3649
209,2792,3624
223,2811,3615
227,2822,3597
223,2811,3582
222,2796,3559
223,2811,3548
222,2825,3530
223,2811,3515
232,2783,3491
251,2811,3481
269,2889,3466
279,2959,3448
279,2967,3410
279,2959,3381
287,2965,3358
307,2959,3347
326,2891,3318
335,2811,3280
333,2780,3236
335,2811,3213
347,2831,3195
363,2811,3180
368,2743,3147
363,2663,3113
358,2575,3073
363,2515,3046
376,2492,3021
391,2515,3013
397,2529,2999
391,2515,2979
375,2488,2941
363,2515,2912
360,2586,2890
363,2663,2879
363,2716,2858
363,2811,2845
363,2954,2829
363,3107,2812
361,3233,2775
363,3403,2745
366,3630,2722
363,3847,2711
349,3952,2691
335,3995,2678
331,4052,2671
335,4143,2678
328,4177,2667
307,4143,2644
285,4101,2616
279,4143,2611
283,4230,2612
279,4291,2611
263,4287,2591
251,4291,2577
251,4307,2571
251,4291,2577
239,4206,2575
223,4143,2577
218,4136,2577
223,4143,2577
225,4117,2560
223,4143,2544
222,4228,2534
223,4291,2544
223,4271,2547
223,4291,2544
223,4387,2524
223,4439,2510
222,4314,2490
223,4143,2477
225,4085,2454
223,4143,2444
218,4167,2433
223,4143,2444
239,4123,2460
251,4143,2510
251,4147,2579
251,4143,2678
263,4136,2773
279,4143,2879
283,4134,2991
279,4143,3146
276,4152,3330
279,4143,3548
279,4070,3771
279,3995,4017
279,3963,4272
279,3995,4552
277,4012,4823
279,3995,5088
282,3963,5325
279,3995,5556
271,4073,5764
279,4143,5958
306,4145,6117
335,4143,6259
355,4218,6369
391,4439,6460
462,4772,6515
558,5179,6561
643,5580,6592
698,5918,6628
724,6093,6637
725,6066,6628
698,5833,6590
642,5475,6561
563,5035,6525
474,4587,6494
383,4160,6448
307,3847,6427
253,3646,6408
223,3551,6393
205,3473,6352
195,3403,6326
192,3322,6305
195,3255,6293
199,3219,6252
195,3255,6226
183,3332,6213
167,3403,6226
154,3445,6211
140,3551,6192
112,3776,6165
84,4143,6159
123,4662,6140
307,5475,6126
621,6660,6101
977,8138,6092
1314,9568,6064
1618,10505,6025
1794,10483,5964
1674,9322,5925
1230,7316,5889
670,5179,5858
228,3510,5791
-56,2515,5724
-273,2076,5651
-446,2071,5590
-525,2341,5506
-502,2663,5423
-437,2821,5332
-363,2811,5255
-274,2729,5157
-167,2663,5054
-63,2627,4942
28,2663,4854
99,2748,4766
140,2811,4686
145,2760,4584
140,2663,4485
146,2607,4386
167,2663,4318
185,2746,4260
195,2811,4218
196,2818,4163
195,2811,4117
194,2803,4062
195,2811,4017
197,2812,3970
195,2811,3950
192,2805,3932
195,2811,3916
208,2812,3878
223,2811,3849
228,2800,3825
223,2811,3816
218,2859,3794
223,2959,3782
237,3057,3766
251,3107,3749
256,3103,3710
251,3107,3682
246,3119,3661
251,3107,3649
265,3073,3613
279,3107,3582
291,3202,3556
307,3255,3548
325,3191,3529
335,3107,3515
333,3087,3496
335,3107,3481
348,3099,3447
363,3107,3414
366,3136,3378
363,3107,3347
362,2958,3307
363,2811,3280
360,2771,3261
363,2811,3247
376,2819,3213
391,2811,3180
394,2815,3143
391,2811,3113
390,2739,3072
391,2663,3046
389,2640,3027
391,2663,3013
394,2661,2977
391,2663,2946
375,2706,2921
363,2811,2912
362,2941,2894
363,3107,2879
351,3273,2859
335,3403,2845
329,3469,2823
335,3551,2812
339,3686,2797
335,3847,2778
322,3944,2739
307,3995,2711
291,4047,2702
279,4143,2711
267,4233,2701
251,4291,2678
232,4297,2650
223,4291,2644
224,4282,2645
223,4291,2644
210,4291,2626
195,4291,2611
191,4283,2602
195,4291,2611
197,4292,2614
195,4291,2611
194,4276,2591
195,4291,2577
195,4345,2569
195,4439,2577
196,4483,2579
195,4439,2577
192,4336,2558
195,4291,2544
209,4296,2524
223,4291,2510
227,4253,2487
223,4291,2477
221,4396,2469
223,4439,2477
224,4310,2482
223,4143,2510
222,4085,2549
223,4143,2611
223,4169,2678
223,4143,2778
222,4116,2907
223,4143,3079
223,4157,3267
223,4143,3481
223,4117,3704
223,4143,3950
223,4168,4185
223,4143,4418
222,4051,4632
223,3995,4854
232,3994,5068
251,3995,5289
271,3922,5491
279,3847,5690
275,3855,5865
279,3995,6025
308,4241,6148
363,4587,6259
430,4934,6348
502,5179,6427
576,5308,6469
642,5475,6494
678,5687,6493
670,5770,6494
