III,V,PLETH,ABP
1396,2020,6439,7200
1413,2002,6382,7331
1436,1977,6309,7443
1463,1973,6257,7552
1480,1974,6192,7625
1488,1973,6132,7691
1488,1954,6053,7730
1488,1944,6006,7774
1487,1942,5968,7789
1488,1944,5944,7801
1486,1929,5898,7786
1488,1915,5881,7774
1494,1908,5877,7742
1513,1915,5881,7718
1537,1914,5846,7674
1564,1915,5819,7635
1586,1913,5804,7582
1614,1915,5819,7552
1648,1903,5814,7519
1690,1886,5819,7497
1728,1858,5814,7451
1766,1828,5819,7414
1802,1791,5804,7365
1841,1770,5819,7331
1866,1763,5846,7280
1867,1770,5881,7248
1834,1769,5877,7211
1791,1770,5881,7193
1748,1776,5899,7155
1715,1799,5944,7138
1679,1817,5953,7121
1640,1828,5944,7138
1603,1826,5924,7145
1589,1828,5944,7165
1587,1830,5972,7163
1589,1828,6006,7165
1581,1814,6008,7144
1589,1799,6006,7138
1609,1793,5994,7117
1640,1799,6006,7110
1651,1803,6024,7085
1665,1799,6069,7082
1682,1795,6102,7075
1715,1799,6132,7082
1740,1803,6127,7064
1766,1799,6132,7055
1781,1796,6145,7032
1791,1828,6194,7027
1770,1892,6230,7006
1741,1944,6257,6999
1739,1898,6250,6979
1816,1712,6257,6972
1990,1367,6271,6947
2270,899,6319,6944
2650,351,6354,6936
3128,-203,6382,6944
3671,-710,6377,6927
4213,-1131,6382,6916
4623,-1476,6377,6893
4818,-1741,6382,6889
4837,-1928,6369,6869
4818,-2002,6382,6861
4820,-1940,6404,6839
4818,-1712,6444,6833
4805,-1322,6449,6813
4818,-783,6444,6806
4735,-149,6428,6783
4313,522,6444,6778
3492,1149,6468,6766
2573,1683,6507,6778
1894,2081,6514,6776
1513,2350,6507,6778
1268,2502,6485,6756
1085,2582,6507,6750
993,2617,6539,6740
984,2640,6570,6750
970,2656,6559,6744
933,2669,6570,6750
903,2672,6595,6744
908,2669,6632,6750
911,2665,6627,6734
908,2669,6632,6723
900,2673,6650,6697
908,2669,6695,6695
918,2653,6699,6687
933,2640,6695,6695
935,2636,6698,6687
933,2640,6757,6695
926,2639,6803,6691
933,2640,6820,6695
946,2638,6796,6676
959,2640,6820,6667
960,2635,6875,6647
959,2640,6945,6640
958,2649,6969,6616
959,2669,7008,6612
949,2681,7060,6604
933,2698,7133,6612
916,2718,7160,6596
908,2756,7195,6584
900,2797,7241,6560
883,2843,7320,6557
848,2883,7375,6547
807,2930,7446,6557
766,2972,7523,6554
732,3017,7633,6557
694,3056,7721,6536
656,3104,7821,6529
616,3151,7907,6511
580,3191,8009,6501
541,3202,8088,6466
504,3191,8196,6446
478,3162,8311,6430
479,3133,8447,6446
499,3094,8541,6446
530,3046,8634,6446
560,2978,8713,6422
605,2901,8822,6418
671,2813,8912,6409
757,2727,9010,6418
844,2637,9090,6410
933,2553,9197,6418
1021,2463,9290,6420
1110,2379,9385,6446
1189,2297,9442,6463
1261,2234,9510,6501
1325,2174,9564,6532
1387,2118,9635,6584
1441,2062,9686,6634
1488,2031,9760,6723
1526,2015,9820,6828
1564,2002,9886,6972
1601,1969,9911,7106
1640,1944,9948,7248
1668,1935,9972,7368
1690,1944,10011,7497
1702,1935,10009,7599
1715,1915,10011,7691
1726,1890,9996,7745
1741,1886,10011,7801
1752,1886,10005,7833
1766,1886,10011,7857
1777,1871,9997,7849
1791,1857,10011,7857
1802,1848,10008,7858
1816,1857,10011,7857
1827,1862,9975,7813
1841,1857,9948,7774
1859,1837,9905,7736
1892,1828,9886,7718
1929,1827,9846,7674
1968,1828,9823,7635
2000,1813,9781,7594
2043,1799,9760,7580
2085,1785,9721,7550
2119,1770,9698,7525
2139,1738,9655,7477
2169,1712,9635,7442
2199,1700,9596,7391
2195,1712,9573,7359
2130,1725,9529,7319
2043,1741,9510,7304
1970,1753,9475,7279
1917,1770,9448,7276
1856,1782,9380,7266
1791,1799,9323,7276
1739,1813,9264,7270
1715,1828,9260,7276
1699,1831,9255,7266
1690,1828,9260,7276
1681,1824,9224,7272
1690,1828,9197,7276
1700,1831,9155,7256
1715,1828,9135,7248
1716,1822,9092,7227
1715,1828,9072,7221
1709,1845,9053,7197
1715,1857,9072,7193
1709,1855,9073,7184
1690,1857,9072,7193
1656,1884,9032,7177
1640,1944,9010,7165
1616,2013,8989,7140
1564,2060,9010,7138
1503,2018,9012,7121
1539,1828,9010,7110
1747,1449,8967,7075
2119,928,8947,7055
2569,346,8931,7029
3052,-203,8947,7027
3570,-682,8941,7009
4112,-1073,8947,6999
4568,-1398,8935,6974
4818,-1654,8947,6972
4857,-1839,8940,6963
4818,-1915,8947,6972
4802,-1855,8936,6965
4818,-1625,8947,6972
4832,-1233,8941,6965
4818,-696,8947,6972
4641,-67,8934,6956
4112,609,8947,6944
3222,1252,8945,6909
2270,1799,8947,6889
1571,2191,8908,6862
1186,2437,8885,6861
961,2567,8864,6853
807,2640,8885,6861
723,2677,8886,6846
706,2698,8885,6833
697,2701,8845,6806
681,2698,8822,6806
670,2695,8801,6802
681,2698,8822,6806
689,2700,8826,6783
706,2698,8822,6778
727,2687,8776,6771
757,2669,8759,6778
771,2650,8750,6758
782,2640,8759,6750
790,2637,8725,6740
807,2640,8697,6750
818,2638,8673,6735
832,2640,8697,6723
843,2638,8702,6698
858,2640,8697,6695
871,2635,8653,6677
883,2640,8634,6667
887,2649,8619,6642
883,2669,8634,6640
870,2681,8629,6632
858,2698,8634,6640
846,2718,8622,6632
832,2756,8634,6640
809,2796,8630,6635
782,2843,8634,6640
747,2884,8620,6621
706,2930,8634,6612
662,2971,8635,6590
631,3017,8634,6584
608,3058,8592,6563
580,3104,8572,6557
530,3139,8557,6545
479,3162,8572,6557
451,3164,8564,6554
454,3162,8572,6557
466,3152,8567,6537
479,3133,8572,6529
494,3084,8535,6507
530,3017,8509,6501
586,2939,8487,6480
656,2872,8509,6474
720,2802,8512,6452
782,2727,8509,6446
848,2638,8468,6430
933,2553,8447,6446
1025,2464,8428,6464
1110,2379,8447,6501
1175,2294,8446,6518
1236,2234,8447,6557
1298,2188,8427,6604
1362,2147,8447,6695
1415,2095,8471,6791
1463,2060,8509,6916
1510,2041,8506,7040
1564,2031,8509,7193
1609,2001,8499,7339
1640,1973,8509,7497
1659,1952,8499,7626
1690,1944,8509,7746
1729,1926,8507,7829
1766,1915,8509,7912
1781,1911,8471,7970
1791,1915,8447,8023
1809,1901,8427,8037
1841,1886,8447,8050
1863,1876,8446,8045
1867,1886,8447,8050
1859,1890,8430,8033
1867,1886,8447,8023
1889,1868,8449,7992
1917,1857,8447,7967
1931,1851,8404,7920
1942,1857,8384,7884
1959,1858,8371,7836
1993,1857,8384,7801
2030,1842,8374,7750
2068,1828,8384,7718
2104,1810,8382,7681
2144,1799,8384,7663
2177,1784,8344,7626
2195,1770,8321,7608
2181,1750,8306,7583
2144,1741,8321,7580
2091,1744,8313,7559
2043,1770,8321,7552
1994,1799,8318,7539
1942,1828,8321,7552
1878,1843,8284,7551
1816,1857,8259,7552
1759,1868,8240,7529
1715,1886,8259,7525
1678,1901,8256,7516
1665,1915,8259,7525
1662,1918,8246,7508
1665,1915,8259,7497
1650,1911,8254,7472
1640,1915,8259,7469
1633,1928,8246,7452
1640,1944,8259,7442
1630,1949,8257,7407
1614,1944,8259,7387
1591,1946,8239,7359
1589,1973,8259,7359
1592,2006,8285,7344
1589,2031,8321,7331
1550,2073,8316,7293
1488,2176,8321,7276
1422,2270,8319,7255
1413,2205,8321,7248
1535,1869,8282,7214
1841,1335,8259,7193
2255,738,8245,7167
2674,174,8259,7165
3120,-351,8247,7146
3708,-812,8259,7138
4365,-1192,8278,7115
4818,-1480,8321,7110
4909,-1701,8323,7089
4818,-1828,8321,7082
4779,-1818,8307,7062
4818,-1625,8321,7055
4837,-1262,8316,7032
4818,-754,8321,7027
4697,-155,8311,7009
4288,493,8321,6999
3502,1122,8314,6964
2573,1683,8321,6944
1833,2115,8312,6920
1387,2408,8321,6916
1116,2573,8313,6896
933,2669,8321,6889
834,2723,8313,6868
807,2756,8321,6861
795,2761,8313,6829
782,2756,8321,6806
775,2751,8313,6776
782,2756,8321,6778
780,2758,8314,6775
782,2756,8321,6778
781,2752,8312,6748
782,2756,8321,6723
773,2760,8315,6693
782,2756,8321,6695
805,2739,8310,6691
832,2727,8321,6695
835,2723,8318,6676
832,2727,8321,6667
830,2724,8305,6646
832,2727,8321,6640
830,2734,8328,6618
832,2756,8321,6612
837,2770,8272,6592
832,2785,8259,6584
808,2794,8261,6561
782,2814,8259,6557
767,2836,8191,6548
757,2872,8134,6557
734,2910,8096,6542
706,2959,8071,6529
680,3002,7982,6502
656,3046,7883,6501
620,3085,7801,6496
580,3133,7758,6501
540,3177,7676,6482
504,3220,7571,6474
464,3249,7453,6454
429,3278,7383,6446
405,3297,7317,6422
404,3307,7258,6418
412,3288,7163,6411
429,3249,7070,6418
447,3192,6964,6401
479,3133,6882,6391
530,3063,6787,6368
605,2988,6695,6363
685,2900,6585,6342
757,2814,6507,6335
815,2725,6436,6323
883,2640,6382,6335
967,2549,6307,6331
1059,2466,6257,6335
1139,2387,6214,6329
1211,2321,6194,6363
1276,2257,6156,6407
1337,2205,6132,6474
1380,2156,6096,6527
1413,2118,6069,6612
1445,2081,6022,6717
1488,2060,6006,6861
1530,2042,6002,6994
1564,2031,6006,7138
1580,2012,5971,7268
1589,2002,5944,7414
1597,1997,5928,7531
1614,2002,5944,7635
1629,1991,5941,7703
1640,1973,5944,7774
1638,1950,5937,7819
1640,1944,5944,7857
1647,1943,5935,7857
1665,1944,5944,7857
1679,1929,5943,7838
1690,1915,5944,7829
1697,1906,5926,7797
1715,1915,5944,7774
1746,1919,5974,7738
1791,1915,6006,7718
1832,1896,5998,7677
1867,1886,6006,7635
1896,1883,6030,7571
1942,1886,6069,7525
1996,1868,6067,7472
2043,1828,6069,7442
2069,1774,6085,7403
2094,1741,6132,7387
2115,1731,6141,7355
2119,1741,6132,7331
2080,1751,6111,7289
2018,1770,6132,7276
1956,1786,6160,7267
1917,1799,6194,7276
1887,1796,6194,7256
1867,1799,6194,7248
1849,1810,6184,7236
1841,1828,6194,7248
1835,1832,6191,7242
1841,1828,6194,7248
1850,1824,6183,7241
1867,1828,6194,7248
1875,1830,6194,7230
1892,1828,6194,7221
1903,1826,6177,7197
1917,1828,6194,7193
1922,1830,6222,7172
1942,1828,6257,7165
1959,1822,6254,7144
1968,1828,6257,7138
1944,1856,6253,7116
1917,1915,6257,7110
1887,1976,6241,7089
1867,2002,6257,7082
1874,1926,6286,7060
1968,1712,6319,7055
2161,1337,6311,7036
2447,841,6319,7027
2833,281,6344,7001
3355,-261,6382,6999
3953,-742,6378,6993
4465,-1131,6382,6999
4744,-1446,6401,6979
4818,-1683,6444,6972
4811,-1842,6447,6961
4818,-1886,6444,6972
4824,-1794,6452,6958
4818,-1538,6507,6944
4821,-1120,6547,6915
4818,-551,6570,6916
4647,107,6558,6914
4137,783,6570,6916
3310,1390,6589,6892
2447,1886,6632,6889
1814,2240,6657,6883
1463,2466,6695,6889
1265,2581,6719,6867
1135,2640,6757,6861
1058,2672,6779,6854
1034,2698,6820,6861
1021,2714,6849,6840
1009,2727,6882,6833
1001,2733,6896,6826
1009,2727,6945,6833
1008,2709,7004,6813
1009,2698,7070,6806
1013,2698,7094,6797
1034,2698,7133,6806
1049,2684,7181,6786
1059,2669,7258,6778
1056,2665,7309,6768
1059,2669,7383,6778
1065,2658,7465,6762
1085,2640,7571,6750
1100,2626,7635,6727
1110,2640,7696,6723
1109,2658,7760,6703
1110,2669,7883,6695
1110,2662,8008,6674
1110,2669,8134,6667
1100,2690,8221,6645
1085,2727,8321,6640
1061,2754,8409,6631
1034,2785,8509,6640
1005,2821,8586,6626
984,2872,8697,6612
963,2916,8813,6584
933,2959,8947,6584
883,2997,9039,6581
832,3046,9135,6584
790,3091,9220,6562
757,3133,9323,6557
711,3161,9386,6549
656,3191,9448,6557
605,3212,9494,6538
580,3220,9573,6529
575,3199,9635,6515
580,3162,9698,6529
585,3108,9724,6527
605,3046,9760,6529
645,2971,9781,6508
706,2901,9823,6501
776,2830,9845,6480
858,2756,9886,6474
945,2657,9909,6458
1034,2553,9948,6474
1111,2454,9952,6490
1186,2379,9948,6529
1259,2315,9906,6549
1337,2263,9886,6584
1404,2205,9866,6619
1463,2147,9886,6695
1514,2090,9887,6779
1564,2060,9886,6889
1605,2044,9844,6987
1640,2031,9823,7110
1664,1998,9804,7234
1690,1973,9823,7387
1714,1964,9821,7525
1741,1973,9823,7663
1765,1964,9787,7765
1791,1944,9760,7857
1808,1919,9716,7914
1816,1915,9698,7967
1813,1915,9661,7986
1816,1915,9635,7995
1827,1899,9587,7974
1841,1886,9573,7967
1843,1878,9561,7951
1841,1886,9573,7940
1845,1889,9543,7896
1867,1886,9510,7857
1899,1868,9459,7806
1942,1857,9448,7774
1982,1852,9437,7726
2018,1857,9448,7691
2049,1848,9418,7642
2094,1828,9385,7608
2146,1795,9332,7557
2195,1770,9323,7525
2216,1749,9316,7486
2220,1741,9323,7469
2211,1735,9287,7443
2195,1741,9260,7442
2153,1751,9219,7435
2094,1770,9197,7442
2024,1784,9152,7421
1968,1799,9135,7414
1915,1809,9121,7402
1867,1828,9135,7414
1818,1844,9108,7410
1791,1857,9072,7414
1783,1858,9017,7396
1791,1857,9010,7387
1790,1856,9006,7361
1791,1857,9010,7359
1786,1856,8970,7352
1791,1857,8947,7359
1787,1858,8929,7340
1791,1857,8947,7331
1796,1855,8943,7309
1816,1857,8947,7304
1823,1867,8934,7281
1816,1886,8947,7276
1781,1916,8941,7258
1741,1973,8947,7248
1687,2045,8935,7213
1640,2089,8947,7193
1642,2009,8942,7168
1766,1741,8947,7165
2020,1282,8932,7145
2371,725,8947,7138
2799,160,8948,7116
3330,-348,8947,7110
3914,-792,8905,7088
4414,-1160,8885,7082
4708,-1468,8870,7063
4818,-1712,8885,7055
4833,-1881,8875,7028
4818,-1915,8885,7027
4797,-1783,8882,7022
4818,-1480,8885,7027
4867,-1038,8845,7004
4818,-464,8822,6999
4482,195,8806,6992
3809,870,8822,6999
2937,1466,8814,6979
2119,1944,8822,6972
1524,2283,8817,6963
1186,2495,8822,6972
1017,2594,8785,6954
933,2640,8759,6944
883,2669,8737,6922
858,2698,8759,6916
841,2706,8762,6893
832,2698,8759,6889
824,2691,8718,6882
832,2698,8697,6889
843,2705,8678,6869
858,2698,8697,6861
864,2679,8698,6850
883,2669,8697,6861
905,2670,8656,6848
933,2669,8634,6833
947,2654,8616,6805
959,2640,8634,6806
967,2634,8633,6802
984,2640,8634,6806
996,2637,8615,6783
1009,2640,8634,6778
1021,2647,8658,6771
1034,2669,8697,6778
1039,2683,8695,6760
1034,2698,8697,6750
1021,2707,8684,6729
1009,2727,8697,6723
997,2749,8690,6699
984,2785,8697,6695
961,2824,8687,6688
933,2872,8697,6695
897,2914,8689,6676
858,2959,8697,6667
816,2999,8688,6657
782,3046,8697,6667
748,3088,8688,6654
706,3133,8697,6640
652,3166,8689,6612
605,3191,8697,6612
580,3196,8687,6607
580,3191,8697,6612
589,3167,8690,6593
605,3133,8697,6584
625,3079,8685,6563
656,3017,8697,6557
695,2945,8694,6533
757,2872,8697,6529
830,2787,8660,6518
908,2698,8634,6529
979,2604,8612,6522
1059,2524,8634,6529
1148,2449,8640,6527
1236,2379,8634,6557
1303,2301,8588,6586
1362,2234,8572,6640
1415,2179,8563,6690
1463,2147,8572,6778
1498,2117,8537,6882
1539,2089,8509,7027
1589,2054,8486,7171
1640,2031,8509,7331
1669,2011,8514,7469
1690,2002,8509,7608
1713,1986,8466,7717
1741,1973,8447,7829
1755,1954,8432,7914
1766,1944,8447,7995
1776,1937,8441,8039
1791,1944,8447,8078
1794,1946,8436,8091
1791,1944,8447,8106
1786,1926,8439,8092
1791,1915,8447,8078
1793,1909,8438,8043
1791,1915,8447,8023
1783,1914,8438,7989
1791,1915,8447,7967
1812,1912,8439,7923
1841,1915,8447,7884
1865,1912,8436,7830
1892,1915,8447,7801
1917,1915,8443,7768
1942,1915,8447,7746
1962,1901,8413,7698
1993,1886,8384,7663
2025,1867,8338,7622
2043,1857,8321,7608
2025,1850,8304,7585
1993,1857,8321,7580
1956,1868,8323,7560
1917,1886,8321,7552
1857,1898,8281,7528
1791,1915,8259,7525
1731,1929,8242,7516
1690,1944,8259,7525
1657,1945,8255,7508
1640,1944,8259,7497
1633,1942,8247,7472
1640,1944,8259,7469
1637,1943,8253,7452
1640,1944,8259,7442
1643,1944,8247,7407
1665,1944,8259,7387
1679,1942,8255,7360
1690,1944,8259,7359
1686,1947,8242,7343
1690,1944,8259,7331
1689,1935,8282,7295
1690,1944,8321,7276
1677,1985,8321,7253
1665,2060,8321,7248
1627,2135,8308,7219
1564,2176,8321,7193
1510,2111,8316,7152
1564,1886,8321,7138
1783,1470,8311,7118
2144,928,8321,7110
2569,350,8315,7077
3027,-174,8321,7055
3528,-628,8311,7026
4061,-1015,8321,7027
4530,-1357,8316,7013
4818,-1625,8321,6999
4882,-1795,8309,6959
4818,-1828,8321,6944
4769,-1710,8321,6934
4818,-1422,8321,6944
4890,-979,8283,6928
4818,-406,8259,6916
4437,237,8241,6892
3733,899,8259,6889
2856,1505,8257,6870
2043,2002,8259,6861
1448,2345,8245,6838
1085,2553,8259,6833
873,2661,8259,6815
757,2727,8259,6806
700,2765,8224,6780
681,2785,8196,6778
666,2785,8156,6771
656,2785,8134,6778
656,2788,8094,6760
681,2785,8071,6750
707,2769,8036,6728
732,2756,8009,6723
743,2755,7948,6701
757,2756,7883,6695
766,2743,7789,6683
782,2727,7696,6695
792,2721,7587,6693
807,2727,7508,6695
819,2727,7420,6674
832,2727,7320,6667
835,2723,7180,6648
832,2727,7070,6640
828,2723,6974,6616
832,2727,6882,6612
838,2734,6745,6605
832,2756,6632,6612
809,2779,6553,6595
782,2814,6507,6584
764,2845,6416,6562
757,2872,6319,6557
740,2890,6232,6537
706,2930,6194,6529
663,2985,6154,6508
631,3046,6132,6501
607,3088,6097,6481
580,3133,6069,6474
534,3179,6022,6453
479,3220,6006,6446
431,3235,6002,6424
404,3249,6006,6418
387,3266,5970,6400
378,3278,5944,6391
372,3248,5929,6365
378,3191,5944,6363
396,3127,5939,6357
429,3075,5944,6363
471,3012,5939,6344
