I,II,PLETH,RESP
6794,8552,7130,-585
6795,8601,7076,-582
6794,8627,7023,-585
6760,8587,6945,-595
6725,8552,6880,-603
6708,8528,6806,-601
6794,8552,6738,-603
6935,8574,6645,-611
7072,8627,6559,-621
7136,8670,6463,-620
7210,8701,6381,-621
7296,8646,6285,-628
7349,8552,6203,-638
7272,8444,6111,-639
7141,8404,6025,-638
7030,8390,5914,-644
7002,8404,5811,-656
6993,8393,5698,-659
7002,8404,5597,-656
7000,8403,5481,-653
7002,8404,5383,-656
6982,8360,5286,-657
7002,8329,5205,-656
7057,8306,5109,-654
7141,8329,5026,-656
7184,8353,4935,-657
7210,8404,4848,-656
7211,8418,4746,-647
7210,8404,4670,-638
7174,8362,4599,-634
7141,8404,4527,-638
7081,8490,4427,-642
7002,8552,4349,-638
6881,8490,4290,-627
6794,8404,4242,-621
6744,8343,4163,-621
6725,8329,4100,-621
6662,8280,4056,-612
6586,8255,4028,-603
6522,8268,3970,-600
6517,8329,3921,-603
6517,8341,3892,-598
6517,8329,3886,-585
6499,8306,3852,-572
6517,8329,3814,-567
6522,8355,3782,-568
6517,8404,3779,-567
6459,8412,3764,-560
6448,8404,3743,-550
6464,8365,3714,-539
6517,8404,3707,-532
6518,8477,3703,-524
6517,8552,3707,-514
6533,8545,3701,-502
6586,8552,3707,-496
6557,8586,3708,-496
6378,8627,3707,-496
6009,8521,3686,-489
5546,8255,3672,-479
5092,7824,3663,-468
4853,7362,3672,-461
5039,7002,3670,-452
5893,6991,3672,-443
7456,7412,3668,-433
9568,8255,3672,-426
11798,9340,3657,-417
13727,10560,3636,-408
14992,11720,3607,-398
15391,12642,3600,-390
14742,13104,3599,-382
13103,13089,3600,-372
10863,12646,3581,-362
8736,11973,3565,-355
7228,11229,3545,-348
6448,10635,3529,-337
6158,10241,3504,-319
6170,10040,3494,-301
6293,9884,3480,-290
6378,9742,3458,-284
6303,9576,3412,-276
6170,9445,3387,-266
6092,9337,3383,-256
6101,9296,3387,-248
6086,9262,3354,-240
6032,9222,3315,-230
5945,9131,3287,-220
5893,9073,3280,-213
5856,9048,3261,-206
5893,9073,3244,-195
5953,9066,3225,-177
6032,9073,3208,-160
6040,9061,3171,-148
6032,9073,3137,-142
6014,9057,3110,-135
6032,9073,3101,-124
6034,9073,3084,-113
6032,9073,3066,-106
6015,9039,3043,-100
6032,9073,3030,-89
6058,9142,3010,-71
6101,9222,2994,-53
6107,9218,2973,-41
6101,9222,2959,-35
6081,9240,2939,-29
6101,9296,2923,-18
6131,9313,2901,-7
6170,9370,2888,0
6172,9462,2868,5
6170,9593,2852,18
6157,9667,2829,37
6170,9742,2816,53
6187,9825,2798,62
6240,9965,2781,71
6301,10095,2754,87
6378,10263,2745,106
6417,10436,2743,120
6448,10635,2745,124
6484,10781,2727,129
6586,10932,2709,142
6701,11087,2689,161
6794,11304,2674,177
6822,11498,2649,187
6864,11676,2638,195
6946,11807,2636,204
7072,11973,2638,213
7141,12130,2619,220
7141,12271,2602,230
7089,12337,2594,247
7072,12419,2602,266
7072,12517,2592,279
7072,12642,2567,284
7029,12699,2536,288
7002,12717,2531,301
6991,12680,2534,320
7002,12642,2531,337
6994,12562,2508,345
7002,12494,2495,355
7008,12412,2493,370
7002,12345,2495,390
6937,12212,2478,403
6864,12048,2460,408
6789,11841,2450,412
6725,11676,2460,426
6621,11515,2461,444
6517,11378,2460,461
6428,11193,2454,470
6378,11006,2460,479
6291,10798,2460,493
6170,10635,2460,514
6051,10469,2454,533
6032,10337,2460,550
6053,10200,2463,565
6032,10114,2460,585
5913,10026,2439,604
5824,9965,2424,621
5805,9896,2418,635
5824,9891,2424,656
5785,9892,2423,682
5754,9891,2424,709
5752,9811,2422,729
5754,9742,2424,745
5682,9704,2420,760
5616,9742,2424,780
5595,9754,2426,799
5616,9742,2424,816
5601,9684,2404,824
5616,9668,2388,833
5675,9657,2382,846
5754,9668,2388,869
5762,9650,2388,890
5754,9668,2388,904
5769,9694,2386,910
5824,9742,2388,922
5852,9742,2385,939
5893,9742,2388,957
5951,9728,2390,966
6032,9742,2388,975
6071,9734,2369,990
6101,9742,2353,1011
6128,9733,2344,1023
6170,9742,2353,1028
6175,9728,2354,1033
6170,9742,2353,1046
6158,9742,2346,1058
6170,9742,2353,1064
6169,9697,2356,1060
6170,9668,2353,1064
6161,9628,2332,1073
6170,9593,2317,1081
6168,9511,2309,1080
6170,9445,2317,1081
6160,9388,2318,1088
6170,9370,2317,1099
6173,9326,2311,1101
6170,9296,2317,1099
6131,9273,2319,1098
6101,9296,2317,1099
6082,9279,2307,1091
6101,9222,2317,1081
6107,9117,2335,1076
6101,9073,2353,1081
6060,9064,2348,1085
6032,9073,2353,1081
6012,9023,2366,1070
6032,8998,2388,1064
6041,9010,2398,1062
6032,9073,2424,1064
5964,9086,2458,1057
5893,9073,2495,1046
5850,9023,2506,1033
5893,8998,2531,1028
5966,8972,2583,1028
6032,8998,2674,1028
6036,9033,2769,1021
6032,9073,2888,1011
6023,9063,3020,998
6032,9073,3173,993
6022,9076,3313,991
6032,9073,3458,993
6055,9015,3598,987
6101,8998,3743,975
6110,9021,3865,961
6101,9073,3993,957
6080,9070,4134,958
6101,9073,4313,957
6133,9069,4494,947
6170,9073,4670,940
6171,9041,4825,938
6170,9073,4991,940
6160,9149,5153,932
6170,9222,5312,922
6167,9168,5438,917
6170,9073,5561,922
6161,9016,5680,925
6170,9073,5811,922
6166,9147,5912,911
6170,9222,5989,904
6161,9255,6037,902
6170,9296,6096,904
6168,9296,6151,904
6170,9296,6203,904
6155,9294,6223,903
6170,9370,6238,904
6197,9477,6239,904
6240,9593,6238,904
6244,9638,6217,903
6240,9668,6203,904
6226,9689,6184,903
6240,9742,6167,904
6241,9752,6118,903
6240,9742,6060,904
6219,9711,5996,903
6240,9742,5953,904
6307,9803,5901,903
6448,9891,5846,904
6594,9934,5770,903
6725,9965,5704,904
6798,9961,5630,904
6864,9965,5561,904
6926,9933,5471,903
7002,9891,5383,904
7028,9790,5286,904
7002,9668,5205,904
6921,9521,5113,901
6864,9445,5026,904
6841,9422,4930,907
6864,9445,4848,904
6868,9417,4758,893
6864,9370,4670,886
6844,9309,4570,886
6864,9296,4492,886
6913,9267,4417,877
7002,9222,4349,869
7063,9128,4257,867
7072,9073,4171,869
6989,9047,4089,860
6864,9073,4028,851
6693,9074,3956,848
6517,9073,3886,851
6339,9033,3807,846
6240,8998,3743,833
6211,8941,3680,820
6240,8924,3636,816
6243,8913,3585,815
6240,8924,3529,816
6228,8909,3451,808
6240,8924,3387,798
6237,8949,3328,786
6240,8998,3280,780
6229,9003,3217,779
6240,8998,3173,780
6232,8978,3145,774
6240,8998,3137,762
6227,8997,3115,749
6240,8998,3101,745
6230,8974,3093,745
6240,8998,3101,745
6230,9006,3099,735
6240,8998,3101,727
6238,8960,3099,724
6240,8998,3101,727
6178,9064,3093,722
6032,9073,3101,709
5756,8901,3118,695
5408,8627,3137,691
5046,8290,3133,692
4853,7957,3137,691
5036,7646,3150,683
5824,7585,3173,674
7210,7967,3174,669
9013,8850,3173,674
10902,9929,3168,676
12618,10932,3173,674
13861,11734,3167,664
14351,12419,3173,656
13852,12812,3186,653
12479,12642,3208,656
10648,11819,3211,657
8944,10783,3208,656
7706,9984,3202,654
7002,9593,3208,656
6653,9437,3208,658
6517,9445,3208,656
6447,9525,3203,646
6378,9593,3208,638
6245,9510,3209,635
6101,9370,3208,638
5972,9262,3189,639
5893,9222,3173,638
5835,9145,3161,636
5824,9073,3173,638
5822,9037,3179,639
5824,9073,3173,638
5776,9080,3147,636
5754,9073,3137,638
5762,9047,3136,640
5824,9073,3137,638
5837,9080,3115,628
5824,9073,3101,621
5794,9016,3097,618
5824,8998,3101,621
5865,8992,3084,620
5893,8998,3066,621
5875,8952,3057,621
5893,8924,3066,621
5949,8907,3056,612
6032,8924,3030,603
6069,8910,2998,599
6101,8924,2994,603
6130,8947,2997,605
6170,8998,2994,603
6169,8999,2970,594
6170,8998,2959,585
6183,8982,2957,581
6240,8998,2959,585
6297,9009,2939,589
6378,9073,2923,585
6450,9141,2917,574
6517,9222,2923,567
6541,9268,2907,568
6586,9370,2888,567
6665,9506,2875,558
6794,9668,2888,550
6905,9770,2894,548
7002,9891,2888,550
7063,10045,2863,543
7141,10263,2852,532
7244,10450,2847,526
7418,10635,2852,532
7585,10804,2848,536
7696,11006,2852,532
7718,11171,2853,520
7765,11304,2852,514
7860,11374,2831,515
7973,11453,2816,514
7998,11519,2809,505
7973,11601,2816,496
7947,11645,2814,494
7973,11676,2816,496
7982,11650,2816,496
7973,11601,2816,496
7950,11514,2797,497
7973,11453,2781,496
7991,11363,2772,488
7973,11230,2781,479
7872,11004,2781,475
7765,10783,2781,479
7678,10581,2774,480
7626,10411,2781,479
7517,10189,2781,477
7349,9965,2781,479
7145,9750,2772,479
7002,9593,2781,479
6895,9413,2796,477
6794,9222,2816,479
6644,9006,2818,480
6517,8850,2816,479
6444,8720,2811,476
6448,8627,2816,479
6431,8504,2815,487
6378,8404,2816,496
6286,8306,2812,498
6240,8255,2816,496
6225,8199,2814,495
6240,8180,2816,496
6232,8163,2813,497
6240,8180,2816,496
6239,8175,2814,496
6240,8180,2816,496
6200,8167,2813,496
6170,8180,2816,496
6152,8174,2814,496
6170,8180,2816,496
6170,8165,2812,496
6170,8180,2816,496
6159,8200,2816,497
6170,8255,2816,496
6167,8290,2809,495
6170,8329,2816,496
6178,8348,2831,498
6240,8404,2852,496
6313,8467,2854,487
6378,8552,2852,479
6383,8597,2846,476
6378,8627,2852,479
6388,8619,2850,474
6448,8627,2852,461
6494,8620,2848,447
6517,8627,2852,443
6504,8614,2850,446
6517,8627,2852,443
6526,8625,2848,427
6517,8627,2852,408
6465,8606,2849,395
6448,8627,2852,390
6469,8638,2849,383
6517,8627,2852,372
6520,8564,2849,361
6517,8552,2852,355
6512,8565,2848,349
6517,8552,2852,337
6481,8453,2849,318
6448,8404,2852,301
6430,8449,2847,291
6448,8552,2852,284
6430,8571,2850,275
6378,8552,2852,266
6292,8532,2844,258
6240,8552,2852,248
6217,8544,2864,231
6240,8552,2888,213
6248,8557,2899,200
6240,8552,2923,195
6194,8473,2952,190
6170,8404,2994,177
6158,8373,3025,159
6170,8404,3066,142
6165,8405,3118,131
6170,8404,3208,124
6166,8389,3309,116
6170,8404,3422,106
6157,8396,3523,96
6170,8404,3636,89
6195,8398,3760,81
6240,8404,3921,71
6247,8366,4085,59
6240,8329,4242,53
6222,8296,4365,54
6240,8329,4492,53
6246,8368,4624,46
6240,8404,4777,35
6213,8393,4918,27
6240,8404,5062,18
6304,8405,5198,7
6378,8404,5347,0
6389,8371,5487,-1
6378,8404,5632,0
6363,8477,5760,-6
6378,8552,5882,-18
6377,8547,5973,-29
6378,8552,6060,-35
6369,8581,6141,-38
6378,8627,6238,-35
6372,8614,6318,-32
6378,8627,6381,-35
6373,8661,6412,-45
6378,8701,6452,-53
6366,8676,6488,-54
6378,8701,6524,-53
6399,8814,6525,-60
6448,8998,6524,-71
6481,9124,6516,-75
6517,9222,6524,-71
6523,9297,6510,-66
6517,9370,6488,-71
6476,9372,6446,-82
6448,9370,6417,-89
6427,9385,6378,-88
6448,9445,6345,-89
6488,9457,6291,-96
6586,9445,6238,-106
6712,9419,6176,-110
6864,9445,6132,-106
6979,9456,6078,-103
7072,9445,6025,-106
7115,9389,5948,-115
7141,9370,5882,-124
7135,9348,5808,-127
7141,9296,5739,-124
7138,9167,5647,-120
7141,9073,5561,-124
7108,9041,5478,-134
7072,9073,5419,-142
7024,9070,5339,-142
7002,9073,5240,-142
6983,9068,5118,-149
7002,9073,5026,-160
7048,9028,4951,-164
7141,8998,4884,-160
7206,8965,4788,-155
7210,8924,4706,-160
7118,8805,4630,-170
7002,8701,4563,-177
6884,8656,4469,-178
6794,8701,4385,-177
6685,8701,4308,-178
6586,8627,4242,-177
6495,8485,4149,-175
6448,8404,4064,-177
6403,8379,3996,-186
6378,8404,3957,-195
6357,8398,3904,-197
6378,8404,3850,-195
6410,8399,3789,-194
6448,8404,3743,-195
6446,8380,3686,-196
6448,8404,3636,-195
6435,8463,3588,-194
6448,8552,3565,-195
6436,8567,3543,-195
6448,8552,3529,-195
6436,8521,3505,-195
6448,8552,3494,-195
6458,8584,3475,-194
6517,8627,3458,-195
6550,8625,3430,-196
6517,8627,3422,-195
6384,8615,3420,-194
6240,8627,3422,-195
6052,8571,3401,-197
5754,8404,3387,-195
5317,8061,3379,-186
4992,7660,3387,-177
5086,7315,3383,-175
5824,7214,3387,-177
7154,7425,3386,-177
8944,8032,3387,-177
10947,8964,3366,-178
12895,10114,3351,-177
14397,11210,3343,-170
15114,12048,3351,-160
14797,12446,3349,-155
13519,12419,3351,-160
11608,11989,3349,-163
9637,11304,3351,-160
8084,10516,3333,-149
7210,9891,3315,-142
6891,9536,3304,-141
6864,9445,3315,-142
6854,9422,3320,-141
6794,9370,3315,-142
6666,9226,3291,-143
6517,9073,3280,-142
6351,8950,3276,-133
6240,8924,3280,-124
6182,8908,3264,-121
6170,8850,3244,-124
6132,8714,3220,-125
6101,8627,3208,-124
6077,8605,3189,-123
6101,8627,3173,-124
6100,8587,3151,-124
6101,8552,3137,-124
6078,8531,3117,-124
6101,8552,3101,-124
6127,8541,3080,-124
6170,8552,3066,-124
6192,8558,3044,-125
6240,8552,3030,-124
6298,8470,3010,-123
6378,8404,2994,-124
6422,8375,2972,-126
6448,8404,2959,-124
6440,8400,2940,-120
6448,8404,2923,-124
6461,8398,2898,-135
6517,8404,2888,-142
6561,8359,2884,-141
6586,8329,2888,-142
6565,8308,2872,-151
6586,8329,2852,-160
6661,8342,2828,-160
6794,8404,2816,-160
6904,8474,2798,-167
7002,8552,2781,-177
7067,8574,2757,-179
7141,8627,2745,-177
7215,8733,2727,-182
7349,8924,2709,-195
7495,9088,2684,-207
7626,9222,2674,-213
7688,9312,2671,-212
7765,9445,2674,-213
7879,9584,2658,-218
8042,9742,2638,-230
8179,9893,2614,-243
8320,10114,2602,-248
8453,10351,2595,-246
8597,10560,2602,-248
8702,10673,2606,-258
8805,10783,2602,-266
8884,10900,2580,-266
8944,11006,2567,-266
8944,11015,2563,-273
8944,11006,2567,-284
8938,11021,2550,-287
8944,11081,2531,-284
8927,11076,2520,-282
8944,11006,2531,-284
8961,10864,2536,-284
8944,10709,2531,-284
8821,10517,2508,-283
8666,10337,2495,-284
8514,10144,2489,-284
8389,9965,2495,-284
8221,9763,2494,-284
8042,9593,2495,-284
7854,9433,2492,-283
7696,9296,2495,-284
7538,9112,2494,-285
7418,8924,2495,-284
7288,8719,2492,-275
7141,8552,2495,-266
6964,8384,2494,-262
6864,8255,2495,-266
6825,8123,2492,-269
6794,8032,2495,-266
6682,7960,2495,-257
6586,7957,2495,-248
6554,7939,2490,-245
6586,7883,2495,-248
6567,7768,2498,-251
6517,7734,2495,-248
6458,7786,2474,-239
6448,7883,2460,-230
6437,7897,2454,-227
6448,7883,2460,-230
6446,7865,2458,-234
6448,7883,2460,-230
6409,7873,2460,-221
6378,7883,2460,-213
6357,7904,2442,-210
6378,7957,2424,-213
6401,7983,2414,-214
6448,8032,2424,-213
6483,8095,2429,-212
6517,8180,2424,-213
6515,8200,2403,-213
6517,8180,2388,-213
6509,8147,2381,-211
6517,8180,2388,-213
6525,8224,2389,-214
6586,8255,2388,-213
6681,8237,2382,-210
6794,8255,2388,-213
6850,8292,2391,-222
6864,8329,2388,-230
6828,8294,2368,-231
6794,8255,2353,-230
6766,8233,2346,-235
6794,8255,2353,-248
6835,8251,2352,-260
6864,8255,2353,-266
6829,8248,2349,-266
6794,8255,2353,-266
6776,8237,2350,-271
6794,8255,2353,-284
6793,8288,2350,-296
6794,8329,2353,-301
6768,8301,2349,-300
6725,8255,2353,-301
6641,8199,2352,-309
6586,8180,2353,-319
6567,8162,2345,-327
6586,8180,2353,-337
6582,8189,2367,-348
6586,8180,2388,-355
6584,8102,2390,-353
6586,8032,2388,-355
6547,7997,2391,-363
6517,8032,2424,-372
6500,8044,2470,-373
6517,8032,2531,-372
6515,7996,2581,-379
6517,8032,2638,-390
6508,8103,2696,-393
6517,8180,2781,-390
6510,8186,2877,-388
6517,8180,2994,-390
6512,8168,3111,-391
6517,8180,3244,-390
6505,8167,3378,-389
6517,8180,3529,-390
6521,8206,3680,-390
6517,8255,3850,-390
6472,8258,4014,-389
6448,8255,4171,-390
6439,8240,4297,-390
6448,8255,4420,-390
6415,8249,4539,-389
6378,8255,4670,-390
6352,8244,4791,-391
6378,8255,4919,-390
6411,8266,5042,-388
6448,8329,5169,-390
6450,8383,5277,-392
6448,8404,5383,-390
6431,8353,5473,-380
6448,8329,5561,-372
6474,8325,5631,-370
6517,8329,5704,-372
6522,8295,5762,-372
6517,8329,5811,-372
6499,8427,5828,-373
6517,8552,5846,-372
6544,8614,5860,-365
6586,8701,5882,-355
6594,8816,5883,-350
6586,8924,5882,-355
6546,8927,5864,-359
6517,8924,5846,-355
6475,8949,5808,-344
6448,8998,5775,-337
6422,8983,5735,-336
6448,8998,5704,-337
6500,9082,5651,-330
6586,9222,5597,-319
6672,9285,5534,-309
6794,9296,5490,-301
6912,9261,5438,-293
7002,9222,5383,-284
7013,9133,5306,-275
7002,9073,5240,-266
6989,9048,5169,-256
7002,9073,5098,-248
6998,9068,5002,-241
7002,9073,4919,-230
6998,9066,4843,-214
7002,9073,4777,-195
6986,9049,4687,-182
7002,9073,4599,-177
7053,9131,4505,-172
7141,9222,4420,-160
7174,9240,4322,-140
7141,9222,4242,-124
7055,9188,4169,-115
7002,9222,4100,-106
6949,9260,4004,-92
6864,9296,3921,-71
6711,9285,3856,-51
6586,9296,3814,-35
6505,9296,3749,-20
6448,9296,3672,0
6338,9245,3588,21
6240,9222,3529,35
6200,9229,3472,44
6240,9296,3422,53
6260,9356,3362,69
6240,9445,3315,89
6185,9543,3272,107
6170,9668,3244,124
6165,9727,3207,141
6170,9742,3173,160
6130,9713,3130,177
6101,9742,3101,195
6074,9798,3076,213
6101,9891,3066,230
6107,9929,3047,248
6101,9965,3030,266
6079,10002,3005,284
6101,10114,2994,301
6105,10213,2987,318
6032,10263,2994,337
5809,10187,2993,356
5477,10040,2994,372
5056,9765,2989,386
4645,9370,2994,408
4380,8880,2995,436
4576,8552,2994,461
5495,8578,2985,472
7141,9073,2994,479
9032,9895,3011,492
10677,10932,3030,514
11973,12005,3029,534
13103,13014,3030,550
13757,13738,3029,565
13242,14055,3030,585
11349,13868,3021,603
8944,13312,3030,621
7064,12540,3050,636
6032,11824,3066,656
5498,11301,3049,675
5269,11081,3030,691
5323,11044,3022,701
5546,11081,3030,709
5656,11048,3028,722
5616,11006,3030,745
5548,10958,3031,766
5546,10932,3030,780
5528,10853,3008,785
5477,10783,2994,798
5417,10740,2992,816
5408,10783,2994,833
5402,10843,2975,840
5408,10932,2959,851
5390,10976,2953,868
5408,11006,2959,886
5429,10987,2943,894
5477,11006,2923,904
5502,11010,2901,921
5546,11006,2888,940
5583,10946,2865,948
5616,10932,2852,957
5610,10933,2847,973
5616,10932,2852,993
5617,10846,2838,1002
5616,10783,2816,1011
5589,10759,2791,1025
5616,10783,2781,1046
5682,10746,2765,1058
5754,10709,2745,1064
5774,10681,2717,1069
5824,10709,2709,1081
5919,10702,2709,1091
6032,10709,2709,1099
6075,10715,2689,1105
6101,10783,2674,1117
6129,10846,2668,1127
6170,10932,2674,1135
6184,10973,2661,1134
6240,11006,2638,1135
6337,11008,2610,1139
6448,11081,2602,1152
6505,11202,2600,1163
6586,11378,2602,1170
6713,11499,2588,1169
6864,11601,2567,1170
6945,11681,2539,1174
7002,11824,2531,1188
7062,11968,2530,1200
7141,12122,2531,1206
7176,12245,2513,1202
7210,12419,2495,1206
7262,12585,2485,1215
7349,12717,2495,1223
7397,12749,2500,1221
7418,12791,2495,1223
7411,12853,2473,1231
7418,12940,2460,1241
7413,12954,2454,1240
7418,12940,2460,1241
7411,12877,2458,1248
7418,12791,2460,1259
7413,12632,2457,1258
7418,12494,2460,1259
7394,12374,2457,1265
7349,12271,2460,1277
7268,12071,2459,1278
7210,11824,2460,1277
7148,11564,2453,1280
7072,11378,2460,1294
6953,11194,2474,1306
6864,11006,2495,1312
6793,10770,2499,1310
6725,10560,2495,1312
6609,10334,2487,1317
6517,10114,2495,1330
6446,9879,2510,1340
6378,9742,2531,1347
6258,9659,2535,1346
6170,9593,2531,1347
6146,9460,2521,1352
6170,9370,2531,1365
6143,9324,2548,1374
6101,9296,2567,1383
6074,9177,2567,1388
6101,9073,2567,1401
6109,9029,2564,1411
6101,9073,2567,1418
6059,9078,2561,1416
6032,9073,2567,1418
6008,9054,2580,1424
6032,9073,2602,1436
6065,9065,2606,1444
6101,9073,2602,1454
6096,9066,2595,1462
6101,9073,2602,1472
6120,9050,2606,1471
6170,9073,2602,1472
6182,9128,2581,1475
6170,9222,2567,1489
6162,9264,2559,1501
6240,9296,2567,1507
6355,9314,2567,1504
6448,9370,2567,1507
6452,9408,2561,1514
6448,9445,2567,1525
6466,9441,2568,1526
6517,9445,2567,1525
6525,9431,2548,1521
6517,9445,2531,1525
6503,9441,2520,1525
6517,9445,2531,1525
6515,9427,2537,1521
6517,9445,2531,1525
6509,9449,2506,1527
6517,9445,2495,1525
6510,9391,2495,1513
6517,9370,2495,1507
6515,9363,2475,1505
6517,9370,2460,1507
6482,9325,2454,1499
6448,9296,2460,1489
6423,9279,2456,1478
6448,9296,2460,1472
6461,9285,2462,1461
6448,9296,2460,1454
6395,9297,2435,1445
6378,9296,2424,1436
6382,9242,2434,1423
6378,9222,2460,1418
6308,9237,2462,1418
6240,9296,2460,1418
6209,9303,2463,1403
6240,9296,2495,1383
6250,9277,2527,1367
6240,9296,2567,1365
6217,9293,2607,1360
6240,9296,2674,1347
6253,9283,2741,1326
6240,9296,2816,1312
6202,9271,2889,1303
6240,9222,2994,1294
6323,9127,3114,1275
6378,9073,3244,1259
6319,9049,3359,1247
6240,9073,3494,1241
6207,9070,3643,1225
6240,9073,3814,1206
6246,9059,3971,1185
6240,9073,4135,1170
6227,9066,4305,1158
6240,9073,4492,1152
6233,9061,4658,1146
6240,9073,4813,1135
6239,9065,4950,1114
6240,9073,5098,1099
6216,9062,5229,1090
6240,9073,5347,1081
6302,9064,5436,1062
6378,9073,5525,1046
6389,9062,5610,1036
6378,9073,5704,1028
6365,9064,5777,1010
6378,9073,5846,993
6373,9061,5898,982
6378,9073,5953,975
6375,9066,5990,958
6378,9073,6025,940
6360,9055,6041,927
6378,9073,6060,922
6412,9116,6061,914
6448,9222,6060,904
6438,9308,6041,894
6448,9370,6025,886
6476,9384,5990,876
6517,9445,5953,869
6513,9541,5897,861
6517,9668,5846,851
6519,9727,5787,832
6517,9742,5739,816
6485,9698,5682,804
6517,9668,5632,798
6611,9658,5574,789
6725,9742,5525,780
6781,9840,5458,771
6864,9891,5383,762
6997,9822,5286,750
7141,9742,5205,745
7175,9685,5127,744
7141,9668,5062,745
7090,9616,4975,737
7072,9593,4884,727
7032,9589,4785,717
7002,9593,4706,709
6985,9522,4617,698
7002,9445,4527,691
7000,9384,4425,691
7002,9370,4349,691
7015,9326,4278,683
7072,9296,4206,674
7115,9274,4109,665
7141,9296,4028,656
7134,9294,3955,644
7141,9296,3886,638
7109,9263,3789,639
7002,9222,3707,638
6789,9134,3644,628
6586,9073,3600,621
