aVF,V,PLETH
4317,6142,6688
4407,6133,6695
4437,6121,6688
4456,6133,6695
4489,6115,6688
4504,6067,6695
4433,5987,6688
4262,5935,6695
4040,5914,6688
3826,5935,6695
3607,5945,6688
3342,5935,6695
3024,5876,6688
2712,5804,6695
2424,5705,6688
2131,5606,6695
1805,5492,6688
1501,5408,6695
1271,5332,6688
1114,5276,6695
967,5220,6688
823,5210,6695
687,5214,6688
581,5210,6695
490,5145,6688
436,5078,6695
418,5044,6688
436,5078,6695
456,5115,6688
484,5144,6695
510,5159,6688
533,5210,6695
545,5254,6688
581,5276,6695
643,5276,6688
726,5342,6695
826,5451,6688
969,5540,6695
1131,5541,6688
1259,5540,6695
1335,5588,6688
1405,5672,6695
1467,5677,6687
1453,5606,6695
1332,5493,6689
1211,5408,6695
1191,5331,6687
1259,5276,6695
1309,5234,6690
1308,5210,6695
1255,5160,6685
1162,5078,6695
1018,4986,6695
872,4946,6695
776,4945,6662
726,4946,6643
694,4888,6629
678,4814,6643
666,4770,6641
630,4814,6643
587,4902,6618
630,5012,6591
783,5082,6547
1017,5078,6539
1381,4867,6538
1986,4353,6539
2742,3481,6504
3439,2374,6487
4075,1193,6481
4795,198,6487
5282,-347,6457
4795,-198,6435
3094,570,6424
1017,1649,6435
-329,2680,6411
-630,3561,6383
-350,4276,6361
48,4814,6383
412,5119,6393
678,5276,6383
765,5376,6342
726,5474,6332
694,5517,6330
726,5540,6332
773,5580,6297
823,5672,6280
886,5716,6273
969,5672,6280
1038,5569,6250
1114,5540,6228
1197,5596,6216
1308,5672,6228
1408,5701,6205
1501,5738,6176
1570,5789,6138
1647,5804,6124
1748,5724,6095
1889,5672,6072
2052,5745,6038
2228,5935,6020
2397,6081,5989
2567,6133,5968
2745,6120,5936
2954,6133,5916
3188,6160,5883
3439,6199,5864
3698,6222,5835
3971,6265,5813
4223,6305,5774
4407,6331,5761
4504,6287,5752
4553,6199,5761
4574,6097,5753
4553,6067,5761
4469,6126,5760
4359,6265,5761
4247,6360,5730
4117,6331,5709
3926,6165,5694
3681,6001,5709
3401,5907,5708
3100,5870,5709
2777,5786,5698
2470,5672,5709
2205,5551,5708
1986,5474,5709
1771,5401,5695
1550,5342,5709
1322,5270,5729
1114,5210,5761
924,5150,5762
775,5144,5761
672,5170,5751
630,5210,5761
608,5192,5758
581,5144,5761
540,5087,5751
533,5078,5761
555,5093,5760
581,5144,5761
577,5201,5734
581,5276,5709
617,5322,5673
678,5342,5657
738,5326,5643
823,5342,5657
954,5409,5660
1114,5540,5657
1252,5661,5623
1356,5738,5605
1425,5727,5594
1453,5672,5605
1423,5591,5600
1356,5540,5605
1290,5499,5601
1259,5474,5605
1254,5435,5593
1259,5408,5605
1233,5379,5626
1162,5342,5657
1043,5276,5655
920,5210,5657
813,5162,5666
726,5144,5709
661,5117,5738
630,5078,5761
629,5007,5757
630,4946,5761
607,4926,5754
581,5012,5761
578,5148,5756
630,5276,5761
781,5337,5753
1114,5342,5761
1683,5126,5757
2470,4485,5761
3373,3361,5752
4262,2044,5761
4962,831,5759
5231,-66,5761
4795,-487,5746
3584,-198,5761
1909,732,5783
387,1913,5813
-473,2926,5809
-581,3759,5813
-238,4512,5825
194,5144,5864
505,5466,5873
678,5540,5864
763,5561,5843
823,5672,5864
873,5779,5894
920,5804,5916
961,5715,5890
1017,5606,5864
1071,5529,5849
1114,5540,5864
1142,5578,5864
1211,5606,5864
1307,5613,5855
1405,5672,5864
1451,5777,5861
1501,5870,5864
1593,5882,5856
1744,5870,5864
1911,5879,5862
2083,5935,5864
2251,5973,5840
2422,6001,5813
2583,6025,5773
2761,6067,5761
2978,6061,5753
3245,6001,5761
3509,5920,5752
3729,5935,5761
3914,6065,5761
4117,6265,5761
4319,6409,5729
4456,6463,5709
4509,6434,5696
4553,6397,5709
4609,6357,5707
4601,6331,5709
4463,6294,5700
4262,6265,5709
4084,6208,5704
3923,6133,5709
3719,6042,5702
3487,6001,5709
3268,5996,5703
3051,6001,5709
2782,5950,5702
2470,5870,5709
2162,5752,5703
1889,5606,5709
1621,5399,5703
1356,5210,5709
1109,5105,5703
920,5144,5709
780,5244,5703
678,5342,5709
590,5380,5703
533,5408,5709
498,5417,5703
484,5408,5709
471,5345,5703
484,5276,5709
525,5201,5703
581,5144,5709
601,5100,5703
581,5144,5709
552,5263,5703
581,5408,5709
693,5485,5703
872,5540,5709
1044,5614,5703
1162,5738,5709
1233,5828,5703
1308,5870,5709
1383,5867,5703
1405,5870,5709
1345,5818,5703
1259,5672,5709
1196,5423,5703
1162,5210,5709
1142,5114,5703
1162,5144,5709
1192,5212,5703
1162,5276,5709
1014,5299,5703
823,5276,5709
688,5221,5703
630,5210,5709
600,5225,5704
581,5210,5709
594,5126,5702
630,5078,5709
633,5095,5705
581,5144,5709
522,5175,5700
581,5276,5709
877,5402,5709
1453,5342,5709
2217,4814,5679
3051,3825,5657
3907,2565,5627
4746,1319,5605
5321,311,5566
5231,-198,5553
4260,-88,5549
2664,594,5553
981,1580,5524
-291,2638,5501
-886,3578,5487
-775,4353,5501
-212,4928,5500
387,5342,5501
725,5578,5493
823,5672,5501
846,5663,5497
872,5672,5501
872,5720,5494
872,5804,5501
918,5866,5496
1017,5935,5501
1101,5985,5495
1162,6001,5501
1217,5960,5496
1308,5935,5501
1402,5956,5495
1501,6001,5501
1589,6007,5495
1695,6001,5501
1813,6014,5495
1937,6067,5501
2053,6104,5497
2179,6133,5501
2331,6153,5479
2518,6199,5449
2714,6232,5407
2906,6265,5397
3092,6285,5395
3293,6331,5397
3508,6367,5379
3729,6397,5397
3935,6409,5454
4117,6463,5553
4260,6534,5634
4359,6595,5709
4403,6594,5761
4407,6595,5813
4389,6618,5836
4359,6661,5864
4292,6647,5886
4165,6595,5916
3980,6519,5917
3778,6463,5916
3570,6395,5907
3342,6331,5916
3079,6238,5912
2809,6133,5916
2546,6011,5909
2276,5935,5916
1968,5893,5911
1647,5870,5916
1353,5803,5910
1114,5738,5916
893,5685,5911
678,5672,5916
478,5640,5910
339,5606,5916
251,5558,5910
194,5540,5916
146,5528,5910
145,5540,5916
188,5538,5910
242,5540,5916
254,5528,5911
242,5540,5916
233,5543,5909
242,5540,5916
255,5516,5912
291,5540,5916
367,5617,5908
484,5738,5916
610,5818,5914
726,5870,5916
815,5912,5902
872,6001,5916
913,6071,5937
969,6067,5968
1021,5947,5966
1017,5804,5968
931,5700,5977
823,5672,6020
753,5647,6049
726,5606,6072
677,5553,6068
581,5540,6072
438,5544,6065
291,5540,6072
171,5500,6066
97,5474,6072
65,5466,6065
48,5474,6072
13,5444,6066
-48,5408,6072
-90,5381,6065
-48,5408,6072
68,5442,6066
242,5474,6072
570,5437,6065
1211,5276,6072
2124,4845,6066
3100,4089,6072
4034,3077,6063
4940,2110,6072
5532,1483,6083
5231,1385,6124
3824,1738,6153
1889,2374,6176
232,3078,6167
-775,3759,6176
-1159,4356,6191
-969,4880,6228
-353,5282,6248
291,5540,6280
600,5621,6301
630,5606,6332
643,5572,6345
726,5606,6383
761,5656,6429
726,5672,6487
725,5606,6513
823,5540,6539
953,5511,6556
1065,5540,6591
1151,5571,6608
1259,5606,6643
1363,5637,6682
1453,5672,6747
1512,5677,6781
1598,5672,6799
1729,5660,6786
1889,5672,6799
2048,5672,6817
2228,5672,6850
2441,5658,6852
2664,5672,6850
2846,5678,6837
3003,5672,6850
3163,5627,6851
3342,5606,6850
3515,5617,6833
3681,5672,6850
3848,5710,6874
4020,5738,6902
4165,5737,6894
4262,5738,6902
4304,5726,6919
4310,5738,6954
4280,5742,6953
4214,5738,6954
4116,5696,6960
4020,5672,7006
3931,5665,7036
3826,5672,7058
3660,5623,7050
3439,5540,7058
3191,5446,7055
2954,5408,7058
2718,5396,7044
2470,5408,7058
2200,5421,7077
1937,5474,7110
1699,5524,7109
1501,5540,7110
1321,5475,7101
1162,5408,7110
1033,5378,7103
969,5408,7110
941,5419,7106
920,5408,7110
883,5384,7081
872,5408,7058
891,5445,7038
920,5474,7058
907,5448,7064
872,5408,7058
847,5360,7019
872,5342,7006
943,5345,7000
1065,5408,7006
1216,5501,6976
1356,5606,6954
1433,5674,6938
1453,5738,6954
1473,5783,6952
1550,5804,6954
1649,5751,6942
1695,5672,6954
1657,5588,6966
1598,5540,7006
1579,5497,7033
1598,5474,7058
1592,5445,7051
1550,5408,7058
1481,5341,7055
1405,5276,7058
1282,5207,7041
1114,5144,7058
953,5081,7084
872,5078,7110
868,5113,7083
872,5144,7058
832,5109,7043
775,5078,7058
746,5088,7038
775,5144,7006
878,5167,6962
1114,5144,6954
1531,5015,6949
2131,4748,6954
2840,4307,6929
3584,3759,6902
4271,3123,6860
4746,2506,6850
4753,2143,6845
4117,2374,6850
2938,3181,6822
1598,4155,6799
460,4808,6777
-291,5078,6799
-597,5170,6821
-436,5276,6850
59,5364,6849
581,5408,6850
863,5404,6840
920,5408,6850
922,5403,6846
969,5408,6850
1008,5403,6840
1017,5408,6850
1032,5400,6850
1114,5408,6850
1233,5408,6818
1356,5408,6799
1451,5394,6783
1550,5408,6799
1632,5439,6798
1695,5474,6799
1728,5475,6783
1792,5474,6799
1902,5468,6819
2034,5474,6850
2148,5465,6850
2276,5474,6850
2451,5478,6840
2664,5474,6850
2863,5432,6845
3051,5408,6850
3240,5399,6842
3439,5408,6850
3631,5394,6846
3826,5408,6850
4011,5457,6827
4165,5540,6799
4273,5586,6755
4359,5606,6747
4414,5599,6744
4407,5606,6747
4336,5601,6713
4262,5606,6695
4205,5602,6684
4117,5606,6695
3957,5578,6685
3778,5540,6695
3615,5491,6711
3439,5474,6747
3205,5449,6748
2954,5408,6747
2716,5329,6735
2470,5276,6747
2189,5257,6742
1937,5276,6747
1751,5275,6738
1598,5276,6747
1419,5287,6741
1259,5342,6747
1162,5385,6739
1114,5408,6747
1044,5395,6740
969,5408,6747
921,5435,6740
920,5474,6747
922,5477,6739
920,5474,6747
913,5463,6741
920,5474,6747
945,5486,6738
1017,5540,6747
1129,5624,6742
1259,5738,6747
1365,5815,6736
1453,5870,6747
1543,5915,6747
1647,6001,6747
1725,6069,6713
1744,6067,6695
1702,5951,6681
1647,5804,6695
1610,5693,6690
1598,5672,6695
1594,5678,6687
1598,5672,6695
1576,5616,6687
1501,5540,6695
1359,5459,6690
1211,5408,6695
1096,5387,6681
1017,5408,6695
955,5419,6713
920,5408,6747
918,5361,6747
920,5342,6747
885,5337,6736
823,5342,6747
758,5342,6742
726,5408,6747
783,5480,6738
1017,5408,6747
1469,4973,6741
2131,4155,6747
2969,3050,6738
3923,1913,6747
4761,1013,6742
5085,659,6747
4558,938,6736
3245,1715,6747
1629,2662,6745
339,3561,6747
-256,4296,6730
-194,4880,6747
183,5285,6770
533,5540,6799
710,5662,6790
775,5738,6799
805,5778,6816
823,5804,6850
817,5794,6848
823,5804,6850
875,5828,6858
969,5870,6902
1050,5874,6928
1114,5870,6954
1171,5861,6967
1259,5870,7006
1353,5866,7033
1453,5870,7058
1540,5887,7053
1647,5935,7058
1764,5975,7052
1889,6001,7058
2005,5996,7046
2131,6001,7058
2280,6017,7074
2470,6067,7110
2681,6107,7114
2906,6133,7110
3127,6125,7092
3342,6133,7110
3539,6152,7131
3729,6199,7162
3920,6232,7158
4117,6265,7162
4289,6268,7169
4407,6265,7214
4454,6249,7245
4456,6265,7266
4437,6277,7253
4407,6265,7266
4337,6196,7284
4214,6133,7318
4048,6091,7316
3875,6067,7318
3681,5987,7308
3439,5870,7318
3131,5742,7309
2809,5672,7318
2519,5629,7313
2276,5606,7318
2038,5565,7302
1792,5540,7318
1551,5507,7339
1356,5474,7369
1199,5405,7362
1065,5342,7369
931,5287,7384
823,5276,7421
751,5269,7424
726,5276,7421
719,5269,7408
726,5276,7421
727,5271,7418
726,5276,7421
717,5268,7409
726,5276,7421
759,5288,7419
823,5342,7421
906,5422,7404
1017,5540,7421
1140,5645,7457
1259,5738,7525
1358,5800,7560
1453,5870,7577
1542,5920,7563
1598,5935,7577
1581,5862,7595
1501,5738,7629
1407,5606,7628
1356,5540,7629
1347,5507,7617
1356,5474,7629
1343,5405,7625
1308,5342,7629
1229,5300,7616
1114,5276,7629
979,5238,7629
872,5210,7629
811,5197,7595
775,5210,7577
743,5189,7563
726,5144,7577
728,5103,7573
726,5144,7577
705,5202,7567
726,5210,7577
893,5146,7571
1259,5078,7577
1764,4847,7568
2325,4221,7577
2920,3170,7570
3584,2044,7577
4223,1080,7569
4553,330,7577
4237,-76,7569
3196,264,7577
1718,1374,7569
339,2704,7577
-477,3642,7569
-581,4221,7577
-213,4729,7569
242,5210,7577
535,5443,7569
678,5474,7577
762,5497,7569
823,5606,7577
832,5670,7569
823,5672,7577
847,5654,7569
920,5672,7577
982,5673,7569
1017,5672,7577
1042,5664,7569
1114,5672,7577
1209,5685,7570
1308,5738,7577
1388,5811,7568
1501,5870,7577
1644,5872,7571
1792,5870,7577
1910,5885,7566
2034,5935,7577
2189,5969,7574
2373,6001,7577
2556,6025,7560
2761,6067,7577
2995,6099,7599
3245,6133,7629
3483,6139,7621
3729,6133,7629
3983,6113,7643
4214,6133,7681
4381,6170,7683
4504,6199,7681
4597,6170,7667
4649,6133,7681
4642,6115,7678
4601,6133,7681
4544,6119,7668
4456,6067,7681
4306,5984,7681
4117,5935,7681
3910,5901,7647
3681,5870,7629
3390,5801,7614
3051,5738,7629
2712,5670,7625
2422,5606,7629
2157,5522,7619
1889,5474,7629
1605,5442,7624
1356,5408,7629
1162,5329,7603
1017,5276,7577
883,5262,7533
775,5276,7525
690,5244,7521
630,5210,7525
570,5192,7493
533,5210,7473
521,5208,7458
533,5210,7473
533,5206,7470
533,5210,7473
542,5194,7463
581,5210,7473
640,5258,7468
726,5342,7473
838,5423,7463
969,5540,7473
1081,5674,7467
1162,5804,7473
1227,5860,7463
1308,5870,7473
1385,5842,7469
1405,5804,7473
1343,5714,7458
1259,5606,7473
1213,5509,7491
1211,5474,7525
1201,5453,7524
1162,5408,7525
1081,5327,7514
969,5276,7525
835,5268,7520
726,5276,7525
666,5243,7516
630,5210,7525
595,5197,7519
581,5210,7525
588,5184,7516
581,5144,7525
556,5114,7519
581,5144,7525
687,5188,7516
872,5210,7525
1207,5094,7520
1792,4748,7525
2516,4070,7513
3148,3100,7525
3674,1954,7526
4262,923,7525
4690,318,7489
4310,396,7473
2835,1071,7464
920,2044,7473
-444,2971,7447
-872,3759,7421
-684,4411,7384
-291,4946,7369
125,5291,7336
484,5474,7318
685,5548,7300
726,5606,7318
707,5642,7319
726,5672,7318
776,5672,7298
823,5672,7318
855,5660,7342
920,5672,7369
1016,5693,7359
1114,5738,7369
1163,5773,7388
1211,5804,7421
1288,5808,7415
1405,5804,7421
1503,5790,7435
1598,5804,7473
1721,5828,7475
1889,5870,7473
2064,5897,7461
2228,5935,7473
2383,5964,7467
2567,6001,7473
2791,6025,7467
3051,6067,7473
3306,6102,7461
3536,6133,7473
3747,6130,7488
3971,6133,7525
4191,6131,7542
4359,6133,7577
4450,6118,7601
4504,6133,7629
4545,6165,7622
4553,6199,7629
4485,6178,7641
4359,6133,7681
4214,6066,7688
4068,6001,7681
3895,5920,7644
3681,5870,7629
3425,5836,7600
3148,5804,7577
2857,5712,7535
2567,5606,7525
2273,5514,7520
1986,5474,7525
1716,5437,7494
1501,5408,7473
1326,5366,7457
1162,5342,7473
981,5306,7470
823,5276,7473
705,5231,7463
630,5210,7473
567,5197,7467
533,5210,7473
524,5209,7464
533,5210,7473
529,5198,7466
533,5210,7473
549,5231,7465
581,5276,7473
615,5307,7466
678,5342,7473
782,5379,7465
920,5474,7473
1050,5600,7466
1162,5738,7473
1262,5823,7466
1356,5870,7473
1426,5858,7466
1453,5804,7473
1424,5698,7466
1356,5606,7473
1273,5530,7466
1211,5474,7473
1176,5400,7466
1162,5342,7473
1131,5302,7466
1065,5276,7473
952,5235,7466
823,5210,7473
711,5204,7466
630,5210,7473
573,5181,7466
533,5144,7473
503,5101,7466
484,5078,7473
489,5055,7466
533,5078,7473
593,5136,7465
678,5210,7473
890,5193,7466
1356,5012,7473
2010,4547,7465
2664,3759,7473
3258,2684,7466
3875,1583,7473
4348,772,7465
4214,528,7473
3213,851,7466
1695,1583,7473
258,2451,7464
-726,3297,7473
-1151,4020,7469
-969,4616,7473
-332,5052,7447
339,5342,7421
663,5483,7382
678,5540,7369
655,5537,7345
726,5540,7318
801,5554,7256
823,5606,7214
843,5647,7176
920,5672,7162
1008,5662,7127
1065,5672,7110
1092,5698,7095
1162,5738,7110
1275,5744,7106
1405,5738,7110
1499,5746,7100
1598,5804,7110
1730,5855,7104
1889,5870,7110
2035,5845,7100
2179,5870,7110
2339,5936,7118
2518,6001,7162
2699,6001,7206
2906,6001,7266
3143,6025,7307
3390,6067,7369
3613,6065,7420
3826,6067,7473
4033,6089,7492
4214,6133,7525
4334,6137,7564
4407,6133,7629
4448,6129,7662
4456,6133,7681
4421,6100,7670
4359,6067,7681
4264,6033,7680
4117,6001,7681
3907,5930,7649
3681,5870,7629
3465,5826,7598
3245,5804,7577
2986,5744,7536
2712,5672,7525
2455,5592,7519
2228,5540,7525
1993,5492,7494
1744,5474,7473
1486,5447,7457
1259,5408,7473
1066,5329,7470
920,5276,7473
805,5256,7463
726,5276,7473
667,5276,7467
630,5276,7473
597,5267,7464
581,5276,7473
571,5269,7466
581,5276,7473
599,5292,7465
630,5342,7473
653,5379,7466
678,5408,7473
723,5420,7465
823,5474,7473
968,5559,7466
1114,5672,7473
1207,5751,7466
1259,5804,7473
1316,5812,7466
1405,5804,7473
1472,5749,7466
1453,5672,7473
1351,5565,7466
1259,5474,7473
1237,5392,7466
1259,5342,7473
1240,5302,7466
1162,5276,7473
1043,5243,7466
920,5210,7473
795,5169,7466
678,5144,7473
587,5129,7466
533,5144,7473
516,5150,7466
533,5144,7473
564,5121,7466
581,5144,7473
570,5183,7465
581,5210,7473
705,5188,7466
1017,5144,7473
1512,4943,7465
2131,4419,7473
2794,3527,7466
3439,2506,7473
3948,1549,7464
4117,791,7473
3707,413,7467
2664,725,7473
1244,1687,7463
-48,2836,7473
-778,3676,7472
-823,4221,7473
-417,4690,7441
97,5144,7421
475,5406,7405
678,5474,7421
769,5478,7421
823,5540,7421
855,5593,7405
872,5606,7421
882,5585,7441
920,5606,7473
983,5640,7472
1065,5672,7473
1150,5666,7462
1259,5672,7473
1365,5698,7468
1453,5738,7473
1511,5743,7464
1598,5738,7473
1719,5748,7467
1840,5804,7473
1930,5848,7464
2034,5870,7473
2186,5857,7467
2373,5870,7473
2557,5894,7463
2761,5935,7473
2998,5961,7469
3245,6001,7473
3465,6036,7460
3681,6067,7473
3908,6062,7490
4117,6067,7525
4262,6088,7527
4359,6133,7525
4426,6145,7510
4456,6133,7525
4425,6094,7527
4359,6067,7525
4275,6030,7504
4165,6001,7525
4008,5962,7554
3826,5935,7577
3639,5899,7545
3439,5870,7525
3189,5810,7516
2906,5738,7525
2624,5652,7493
2373,5606,7473
2131,5572,7462
1889,5540,7473
1651,5468,7445
1453,5408,7421
1280,5361,7403
1114,5342,7421
944,5303,7419
823,5276,7421
760,5259,7410
726,5276,7421
674,5278,7416
630,5276,7421
615,5263,7412
630,5276,7421
632,5279,7415
630,5276,7421
639,5256,7412
678,5276,7421
736,5328,7415
823,5408,7421
938,5467,7411
1065,5540,7421
1173,5627,7417
1259,5738,7421
1334,5800,7407
1405,5804,7421
1451,5740,7440
1453,5672,7473
1397,5598,7472
1308,5540,7473
1230,5468,7462
1211,5408,7473
1223,5361,7468
1211,5342,7473
1128,5316,7464
1017,5276,7473
912,5226,7466
823,5210,7473
741,5210,7465
678,5210,7473
647,5174,7466
630,5144,7473
604,5128,7465
581,5144,7473
570,5142,7466
581,5144,7473
639,5162,7466
823,5210,7473
1194,5128,7466
1744,4748,7473
2387,3980,7466
3051,2968,7473
3658,1892,7466
4068,989,7473
4029,494,7466
3342,659,7473
2082,1421,7466
678,2440,7473
-355,3330,7466
-726,4023,7473
-525,4573,7466
-48,5012,7473
400,5272,7466
678,5408,7473
788,5482,7465
823,5540,7473
844,5541,7466
872,5540,7473
892,5560,7465
920,5606,7473
959,5610,7466
1017,5606,7473
1079,5617,7465
1162,5672,7473
1253,5716,7467
1356,5738,7473
1446,5733,7463
