I,II,ABP,RESP
-228,4301,5710,2290
-182,4268,5685,2274
-91,4365,5644,2252
-91,4439,5622,2247
-202,4362,5591,2246
-273,4268,5560,2247
-199,4259,5511,2232
-91,4268,5497,2219
-120,4161,5497,2211
-273,4012,5497,2219
-385,3910,5459,2222
-364,3841,5435,2219
-262,3732,5428,2203
-182,3670,5435,2192
-185,3704,5402,2185
-273,3756,5373,2192
-366,3713,5359,2194
-364,3670,5373,2192
-269,3724,5350,2175
-182,3841,5310,2164
-144,3899,5261,2159
-91,3926,5248,2164
-7,3968,5242,2164
0,4012,5248,2164
-125,3986,5223,2160
-273,3926,5185,2164
-338,3850,5134,2164
-364,3756,5123,2164
-420,3651,5125,2160
-455,3670,5123,2164
-418,3830,5083,2166
-364,4012,5060,2164
-363,4057,5054,2148
-364,4012,5060,2137
-338,3934,5028,2132
-364,3841,4998,2137
-477,3718,4983,2135
-546,3670,4998,2137
-474,3693,4980,2136
-364,3670,4935,2137
-342,3459,4880,2124
-364,3158,4873,2110
-284,2928,4879,2101
-91,2902,4873,2110
144,3063,4830,2115
364,3414,4810,2110
603,3882,4809,2090
910,4353,4810,2082
1351,4644,4772,2081
1912,4780,4748,2082
2427,4974,4744,2067
2549,5378,4748,2055
2032,5709,4711,2049
1093,5634,4685,2055
413,5353,4681,2046
455,5548,4685,2027
813,6388,4649,2005
546,7255,4623,2000
-696,7555,4618,2000
-2276,7511,4623,2000
-3429,7590,4587,1986
-4097,7768,4560,1973
-4596,7693,4555,1957
-4916,7426,4560,1945
-4816,7294,4526,1927
-4370,7341,4498,1918
-3932,7203,4491,1915
-3642,6658,4498,1918
-3322,5810,4465,1906
-2822,4951,4435,1890
-2213,4265,4425,1872
-1639,3841,4435,1863
-1200,3615,4408,1857
-910,3500,4373,1863
-717,3426,4353,1867
-546,3414,4373,1863
-433,3400,4382,1844
-455,3329,4373,1836
-551,3225,4336,1835
-546,3244,4311,1836
-424,3357,4295,1819
-364,3414,4311,1808
-428,3318,4318,1806
-455,3244,4311,1808
-318,3298,4271,1794
-182,3414,4248,1781
-220,3434,4239,1777
-364,3414,4248,1781
-414,3416,4242,1769
-364,3414,4248,1753
-334,3326,4251,1745
-364,3244,4248,1753
-381,3257,4212,1758
-364,3329,4186,1753
-354,3318,4175,1737
-364,3244,4186,1726
-366,3225,4182,1720
-364,3329,4186,1726
-397,3427,4187,1729
-455,3414,4186,1726
-459,3329,4152,1710
-364,3329,4123,1699
-259,3403,4110,1693
-273,3414,4123,1699
-389,3305,4123,1700
-455,3244,4123,1699
-436,3317,4117,1694
-455,3414,4123,1699
-550,3388,4118,1701
-546,3329,4123,1699
-338,3349,4120,1683
-91,3414,4123,1671
0,3391,4113,1666
0,3329,4123,1671
88,3331,4126,1671
273,3414,4123,1671
437,3474,4101,1668
546,3500,4123,1671
646,3506,4179,1670
728,3500,4248,1671
771,3449,4275,1669
819,3414,4311,1671
915,3431,4378,1670
1001,3500,4498,1671
1021,3577,4617,1669
1001,3670,4748,1671
977,3721,4870,1670
910,3670,4998,1671
803,3541,5107,1670
728,3500,5248,1671
706,3581,5402,1669
637,3670,5560,1671
488,3667,5678,1670
364,3670,5810,1671
329,3727,5957,1669
273,3756,6122,1671
101,3688,6249,1670
-91,3670,6372,1671
-151,3787,6492,1669
-91,3926,6622,1671
-52,3920,6717,1671
-91,3841,6809,1671
-149,3815,6894,1668
-182,3841,6997,1671
-245,3809,7083,1673
-364,3756,7184,1671
-442,3763,7278,1656
-364,3841,7372,1644
-210,3876,7430,1639
-182,3841,7497,1644
-303,3780,7557,1643
-364,3756,7622,1644
-265,3726,7650,1642
-182,3670,7684,1644
-261,3621,7713,1641
-364,3670,7746,1644
-314,3777,7744,1646
-182,3841,7746,1644
-115,3823,7742,1628
-91,3841,7746,1616
-53,3910,7732,1612
-91,3926,7746,1616
-249,3822,7757,1615
-364,3756,7746,1616
-299,3821,7675,1616
-182,3926,7622,1616
-190,3933,7588,1603
-273,3926,7559,1589
-272,3974,7467,1581
-182,4012,7372,1589
-113,3956,7294,1593
-91,3926,7247,1589
-75,3980,7158,1572
-91,4012,7059,1562
-202,3917,6956,1558
-364,3841,6872,1562
-440,3877,6750,1561
-364,3926,6622,1562
-232,3869,6500,1560
-182,3841,6435,1562
-231,3929,6374,1559
-273,4012,6310,1562
-239,3935,6208,1564
-182,3841,6122,1562
-172,3906,6046,1546
-182,4097,5997,1534
-148,4224,5930,1529
-91,4268,5872,1534
-95,4278,5821,1534
-182,4268,5810,1534
-271,4207,5786,1533
-273,4183,5747,1534
-188,4223,5674,1530
-91,4268,5622,1534
-55,4249,5581,1545
-91,4268,5560,1562
-152,4362,5520,1565
-182,4439,5497,1562
-153,4379,5485,1557
-91,4268,5497,1562
-56,4205,5476,1563
-91,4183,5435,1562
-157,4108,5381,1555
-182,4012,5373,1562
-162,3925,5375,1575
-182,3841,5373,1589
-277,3730,5332,1590
-364,3670,5310,1589
-350,3672,5304,1587
-273,3670,5310,1589
-262,3606,5277,1585
-364,3585,5248,1589
-475,3655,5233,1600
-455,3756,5248,1616
-285,3796,5228,1620
-91,3841,5185,1616
-15,3910,5132,1610
-91,3926,5123,1616
-242,3807,5124,1629
-364,3670,5123,1644
-401,3628,5086,1647
-364,3670,5060,1644
-330,3677,5049,1637
-364,3670,5060,1644
-462,3719,5039,1656
-546,3841,4998,1671
-593,3899,4946,1673
-637,3841,4935,1671
-680,3743,4936,1667
-637,3756,4935,1671
-466,3835,4899,1672
-273,3841,4873,1671
-227,3685,4861,1667
-364,3500,4873,1671
-504,3339,4853,1673
-455,3158,4810,1671
-198,2938,4758,1656
91,2902,4748,1644
302,3161,4751,1638
455,3585,4748,1644
639,3947,4709,1645
910,4268,4685,1644
1393,4583,4678,1639
2094,4865,4685,1644
2659,5122,4656,1647
2549,5463,4623,1644
1747,5726,4602,1628
910,5634,4623,1616
614,5349,4633,1611
637,5548,4623,1616
339,6429,4582,1616
-546,7341,4560,1616
-1729,7624,4553,1614
-2822,7511,4560,1616
-3620,7549,4538,1615
-4097,7768,4498,1616
-4380,7788,4449,1614
-4643,7597,4435,1616
-4844,7488,4435,1615
-4734,7511,4435,1616
-4243,7290,4403,1615
-3642,6573,4373,1616
-3169,5529,4356,1615
-2731,4609,4373,1616
-2163,4061,4380,1615
-1548,3841,4373,1616
-1089,3721,4336,1615
-819,3585,4311,1616
-670,3405,4296,1615
-637,3244,4311,1616
-706,3163,4316,1615
-728,3244,4311,1616
-582,3383,4276,1615
-364,3414,4248,1616
-276,3293,4232,1615
-364,3244,4248,1616
-466,3336,4256,1615
-455,3414,4248,1616
-349,3325,4209,1614
-273,3244,4186,1616
-285,3304,4176,1615
-364,3414,4186,1616
-432,3391,4182,1614
-455,3329,4186,1616
-423,3350,4186,1617
-364,3414,4186,1616
-327,3385,4154,1611
-364,3329,4123,1616
-441,3350,4105,1628
-455,3414,4123,1644
-367,3371,4133,1646
-273,3244,4123,1644
-278,3171,4083,1640
-364,3244,4061,1644
-439,3359,4052,1644
-455,3414,4061,1644
-423,3400,4056,1641
-364,3414,4061,1644
-324,3467,4061,1643
-364,3500,4061,1644
-475,3458,4029,1641
-546,3414,3998,1644
-495,3405,3980,1644
-364,3414,3998,1644
-250,3399,4005,1639
-182,3414,3998,1644
-134,3443,3978,1655
-91,3414,3998,1671
-31,3297,4033,1674
91,3244,4061,1671
276,3341,4049,1667
455,3500,4061,1671
594,3546,4107,1672
728,3500,4186,1671
858,3465,4242,1666
910,3500,4311,1671
891,3542,4393,1682
910,3585,4498,1699
994,3627,4584,1702
1001,3670,4685,1699
866,3675,4799,1691
728,3670,4935,1699
715,3665,5052,1713
728,3670,5185,1726
628,3662,5331,1726
455,3670,5497,1726
338,3678,5628,1725
273,3670,5747,1726
190,3645,5858,1721
91,3670,5997,1726
8,3728,6126,1738
-91,3756,6247,1753
-213,3731,6338,1754
-273,3756,6435,1753
-228,3827,6522,1753
-182,3841,6622,1753
-248,3738,6708,1740
-364,3670,6809,1726
-381,3730,6901,1719
-273,3841,6997,1726
-170,3862,7060,1728
-182,3841,7122,1726
-283,3841,7173,1721
-364,3841,7247,1726
-379,3782,7309,1729
-364,3756,7372,1726
-362,3825,7403,1709
-364,3926,7434,1699
-358,3919,7453,1695
-364,3841,7497,1699
-381,3798,7530,1696
-364,3841,7559,1699
-305,3872,7553,1700
-273,3841,7559,1699
-311,3772,7575,1683
-364,3756,7622,1671
-373,3788,7638,1667
-364,3841,7622,1671
-375,3876,7555,1670
-364,3926,7497,1671
-284,3955,7432,1672
-182,3926,7372,1671
-143,3849,7276,1656
-182,3841,7184,1644
-267,3900,7083,1638
-364,3926,6997,1644
-417,3861,6894,1644
-364,3841,6809,1644
-241,3925,6715,1642
-182,4012,6622,1644
-232,3974,6510,1641
-273,3926,6435,1644
-203,4004,6372,1645
-91,4183,6310,1644
-57,4283,6205,1630
-91,4268,6122,1616
-107,4205,6056,1610
-91,4183,5997,1616
-84,4200,5893,1619
-91,4268,5810,1616
-90,4335,5763,1609
-91,4353,5747,1616
-99,4301,5688,1630
-91,4268,5622,1644
-72,4272,5569,1645
-91,4268,5560,1644
-151,4188,5533,1642
-182,4097,5497,1644
-164,4042,5451,1641
-182,4012,5435,1644
-281,3935,5408,1653
-364,3841,5373,1671
-316,3773,5321,1677
-182,3756,5310,1671
-116,3724,5312,1662
-182,3670,5310,1671
-274,3605,5268,1687
-273,3585,5248,1699
-203,3605,5245,1694
-182,3670,5248,1699
-238,3749,5209,1712
-273,3841,5185,1726
-204,3904,5180,1724
-91,3926,5185,1726
-48,3890,5149,1737
-91,3841,5123,1753
-146,3793,5116,1753
-182,3756,5123,1753
-245,3704,5088,1762
-364,3670,5060,1781
-494,3652,5052,1784
-546,3670,5060,1781
-487,3725,5029,1784
-364,3841,4998,1808
-300,3909,4984,1829
-364,3841,4998,1836
-488,3687,4977,1829
-546,3670,4935,1836
-531,3791,4885,1850
-546,3841,4873,1863
-620,3660,4870,1860
-637,3414,4873,1863
-473,3232,4845,1875
-182,3073,4810,1890
93,2883,4766,1889
273,2902,4748,1890
458,3277,4740,1901
728,3841,4748,1918
1045,4259,4726,1918
1366,4524,4685,1918
1847,4793,4634,1926
2549,5121,4623,1945
3052,5366,4626,1950
2731,5463,4623,1945
1643,5446,4583,1937
637,5463,4560,1945
341,5709,4557,1958
364,6316,4560,1973
-88,7030,4526,1974
-1184,7426,4498,1973
-2415,7402,4488,1968
-3369,7341,4498,1973
-4049,7472,4472,1973
-4552,7597,4435,1973
-4806,7488,4412,1967
-4734,7341,4435,1973
-4435,7339,4449,1984
-4097,7255,4435,2000
-3802,6716,4390,2002
-3460,5804,4373,2000
-2946,4905,4373,1995
-2276,4268,4373,2000
-1635,3845,4337,2001
-1184,3585,4311,2000
-921,3433,4302,1994
-728,3329,4311,2000
-559,3211,4284,2012
-455,3158,4248,2027
-442,3192,4226,2029
-455,3244,4248,2027
-423,3208,4260,2022
-364,3158,4248,2027
-339,3168,4206,2036
-364,3244,4186,2055
-380,3269,4182,2068
-364,3244,4186,2082
-314,3213,4156,2091
-273,3244,4123,2110
-282,3265,4103,2126
-364,3244,4123,2137
-425,3199,4135,2132
-364,3244,4123,2137
-222,3352,4081,2149
-182,3414,4061,2164
-286,3345,4057,2163
-364,3244,4061,2164
-289,3209,4030,2172
-182,3244,3998,2192
-220,3253,3980,2204
-364,3244,3998,2219
-433,3260,4007,2233
-364,3329,3998,2247
-276,3389,3960,2244
-273,3414,3936,2247
-330,3386,3924,2256
-364,3329,3936,2274
-362,3261,3936,2285
-364,3244,3936,2301
-381,3274,3927,2317
-364,3329,3936,2329
-283,3369,3938,2324
-182,3414,3936,2329
-122,3441,3903,2341
-91,3414,3873,2356
-31,3315,3853,2353
91,3244,3873,2356
265,3278,3903,2367
455,3414,3936,2384
596,3512,3935,2382
637,3500,3936,2384
642,3422,3945,2393
728,3414,3998,2411
895,3471,4059,2411
1001,3500,4123,2411
997,3444,4170,2418
1001,3414,4248,2438
1079,3476,4355,2443
1093,3585,4498,2438
934,3641,4625,2429
728,3670,4748,2438
667,3688,4860,2452
728,3670,4998,2466
745,3600,5125,2464
637,3585,5248,2466
461,3640,5354,2471
273,3670,5497,2493
106,3607,5656,2510
0,3585,5810,2521
-45,3670,5908,2517
-91,3756,5997,2521
-157,3720,6101,2529
-182,3670,6247,2548
-162,3699,6379,2560
-182,3756,6497,2575
-257,3746,6585,2586
-273,3756,6684,2603
-203,3821,6776,2614
-182,3841,6872,2630
-281,3737,6937,2641
-364,3670,6997,2658
-327,3742,7045,2668
-273,3841,7122,2685
-316,3812,7190,2696
-364,3756,7247,2712
-297,3783,7268,2722
-182,3841,7309,2740
-150,3805,7347,2752
-182,3756,7372,2767
-187,3781,7357,2775
-182,3841,7372,2795
-226,3840,7406,2819
-273,3841,7434,2849
-247,3866,7399,2864
-182,3841,7372,2877
-160,3722,7366,2884
-182,3670,7372,2904
-190,3754,7315,2918
-182,3841,7247,2932
-206,3775,7197,2938
-273,3670,7184,2959
-341,3668,7134,2984
-364,3756,7059,3014
-334,3803,6958,3028
-273,3841,6872,3041
-212,3923,6771,3050
-182,4012,6684,3069
-207,3972,6587,3080
-273,3841,6497,3096
-308,3764,6390,3106
-273,3841,6310,3123
-252,3941,6240,3134
-364,3926,6185,3151
-535,3827,6092,3161
-546,3841,5997,3178
-352,3985,5909,3189
-182,4097,5872,3205
-199,4057,5842,3216
-273,4012,5810,3233
-242,4077,5741,3243
-182,4183,5685,3260
-216,4193,5638,3271
-273,4183,5622,3288
-241,4226,5590,3298
-182,4268,5560,3315
-184,4218,5518,3325
-182,4183,5497,3342
-113,4229,5466,3353
-91,4268,5435,3370
-213,4165,5389,3380
-364,4012,5373,3397
-399,3910,5366,3408
-364,3841,5373,3425
-365,3733,5345,3434
-364,3670,5310,3452
-281,3680,5265,3463
-182,3670,5248,3479
-186,3564,5236,3488
-273,3500,5248,3507
-316,3565,5249,3520
-273,3670,5248,3534
-208,3678,5216,3532
-182,3670,5185,3534
-183,3741,5144,3538
-182,3841,5123,3562
-175,3835,5107,3578
-182,3756,5123,3589
-218,3689,5130,3583
-273,3670,5123,3589
-328,3649,5081,3599
-364,3670,5060,3616
-375,3749,5056,3616
-364,3841,5060,3616
-380,3834,5027,3612
-455,3756,4998,3616
-542,3678,4983,3611
-546,3670,4998,3616
-477,3676,4980,3625
-455,3670,4935,3644
-515,3629,4880,3645
-546,3585,4873,3644
-471,3474,4878,3637
-364,3244,4873,3644
-258,2897,4830,3643
-91,2646,4810,3644
123,2683,4809,3636
182,3073,4810,3644
67,3638,4772,3653
91,4183,4748,3671
571,4546,4744,3673
1366,4780,4748,3671
2021,5052,4711,3662
2185,5463,4685,3671
1813,5771,4680,3683
1093,5719,4685,3699
364,5482,4651,3697
-91,5634,4623,3699
-331,6355,4616,3695
-728,7170,4623,3699
-1506,7529,4591,3692
-2458,7511,4560,3699
-3225,7505,4549,3708
-3733,7597,4560,3726
-4155,7501,4535,3726
-4552,7170,4498,3726
-4741,6937,4475,3720
-4552,7085,4498,3726
-4072,7343,4512,3724
-3551,7170,4498,3726
-3129,6332,4453,3721
-2731,5207,4435,3726
-2228,4308,4435,3723
-1639,3841,4435,3726
-1135,3623,4400,3722
-819,3500,4373,3726
-629,3427,4362,3722
-455,3414,4373,3726
-331,3361,4368,3722
-364,3244,4373,3726
-504,3109,4376,3722
-546,3073,4373,3726
-388,3133,4334,3723
-182,3244,4311,3726
-112,3283,4306,3721
-182,3244,4311,3726
-251,3191,4278,3724
-273,3244,4248,3726
-274,3327,4236,3718
-273,3329,4248,3726
-231,3241,4244,3737
-182,3244,4248,3753
-193,3352,4250,3752
-273,3414,4248,3753
-323,3324,4212,3749
-273,3244,4186,3753
-183,3277,4178,3747
-182,3329,4186,3753
-284,3276,4158,3762
-364,3244,4123,3781
-338,3327,4103,3782
-273,3414,4123,3781
-283,3351,4134,3774
-364,3244,4123,3781
-435,3220,4083,3779
-455,3244,4061,3781
-435,3220,4051,3773
-364,3244,4061,3781
-259,3351,4056,3790
-182,3414,4061,3808
-174,3325,4059,3810
-182,3244,4061,3808
-148,3279,4031,3798
-91,3329,3998,3808
-49,3272,3974,3821
0,3244,3998,3836
83,3331,4031,3831
182,3414,4061,3836
292,3362,4056,3844
455,3329,4061,3863
662,3441,4076,3863
819,3585,4123,3863
877,3577,4172,3857
910,3500,4248,3863
996,3482,4331,3860
1093,3500,4435,3863
1123,3446,4541,3860
1093,3414,4685,3863
1052,3508,4840,3857
1001,3670,4998,3863
916,3723,5118,3863
819,3670,5248,3863
762,3628,5392,3844
728,3670,5560,3836
637,3702,5693,3831
455,3670,5810,3836
270,3622,5916,3821
182,3670,6060,3808
161,3781,6211,3791
91,3841,6372,3781
-34,3793,6502,3760
-91,3756,6622,3753
-37,3791,6713,3750
0,3841,6809,3753
-82,3808,6895,3738
-182,3756,6997,3726
-170,3743,7088,3711
-91,3756,7184,3699
-91,3739,7250,3667
-182,3756,7309,3644
-264,3810,7355,3626
-273,3841,7434,3616
-235,3812,7521,3587
-182,3841,7622,3562
-152,3926,7688,3541
-182,3926,7746,3534
-250,3771,7778,3510
-273,3670,7809,3479
-226,3764,7808,3442
-182,3926,7809,3425
-187,3934,7799,3409
-182,3841,7809,3397
-128,3799,7807,3369
-91,3841,7809,3342
-127,3853,7780,3311
-182,3841,7746,3288
-189,3835,7699,3258
-182,3841,7684,3233
-221,3823,7661,3202
-273,3841,7622,3178
-259,3893,7525,3148
-182,3926,7434,3123
-113,3924,7356,3093
-91,4012,7309,3069
-92,4179,7227,3037
-91,4268,7122,3014
-89,4181,6985,2984
-91,4097,6872,2959
-92,4151,6766,2927
-91,4268,6684,2904
-92,4285,6588,2876
-91,4268,6497,2849
-66,4324,6391,2814
0,4439,6310,2795
75,4476,6233,2780
91,4439,6185,2767
19,4365,6121,2736
-91,4268,6060,2712
-167,4121,5982,2695
-182,4012,5935,2685
-145,3991,5895,2657
-91,4012,5872,2630
-85,3957,5832,2609
-182,3841,5810,2603
-321,3725,5780,2589
-364,3670,5747,2575
-276,3653,5679,2558
-182,3670,5622,2548
-172,3677,5577,2532
-182,3670,5560,2521
-135,3668,5526,2505
-91,3756,5497,2493
-124,3905,5460,2474
-182,4012,5435,2466
-189,3965,5394,2462
-182,3841,5373,2466
-221,3777,5362,2455
