III,MCL,ABP
4854,5882,3532
4651,5667,3726
4437,5427,3902
4104,5040,4047
3628,4488,4148
3064,3836,4169
2558,3244,4107
2178,2789,3969
1957,2517,3778
1856,2383,3541
1879,2395,3286
1982,2506,3028
2114,2668,2793
2169,2753,2565
2140,2729,2341
2077,2642,2117
2114,2668,1930
2289,2870,1785
2584,3214,1684
2871,3544,1601
3080,3790,1561
3170,3906,1568
3210,3942,1643
3249,3933,1750
3340,3972,1889
3449,4064,2039
3549,4184,2218
3608,4253,2399
3654,4275,2587
3684,4267,2744
3706,4275,2875
3709,4293,2962
3732,4336,3039
3791,4397,3088
3889,4488,3121
3973,4573,3129
4045,4669,3162
4125,4791,3224
4254,4973,3327
4375,5136,3448
4410,5185,3614
4322,5071,3811
4202,4912,4025
4132,4821,4223
4150,4851,4436
4211,4942,4670
4306,5064,4928
4388,5167,5174
4410,5215,5421
4314,5140,5666
4150,4973,5914
3995,4793,6131
3941,4730,6325
4004,4826,6472
4176,5064,6571
4362,5314,6595
4463,5458,6571
4388,5395,6491
4176,5155,6366
3901,4813,6184
3654,4488,5996
3444,4217,5819
3288,4033,5668
3190,3931,5512
3184,3942,5380
3235,4012,5275
3288,4063,5216
3263,4001,5167
3158,3851,5134
2985,3653,5090
2792,3457,5052
2598,3245,5002
2453,3062,4969
2380,2958,4931
2401,3002,4887
2480,3155,4818
2584,3335,4764
2635,3414,4718
2610,3366,4682
2519,3237,4620
2453,3153,4559
2446,3138,4494
2479,3153,4436
2476,3114,4354
2427,3032,4271
2356,2944,4186
2323,2911,4107
2330,2927,3998
2375,3002,3861
2419,3095,3694
2453,3184,3532
2451,3211,3365
2427,3184,3203
2391,3115,3032
2375,3062,2875
2364,3033,2723
2349,3032,2587
2306,3020,2452
2270,3002,2341
2261,2980,2247
2297,3002,2177
2345,3061,2107
2401,3153,2054
2462,3241,2005
2558,3335,1971
2681,3442,1928
2819,3578,1889
2915,3687,1844
2949,3729,1807
2919,3692,1761
2897,3669,1725
2955,3751,1693
3158,4002,1684
3465,4363,1688
3784,4730,1725
3980,4956,1799
3993,4973,1930
3836,4788,2090
3601,4518,2259
3360,4242,2406
3158,4002,2546
2990,3781,2664
2871,3608,2752
2805,3518,2797
2819,3548,2834
2891,3654,2862
3001,3790,2875
3095,3886,2865
3158,3942,2875
3177,3957,2913
3184,3972,2957
3177,3978,2974
3158,3972,2998
3097,3916,3042
3001,3820,3080
2884,3690,3071
2792,3578,3039
2733,3492,3014
2714,3457,2998
2712,3450,2961
2740,3487,2916
2785,3542,2872
2845,3608,2834
2890,3647,2775
2923,3669,2711
2935,3675,2646
2949,3699,2587
2966,3736,2510
3001,3790,2423
3028,3813,2322
3027,3790,2218
2965,3704,2105
2871,3608,2012
2779,3527,1929
2740,3487,1848
2730,3456,1766
2714,3426,1725
2662,3379,1721
2610,3335,1725
2573,3286,1711
2558,3244,1725
2539,3200,1779
2531,3184,1848
2535,3193,1888
2558,3244,1930
2591,3320,1991
2662,3426,2054
2754,3525,2078
2845,3608,2095
2908,3672,2129
2975,3760,2177
3024,3822,2191
3001,3790,2177
2858,3618,2143
2662,3396,2095
2499,3198,2005
2427,3062,1889
2431,2988,1771
2505,3032,1684
2610,3182,1626
2714,3366,1602
2794,3494,1604
2897,3608,1643
3031,3752,1710
3158,3911,1807
3205,3988,1912
3184,3972,2012
3137,3904,2086
3106,3851,2136
3063,3796,2150
3001,3729,2136
2916,3634,2083
2845,3548,2012
2800,3483,1938
2792,3457,1889
2792,3435,1859
2792,3426,1848
2799,3451,1852
2845,3548,1889
2908,3673,1948
2949,3760,2012
2926,3753,2056
2871,3699,2095
2816,3642,2135
2792,3608,2177
2782,3571,2190
2792,3548,2177
2813,3539,2150
2845,3548,2136
2844,3515,2121
2792,3426,2095
2663,3274,2049
2479,3093,2012
2269,2883,1987
2088,2668,1971
1939,2457,1947
1827,2304,1930
1764,2254,1925
1801,2335,1930
1921,2478,1917
2062,2608,1889
2158,2697,1859
2244,2820,1848
2352,2989,1837
2479,3153,1807
2551,3230,1746
2558,3244,1684
2529,3229,1633
2531,3214,1602
2558,3204,1575
2584,3244,1561
2553,3298,1554
2453,3275,1561
2270,3099,1571
2036,2850,1602
1797,2627,1643
1644,2456,1684
1636,2276,1703
1801,2092,1725
2117,1966,1758
2558,1971,1807
3048,2093,1849
3497,2304,1889
3806,2560,1917
3941,2820,1930
3889,2967,1925
3680,2911,1930
3353,2662,1950
3001,2395,1971
2697,2250,1971
2479,2244,1971
2313,2269,1986
2166,2274,2012
2007,2255,2020
1853,2244,2012
1715,2227,1991
1618,2213,1971
1560,2203,1945
1540,2213,1930
1535,2226,1925
1540,2244,1930
1551,2262,1928
1592,2304,1930
1652,2368,1940
1722,2456,1971
1777,2539,2009
1827,2608,2054
1854,2638,2094
1853,2638,2136
1824,2613,2173
1827,2608,2218
1885,2635,2260
1983,2699,2300
2059,2758,2324
2088,2790,2341
2050,2756,2345
1957,2668,2341
1839,2545,2322
1775,2456,2300
1798,2434,2264
1879,2486,2218
1931,2548,2166
1931,2577,2136
1898,2553,2118
1879,2517,2095
1867,2479,2048
1853,2456,2012
1822,2430,2001
1801,2426,2012
1805,2441,2011
1853,2486,2012
1920,2542,2010
2010,2638,2012
2133,2787,1991
2323,3002,1971
2537,3230,1948
2714,3426,1930
2804,3538,1887
2845,3578,1848
2877,3571,1824
2923,3578,1848
2960,3609,1893
3001,3669,1971
3048,3728,2090
3106,3790,2300
3135,3823,2591
3132,3820,2957
3095,3773,3359
3053,3729,3820
3008,3694,4320
2975,3669,4846
2964,3636,5339
3001,3639,5791
3065,3683,6174
3132,3760,6489
3172,3813,6709
3210,3851,6859
3246,3876,6932
3288,3911,6941
3321,3947,6874
3393,4033,6777
3537,4207,6667
3758,4488,6571
3952,4756,6475
4019,4882,6407
3906,4779,6356
3680,4518,6325
3418,4200,6291
3210,3942,6284
3099,3797,6284
3132,3820,6284
3264,3968,6244
3419,4154,6202
3503,4258,6156
3523,4275,6119
3502,4239,6043
3471,4215,5955
3430,4202,5859
3419,4215,5791
3432,4230,5710
3445,4245,5627
3400,4210,5527
3314,4124,5462
3209,3989,5412
3132,3881,5380
3087,3828,5331
3106,3851,5298
3156,3894,5270
3210,3942,5257
3224,3967,5228
3236,4002,5216
3271,4050,5209
3340,4124,5216
3394,4174,5197
3419,4184,5175
3420,4153,5135
3445,4154,5093
3496,4207,5026
3575,4306,4969
3645,4389,4909
3706,4457,4846
3748,4504,4757
3784,4548,4682
3793,4567,4617
3784,4578,4559
3762,4568,4473
3758,4548,4395
3746,4502,4326
3706,4457,4271
3618,4394,4191
3523,4306,4107
3432,4163,4021
3340,4002,3943
3210,3834,3841
3080,3699,3737
3008,3624,3629
3053,3669,3532
3149,3786,3424
3210,3881,3327
3168,3846,3236
3080,3729,3162
3000,3622,3078
2975,3608,2998
2983,3655,2922
3027,3729,2875
3081,3790,2831
3132,3851,2793
3148,3898,2743
3158,3942,2711
3173,3966,2696
3210,4002,2711
3243,4048,2716
3288,4124,2711
3356,4212,2695
3471,4336,2711
3619,4491,2747
3784,4669,2793
3910,4801,2814
3941,4821,2834
3809,4661,2853
3523,4336,2875
3138,3905,2865
2766,3487,2834
2468,3145,2787
2270,2911,2752
2151,2768,2723
2114,2729,2711
2139,2769,2703
2218,2881,2711
2325,3032,2734
2453,3214,2793
2528,3327,2861
2479,3275,2916
2281,3027,2937
2036,2729,2957
1837,2505,2980
1722,2395,2998
1655,2338,2982
1644,2335,2957
1693,2394,2934
1801,2517,2916
1912,2636,2876
2010,2729,2834
2081,2773,2801
2140,2790,2793
2184,2802,2777
2244,2881,2752
2348,3039,2720
2505,3244,2711
2652,3400,2711
2714,3457,2711
2647,3391,2689
2505,3244,2670
2363,3062,2648
2270,2911,2628
2196,2796,2599
2114,2699,2587
2025,2592,2588
1983,2517,2587
2007,2516,2552
2088,2608,2505
2165,2726,2460
2218,2820,2423
2244,2859,2366
2270,2881,2300
2278,2896,2231
2244,2911,2177
2146,2888,2126
2010,2820,2095
1841,2691,2080
1670,2517,2095
1553,2294,2124
1592,2062,2177
1803,1849,2236
2114,1698,2300
2408,1594,2345
2662,1546,2382
2894,1586,2406
3132,1789,2423
3354,2139,2413
3549,2547,2382
3681,2898,2335
3706,3153,2300
3574,3268,2275
3314,3214,2259
2999,3016,2234
2714,2820,2218
2472,2717,2221
2270,2699,2259
2110,2686,2304
2036,2699,2341
2046,2771,2347
2114,2911,2341
2198,3065,2333
2297,3214,2341
2361,3296,2346
2323,3244,2341
2156,3039,2316
1957,2790,2300
1814,2597,2294
1749,2486,2300
1717,2417,2298
1749,2426,2300
1865,2549,2300
2062,2790,2300
2255,3055,2280
2401,3275,2259
2472,3379,2247
2479,3366,2259
2428,3275,2267
2375,3214,2259
2368,3225,2231
2427,3275,2218
2479,3267,2215
2453,3184,2218
2341,3049,2198
2244,2941,2177
2242,2908,2165
2349,3002,2177
2498,3191,2181
2662,3426,2177
2816,3631,2164
2949,3790,2177
3014,3868,2198
3001,3851,2218
2913,3731,2212
2792,3578,2218
2662,3431,2242
2558,3305,2300
2477,3163,2366
2427,3032,2464
2407,2958,2589
2453,3002,2752
2568,3140,2913
2740,3335,3080
2918,3525,3230
3080,3699,3368
3198,3834,3463
3288,3942,3532
3359,4025,3571
3445,4124,3614
3536,4228,3669
3601,4306,3778
3575,4277,3947
3445,4124,4189
3224,3855,4473
2975,3548,4805
2736,3251,5173
2558,3032,5586
2462,2919,5996
2479,2941,6366
2586,3063,6638
2740,3244,6818
2874,3420,6897
2975,3578,6900
3052,3708,6810
3132,3820,6653
3181,3883,6435
3158,3881,6202
3031,3791,5961
2845,3639,5750
2646,3433,5562
2479,3214,5421
2340,3011,5311
2244,2881,5257
2192,2814,5247
2192,2790,5298
2207,2773,5371
2218,2790,5462
2213,2831,5539
2218,2881,5627
2233,2900,5695
2244,2911,5750
2204,2901,5756
2114,2850,5750
2002,2732,5715
1931,2608,5668
1906,2530,5572
1905,2517,5462
1891,2508,5332
1879,2486,5216
1867,2448,5097
1853,2426,5011
1821,2406,4946
1801,2395,4928
1808,2390,4941
1853,2426,5011
1919,2501,5118
2010,2608,5257
2099,2695,5372
2166,2759,5462
2201,2810,5523
2244,2881,5586
2285,2933,5612
2270,2911,5586
2144,2764,5487
1957,2547,5380
1804,2355,5276
1749,2274,5175
1768,2284,5034
1827,2335,4887
1889,2383,4749
1957,2456,4641
2030,2558,4533
2114,2668,4436
2176,2727,4334
2192,2729,4230
2150,2680,4104
2088,2608,3984
2024,2514,3861
1957,2426,3737
1867,2343,3587
1775,2274,3450
1708,2210,3332
1696,2183,3245
1730,2202,3154
1801,2274,3080
1888,2372,3012
1983,2486,2957
2047,2574,2889
2062,2608,2834
2026,2572,2785
1983,2517,2752
1947,2471,2695
1931,2456,2628
1944,2475,2554
2010,2547,2505
2069,2609,2473
2036,2577,2464
1868,2417,2458
1670,2244,2464
1552,2162,2473
1540,2183,2505
1557,2220,2554
1566,2244,2628
1574,2262,2708
1618,2304,2793
1681,2358,2870
1749,2426,2957
1803,2477,3041
1853,2486,3121
1880,2432,3173
1879,2365,3203
1858,2321,3208
1879,2335,3203
1969,2411,3173
2114,2577,3121
2242,2780,3042
2323,2941,2957
2350,3001,2858
2375,3032,2752
2434,3108,2637
2558,3244,2546
2683,3356,2476
2740,3396,2423
2683,3341,2380
2584,3244,2382
2492,3109,2430
2427,2971,2505
2368,2879,2566
2375,2941,2628
2471,3132,2704
2636,3366,2793
2770,3573,2851
2845,3790,2875
2843,3920,2872
2819,3851,2875
2845,3661,2865
3027,3608,2834
3327,3612,2760
3680,3426,2670
4101,3254,2576
4724,3820,2505
5450,5241,2441
5976,6640,2382
6088,7133,2316
5976,6944,2259
5916,6803,2209
5976,6944,2177
6005,7024,2150
5976,6944,2136
5951,6883,2126
5976,6944,2136
5986,6974,2171
5976,6944,2259
5963,6916,2388
5976,6944,2546
5977,6951,2688
5976,6944,2793
5969,6931,2830
5976,6944,2793
5973,6941,2663
5976,6944,2464
5970,6937,2226
5976,6944,2012
5970,6936,1851
5976,6944,1766
5970,6936,1750
5976,6944,1807
5970,6936,1905
5976,6944,2012
5970,6936,2089
5976,6944,2136
5970,6936,2149
5976,6944,2136
5970,6936,2094
5976,6944,2054
5970,6936,2023
5976,6944,2012
5970,6936,2005
5976,6944,2012
5970,6936,2028
5976,6944,2054
5970,6936,2071
5976,6944,2095
5970,6936,2117
5976,6944,2136
5970,6936,2126
5976,6944,2095
5970,6936,2038
5976,6944,1971
5970,6936,1888
5976,6944,1807
5970,6936,1731
5976,6944,1684
5970,6936,1650
5976,6944,1643
5970,6936,1658
5976,6944,1725
5970,6936,1819
5976,6944,1930
5970,6936,2026
5976,6944,2136
5970,6936,2252
5976,6944,2382
5970,6936,2487
5976,6944,2587
5970,6936,2691
5976,6944,2834
5970,6936,3001
5976,6944,3203
5970,6936,3428
5976,6944,3696
5970,6936,3990
5976,6944,4312
5970,6936,4647
5976,6944,5011
5970,6936,5373
5976,6944,5709
5970,6936,5967
5976,6944,6161
5970,6936,6288
5976,6944,6366
5970,6936,6371
5976,6944,6325
5970,6936,6240
5976,6944,6161
5970,6936,6077
5976,6944,5996
5970,6936,5904
5976,6944,5832
5971,6936,5777
5976,6944,5750
5970,6937,5722
5976,6944,5709
5972,6936,5688
5976,6944,5668
5969,6937,5625
5976,6944,5586
5973,6936,5529
5976,6944,5462
5966,6937,5370
5976,6944,5298
5980,6936,5234
5976,6944,5175
5934,6938,5084
5898,6944,5011
5879,6934,4957
5898,6944,4928
5900,6945,4870
5872,6944,4805
5781,6878,4746
5663,6762,4723
5528,6596,4690
5428,6458,4641
5350,6357,4567
5298,6307,4518
5230,6249,4488
5167,6185,4477
5102,6098,4440
5063,6034,4395
5026,5984,4341
5011,5973,4312
4994,5961,4296
4985,5943,4312
4936,5877,4342
4854,5791,4395
4742,5693,4438
4671,5640,4477
4646,5616,4477
4645,5609,4436
4585,5529,4330
4463,5367,4189
4303,5157,4023
4202,5033,3861
4185,5030,3691
4254,5124,3532
4320,5205,3375
4332,5246,3245
4264,5221,3140
4176,5155,3080
4081,5033,3036
3993,4912,2998
3888,4820,2949
3810,4791,2916
3768,4777,2883
3758,4760,2834
3713,4706,2737
3628,4639,2628
3523,4545,2520
3471,4457,2423
3474,4390,2313
3523,4397,2218
3573,4443,2141
3628,4488,2095
3657,4461,2058
3654,4397,2054
3598,4318,2078
3523,4245,2136
3466,4172,2193
3445,4124,2259
3414,4086,2321
3340,4033,2382
3242,3947,2423
3184,3881,2464
3157,3844,2503
3132,3820,2546
3095,3784,2569
3106,3790,2587
3125,3805,2601
3106,3790,2628
3078,3779,2660
3210,3942,2711
3432,4193,2768
3367,4124,2834
2613,3297,2893
1305,1819,2957
24,246,3018
-679,-788,3080
-786,-1050,3125
-679,-788,3162
-687,-596,3186
-679,-788,3203
-201,-954,3193
1018,-303,3162
2644,1268,3116
4019,2971,3080
4743,4005,3044
4985,4427,2998
5088,4719,2931
5193,5064,2875
5194,5267,2842
5063,5306,2834
4885,5322,2817
4724,5337,2793
4458,5123,2763
3967,4578,2752
3250,3808,2737
2427,2971,2711
1564,2076,2665
757,1183,2628
276,626,2592
444,819,2546
1206,1723,2477
2062,2759,2423
2520,3345,2393
2584,3457,2382
2565,3439,2360
2662,3517,2341
2781,3613,2323
2845,3669,2300
2877,3719,2255
2949,3820,2218
3005,3888,2206
2975,3851,2218
2819,3673,2221
2610,3426,2218
2403,3161,2215
2244,2941,2218
2128,2782,2206
2088,2729,2177
2146,2794,2123
2297,2971,2054
2464,3187,1969
2584,3366,1889
2623,3435,1809
2610,3396,1725
2565,3297,1622
2531,3244,1520
2524,3258,1417
2558,3305,1314
2587,3308,1191
2584,3275,1068
2537,3222,952
2505,3184,862
2505,3150,786
2531,3153,739
2560,3198,719
2636,3305,739
2783,3454,782
2975,3639,862
3111,3786,967
3132,3820,1109
3021,3678,1262
2845,3426,1437
2679,3191,1614
2610,3093,1807
2637,3114,2002
2714,3184,2218
2776,3232,2426
2819,3275,2628
2833,3305,2817
2819,3305,3039
2769,3243,3303
2740,3184,3614
2767,3187,3945
2845,3275,4312
2912,3370,4709
2949,3426,5134
2959,3446,5551
2975,3487,5955
2984,3535,6316
2975,3548,6612
2923,3485,6804
2845,3396,6900
2748,3312,6909
2662,3244,6859
2586,3163,6741
2531,3093,6571
2484,3045,6352
2453,3032,6119
2444,3039,5881
2479,3093,5668
2525,3170,5480
2531,3214,5339
2458,3147,5224
2349,3002,5134
2257,2858,5042
2218,2790,4969
2198,2764,4900
2166,2729,4846
2083,2629,4779
1957,2486,4723
1814,2338,4657
1722,2244,4600
1711,2219,4528
1775,2274,4477
1862,2379,4417
1957,2517,4353
2057,2657,4260
2166,2790,4189
2235,2866,4146
2218,2850,4148
2098,2715,4164
1931,2517,4230
1776,2322,4356
1670,2183,4559
1594,2081,4785
1540,2001,5011
1506,1942,5185
1514,1941,5298
1549,1981,5316
1592,2032,5257
1613,2043,5119
1618,2032,4928
1614,2020,4688
1618,2032,4436
1632,2052,4188
1670,2092,3984
1716,2148,3827
1749,2213,3737
1746,2250,3697
1722,2244,3696
1679,2182,3699
1618,2092,3696
1548,2004,3657
1514,1971,3573
1532,2002,3427
1592,2092,3245
1673,2219,3025
1775,2365,2793
1842,2451,2549
1801,2395,2341
1637,2193,2161
1461,1971,2012
1371,1843,1859
1357,1819,1725
1334,1806,1595
1279,1759,1479
1223,1694,1359
1200,1668,1273
1195,1681,1218
1200,1728,1191
1210,1784,1169
1227,1850,1191
1237,1902,1276
1253,1941,1437
1282,1965,1650
1331,2001,1930
1372,2034,2272
1383,2032,2670
1352,1959,3079
1305,1850,3491
1271,1757,3870
1279,1728,4189
1314,1747,4403
1357,1789,4518
1388,1823,4536
1409,1850,4477
1414,1864,4339
1409,1880,4148
1407,1902,3924
1435,1941,3696
1483,1981,3477
1514,2001,3286
1483,1974,3124
1409,1910,2998
1328,1827,2898
1279,1759,2834
1255,1712,2810
1253,1698,2834
1251,1694,2865
1253,1698,2875
1251,1718,2851
1253,1789,2834
1240,1884,2820
1200,1941,2793
1129,1895,2716
1070,1759,2628
1070,1550,2543
1174,1304,2464
1388,1066,2360
1696,940,2259
2052,986,2179
2401,1183,2136
2689,1437,2093
2897,1698,2054
3017,1940,2017
3053,2153,2012
2994,2290,2036
2845,2335,2095
2623,2293,2160
2375,2213,2218
2134,2134,2254
1931,2092,2300
1779,2096,2357
1696,2153,2423
1672,2243,2470
1670,2335,2505
1621,2351,2528
1488,2244,2546
1283,2017,2547
1070,1759,2546
895,1548,2545
783,1425,2546
732,1377,2531
757,1395,2505
837,1458,2465
940,1546,2423
1017,1618,2377
1070,1668,2341
1107,1705,2303
1148,1759,2259
1185,1820,2196
1227,1880,2136
1267,1916,2084
1305,1941,2054
1324,1955,2029
1331,1971,2012
1329,1973,1991
1331,1971,1971
1322,1957,1945
1305,1941,1930
1284,1910,1924
1279,1880,1930
1281,1856,1929
1279,1850,1930
1268,1846,1926
1279,1850,1930
1321,1864,1939
1383,1910,1971
1431,1973,2010
1461,2032,2054
1482,2053,2086
1514,2062,2136
1563,2092,2194
1644,2183,2259
1748,2309,2299
1853,2426,2341
1910,2475,2379
1905,2456,2423
1852,2384,2443
1801,2304,2464
1766,2231,2490
1749,2183,2546
1731,2147,2603
1722,2122,2670
1720,2099,2747
1722,2092,2875
1724,2098,3050
1749,2122,3286
1797,2158,3573
1853,2213,3943
1885,2267,4373
1905,2304,4846
1933,2322,5305
1983,2365,5750
2044,2445,6149
2114,2547,6489
2175,2621,6712
2218,2668,6818
2228,2699,6799
2218,2729,6694
2189,2731,6518
2140,2699,6325
2069,2635,6136
2010,2577,5996
1982,2535,5912
1983,2517,5914
1974,2503,5986
1931,2486,6119
1842,2434,6273
1722,2335,6448
1598,2192,6618
1514,2062,6777
1472,1975,6873
1461,1941,6900
1455,1930,6829
1461,1941,6694
1470,1951,6497
1461,1941,6284
1408,1887,6042
1331,1819,5791
1262,1761,5503
1227,1728,5216
1215,1703,4928
1227,1698,4682
1248,1715,4467
1279,1759,4312
1303,1804,4199
1331,1850,4148
1368,1889,4137
1435,1941,4189
1530,2012,4273
1644,2122,4395
1739,2238,4512
1775,2304,4641
1720,2262,4749
1592,2122,4846
1427,1924,4899
1279,1728,4928
1171,1569,4917
1122,1486,4887
1125,1484,4837
1174,1546,4805
1236,1611,4781
1279,1637,4764
1278,1613,4733
1253,1577,4723
1227,1559,4736
1227,1577,4764
1246,1606,4759
1279,1637,4723
1307,1662,4651
1331,1698,4559
1352,1742,4427
1383,1789,4271
1407,1815,4078
1409,1819,3861
1381,1802,3610
1357,1789,3368
1352,1785,3143
1357,1789,2957
1335,1765,2781
1279,1698,2628
1205,1597,2489
1148,1516,2382
1119,1480,2277
1122,1486,2177
1143,1498,2064
1174,1516,1971
1202,1549,1904
1227,1607,1889
1249,1662,1906
1279,1698,1971
1301,1710,2089
1305,1728,2300
1288,1756,2583
1279,1789,2916
1285,1815,3235
1305,1850,3532
1317,1893,3772
1331,1941,3943
1347,1966,4008
1357,1971,3984
1333,1950,3880
1279,1910,3737
1222,1855,3580
1200,1819,3450
1204,1806,3350
1200,1789,3286
1158,1720,3265
1096,1607,3327
1048,1490,3470
1044,1425,3655
1066,1419,3829
1096,1455,3984
1120,1491,4110
1148,1516,4189
1178,1536,4184
1200,1577,4107
1210,1626,3967
1227,1668,3778
1259,1693,3527
1305,1728,3245
1338,1777,2949
1357,1819,2670
1358,1816,2392
1357,1789,2136
1358,1778,1905
1383,1819,1725
1417,1878,1581
1435,1910,1479
1397,1881,1410
1305,1819,1396
1183,1760,1420
1070,1728,1479
981,1689,1547
940,1607,1643
975,1458,1756
1122,1273,1889
1374,1091,2013
1696,970,2136
2045,956,2243
2401,1092,2341
2726,1359,2409
2975,1698,2464
3114,2011,2506
3158,2244,2546
3114,2369,2571
2975,2395,2587
2729,2330,2590
2427,2213,2587
2137,2088,2581
1905,2001,2587
1712,1948,2593
1540,1910,2587
1393,1869,2564
1305,1850,2546
1276,1865,2532
1279,1910,2505
1278,1949,2447
1279,1971,2382
1289,1974,2321
1305,1971,2259
1293,1948,2174
1253,1910,2095
1199,1858,2037
1174,1819,2012
1184,1801,1990
1227,1819,1971
1278,1868,1948
1331,1941,1930
1360,1986,1905
1357,1971,1889
1319,1893,1881
1279,1819,1889
1255,1786,1890
1253,1789,1889
1251,1786,1893
1253,1789,1930
1276,1820,1987
1357,1910,2054
1490,2047,2119
1644,2213,2218
1745,2340,2341
1749,2365,2464
1657,2257,2552
1540,2092,2628
1457,1967,2697
1435,1941,2752
1446,1964,2760
1461,1971,2752
1456,1929,2745
1435,1880,2752
1409,1850,2737
1409,1850,2711
1450,1870,2668
1540,1941,2628
1654,2054,2577
1775,2183,2546
1877,2283,2554
1957,2365,2628
1993,2419,2740
1983,2426,2875
1938,2367,2997
1905,2304,3121
1911,2291,3249
1957,2335,3409
2004,2376,3582
2036,2395,3778
2046,2391,3985
2062,2395,4230
2096,2427,4494
2166,2517,4764
2257,2649,4991
2349,2790,5175
2413,2885,5299
2453,2941,5380
2473,2975,5400
2479,3002,5380
2443,2980,5308
2349,2881,5216
2202,2711,5113
2062,2547,5052
1981,2444,5029
1983,2426,5052
2020,2450,5091
2036,2486,5175
1994,2498,5286
1931,2486,5421
1884,2459,5531
1879,2456,5627
1887,2474,5692
1879,2486,5750
1829,2438,5785
1749,2335,5832
1651,2204,5872
1566,2092,5914
1500,2002,5940
1461,1941,5996
1438,1903,6071
1435,1910,6161
1451,1948,6221
1488,2001,6284
1520,2027,6333
1540,2032,6366
1546,2032,6349
1566,2062,6325
1590,2095,6291
1592,2092,6243
1532,2017,6143
1435,1910,6037
1359,1829,5933
1357,1819,5832
1401,1851,5689
1435,1880,5544
1420,1864,5409
1383,1819,5298
1357,1772,5170
1357,1759,5052
1371,1776,4940
1409,1819,4846
1468,1871,4738
1540,1941,4641
1606,2026,4550
1670,2122,4477
1710,2177,4389
1696,2153,4312
1613,2042,4240
1514,1910,4189
1450,1816,4127
1435,1789,4066
1430,1792,3986
1409,1789,3902
1363,1753,3797
1305,1698,3696
1249,1639,3589
1227,1607,3491
1240,1606,3383
1279,1637,3286
1316,1677,3193
1357,1728,3121
1409,1796,3051
1488,1910,2998
1593,2067,2949
1722,2244,2916
1828,2370,2874
1853,2395,2834
1761,2298,2785
1592,2122,2752
1405,1915,2714
1253,1728,2670
1147,1586,2592
1096,1516,2505
1084,1501,2413
1096,1516,2341
1108,1528,2272
1122,1546,2218
1134,1573,2165
1148,1607,2136
1165,1631,2130
1200,1668,2177
1243,1728,2263
1279,1819,2382
1299,1914,2502
1331,2001,2628
1376,2055,2750
1409,2062,2875
1389,2004,2984
1331,1910,3080
1273,1806,3150
1253,1728,3203
1260,1689,3229
1279,1698,3245
1298,1728,3245
1331,1759,3245
1377,1777,3227
1435,1819,3203
1497,1899,3174
1566,2001,3162
1623,2081,3149
1644,2122,3121
1608,2115,3062
1540,2062,2998
1459,1962,2935
1383,1850,2875
1313,1754,2794
1279,1698,2711
1279,1667,2635
1305,1668,2587
1339,1716,2543
1409,1850,2505
1521,2051,2481
1644,2274,2505
1713,2439,2561
1696,2486,2628
1589,2346,2672
1435,2001,2711
1312,1516,2749
1331,1061,2793
1535,787,2807
1879,758,2793
2252,930,2751
2584,1243,2711
2842,1606,2666
