I,II,ABP,RESP
4102,2447,3711,3027
4127,2469,3644,3035
4133,2490,3578,3031
4127,2505,3533,3035
4101,2493,3479,3042
4087,2469,3421,3055
4079,2438,3342,3055
4087,2415,3272,3055
4086,2385,3207,3050
4087,2360,3161,3055
4080,2340,3105,3054
4087,2342,3049,3055
4089,2345,2986,3050
4087,2342,2938,3055
4063,2321,2884,3056
4047,2306,2826,3055
4036,2299,2758,3041
4047,2306,2715,3035
4062,2304,2679,3032
4087,2306,2640,3035
4084,2314,2576,3026
4047,2342,2529,3016
3974,2361,2503,3001
3928,2360,2491,2996
3916,2330,2453,2985
3928,2306,2417,2976
3921,2296,2400,2962
3928,2306,2417,2957
3956,2309,2434,2947
4008,2306,2454,2937
4033,2294,2469,2915
4047,2288,2491,2897
4058,2272,2504,2876
4087,2251,2529,2858
4096,2219,2560,2828
4087,2197,2603,2799
4058,2177,2636,2765
4047,2160,2677,2740
4043,2137,2725,2710
4047,2124,2789,2681
4040,2119,2846,2641
4047,2124,2900,2602
4061,2123,2938,2558
4087,2124,2975,2523
4101,2122,3006,2484
4127,2124,3049,2444
4161,2119,3089,2392
4206,2124,3124,2346
4220,2138,3140,2302
4206,2160,3161,2267
4164,2166,3180,2226
4127,2160,3198,2188
4073,2150,3196,2146
4008,2160,3198,2109
3919,2175,3199,2067
3849,2179,3198,2030
3796,2153,3177,1990
3770,2124,3161,1951
3741,2106,3144,1902
3730,2106,3124,1853
3725,2100,3082,1800
3730,2088,3049,1754
3712,2066,3028,1711
3690,2052,3012,1675
3663,2038,2973,1637
3651,2033,2938,1597
3640,2025,2913,1551
3651,2015,2900,1518
3664,2004,2866,1488
3690,2015,2826,1459
3702,2045,2795,1417
3730,2088,2789,1380
3750,2122,2776,1348
3770,2160,2752,1321
3750,2192,2709,1281
3730,2215,2677,1242
3715,2208,2652,1207
3730,2197,2640,1183
3727,2185,2621,1153
3690,2179,2603,1123
3588,2156,2580,1092
3452,2124,2566,1064
3305,2072,2546,1034
3214,1997,2529,1005
3216,1904,2506,975
3373,1852,2491,946
3717,1886,2472,914
4285,2033,2454,887
5020,2280,2429,865
5833,2614,2417,848
6593,2986,2412,827
7222,3341,2417,808
7622,3630,2405,789
7738,3849,2380,769
7536,3951,2349,745
7103,3885,2343,729
6548,3649,2346,719
5992,3359,2343,710
5474,3121,2318,690
5039,2959,2305,670
4692,2814,2305,656
4444,2669,2305,650
4240,2529,2284,642
4047,2415,2268,631
3844,2306,2266,619
3690,2215,2268,611
3600,2149,2248,602
3571,2124,2231,591
3546,2113,2226,579
3532,2106,2231,572
3519,2091,2214,569
3532,2088,2194,572
3530,2090,2184,572
3532,2106,2194,572
3508,2113,2196,569
3492,2124,2194,572
3470,2133,2188,573
3492,2160,2194,572
3542,2193,2195,568
3651,2251,2194,572
3827,2336,2188,582
4127,2469,2194,591
4495,2620,2197,591
4841,2760,2194,591
5052,2844,2173,597
5158,2887,2157,611
5214,2906,2149,622
5277,2941,2157,631
5313,2980,2159,638
5317,3014,2157,650
5288,3024,2150,661
5277,3032,2157,670
5273,3032,2160,677
5277,3032,2157,690
5268,3023,2135,701
5277,3032,2120,710
5295,3055,2112,715
5317,3086,2120,729
5316,3104,2119,750
5317,3123,2120,769
5317,3146,2115,777
5317,3177,2120,788
5292,3195,2117,808
5277,3214,2120,828
5283,3230,2115,837
5317,3250,2120,848
5326,3252,2117,865
5317,3250,2120,887
5300,3245,2113,898
5317,3250,2120,907
5326,3241,2127,922
5277,3214,2157,946
5096,3139,2186,966
4801,3014,2231,986
4433,2831,2284,1004
4087,2633,2380,1025
3809,2456,2507,1043
3651,2342,2677,1064
3581,2279,2883,1084
3571,2251,3161,1104
3565,2224,3485,1119
3571,2197,3830,1143
3571,2159,4156,1173
3571,2124,4499,1202
3548,2083,4856,1221
3532,2052,5206,1242
3521,2025,5500,1268
3532,2015,5764,1301
3530,2005,6001,1323
3532,1997,6210,1340
3526,1978,6357,1356
3532,1961,6470,1380
3527,1939,6548,1400
3532,1924,6582,1419
3528,1903,6543,1435
3532,1888,6470,1459
3525,1878,6383,1481
3532,1888,6284,1498
3533,1905,6143,1505
3532,1924,5987,1518
3508,1927,5831,1536
3492,1924,5689,1557
3484,1919,5536,1568
3492,1924,5392,1577
3488,1931,5253,1585
3492,1943,5132,1597
3501,1949,4997,1603
3532,1961,4871,1616
3554,1974,4749,1629
3571,1997,4648,1636
3569,2016,4536,1626
3571,2033,4425,1616
3567,2040,4314,1614
3571,2052,4239,1616
3568,2066,4167,1608
3571,2088,4090,1597
3567,2100,3987,1586
3571,2106,3904,1577
3568,2107,3841,1558
3571,2124,3793,1537
3567,2149,3718,1517
3571,2179,3644,1498
3568,2191,3577,1470
3571,2197,3533,1439
3568,2194,3477,1407
3571,2197,3421,1380
3567,2195,3359,1349
3571,2197,3310,1321
3568,2194,3252,1290
3571,2197,3198,1261
3567,2199,3137,1230
3571,2215,3086,1202
3569,2239,3028,1174
3571,2269,2975,1143
3565,2284,2914,1104
3571,2288,2863,1064
3572,2287,2805,1030
3571,2306,2752,1005
3548,2330,2699,979
3532,2342,2677,946
3522,2320,2662,905
3532,2288,2640,867
3530,2265,2594,834
3532,2269,2566,808
3535,2280,2560,779
3571,2288,2566,749
3625,2274,2546,717
3690,2251,2529,690
3714,2219,2531,662
3690,2197,2566,631
3622,2182,2589,597
3571,2179,2603,572
3552,2170,2610,552
3571,2160,2640,532
3599,2142,2675,503
3651,2124,2715,473
3698,2102,2744,444
3730,2088,2789,414
3735,2071,2841,375
3770,2052,2900,335
3831,2026,2941,302
3889,2015,2975,276
3894,2009,3004,248
3889,1997,3049,217
3890,1965,3090,186
3889,1943,3124,158
3835,1940,3139,128
3770,1961,3161,99
3729,1984,3180,69
3730,2015,3198,39
3708,2036,3197,8
3651,2033,3198,-20
3572,1996,3197,-41
3532,1961,3198,-59
3523,1949,3180,-84
3532,1961,3161,-118
3514,1959,3139,-152
3492,1943,3124,-177
3476,1923,3090,-196
3492,1924,3049,-217
3512,1933,3003,-245
3532,1943,2975,-276
3530,1947,2953,-299
3532,1961,2938,-315
3525,1978,2905,-332
3532,1997,2863,-355
3527,2004,2814,-378
3532,2015,2789,-394
3523,2023,2772,-402
3532,2033,2752,-414
3530,2030,2710,-433
3532,2033,2677,-453
3512,2040,2656,-465
3492,2052,2640,-473
3434,2046,2602,-482
3333,2033,2566,-493
3175,2005,2539,-502
3016,1961,2529,-512
2892,1878,2509,-523
2857,1779,2491,-532
2939,1706,2472,-534
3214,1725,2454,-532
3719,1858,2428,-531
4444,2106,2417,-532
5276,2423,2416,-532
6111,2778,2417,-532
6857,3129,2396,-532
7460,3450,2380,-532
7788,3679,2376,-531
7738,3776,2380,-532
7302,3716,2363,-533
6666,3540,2343,-532
6023,3308,2332,-524
5476,3086,2343,-512
4993,2900,2346,-501
4563,2760,2343,-493
4186,2639,2335,-483
3889,2524,2343,-473
3656,2395,2347,-462
3492,2269,2343,-453
3373,2160,2320,-444
3293,2088,2305,-434
3223,2043,2300,-422
3174,2015,2305,-414
3141,1985,2302,-406
3135,1961,2305,-394
3129,1937,2307,-375
3135,1924,2305,-355
3130,1916,2285,-340
3135,1924,2268,-335
3128,1928,2262,-330
3135,1924,2268,-315
3131,1901,2267,-293
3135,1888,2268,-276
3128,1883,2268,-267
3135,1888,2268,-256
3134,1883,2250,-236
3135,1888,2231,-217
3125,1902,2220,-206
3135,1924,2231,-197
3153,1928,2237,-179
3174,1924,2231,-158
3172,1918,2208,-144
3174,1924,2194,-138
3186,1925,2188,-130
3214,1924,2194,-118
3221,1923,2192,-107
3214,1943,2194,-99
3199,1974,2192,-90
3214,2015,2194,-79
3256,2049,2190,-67
3333,2088,2194,-59
3403,2129,2196,-56
3452,2179,2194,-59
3469,2223,2173,-61
3492,2269,2157,-59
3513,2307,2148,-55
3532,2342,2157,-59
3536,2361,2157,-70
3571,2378,2157,-79
3632,2393,2150,-78
3690,2415,2157,-79
3698,2427,2155,-87
3690,2433,2157,-99
3696,2429,2149,-107
3730,2433,2157,-118
3741,2434,2166,-137
3730,2433,2194,-158
3712,2419,2220,-169
3730,2415,2268,-177
3756,2420,2337,-193
3770,2433,2454,-217
3758,2429,2602,-238
3770,2415,2789,-256
3805,2392,3003,-273
3849,2378,3272,-296
3866,2365,3575,-323
3889,2360,3904,-355
3912,2351,4230,-386
3928,2342,4574,-414
3915,2322,4916,-434
3928,2306,5243,-453
3971,2291,5517,-478
4008,2288,5764,-512
3968,2280,5982,-546
3889,2269,6173,-572
3812,2243,6304,-590
3770,2215,6396,-611
3737,2183,6449,-633
3730,2160,6470,-650
3732,2138,6434,-659
3730,2124,6359,-670
3700,2110,6252,-689
3690,2106,6136,-710
3705,2102,5993,-721
3730,2106,5838,-729
3724,2105,5667,-740
3730,2106,5503,-749
3750,2103,5343,-749
3770,2106,5206,-749
3747,2100,5072,-756
3730,2088,4946,-769
3740,2064,4807,-772
3770,2052,4685,-769
3758,2047,4568,-765
3730,2052,4462,-769
3711,2049,4343,-771
3730,2052,4239,-769
3749,2062,4139,-759
3770,2088,4053,-749
3773,2104,3954,-739
3770,2106,3867,-729
3745,2091,3784,-718
3730,2088,3719,-710
3722,2088,3640,-700
3730,2088,3570,-690
3726,2079,3502,-677
3730,2088,3458,-670
3729,2105,3406,-663
3730,2106,3347,-650
3708,2069,3267,-628
3690,2033,3198,-611
3678,2022,3134,-601
3690,2033,3086,-591
3693,2034,3030,-571
3690,2033,2975,-552
3678,2038,2913,-541
3690,2052,2863,-532
3710,2051,2807,-513
3730,2052,2752,-493
3727,2062,2687,-479
3730,2088,2640,-473
3730,2102,2599,-464
3730,2106,2566,-453
3706,2102,2522,-443
3690,2106,2491,-434
3683,2106,2468,-421
3690,2106,2454,-414
3684,2102,2430,-414
3690,2106,2417,-414
3705,2106,2411,-405
3730,2106,2417,-394
3732,2101,2412,-390
3730,2106,2417,-394
3724,2105,2429,-396
3730,2088,2454,-394
3725,2046,2470,-392
3730,2015,2491,-394
3730,2002,2520,-396
3730,1997,2566,-394
3707,1978,2605,-390
3690,1961,2640,-394
3681,1951,2669,-405
3690,1943,2715,-414
3688,1915,2767,-414
3690,1888,2826,-414
3697,1878,2867,-420
3730,1888,2900,-434
3756,1886,2928,-445
3770,1870,2975,-453
3763,1850,3029,-456
3770,1852,3086,-453
3765,1861,3117,-449
3730,1870,3124,-453
3647,1867,3105,-466
3571,1870,3086,-473
3519,1872,3065,-465
3492,1870,3049,-453
3459,1850,3026,-451
3452,1834,3012,-453
3459,1828,3003,-447
3452,1834,3012,-434
3393,1821,3026,-422
3333,1797,3049,-414
3312,1780,3057,-400
3333,1797,3049,-374
3329,1824,3014,-344
3293,1834,2975,-315
3240,1813,2934,-288
3214,1797,2900,-256
3204,1791,2850,-219
3214,1779,2789,-177
3213,1738,2722,-137
3214,1707,2677,-99
3202,1712,2639,-60
3214,1761,2603,-20
3240,1815,2557,21
3293,1870,2529,59
3328,1918,2510,96
3333,1961,2491,138
3276,1972,2450,186
3174,1961,2417,237
3025,1924,2405,286
2857,1870,2417,335
2686,1785,2419,384
2579,1688,2417,434
2585,1605,2413,482
2778,1580,2417,532
3202,1631,2403,582
3889,1779,2380,631
4747,2005,2352,672
5635,2288,2343,710
6409,2588,2330,747
7023,2887,2305,788
7413,3153,2261,829
7500,3359,2231,867
7203,3457,2222,899
6587,3431,2231,926
5792,3293,2220,948
5000,3105,2194,966
4335,2910,2163,982
3889,2741,2157,1005
3635,2588,2158,1029
3492,2451,2157,1045
3353,2324,2136,1046
3214,2215,2120,1045
3093,2115,2112,1050
3016,2033,2120,1064
2962,1966,2120,1071
2936,1924,2120,1064
2927,1898,2115,1050
2936,1888,2120,1045
2934,1883,2120,1046
2936,1888,2120,1045
2930,1888,2114,1032
2936,1888,2120,1025
2930,1883,2123,1025
2936,1888,2120,1025
2933,1889,2098,1014
2936,1888,2082,1005
2928,1879,2076,1004
2936,1888,2082,1005
2951,1907,2081,995
2976,1924,2082,986
2980,1912,2082,982
2976,1888,2082,986
2965,1872,2077,984
2976,1888,2082,986
2993,1919,2088,993
3016,1961,2082,1005
3018,1992,2056,1012
3016,2015,2045,1025
3006,2018,2058,1044
3016,2015,2082,1064
3042,2008,2085,1074
3095,2015,2082,1084
3141,2038,2082,1100
3174,2088,2082,1123
3186,2139,2062,1142
3214,2179,2045,1163
3252,2195,2040,1184
3293,2215,2045,1202
3310,2240,2030,1209
3333,2269,2008,1222
3377,2285,1983,1246
3452,2306,1971,1281
3506,2337,1960,1305
3532,2378,1971,1321
3536,2402,1990,1334
3571,2415,2008,1360
3630,2420,2003,1390
3690,2433,2008,1419
3704,2442,2023,1439
3690,2451,2045,1459
3673,2451,2042,1476
3690,2451,2045,1498
3713,2441,2064,1518
3730,2433,2120,1537
3734,2421,2182,1549
3770,2415,2268,1557
3827,2407,2376,1563
3889,2415,2529,1577
3915,2424,2709,1590
3928,2433,2938,1597
3930,2425,3199,1592
3928,2415,3495,1597
3905,2393,3791,1608
3889,2360,4090,1616
3872,2315,4373,1607
3849,2288,4648,1597
3799,2277,4907,1593
3770,2269,5169,1597
3764,2240,5410,1588
3770,2215,5615,1577
3748,2205,5760,1566
3730,2215,5875,1557
3714,2215,5965,1538
3690,2215,6024,1518
3626,2213,6024,1502
3571,2215,5987,1498
3552,2204,5921,1489
3571,2197,5838,1478
3575,2192,5717,1464
3571,2197,5578,1459
3565,2194,5426,1451
3571,2197,5280,1439
3554,2197,5128,1417
3532,2197,4983,1399
3524,2185,4833,1386
3571,2179,4685,1380
3637,2171,4528,1369
3690,2160,4388,1360
3694,2136,4254,1349
3690,2124,4128,1340
3696,2133,3988,1328
3730,2160,3867,1321
3754,2175,3763,1311
3770,2179,3681,1301
3767,2175,3586,1286
3770,2179,3495,1281
3765,2178,3409,1281
3770,2179,3347,1281
3767,2175,3275,1269
3770,2179,3198,1261
3763,2178,3112,1259
3770,2179,3049,1261
3771,2174,2993,1258
3770,2179,2938,1261
3746,2186,2860,1271
3730,2197,2789,1281
3721,2191,2725,1279
3730,2179,2677,1281
3728,2165,2620,1290
3730,2179,2566,1301
3725,2210,2506,1300
3730,2251,2454,1301
3725,2279,2393,1309
3730,2306,2343,1321
3729,2334,2298,1320
3730,2378,2268,1321
3708,2419,2229,1327
3690,2451,2194,1340
3678,2462,2163,1342
3690,2469,2157,1340
3695,2469,2155,1343
3690,2469,2157,1360
3662,2462,2148,1375
3651,2469,2157,1380
3667,2495,2183,1375
3730,2542,2231,1380
3796,2574,2270,1390
3849,2578,2305,1399
3869,2550,2335,1397
3889,2524,2380,1399
3898,2508,2430,1408
3889,2505,2491,1419
3832,2491,2547,1418
3770,2469,2603,1419
3737,2443,2653,1427
3770,2433,2715,1439
3818,2429,2773,1438
3849,2433,2826,1439
3844,2430,2861,1446
3849,2433,2900,1459
3865,2431,2949,1459
3889,2433,3012,1459
3897,2428,3058,1463
3928,2433,3086,1478
3974,2439,3099,1489
4008,2451,3124,1498
3969,2452,3148,1505
3889,2451,3161,1518
3808,2441,3143,1527
3770,2433,3124,1537
3736,2410,3115,1545
3690,2378,3124,1557
3621,2336,3115,1566
3571,2306,3086,1577
3539,2287,3042,1584
3532,2288,3012,1597
3523,2287,2991,1606
3532,2288,2975,1616
3547,2282,2941,1622
3571,2288,2900,1636
3574,2296,2856,1653
3571,2306,2826,1675
3564,2295,2791,1687
3571,2269,2752,1695
3570,2234,2704,1700
3571,2215,2677,1715
3552,2198,2659,1726
3532,2179,2640,1735
3498,2143,2599,1738
3492,2124,2566,1754
3488,2119,2543,1776
3492,2124,2529,1794
3480,2116,2493,1793
3492,2124,2454,1794
3504,2151,2424,1800
3492,2179,2417,1813
3408,2157,2403,1815
3293,2088,2380,1813
3185,1985,2349,1811
3135,1888,2343,1813
3161,1826,2345,1810
3333,1852,2343,1813
3689,1971,2320,1816
4246,2179,2305,1813
4932,2461,2302,1793
5674,2832,2305,1774
6371,3238,2288,1762
6944,3595,2268,1754
7287,3848,2247,1735
7341,4031,2231,1715
7070,4122,2206,1695
6547,4049,2194,1675
5895,3781,2192,1645
5277,3450,2194,1616
4773,3191,2175,1593
4405,3032,2157,1577
4127,2894,2149,1550
3928,2760,2157,1518
3774,2639,2155,1484
3651,2542,2157,1459
3535,2443,2166,1430
3452,2360,2194,1399
3399,2304,2215,1361
3373,2269,2231,1321
3345,2227,2242,1278
3333,2197,2268,1242
3326,2187,2293,1210
3333,2197,2305,1183
3335,2195,2290,1147
3373,2197,2268,1104
3420,2201,2246,1058
3452,2215,2231,1025
3410,2214,2209,997
3333,2215,2194,966
3252,2212,2187,924
3214,2215,2194,887
3198,2210,2194,857
3214,2215,2194,828
3245,2228,2191,788
3293,2251,2194,749
3320,2262,2192,716
3333,2269,2194,690
3338,2273,2193,658
3373,2288,2194,631
3416,2298,2190,609
3452,2306,2194,591
3453,2298,2196,569
3452,2288,2194,552
3460,2276,2174,541
3492,2288,2157,532
3514,2317,2148,513
3532,2360,2157,493
3530,2391,2159,479
3532,2415,2157,473
3534,2428,2149,463
3571,2451,2157,453
3627,2480,2162,450
3690,2524,2157,453
3718,2567,2131,454
3730,2614,2120,453
3737,2656,2117,451
3770,2705,2120,453
3807,2746,2098,460
3849,2778,2082,473
3871,2787,2074,486
3889,2796,2082,493
3888,2808,2076,492
3889,2832,2082,493
3882,2841,2102,500
3889,2832,2157,512
3889,2807,2218,522
3889,2796,2305,532
3877,2794,2423,542
3889,2796,2603,552
3909,2773,2822,560
3928,2741,3086,572
3922,2712,3379,584
3928,2705,3719,591
3956,2700,4073,590
4008,2687,4425,591
4037,2656,4744,600
4047,2633,5057,611
4031,2617,5360,613
4008,2614,5652,611
3964,2603,5895,610
3928,2596,6098,611
3899,2591,6260,604
3889,2596,6396,591
3868,2595,6477,579
3849,2596,6507,572
3833,2588,6482,563
3849,2578,6433,552
3860,2551,6353,540
3849,2524,6247,532
3801,2502,6103,525
3770,2505,5950,512
3760,2514,5793,492
3770,2524,5652,473
3763,2520,5503,461
3770,2524,5355,453
3797,2531,5197,439
3849,2542,5057,414
3877,2530,4921,382
3889,2505,4797,355
3883,2475,4662,334
3889,2469,4537,315
3887,2480,4412,295
3889,2505,4314,276
3882,2518,4216,257
3889,2524,4128,237
3898,2524,4027,208
3928,2542,3942,177
3963,2561,3859,152
4008,2578,3793,138
4023,2576,3717,129
4008,2578,3644,118
3959,2578,3562,101
3928,2578,3495,79
3918,2559,3431,57
3928,2542,3384,39
3914,2527,3328,27
3889,2524,3272,20
3856,2512,3207,11
3849,2505,3161,0
3857,2500,3121,-12
3889,2505,3086,-20
3912,2513,3031,-21
3928,2542,2975,-20
3923,2583,2914,-20
3928,2633,2863,-20
3930,2665,2802,-19
3928,2687,2752,-20
3902,2690,2706,-22
3889,2687,2677,-20
3884,2676,2640,-10
3889,2687,2603,0
3868,2712,2559,2
3849,2741,2529,0
3838,2751,2502,3
3849,2760,2491,20
3848,2768,2484,42
3849,2778,2491,59
3854,2764,2503,69
3889,2741,2529,79
3917,2717,2548,96
3928,2705,2566,118
3906,2687,2575,139
3889,2669,2603,158
3879,2645,2637,176
3889,2633,2677,197
3887,2619,2707,217
3889,2614,2752,237
3883,2609,2806,256
3889,2614,2863,276
3896,2615,2899,296
3928,2614,2938,315
3967,2602,2986,334
4008,2596,3049,355
4025,2589,3093,375
4047,2578,3124,394
4068,2549,3140,413
4087,2524,3161,434
4074,2506,3176,454
4047,2505,3198,473
3996,2502,3216,490
3928,2505,3235,512
3836,2510,3238,536
3770,2524,3235,552
3736,2521,3217,559
3730,2505,3198,572
3708,2469,3173,592
3690,2433,3161,611
3681,2397,3145,620
3690,2378,3124,631
3678,2365,3082,650
3651,2360,3049,670
3605,2354,3026,674
3571,2360,3012,670
3550,2368,2979,673
3571,2378,2938,690
3609,2376,2893,705
3651,2378,2863,710
3653,2377,2828,707
3651,2378,2789,710
3640,2370,2742,719
3651,2378,2715,729
3659,2393,2695,732
3690,2415,2677,729
3704,2415,2639,727
3690,2415,2603,729
3627,2417,2575,731
3571,2433,2566,729
3521,2433,2549,719
3452,2415,2529,710
3306,2358,2503,705
3135,2269,2491,710
3028,2159,2475,714
3095,2088,2454,710
3365,2095,2425,697
3849,2215,2417,690
4502,2444,2419,690
5277,2778,2417,690
6069,3162,2394,679
6785,3540,2380,670
7312,3862,2378,669
7579,4121,2380,670
7527,4268,2359,662
7182,4248,2343,650
6620,4048,2338,640
5992,3776,2343,631
5403,3535,2325,618
4920,3359,2305,611
4525,3196,2296,611
4206,3032,2305,611
3938,2877,2307,602
3730,2760,2305,591
3566,2662,2301,588
3452,2578,2305,591
3362,2497,2304,586
3293,2433,2305,572
3236,2384,2304,556
3214,2360,2305,552
3209,2347,2301,553
3214,2342,2305,552
3192,2323,2308,542
3174,2306,2305,532
3160,2292,2284,523
3174,2306,2268,512
3177,2326,2262,499
3174,2342,2268,493
3149,2328,2268,493
3135,2306,2268,493
3125,2286,2266,483
3135,2288,2268,473
3135,2284,2265,470
3135,2269,2268,473
3125,2237,2270,468
3135,2215,2268,453
3152,2201,2249,437
3174,2197,2231,434
3175,2188,2223,436
3174,2197,2231,434
3179,2218,2233,422
3214,2251,2231,414
3255,2276,2224,414
