II,MCL,ABP
777,3066,3029
760,3063,3007
739,3066,2985
718,3056,2967
719,3066,2985
734,3099,3009
739,3139,3029
719,3144,3021
700,3139,3029
691,3147,3056
680,3176,3117
655,3184,3174
641,3176,3248
649,3174,3337
661,3212,3468
657,3249,3610
661,3249,3775
683,3213,3951
700,3212,4170
693,3253,4405
700,3285,4653
738,3246,4874
777,3176,5092
782,3124,5302
777,3103,5531
798,3060,5750
836,2993,5970
853,2914,6167
855,2847,6365
862,2784,6541
875,2738,6716
877,2689,6869
875,2628,7024
874,2554,7155
875,2519,7287
869,2519,7396
875,2519,7507
895,2478,7595
913,2446,7682
902,2441,7746
875,2446,7814
860,2421,7859
875,2409,7902
894,2425,7918
894,2446,7946
877,2427,7963
875,2409,7989
887,2418,7988
894,2446,7989
881,2447,7979
875,2446,7989
885,2460,7987
894,2482,7989
883,2470,7966
875,2446,7946
883,2434,7900
894,2446,7858
885,2448,7801
875,2446,7770
881,2441,7729
894,2446,7682
888,2443,7593
875,2446,7507
870,2445,7412
875,2446,7331
873,2440,7221
875,2446,7111
879,2451,6993
875,2446,6892
851,2420,6766
836,2409,6629
842,2422,6466
855,2446,6321
848,2438,6167
836,2409,6014
832,2388,5843
836,2409,5707
834,2436,5589
836,2446,5487
840,2429,5352
836,2409,5224
813,2397,5113
797,2409,5048
808,2408,4980
836,2373,4917
840,2347,4839
816,2409,4785
797,2458,4732
816,2373,4697
844,2277,4650
836,2409,4609
799,2570,4556
797,2373,4521
826,2050,4489
816,2373,4478
744,3314,4454
700,3760,4434
742,3001,4402
816,1862,4390
840,1516,4383
836,1971,4390
858,2368,4373
894,2373,4346
894,2316,4309
875,2409,4302
871,2467,4302
875,2409,4302
856,2363,4274
836,2409,4258
841,2452,4252
855,2446,4258
847,2417,4236
836,2409,4214
843,2408,4200
855,2409,4214
842,2394,4219
816,2373,4214
800,2356,4187
797,2373,4170
788,2397,4158
777,2409,4170
774,2393,4175
777,2373,4170
777,2360,4141
777,2373,4126
779,2391,4120
777,2409,4126
765,2400,4120
758,2373,4126
764,2350,4129
777,2373,4126
780,2407,4097
777,2409,4083
781,2373,4079
797,2373,4083
800,2406,4058
777,2409,4039
743,2343,4031
739,2300,4039
762,2328,4019
777,2373,3995
760,2347,3978
739,2300,3995
740,2298,4003
758,2336,3995
769,2335,3963
777,2300,3951
786,2268,3948
777,2263,3951
739,2267,3928
700,2300,3907
692,2360,3882
700,2409,3863
698,2407,3832
719,2409,3819
754,2426,3817
739,2409,3819
692,2355,3795
739,2373,3775
828,2435,3767
777,2409,3775
662,2331,3758
758,2409,3731
925,2535,3700
758,2409,3687
478,2199,3666
739,2409,3644
1227,2786,3612
758,2409,3600
-648,1279,3594
-1224,767,3600
25,1659,3584
1672,2884,3556
1918,3060,3519
1069,2409,3512
608,2041,3515
855,2190,3512
993,2232,3482
739,1971,3468
596,1795,3467
777,1862,3468
919,1887,3441
797,1716,3424
577,1473,3421
428,1278,3424
297,1066,3398
117,803,3380
-94,523,3377
-272,292,3380
-391,99,3355
-466,-73,3336
-531,-234,3332
-564,-329,3336
-497,-349,3312
-311,-329,3292
-83,-289,3287
117,-146,3292
266,123,3271
389,438,3248
496,699,3238
583,949,3248
639,1253,3248
680,1606,3248
735,1943,3247
816,2263,3248
879,2545,3227
875,2738,3205
812,2808,3192
758,2847,3205
754,2929,3210
777,3030,3205
791,3073,3178
797,3066,3161
814,3058,3151
836,3066,3161
842,3067,3162
836,3066,3161
833,3069,3152
836,3066,3161
833,3042,3166
836,3030,3161
846,3044,3132
855,3066,3117
847,3055,3114
836,3030,3117
832,3015,3094
836,3030,3073
834,3036,3063
836,3030,3073
839,3018,3073
836,3030,3073
821,3039,3069
816,3030,3073
827,2998,3068
836,2993,3073
826,3013,3075
816,3030,3073
823,3009,3048
836,2993,3029
830,3003,3020
816,3030,3029
811,3032,3027
816,3030,3029
813,3029,3026
797,3030,3029
780,3005,3023
777,2993,3029
786,3004,3032
797,3030,3029
794,3030,3001
777,3030,2985
753,3040,2979
739,3066,2985
735,3070,2976
739,3066,2985
733,3069,3004
719,3103,3029
704,3141,3024
700,3176,3029
694,3182,3055
680,3176,3117
661,3162,3174
661,3176,3248
674,3207,3338
680,3249,3468
666,3271,3607
661,3285,3775
677,3287,3956
700,3285,4170
708,3266,4383
719,3249,4609
746,3229,4824
777,3212,5048
790,3178,5261
797,3139,5487
813,3088,5704
836,3030,5926
848,2954,6125
855,2884,6321
865,2811,6496
875,2738,6672
874,2655,6826
875,2592,6980
884,2548,7111
894,2519,7243
888,2478,7352
875,2446,7463
873,2433,7550
894,2446,7638
914,2440,7703
913,2409,7770
897,2370,7814
894,2373,7858
906,2398,7877
913,2409,7902
902,2383,7915
894,2373,7946
897,2391,7964
894,2409,7989
876,2388,7990
875,2373,7989
897,2385,7964
913,2409,7946
895,2406,7915
875,2409,7902
880,2430,7876
894,2446,7858
886,2423,7814
875,2409,7770
882,2425,7702
894,2446,7638
885,2427,7549
875,2409,7463
875,2421,7363
875,2446,7287
859,2432,7202
855,2409,7111
871,2402,6979
875,2409,6848
848,2391,6709
836,2373,6585
857,2378,6432
875,2409,6277
854,2420,6111
836,2409,5970
853,2385,5830
875,2373,5707
859,2363,5569
836,2373,5443
839,2383,5316
855,2373,5224
848,2336,5133
836,2336,5048
841,2367,4945
855,2373,4873
848,2346,4819
836,2373,4785
846,2404,4719
875,2336,4653
873,2257,4591
836,2373,4565
809,2502,4539
836,2300,4521
870,2009,4492
836,2373,4478
742,3328,4452
700,3760,4434
755,2988,4404
836,1862,4390
859,1543,4366
855,2008,4346
880,2389,4313
913,2373,4302
903,2310,4298
875,2409,4302
874,2472,4280
894,2409,4258
890,2349,4243
875,2373,4258
872,2392,4265
875,2373,4258
862,2355,4227
855,2373,4214
867,2384,4210
875,2373,4214
854,2343,4192
836,2336,4170
838,2351,4155
836,2373,4170
804,2360,4177
777,2336,4170
782,2335,4140
797,2373,4126
789,2405,4121
777,2409,4126
785,2385,4120
797,2373,4126
788,2371,4129
777,2373,4126
785,2365,4097
797,2373,4083
788,2381,4079
777,2373,4083
783,2340,4058
797,2336,4039
791,2361,4029
777,2373,4039
773,2333,4035
777,2300,4039
771,2308,4039
758,2336,4039
752,2325,4011
758,2300,3995
760,2290,3989
758,2300,3995
760,2297,3974
777,2300,3951
795,2304,3925
797,2300,3907
773,2279,3876
739,2300,3863
714,2364,3861
700,2409,3863
698,2385,3837
739,2373,3819
784,2403,3813
758,2409,3819
697,2361,3800
739,2373,3775
830,2435,3747
777,2409,3731
653,2316,3703
739,2373,3687
908,2491,3681
758,2373,3687
488,2167,3670
739,2373,3644
1208,2745,3610
739,2373,3600
-652,1259,3595
-1224,767,3600
4,1670,3583
1633,2884,3556
1890,3026,3520
1069,2336,3512
619,1952,3514
855,2117,3512
996,2187,3484
777,1935,3468
663,1741,3465
816,1789,3468
891,1821,3444
739,1679,3424
555,1454,3416
447,1241,3424
309,999,3408
97,730,3380
-116,461,3348
-272,219,3336
-384,-6,3329
-466,-183,3336
-522,-302,3338
-525,-365,3336
-435,-400,3312
-253,-402,3292
-38,-349,3281
155,-183,3292
306,87,3297
428,402,3292
531,695,3267
622,986,3248
690,1287,3238
739,1606,3248
787,1927,3252
855,2263,3248
908,2569,3223
894,2774,3205
824,2848,3194
777,2884,3205
797,2951,3209
836,3030,3205
842,3050,3179
836,3030,3161
852,3027,3151
875,3066,3161
870,3100,3162
855,3103,3161
860,3082,3152
875,3066,3161
868,3059,3166
855,3066,3161
859,3070,3132
875,3066,3117
876,3045,3114
875,3030,3117
882,3022,3094
894,3030,3073
888,3030,3063
875,3030,3073
869,3023,3073
875,3030,3073
875,3031,3069
875,3030,3073
874,3020,3068
875,3030,3073
872,3037,3075
875,3030,3073
879,2998,3048
875,2993,3029
859,3013,3020
855,3030,3029
866,3008,3027
875,2993,3029
859,3004,3026
836,3030,3029
827,3028,3023
836,3030,3029
841,3045,3032
836,3066,3029
824,3062,3001
816,3066,2985
807,3085,2979
797,3103,2985
785,3081,2976
777,3066,2985
768,3087,3004
758,3139,3029
746,3168,3024
739,3176,3029
730,3171,3054
719,3176,3117
705,3182,3175
700,3212,3248
700,3253,3337
700,3285,3468
694,3284,3609
700,3285,3775
718,3300,3954
739,3322,4170
748,3312,4387
758,3285,4609
775,3248,4816
797,3212,5048
813,3159,5287
836,3103,5531
860,3045,5735
875,2993,5926
871,2924,6111
875,2847,6321
888,2765,6510
894,2701,6672
880,2642,6795
875,2592,6936
893,2543,7085
913,2519,7243
907,2501,7360
894,2482,7463
897,2452,7547
913,2446,7638
917,2450,7704
913,2446,7770
919,2415,7814
933,2409,7858
931,2429,7874
913,2446,7902
901,2423,7921
913,2409,7946
932,2425,7941
933,2446,7946
916,2425,7942
913,2409,7946
921,2432,7920
913,2482,7902
883,2496,7875
875,2482,7858
898,2459,7812
913,2446,7770
892,2433,7719
875,2446,7682
892,2471,7617
913,2482,7550
898,2457,7473
875,2446,7419
877,2463,7341
894,2482,7243
888,2462,7104
875,2446,6980
880,2458,6863
894,2482,6760
888,2470,6616
875,2446,6453
872,2436,6279
875,2446,6146
864,2432,6015
855,2409,5882
855,2407,5718
855,2446,5575
842,2478,5450
836,2482,5356
845,2451,5244
855,2409,5136
845,2382,5029
836,2409,4960
842,2440,4892
855,2409,4829
849,2346,4750
836,2373,4697
837,2429,4648
855,2373,4609
857,2287,4553
836,2409,4521
818,2576,4497
836,2409,4478
859,2106,4428
836,2409,4390
770,3316,4359
739,3760,4346
776,3039,4315
836,1935,4302
856,1586,4297
855,2008,4302
870,2377,4277
894,2373,4258
890,2314,4249
875,2409,4258
877,2481,4241
894,2446,4214
894,2412,4180
875,2446,4170
852,2464,4163
836,2446,4170
826,2429,4170
836,2446,4170
860,2454,4147
875,2446,4126
859,2432,4112
836,2446,4126
824,2460,4133
816,2446,4126
795,2393,4095
777,2373,4083
779,2406,4080
797,2446,4083
804,2433,4058
797,2409,4039
785,2417,4028
777,2446,4039
773,2438,4036
777,2409,4039
781,2393,4037
777,2409,4039
768,2427,4016
777,2446,3995
802,2453,3981
816,2446,3995
800,2407,4000
777,2373,3995
771,2360,3966
777,2373,3951
772,2376,3943
758,2373,3951
746,2365,3936
739,2373,3907
732,2388,3869
739,2409,3863
759,2406,3865
777,2373,3863
774,2319,3834
758,2300,3819
744,2324,3816
739,2373,3819
733,2402,3795
719,2409,3775
708,2410,3766
739,2446,3775
774,2476,3759
739,2446,3731
674,2383,3698
719,2409,3687
815,2478,3669
758,2446,3644
627,2362,3608
719,2446,3600
905,2577,3601
758,2446,3600
476,2227,3572
719,2446,3556
1199,2835,3551
739,2446,3556
-654,1285,3535
-1224,767,3512
19,1696,3486
1652,2957,3468
1888,3125,3437
1050,2446,3424
612,2079,3422
875,2263,3424
1024,2337,3400
797,2081,3380
680,1889,3372
836,1935,3380
905,1939,3364
739,1752,3336
543,1496,3304
428,1278,3292
285,1050,3286
78,803,3292
-122,557,3293
-272,329,3292
-388,104,3270
-466,-73,3248
-505,-181,3235
-505,-219,3248
-444,-228,3256
-292,-219,3248
-84,-179,3217
117,-37,3205
273,220,3204
408,548,3205
532,857,3179
622,1132,3161
652,1389,3156
661,1679,3161
705,2001,3140
797,2336,3117
871,2620,3104
875,2811,3117
827,2903,3119
797,2957,3117
811,3010,3108
836,3066,3117
839,3095,3120
836,3103,3117
846,3102,3092
855,3103,3073
846,3099,3061
836,3103,3073
849,3107,3078
875,3103,3073
882,3079,3046
875,3066,3029
870,3065,3022
875,3066,3029
874,3055,3027
875,3066,3029
877,3091,3027
875,3103,3029
861,3077,3023
855,3066,3029
864,3083,3032
875,3103,3029
874,3082,3003
875,3066,2985
879,3079,2978
875,3103,2985
857,3077,2982
855,3030,2985
870,3004,2986
875,3030,2985
850,3057,2961
836,3066,2941
853,3056,2932
875,3066,2941
862,3084,2940
836,3103,2941
827,3100,2937
836,3103,2941
837,3103,2936
836,3103,2941
839,3090,2942
836,3103,2941
813,3137,2917
797,3176,2897
803,3179,2885
816,3176,2897
804,3174,2899
777,3176,2897
765,3164,2886
777,3176,2897
787,3210,2912
777,3249,2941
753,3262,2969
739,3285,3029
742,3324,3105
758,3358,3205
770,3355,3299
777,3358,3424
778,3379,3578
777,3395,3775
779,3361,3969
797,3322,4170
822,3311,4371
836,3322,4609
831,3288,4852
836,3212,5092
856,3114,5292
875,3030,5487
873,2949,5677
875,2884,5882
887,2824,6064
894,2774,6234
880,2714,6379
875,2665,6541
894,2632,6695
913,2628,6848
905,2618,6963
894,2592,7068
901,2547,7152
913,2519,7243
905,2499,7312
894,2482,7375
901,2463,7413
913,2482,7463
901,2515,7503
875,2519,7550
863,2471,7573
875,2446,7594
882,2462,7591
875,2482,7594
864,2459,7585
875,2446,7594
892,2465,7593
894,2482,7594
877,2454,7568
875,2446,7550
895,2484,7524
913,2519,7507
900,2484,7463
875,2446,7419
865,2464,7353
875,2519,7287
878,2532,7195
875,2519,7111
872,2513,7017
875,2519,6936
874,2498,6841
875,2482,6760
876,2493,6658
875,2519,6541
863,2520,6382
855,2519,6234
855,2522,6093
855,2519,5970
844,2491,5817
836,2482,5663
835,2499,5511
836,2519,5399
830,2494,5288
836,2446,5180
850,2417,5055
855,2446,4960
835,2471,4882
816,2446,4829
819,2416,4760
836,2482,4697
840,2541,4623
836,2446,4565
834,2311,4506
836,2409,4478
820,2575,4454
797,2409,4434
791,2102,4385
816,2409,4346
831,3323,4314
797,3760,4302
730,3028,4276
700,1935,4258
735,1586,4233
797,1935,4214
828,2188,4181
836,2154,4170
849,2198,4168
875,2409,4170
883,2493,4145
875,2409,4126
867,2371,4117
875,2446,4126
880,2480,4122
875,2446,4126
861,2424,4127
855,2446,4126
860,2451,4098
875,2446,4083
882,2445,4078
875,2446,4083
859,2423,4059
855,2409,4039
854,2408,4027
836,2409,4039
804,2398,4038
797,2409,4039
820,2435,4033
836,2446,4039
817,2419,4034
797,2409,4039
803,2429,4038
816,2446,4039
808,2411,4015
797,2373,3995
804,2373,3982
816,2409,3995
814,2420,3999
816,2409,3995
832,2399,3969
836,2409,3951
805,2401,3939
777,2373,3951
781,2349,3955
797,2373,3951
785,2409,3924
758,2409,3907
748,2361,3897
758,2336,3907
761,2353,3908
758,2373,3907
762,2340,3886
777,2300,3863
780,2288,3832
758,2300,3819
722,2294,3813
700,2300,3819
699,2335,3803
700,2373,3775
692,2369,3739
719,2373,3731
760,2391,3733
739,2373,3731
681,2315,3704
719,2336,3687
802,2404,3682
739,2373,3687
608,2284,3668
700,2373,3644
877,2528,3616
719,2409,3600
437,2163,3572
700,2336,3556
1207,2716,3548
758,2373,3556
-643,1269,3542
-1224,767,3512
19,1662,3474
1652,2884,3468
1879,3042,3470
1030,2373,3468
596,2009,3440
875,2190,3424
1037,2273,3420
816,2044,3424
706,1889,3401
875,1971,3380
957,2012,3370
797,1862,3380
601,1641,3367
486,1460,3336
351,1262,3299
155,1022,3292
-28,768,3294
-155,548,3292
-253,370,3266
-330,256,3248
-378,176,3241
-369,110,3248
-280,51,3246
-117,37,3248
61,73,3248
214,183,3248
336,365,3226
447,621,3205
541,890,3192
603,1132,3205
630,1346,3210
661,1606,3205
727,1931,3179
816,2263,3161
866,2490,3150
836,2592,3161
760,2633,3165
719,2701,3161
739,2788,3135
777,2847,3117
792,2851,3108
797,2847,3117
816,2863,3117
836,2884,3117
831,2872,3110
816,2847,3117
818,2837,3119
836,2847,3117
842,2850,3093
836,2847,3073
831,2843,3061
836,2847,3073
837,2845,3078
836,2847,3073
835,2847,3047
836,2847,3029
833,2838,3020
836,2847,3029
839,2867,3030
836,2884,3029
828,2868,3021
836,2847,3029
852,2836,3033
855,2847,3029
838,2849,3002
836,2847,2985
858,2840,2978
875,2847,2985
858,2848,2982
836,2847,2985
832,2839,2986
836,2847,2985
819,2851,2961
797,2847,2941
791,2832,2932
797,2847,2941
790,2875,2940
777,2884,2941
773,2854,2937
777,2847,2941
777,2879,2936
777,2920,2941
779,2921,2940
777,2920,2941
760,2936,2930
739,2957,2941
724,2948,2959
719,2957,2985
710,2994,2993
700,3030,3029
694,3024,3097
700,3030,3205
704,3067,3306
700,3103,3424
691,3096,3557
700,3103,3731
721,3145,3917
739,3176,4126
743,3141,4337
758,3103,4565
788,3102,4780
816,3103,5004
826,3039,5218
836,2957,5443
857,2908,5658
875,2884,5882
873,2820,6086
875,2738,6277
887,2670,6430
894,2628,6585
881,2574,6732
875,2519,6892
887,2474,7027
894,2446,7155
879,2406,7263
875,2373,7375
897,2358,7464
913,2373,7550
894,2379,7614
875,2373,7682
887,2350,7728
913,2336,7770
912,2318,7786
894,2300,7814
893,2284,7832
913,2300,7858
922,2326,7856
913,2336,7858
905,2312,7849
913,2300,7858
915,2313,7854
894,2336,7858
868,2334,7837
875,2336,7814
904,2354,7764
913,2373,7726
888,2357,7678
875,2336,7638
895,2330,7571
913,2336,7507
894,2330,7432
875,2336,7375
889,2357,7294
913,2373,7199
903,2354,7078
875,2336,6980
864,2344,6875
875,2373,6760
877,2379,6601
875,2373,6453
876,2367,6314
875,2373,6190
860,2371,6033
855,2373,5882
868,2371,5737
875,2373,5619
855,2350,5483
836,2300,5356
840,2260,5230
855,2300,5136
851,2359,5038
836,2336,4960
828,2262,4884
836,2300,4829
839,2391,4759
836,2336,4697
838,2204,4635
855,2300,4609
859,2491,4586
836,2336,4565
814,2001,4516
836,2300,4478
867,3269,4444
836,3760,4434
743,3009,4410
700,1862,4390
761,1498,4361
855,1862,4346
885,2106,4320
875,2044,4302
885,2091,4273
913,2336,4258
906,2449,4245
875,2373,4258
862,2324,4263
875,2373,4258
874,2377,4226
855,2336,4214
837,2335,4212
836,2373,4214
841,2364,4187
855,2336,4170
870,2342,4165
875,2373,4170
858,2366,4147
836,2336,4126
816,2309,4115
797,2300,4126
778,2293,4125
777,2300,4126
791,2306,4122
797,2300,4126
783,2281,4120
777,2300,4126
788,2348,4129
797,2373,4126
785,2336,4097
777,2300,4083
787,2306,4079
797,2336,4083
790,2338,4058
797,2336,4039
824,2353,4029
836,2373,4039
807,2345,4036
777,2300,4039
775,2279,4038
777,2300,4039
755,2312,4014
739,2300,3995
754,2271,3985
777,2263,3995
765,2275,3981
739,2300,3951
742,2298,3912
777,2263,3907
791,2208,3910
758,2190,3907
710,2226,3878
700,2300,3863
727,2348,3860
739,2336,3863
715,2290,3838
719,2300,3819
753,2345,3812
739,2336,3819
684,2284,3801
719,2336,3775
800,2434,3746
739,2373,3731
615,2220,3706
719,2300,3687
905,2495,3664
739,2373,3644
442,2096,3611
719,2336,3600
1266,2841,3598
836,2446,3600
-596,1075,3574
-1224,402,3556
-1,1444,3549
1633,2920,3556
1847,3129,3537
972,2336,3512
519,1905,3483
797,2117,3468
967,2205,3443
758,1935,3424
662,1767,3412
836,1862,3424
902,1876,3429
719,1679,3424
521,1458,3397
428,1314,3380
308,1132,3371
97,876,3380
-123,601,3381
-272,365,3380
-363,167,3361
-428,37,3336
-471,-46,3302
-447,-110,3292
-308,-162,3292
-78,-146,3292
142,-53,3267
292,110,3248
388,316,3241
486,584,3248
587,883,3244
661,1168,3248
691,1413,3251
719,1679,3248
778,2001,3221
855,2336,3205
895,2577,3201
875,2701,3205
818,2765,3182
777,2847,3161
774,2926,3150
797,2957,3161
822,2942,3160
836,2957,3161
837,3007,3157
836,3030,3161
835,2990,3155
836,2957,3161
836,2972,3164
836,2993,3161
835,2970,3133
836,2957,3117
836,2992,3113
836,3030,3117
834,3001,3094
836,2957,3073
837,2957,3063
836,2993,3073
831,2988,3073
836,2957,3073
842,2939,3069
836,2957,3073
818,2963,3068
816,2957,3073
831,2947,3074
836,2957,3073
814,2960,3049
797,2957,3029
803,2947,3019
816,2957,3029
809,2963,3030
797,2957,3029
795,2939,3022
797,2957,3029
785,2988,3029
777,2993,3029
785,2957,3021
797,2957,3029
789,3000,3033
777,3030,3029
776,2989,3000
777,2957,2985
762,2981,2979
739,3030,2985
723,3032,2976
719,3030,2985
711,3059,3002
700,3103,3029
689,3103,3039
680,3103,3073
668,3132,3126
661,3176,3205
659,3179,3275
661,3176,3380
653,3190,3516
641,3212,3687
640,3206,3851
661,3212,4039
687,3248,4244
700,3285,4478
701,3263,4693
719,3212,4917
753,3178,5145
777,3176,5399
781,3154,5628
797,3103,5838
832,3026,6024
855,2957,6234
844,2894,6437
836,2847,6629
854,2795,6779
875,2738,6936
871,2672,7090
875,2628,7243
901,2594,7353
913,2555,7463
889,2492,7569
875,2446,7682
897,2432,7753
913,2446,7814
890,2437,7868
875,2409,7946
904,2376,7996
933,2373,8033
910,2375,8045
875,2373,8077
875,2360,8099
894,2373,8121
886,2397,8115
875,2409,8121
891,2387,8118
913,2373,8121
901,2383,8094
875,2409,8077
873,2412,8052
894,2409,8033
895,2408,7984
875,2409,7946
861,2399,7899
875,2409,7858
892,2434,7786
894,2446,7726
881,2421,7660
