II,aVF,PLETH,RESP
2690,2524,6401,329
2727,2566,6413,290
2760,2573,6406,255
2777,2566,6413,225
2782,2578,6409,194
2827,2639,6413,161
2917,2717,6405,127
3025,2786,6413,97
3079,2819,6411,70
3075,2823,6413,48
3038,2791,6393,30
3025,2749,6380,16
3027,2714,6358,5
3025,2713,6347,0
2984,2710,6315,-1
2926,2676,6282,0
2878,2607,6228,0
2876,2566,6183,0
2887,2564,6127,0
2876,2566,6084,0
2825,2529,6031,0
2777,2493,5986,0
2747,2474,5920,0
2727,2456,5854,0
2682,2400,5767,0
2628,2346,5690,0
2575,2320,5610,0
2529,2309,5558,0
2473,2272,5496,0
2430,2236,5427,0
2413,2227,5332,0
2430,2236,5262,0
2437,2209,5206,0
2430,2163,5164,0
2400,2125,5094,0
2380,2126,5032,0
2369,2139,4974,0
2380,2163,4933,0
2387,2170,4877,0
2380,2163,4835,0
2366,2150,4796,0
2380,2163,4769,0
2389,2163,4716,0
2331,2090,4670,0
2185,1921,4627,0
2033,1723,4604,0
1927,1533,4568,0
1884,1356,4539,0
1974,1228,4502,0
2331,1283,4473,0
2955,1621,4431,0
3670,2163,4407,0
4319,2681,4387,0
4860,3043,4374,0
5147,3311,4339,0
4909,3593,4308,0
4103,3786,4273,0
3124,3666,4243,0
2397,3152,4190,0
1984,2493,4144,0
1676,1989,4101,0
1388,1723,4078,0
1138,1511,4044,0
893,1210,4012,0
557,830,3974,0
149,477,3947,0
-276,158,3911,0
-694,-147,3881,0
-1111,-408,3843,0
-1438,-513,3815,0
-1608,-443,3779,0
-1636,-293,3749,0
-1605,-169,3712,0
-1438,0,3684,0
-954,366,3647,0
-50,990,3618,0
1028,1690,3581,0
1884,2236,3552,0
2296,2500,3516,0
2430,2566,3486,0
2531,2557,3449,0
2678,2566,3420,0
2781,2595,3385,0
2827,2639,3355,0
2852,2671,3316,0
2876,2676,3289,0
2875,2650,3265,0
2876,2639,3256,0
2901,2657,3239,0
2926,2676,3223,0
2908,2662,3200,0
2876,2639,3190,0
2869,2634,3175,0
2876,2639,3157,0
2858,2624,3121,0
2827,2603,3092,0
2813,2594,3068,0
2827,2603,3059,0
2832,2602,3041,0
2827,2603,3026,0
2817,2602,3005,0
2827,2603,2993,0
2833,2584,2974,0
2827,2566,2960,0
2797,2557,2940,0
2777,2566,2927,0
2770,2567,2907,0
2777,2566,2894,0
2775,2561,2876,0
2777,2566,2861,0
2775,2566,2839,0
2777,2566,2828,0
2771,2560,2824,0
2777,2566,2828,0
2782,2568,2816,0
2777,2566,2796,0
2747,2557,2768,0
2727,2566,2763,0
2723,2576,2763,0
2727,2566,2763,0
2705,2523,2743,0
2678,2493,2730,0
2665,2489,2724,0
2678,2493,2730,0
2669,2462,2717,0
2628,2419,2697,0
2564,2379,2671,0
2529,2346,2664,0
2521,2302,2661,0
2529,2273,2664,0
2524,2257,2650,0
2529,2236,2631,0
2547,2181,2606,0
2579,2126,2598,0
2587,2096,2597,0
2579,2090,2598,0
2567,2061,2581,0
2579,2016,2565,0
2586,1969,2556,0
2579,1943,2565,0
2561,1920,2569,0
2579,1906,2565,0
2614,1899,2546,0
2628,1906,2532,0
2596,1898,2525,0
2579,1870,2532,0
2598,1832,2534,0
2628,1833,2532,0
2611,1868,2515,0
2579,1906,2500,0
2565,1899,2490,0
2579,1870,2500,0
2580,1860,2505,0
2579,1906,2500,0
2576,1970,2476,0
2579,2016,2467,0
2569,2031,2466,0
2579,2053,2467,0
2604,2087,2447,0
2628,2126,2434,0
2623,2154,2430,0
2628,2200,2434,0
2665,2258,2418,0
2727,2309,2401,0
2763,2326,2391,0
2777,2346,2401,0
2789,2391,2403,0
2827,2456,2401,0
2860,2501,2385,0
2876,2529,2368,0
2869,2549,2344,0
2876,2566,2335,0
2898,2565,2332,0
2926,2566,2335,0
2930,2578,2319,0
2926,2603,2302,0
2920,2610,2290,0
2926,2603,2302,0
2925,2591,2315,0
2926,2603,2335,0
2922,2622,2353,0
2926,2639,2401,0
2922,2639,2470,0
2926,2639,2565,0
2925,2638,2658,0
2926,2639,2763,0
2919,2633,2869,0
2926,2639,2993,0
2931,2646,3115,0
2926,2639,3256,0
2896,2600,3407,0
2876,2566,3585,0
2870,2555,3762,0
2876,2566,3947,0
2871,2567,4122,0
2876,2566,4308,0
2881,2563,4487,0
2876,2566,4670,0
2845,2561,4835,0
2827,2566,4999,0
2825,2571,5148,0
2827,2566,5295,0
2799,2530,5415,0
2777,2493,5525,0
2773,2477,5618,0
2777,2493,5723,0
2752,2502,5812,0
2727,2493,5887,0
2718,2466,5932,0
2727,2456,5986,0
2724,2455,6036,0
2727,2456,6084,0
2731,2437,6099,0
2727,2419,6117,0
2695,2409,6141,0
2678,2419,6183,0
2693,2434,6201,0
2727,2456,6216,0
2721,2466,6222,0
2678,2456,6249,0
2617,2405,6264,0
2579,2346,6282,0
2562,2316,6288,0
2579,2346,6315,0
2603,2395,6332,0
2628,2419,6347,0
2640,2407,6339,0
2678,2419,6347,0
2757,2489,6358,0
2876,2603,6380,0
2976,2686,6377,0
3025,2713,6380,0
3010,2695,6376,0
2975,2676,6380,0
2941,2657,6361,0
2926,2639,6347,0
2920,2615,6326,0
2926,2603,6315,0
2913,2590,6280,0
2876,2566,6249,0
2828,2522,6209,0
2827,2493,6183,0
2861,2487,6136,0
2876,2493,6084,0
2816,2468,6012,0
2727,2419,5953,0
2660,2360,5884,0
2628,2309,5821,0
2585,2253,5746,0
2529,2200,5690,0
2471,2152,5626,0
2430,2126,5558,0
2381,2106,5466,0
2331,2090,5394,0
2287,2066,5326,0
2281,2053,5262,0
2297,2055,5170,0
2331,2090,5098,0
2341,2121,5041,0
2331,2126,4999,0
2299,2098,4927,0
2281,2090,4868,0
2275,2094,4824,0
2281,2090,4802,0
2281,2062,4752,0
2281,2053,4703,0
2255,2037,4659,0
2182,1943,4637,0
2044,1739,4602,0
1884,1503,4572,0
1770,1300,4534,0
1785,1136,4506,0
1991,1036,4464,0
2430,1136,4440,0
3092,1545,4420,0
3868,2163,4407,0
4522,2704,4370,0
4810,3006,4341,0
4650,3189,4319,0
4165,3446,4308,0
3516,3662,4276,0
2827,3519,4243,0
2206,2927,4205,0
1785,2236,4177,0
1536,1786,4137,0
1289,1540,4111,0
913,1232,4090,0
496,806,4078,0
136,392,4046,0
-198,73,4012,0
-610,-205,3974,0
-1041,-440,3947,0
-1378,-576,3910,0
-1587,-587,3881,0
-1742,-531,3846,0
-1835,-440,3815,0
-1778,-290,3774,0
-1438,0,3749,0
-764,479,3729,0
198,1136,3716,0
1207,1811,3683,0
1984,2309,3651,0
2381,2528,3613,0
2529,2566,3585,0
2616,2564,3547,-1
2727,2603,3519,0
2804,2639,3496,5
2827,2639,3486,16
2834,2611,3458,32
2876,2603,3420,48
2922,2619,3375,63
2926,2639,3355,81
2890,2641,3340,103
2876,2639,3322,129
2903,2642,3283,153
2926,2639,3256,177
2892,2609,3237,200
2827,2566,3223,225
2796,2543,3187,250
2827,2566,3157,274
2870,2610,3136,297
2876,2639,3124,322
2830,2617,3091,346
2777,2566,3059,370
2751,2522,3033,393
2777,2529,3026,419
2813,2557,3008,443
2827,2566,2993,467
2799,2539,2973,488
2777,2529,2960,515
2785,2558,2938,547
2827,2603,2927,580
2845,2602,2913,605
2827,2566,2894,628
2786,2540,2855,656
2777,2566,2828,692
2784,2591,2820,728
2777,2566,2828,757
2739,2504,2817,779
2727,2493,2796,805
2752,2536,2771,836
2777,2566,2763,870
2741,2530,2748,895
2678,2493,2730,918
2633,2494,2704,939
2628,2493,2697,966
2613,2426,2696,995
2579,2346,2697,1031
2539,2320,2679,1064
2529,2346,2664,1095
2529,2346,2646,1123
2529,2309,2631,1159
2518,2263,2607,1200
2529,2236,2598,1240
2553,2201,2597,1270
2579,2163,2598,1304
2579,2132,2579,1343
2579,2126,2565,1385
2578,2117,2560,1416
2579,2090,2565,1449
2568,2032,2551,1487
2579,1980,2532,1530
2605,1946,2521,1562
2628,1943,2532,1594
2623,1942,2538,1629
2628,1943,2532,1675
2653,1939,2511,1712
2678,1943,2500,1739
2660,1933,2495,1757
2628,1906,2500,1787
2599,1861,2488,1825
2579,1833,2467,1868
2546,1825,2439,1901
2529,1833,2434,1932
2527,1831,2436,1961
2529,1833,2434,1997
2515,1852,2412,2028
2529,1906,2401,2061
2577,1967,2399,2090
2628,2016,2401,2125
2620,2036,2383,2156
2579,2053,2368,2190
2554,2078,2363,2219
2579,2126,2368,2254
2610,2180,2354,2284
2628,2236,2335,2319
2637,2276,2324,2348
2678,2309,2335,2383
2734,2339,2341,2413
2777,2383,2335,2448
2778,2424,2313,2476
2777,2456,2302,2512
2793,2458,2299,2547
2827,2456,2302,2592
2848,2484,2288,2633
2876,2566,2269,2673
2905,2638,2245,2702
2926,2639,2236,2737
2921,2581,2231,2772
2926,2566,2236,2818
2934,2610,2235,2858
2926,2639,2236,2898
2885,2600,2229,2928
2876,2566,2236,2963
2905,2582,2254,2992
2926,2603,2302,3027
2895,2575,2360,3056
2876,2566,2434,3092
2898,2607,2505,3120
2926,2639,2598,3156
2903,2600,2701,3185
2876,2566,2828,3220
2875,2597,2954,3249
2876,2639,3092,3285
2825,2588,3228,3314
2777,2493,3388,3349
2780,2464,3556,3378
2827,2529,3749,3414
2840,2582,3943,3443
2827,2566,4144,3478
2815,2521,4326,3506
2827,2529,4506,3542
2814,2566,4668,3573
2777,2566,4835,3607
2733,2502,4985,3628
2727,2456,5131,3655
2749,2476,5249,3680
2777,2529,5361,3720
2766,2532,5456,3752
2727,2493,5558,3784
2683,2456,5645,3803
2678,2456,5723,3832
2699,2457,5771,3859
2727,2456,5821,3897
2731,2463,5865,3925
2727,2493,5920,3961
2723,2508,5955,3991
2727,2493,5986,4026
2709,2446,5998,4048
2678,2419,6019,4074
2653,2436,6029,4089
2678,2493,6051,4106
2718,2521,6063,4105
2727,2493,6084,4106
2677,2432,6094,4101
2628,2419,6117,4106
2614,2457,6131,4103
2628,2493,6150,4106
2627,2477,6147,4102
2628,2456,6150,4106
2643,2473,6144,4102
2678,2529,6150,4106
2714,2572,6144,4102
2777,2603,6150,4106
2857,2644,6146,4102
2926,2713,6150,4106
2938,2756,6133,4102
2926,2749,6117,4106
2918,2704,6091,4102
2926,2676,6084,4106
2909,2663,6067,4102
2876,2639,6051,4106
2854,2591,6014,4102
2876,2566,5986,4106
2896,2569,5950,4102
2876,2566,5920,4106
2814,2524,5868,4102
2777,2493,5821,4106
2776,2493,5767,4102
2777,2493,5723,4106
2732,2441,5657,4102
2678,2383,5591,4106
2645,2357,5515,4102
2628,2346,5460,4106
2570,2288,5394,4102
2479,2200,5328,4106
2400,2133,5239,4102
2380,2126,5164,4106
2385,2145,5089,4102
2380,2163,5032,4106
2347,2152,4962,4102
2331,2126,4900,4106
2329,2094,4829,4102
2331,2090,4769,4106
2302,2105,4697,4102
2281,2126,4637,4106
2290,2114,4577,4102
2331,2090,4539,4106
2362,2086,4499,4102
2380,2126,4473,4106
2359,2139,4436,4102
2281,2053,4407,4106
2154,1871,4368,4102
2033,1686,4341,4106
1914,1526,4305,4102
1785,1356,4276,4106
1755,1208,4235,4102
2033,1246,4210,4106
2646,1569,4187,4102
3372,2053,4177,4106
4004,2469,4147,4102
4513,2749,4111,4106
4823,2988,4067,4102
4711,3263,4045,4106
4093,3480,4018,4102
3273,3483,3980,4106
2610,3179,3909,4102
2182,2676,3848,4106
1840,2174,3803,4102
1537,1833,3782,4106
1274,1599,3749,4102
992,1320,3716,4106
610,912,3677,4102
198,477,3651,4106
-180,125,3615,4102
-545,-110,3585,4106
-933,-277,3548,4102
-1240,-367,3519,4106
-1402,-356,3483,4102
-1488,-257,3453,4106
-1581,-132,3417,4102
-1537,37,3388,4106
-1131,334,3350,4102
-298,843,3322,4106
713,1478,3288,4102
1587,2053,3256,4106
2126,2388,3215,4102
2380,2493,3190,4106
2503,2504,3171,4102
2628,2566,3157,4106
2737,2643,3124,4102
2777,2639,3092,4106
2758,2557,3055,4102
2777,2529,3026,4106
2842,2591,2987,4102
2876,2639,2960,4106
2841,2600,2938,4102
2827,2566,2927,4106
2879,2614,2906,4102
2926,2676,2894,4106
2889,2645,2879,4102
2827,2566,2861,4106
2814,2540,2824,4102
2827,2566,2796,4106
2803,2562,2776,4102
2777,2529,2763,4106
2794,2524,2729,4102
2827,2566,2697,4106
2808,2586,2673,4102
2777,2566,2664,4106
2783,2540,2646,4102
2827,2566,2631,4106
2839,2616,2612,4102
2827,2639,2598,4106
2815,2604,2576,4102
2827,2566,2565,4106
2829,2565,2553,4102
2827,2603,2532,4106
2821,2629,2492,4102
2827,2639,2467,4106
2825,2638,2461,4102
2827,2639,2467,4106
2810,2624,2451,4102
2777,2603,2434,4106
2733,2579,2426,4102
2727,2566,2434,4106
2753,2557,2423,4102
2777,2566,2401,4106
2758,2574,2374,4102
2727,2566,2368,4106
2699,2527,2367,4102
2678,2493,2368,4106
2644,2471,2353,4102
2628,2456,2335,4106
2628,2420,2312,4102
2628,2383,2302,4106
2598,2356,2298,4102
2579,2346,2302,4106
2591,2328,2291,4102
2628,2309,2269,4106
2638,2279,2242,4102
2628,2236,2236,4106
2618,2173,2239,4102
2628,2126,2236,4106
2630,2101,2215,4102
2628,2090,2204,4106
2634,2066,2203,4102
2678,2053,2204,4106
2720,2051,2184,4102
2727,2053,2171,4106
2693,2033,2168,4102
2678,2016,2171,4106
2698,2011,2153,4102
2727,2016,2138,4106
2713,2002,2134,4102
2678,1980,2138,4106
2645,1955,2121,4102
2628,1943,2105,4106
2598,1932,2099,4102
2579,1943,2105,4106
2587,1971,2093,4102
2628,2016,2072,4106
2648,2052,2048,4102
2628,2090,2039,4106
2585,2124,2033,4102
2579,2163,2039,4106
2616,2195,2042,4102
2678,2236,2039,4106
2712,2285,2019,4102
2727,2346,2006,4106
2738,2400,2002,4102
2777,2456,2006,4106
2825,2509,2003,4102
2876,2566,2006,4106
2906,2608,2009,4102
2926,2639,2006,4106
2926,2657,1986,4102
2926,2676,1973,4106
2920,2681,1971,4102
2926,2676,1973,4106
2940,2663,1956,4102
2975,2676,1940,4106
3006,2711,1933,4102
3025,2749,1940,4106
3021,2757,1928,4102
3025,2749,1908,4106
3028,2741,1890,4102
3025,2749,1908,4106
3012,2752,1938,4102
3025,2749,1973,4106
3041,2732,1995,4102
3025,2713,2039,4106
2961,2687,2106,4102
2926,2676,2204,4106
2944,2672,2307,4102
2975,2676,2434,4106
2957,2672,2564,4102
2926,2676,2697,4106
2917,2678,2816,4102
2926,2676,2960,4106
2902,2654,3129,4102
2876,2639,3322,4106
2882,2633,3499,4102
2926,2639,3684,4106
2944,2636,3874,4102
2926,2639,4078,4106
2888,2641,4261,4102
2876,2639,4440,4106
2875,2618,4606,4102
2876,2603,4769,4106
2868,2596,4903,4102
2876,2603,5032,4106
2884,2600,5148,4102
2876,2603,5262,4106
2842,2604,5348,4102
2827,2603,5427,4106
2829,2582,5490,4103
2827,2566,5558,4106
2791,2559,5607,4101
2777,2566,5657,4106
2798,2564,5690,4104
2827,2566,5723,4106
2808,2566,5736,4095
2777,2566,5756,4090
2766,2547,5768,4075
2777,2529,5788,4058
2760,2509,5797,4018
2727,2493,5821,3977
2693,2477,5838,3931
2678,2493,5854,3897
2665,2530,5846,3855
2678,2566,5854,3816
2719,2568,5867,3765
2777,2566,5887,3720
2795,2577,5881,3667
2777,2603,5887,3623
2765,2615,5897,3573
2827,2639,5920,3526
2935,2696,5917,3468
3025,2786,5920,3414
3042,2841,5918,3358
3025,2823,5920,3317
3000,2741,5896,3275
2975,2676,5887,3237
2936,2659,5884,3186
2926,2676,5887,3140
2950,2670,5854,3093
2975,2639,5821,3059
2941,2595,5794,3020
2876,2566,5788,2979
2830,2553,5759,2926
2827,2566,5723,2882
2816,2569,5668,2840
2777,2529,5624,2802
2716,2445,5568,2751
2678,2383,5525,2705
2653,2361,5474,2660
2628,2346,5427,2625
2580,2292,5356,2583
2529,2236,5295,2544
2477,2208,5227,2501
2430,2200,5164,2464
2385,2176,5076,2420
2380,2163,4999,2383
2403,2174,4924,2347
2430,2200,4868,2319
2411,2189,4797,2279
2380,2163,4736,2238
2363,2146,4676,2192
2380,2163,4637,2158
2389,2171,4587,2124
2380,2163,4539,2093
2366,2151,4480,2053
2380,2163,4440,2013
2386,2159,4400,1969
2331,2090,4374,1932
2194,1930,4337,1892
2033,1723,4308,1852
1884,1497,4270,1806
1785,1283,4243,1771
1852,1155,4204,1738
2231,1246,4177,1707
2891,1617,4150,1665
3620,2163,4144,1626
4278,2673,4130,1591
4860,3043,4111,1562
5214,3325,4071,1528
5008,3593,4045,1497
4165,3742,4024,1470
3124,3593,4012,1449
2375,3101,3979,1420
1984,2493,3947,1385
1692,2014,3918,1346
1388,1723,3914,1320
1104,1475,3902,1297
843,1173,3881,1272
536,829,3840,1237
198,513,3815,1208
-168,216,3795,1183
-595,-73,3782,1159
-1057,-322,3749,1125
-1388,-440,3716,1095
-1539,-409,3679,1075
-1636,-293,3651,1063
-1763,-175,3612,1041
-1686,0,3585,1014
-1127,364,3562,987
-99,990,3552,966
1008,1711,3524,942
1835,2273,3486,918
2273,2523,3441,892
2479,2566,3420,870
2610,2565,3405,845
2727,2603,3388,821
2798,2635,3349,795
2827,2639,3322,773
2841,2629,3301,749
2876,2639,3289,725
2911,2659,3255,697
2926,2676,3223,676
2922,2678,3197,660
2926,2676,3190,644
2933,2672,3175,620
2926,2676,3157,596
2899,2680,3134,576
2876,2676,3124,564
2871,2657,3110,548
2876,2639,3092,531
2875,2632,3056,513
2876,2639,3026,499
2877,2642,3000,484
2876,2639,2993,467
2851,2619,2980,449
2827,2603,2960,435
2815,2593,2923,420
2827,2603,2894,403
2829,2607,2871,383
2827,2603,2861,370
2819,2590,2844,363
2827,2603,2828,354
2830,2627,2808,337
2827,2639,2796,322
2801,2608,2777,313
2777,2566,2763,306
2764,2546,2742,291
2777,2566,2730,274
2785,2591,2713,263
2777,2603,2697,258
2745,2586,2674,246
2727,2566,2664,225
2724,2553,2660,204
2727,2566,2664,193
2706,2577,2651,188
2678,2566,2631,177
2648,2525,2606,159
2628,2493,2598,145
2599,2474,2596,137
2579,2456,2598,129
2569,2416,2584,113
2579,2383,2565,97
2580,2363,2541,87
2579,2346,2532,81
2572,2307,2529,66
2579,2273,2532,48
2581,2253,2520,37
2579,2236,2500,32
2568,2186,2473,26
2579,2126,2467,16
2602,2077,2467,5
2628,2053,2467,0
2630,2030,2448,-1
2628,2016,2434,0
2624,2001,2428,0
2628,1980,2434,0
2624,1937,2432,0
2628,1906,2434,0
2631,1896,2434,0
2628,1906,2434,0
2600,1906,2416,0
2579,1906,2401,0
2570,1904,2393,0
2579,1906,2401,0
2577,1900,2402,0
2579,1906,2401,0
2577,1921,2387,0
2579,1943,2368,0
2570,1954,2343,0
2579,1980,2335,0
2601,2026,2335,0
2628,2090,2335,0
2629,2134,2316,0
2628,2163,2302,0
2640,2188,2298,0
2678,2236,2302,0
2707,2292,2288,0
2727,2346,2269,0
2742,2383,2258,0
2777,2419,2269,0
2823,2454,2275,0
2876,2493,2269,0
2909,2526,2247,0
2926,2566,2236,0
2923,2605,2233,0
2926,2639,2236,0
2924,2646,2223,0
2926,2639,2204,0
2934,2629,2179,0
2975,2639,2171,0
3017,2657,2165,0
3025,2676,2171,0
2975,2678,2177,0
2926,2676,2204,0
2909,2671,2232,0
2926,2676,2269,0
2929,2677,2304,0
2926,2676,2368,0
2920,2659,2454,0
2926,2639,2565,0
2923,2625,2673,0
2926,2639,2796,0
2926,2653,2920,0
2926,2639,3059,0
2902,2591,3194,0
2876,2566,3355,0
2862,2578,3528,0
2876,2603,3716,0
2884,2591,3891,0
2876,2566,4078,0
2845,2554,4272,0
2827,2566,4473,0
2820,2569,4643,0
2827,2566,4802,0
2824,2561,4946,0
2827,2566,5098,0
2827,2564,5231,0
2827,2566,5361,0
2802,2564,5475,0
2777,2566,5591,0
2764,2561,5681,0
2777,2566,5756,0
2784,2569,5803,0
2777,2566,5854,0
2747,2543,5899,0
2727,2529,5953,0
2719,2526,5987,0
2727,2529,6019,0
2727,2512,6031,0
2727,2493,6051,0
2722,2482,6062,0
2727,2493,6084,0
2727,2498,6096,0
2727,2493,6117,0
2708,2470,6128,0
2678,2456,6150,0
2640,2449,6161,0
2628,2456,6183,0
2628,2457,6193,0
2628,2456,6216,0
2616,2449,6229,0
2628,2456,6249,0
2656,2471,6247,0
2678,2493,6249,0
2668,2496,6239,0
2678,2493,6249,0
2734,2504,6248,0
2827,2566,6249,0
2893,2651,6227,0
2926,2713,6216,0
2928,2709,6197,0
2926,2676,6183,0
2918,2656,6146,0
2926,2676,6117,0
2933,2691,6080,0
2926,2676,6051,0
2893,2632,6000,0
2876,2603,5953,0
2878,2586,5898,0
2876,2566,5854,0
2832,2524,5788,0
2777,2493,5723,0
2740,2476,5648,0
2727,2456,5591,0
2691,2401,5524,0
2628,2346,5460,0
2560,2316,5374,0
2529,2309,5295,0
2512,2283,5215,0
2479,2236,5164,0
2419,2186,5103,0
2380,2163,5032,0
2373,2156,4936,0
2380,2163,4868,0
2356,2164,4814,0
2331,2163,4769,0
2317,2145,4696,0
2331,2126,4637,0
2331,2112,4594,0
2331,2126,4572,0
2329,2136,4522,0
2331,2126,4473,0
2324,2107,4428,0
2331,2126,4407,0
2330,2146,4374,0
2281,2090,4341,0
2164,1925,4301,0
2033,1723,4276,0
1914,1523,4239,0
1835,1320,4210,0
1917,1169,4172,0
2331,1246,4144,0
3032,1650,4107,0
3769,2236,4078,0
4386,2734,4042,0
4909,3043,4012,0
5213,3279,3974,0
4959,3556,3947,0
4072,3748,3912,0
3025,3629,3881,0
2322,3133,3840,0
1984,2493,3815,0
1693,1973,3795,0
1339,1650,3782,0
1012,1382,3750,0
744,1063,3716,0
416,690,3678,0
0,330,3651,0
-442,-3,3615,0
-843,-293,3585,0
-1216,-519,3548,0
-1537,-623,3519,0
-1759,-589,3482,0
-1835,-440,3453,0
-1777,-255,3418,0
-1537,-37,3388,0
-1020,315,3348,0
-149,916,3322,0
896,1647,3300,0
1785,2236,3289,0
2281,2503,3260,0
2479,2566,3223,0
2593,2606,3179,0
2727,2676,3157,0
2828,2700,3141,0
2876,2676,3124,0
2897,2658,3088,0
2926,2676,3059,0
2949,2695,3036,0
2975,2713,3026,0
3007,2746,3006,0
3025,2786,2993,0
2995,2769,2977,0
2926,2676,2960,0
2857,2576,2924,0
2827,2566,2894,0
2839,2631,2871,0
2876,2676,2861,0
2910,2654,2842,0
2926,2639,2828,0
2909,2665,2812,0
2876,2676,2796,0
2839,2616,2760,0
2827,2566,2730,0
2826,2588,2706,0
2827,2639,2697,0
2803,2622,2680,0
2777,2566,2664,0
2748,2542,2644,0
2727,2566,2631,0
2711,2574,2612,0
2727,2566,2598,0
2758,2571,2580,0
2777,2603,2565,0
2753,2606,2543,0
2727,2566,2532,0
2733,2518,2527,0
2777,2529,2532,0
2800,2579,2530,0
2777,2603,2532,0
2705,2557,2539,0
2628,2493,2565,0
2562,2446,2588,0
2529,2419,2598,0
2519,2390,2581,0
2529,2383,2565,0
2519,2382,2557,0
2479,2346,2565,0
2426,2266,2567,0
2430,2236,2565,0
2511,2300,2550,0
2628,2383,2532,0
2675,2355,2508,-1
2628,2236,2500,0
2546,2146,2498,1
2529,2163,2500,0
2565,2203,2483,-2
2579,2163,2467,0
2524,2037,2457,8
2479,1943,2467,16
2503,1939,2470,18
2579,1980,2467,16
2623,1967,2448,20
2628,1906,2434,32
2606,1849,2425,44
2579,1833,2434,48
2541,1819,2438,46
2529,1796,2434,48
2534,1778,2412,56
2529,1796,2401,64
2491,1813,2398,70
2479,1796,2401,81
2505,1754,2386,97
2529,1760,2368,113
2501,1824,2357,120
2479,1906,2368,129
2511,1949,2374,145
2579,1980,2368,161
2601,2018,2346,169
2579,2053,2335,177
2542,2041,2333,191
2529,2016,2335,209
2536,2035,2320,225
2579,2126,2302,242
2634,2232,2291,260
2678,2309,2302,274
2693,2347,2308,279
2727,2383,2302,290
2784,2421,2279,312
2827,2456,2269,338
2810,2464,2267,355
2777,2456,2269,370
2763,2435,2253,391
2777,2419,2236,419
2791,2427,2217,443
2827,2493,2204,467
2881,2584,2181,496
2926,2639,2171,531
2914,2615,2166,565
2876,2566,2171,596
2843,2537,2164,626
2827,2529,2171,660
2796,2505,2191,693
2777,2493,2236,725
2784,2513,2281,754
2827,2566,2335,789
2876,2620,2390,828
2926,2676,2467,870
2932,2694,2551,904
2876,2639,2664,934
2792,2533,2787,961
2777,2493,2927,998
2819,2534,3065,1038
2827,2566,3223,1079
2759,2521,3393,1115
2727,2493,3585,1159
2778,2529,3766,1208
2827,2566,3947,1256
2781,2537,4120,1294
2727,2529,4308,1336
2754,2590,4481,1384
2827,2639,4637,1433
2831,2579,4764,1472
2777,2493,4900,1514
2718,2473,5036,1560
2678,2493,5164,1610
2631,2459,5250,1650
2628,2419,5328,1691
2692,2461,5405,1735
2777,2566,5492,1787
2781,2587,5551,1833
2727,2493,5591,1884
2705,2401,5615,1937
2777,2456,5657,1997
2866,2602,5691,2049
2876,2676,5723,2109
2764,2576,5733,2172
2628,2419,5756,2238
2583,2366,5771,2293
2678,2456,5788,2351
2799,2555,5782,2411
2827,2566,5788,2480
2732,2498,5797,2541
2628,2456,5821,2609
2593,2472,5822,2672
2628,2529,5821,2737
2673,2583,5812,2790
2727,2639,5821,2850
2785,2688,5819,2911
2827,2713,5821,2979
2810,2693,5812,3034
2777,2676,5821,3092
2788,2703,5821,3148
2876,2786,5821,3220
2975,2863,5799,3290
3025,2896,5788,3365
3007,2861,5771,3434
2975,2786,5756,3510
2947,2704,5716,3580
2926,2676,5690,3655
