III,V,PLETH
6862,6778,5366
6888,6853,5349
6836,6879,5325
6749,6910,5299
6684,6972,5243
6679,7080,5199
6647,7146,5164
6609,7193,5149
6585,7233,5118
6609,7306,5099
6594,7363,5075
6540,7419,5049
6467,7466,4993
6470,7533,4949
6508,7571,4916
6540,7589,4899
6518,7579,4852
6540,7589,4799
6620,7595,4754
6749,7589,4749
6842,7534,4749
6957,7476,4749
7091,7415,4723
7236,7363,4699
7311,7262,4667
7375,7136,4649
7435,6986,4621
7514,6853,4599
7582,6709,4568
7723,6570,4549
7905,6416,4522
8071,6287,4499
8137,6162,4466
8210,6060,4449
8313,5943,4426
8418,5834,4399
8444,5709,4346
8488,5607,4299
8562,5508,4262
8627,5437,4249
8606,5351,4226
8627,5267,4199
8722,5179,4163
8836,5154,4149
8840,5154,4144
8836,5154,4149
8863,5091,4129
8905,5041,4099
8856,5016,4060
8836,5041,4049
8885,5038,4048
8975,5041,4049
8952,5026,4023
8905,5041,3999
8925,5082,3984
9114,5211,3999
9425,5335,4006
9879,5381,3999
10311,5381,3968
10575,5550,3949
10604,5955,3940
10645,6457,3949
10797,6910,3947
11062,7419,3949
11397,8112,3945
11967,8949,3949
12702,9716,3945
13289,10308,3949
13422,10688,3946
13289,10874,3949
13206,10885,3942
13289,10874,3949
13334,10927,3951
13289,10874,3949
13236,10200,3920
13289,8552,3899
13330,6139,3886
13289,3738,3899
13212,2014,3900
13289,1133,3899
13427,842,3888
13289,963,3899
12465,1397,3914
10993,2039,3949
9241,2666,3984
7723,3172,4049
6678,3512,4131
6122,3738,4249
5795,3858,4366
5496,3965,4499
5155,4065,4632
4940,4191,4799
4851,4330,4970
4801,4531,5149
4708,4678,5311
4731,4644,5499
4861,4386,5693
4940,4135,5899
4809,4056,6086
4661,4135,6299
4628,4196,6521
4661,4191,6749
4593,4170,6928
4522,4191,7099
4516,4220,7264
4522,4248,7449
4415,4268,7604
4314,4304,7749
4324,4332,7869
4383,4361,7999
4322,4366,8102
4174,4361,8199
4042,4344,8267
3966,4361,8349
3885,4391,8419
3827,4418,8499
3794,4410,8549
3757,4418,8599
3651,4442,8621
3548,4474,8649
3495,4472,8661
3479,4474,8699
3395,4492,8723
3270,4531,8749
3178,4537,8739
3200,4531,8749
3258,4518,8762
3270,4531,8799
3191,4548,8800
3131,4588,8799
3150,4619,8783
3270,4644,8799
3407,4652,8799
3548,4701,8799
3655,4781,8764
3757,4871,8749
3876,4922,8736
4105,4984,8749
4394,5062,8730
4661,5154,8699
4847,5210,8636
5079,5267,8599
5403,5323,8564
5775,5381,8549
6088,5403,8502
6401,5437,8449
6725,5488,8367
7027,5550,8299
7235,5562,8217
7444,5550,8149
7690,5536,8065
7931,5550,7999
8074,5552,7919
8210,5550,7849
8402,5539,7747
8627,5550,7649
8743,5552,7536
8766,5550,7449
8768,5533,7349
8836,5550,7249
8912,5580,7117
8975,5607,6999
8981,5583,6884
8975,5550,6799
8955,5528,6697
8975,5550,6599
9005,5576,6486
9045,5607,6399
9024,5609,6314
8975,5607,6249
8907,5591,6167
8905,5607,6099
8935,5632,6032
8975,5664,5999
8948,5660,5955
8905,5664,5899
8852,5677,5810
8836,5720,5749
8818,5750,5711
8836,5777,5699
8838,5777,5654
8836,5777,5599
8806,5765,5533
8836,5777,5499
8881,5781,5467
8905,5777,5449
8850,5739,5418
8836,5720,5399
8887,5714,5368
8975,5720,5349
8983,5692,5319
8975,5664,5299
8984,5647,5268
9045,5664,5249
9076,5651,5219
9114,5607,5199
9124,5548,5167
9114,5550,5149
9053,5584,5120
9045,5607,5099
9077,5573,5066
9114,5550,5049
9070,5547,5022
9045,5550,4999
9065,5511,4961
9114,5494,4949
9064,5512,4943
8975,5550,4949
8919,5531,4938
8975,5494,4949
9032,5472,4968
9045,5494,4999
8988,5498,5011
8975,5494,5049
8999,5481,5110
9045,5494,5199
9018,5494,5270
8975,5494,5349
8941,5482,5422
8975,5494,5499
9010,5498,5545
9045,5494,5599
9021,5457,5660
8975,5437,5749
8906,5428,5823
8905,5437,5899
8937,5429,5967
8975,5437,6049
8961,5440,6107
8975,5437,6149
8988,5415,6166
8975,5437,6199
8903,5478,6226
8905,5494,6249
8958,5449,6244
8975,5437,6249
8877,5468,6251
8836,5494,6249
8897,5450,6204
8975,5437,6149
8933,5489,6089
8905,5550,6049
8943,5510,5996
8975,5437,5949
8867,5405,5894
8766,5437,5849
8768,5460,5780
8836,5494,5699
8807,5529,5593
8766,5550,5499
8778,5513,5410
8836,5494,5349
8807,5515,5276
8766,5550,5199
8772,5524,5108
8836,5494,5049
8823,5483,4999
8766,5494,4949
8720,5478,4865
8766,5494,4799
8815,5530,4758
8836,5550,4749
8792,5507,4723
8766,5494,4699
8750,5525,4668
8766,5550,4649
8759,5490,4615
8766,5437,4599
8759,5445,4591
8766,5494,4599
8751,5493,4592
8766,5494,4599
8772,5518,4602
8766,5550,4599
8711,5520,4566
8697,5494,4549
8717,5507,4545
8766,5550,4549
8764,5535,4522
8766,5494,4499
8764,5469,4488
8766,5494,4499
8716,5502,4496
8697,5494,4499
8713,5476,4499
8766,5494,4499
8770,5503,4470
8766,5494,4449
8735,5450,4440
8697,5437,4449
8628,5454,4430
8627,5494,4399
8665,5499,4361
8697,5494,4349
8648,5482,4343
8627,5494,4349
8653,5491,4345
8697,5494,4349
8658,5489,4344
8627,5494,4349
8642,5469,4345
8697,5437,4349
8672,5409,4344
8627,5437,4349
8617,5492,4346
8697,5550,4349
8755,5541,4343
8766,5494,4349
8697,5453,4348
8627,5494,4349
8563,5548,4340
8558,5550,4349
8555,5475,4354
8558,5437,4349
8534,5458,4316
8558,5494,4299
8595,5463,4295
8627,5437,4299
8571,5467,4273
8488,5550,4249
8413,5591,4236
8418,5607,4249
8445,5635,4250
8488,5720,4249
8508,5808,4242
8558,5890,4249
8576,5961,4247
8558,6060,4249
8494,6139,4244
8488,6173,4249
8480,6133,4245
8418,6060,4249
8307,5923,4245
8349,5720,4249
8538,5474,4244
8697,5324,4249
8649,5276,4247
8558,5267,4249
8562,5196,4241
8627,5154,4249
8575,5191,4253
8488,5267,4249
8429,5298,4219
8418,5324,4199
8378,5368,4190
8418,5381,4199
8488,5348,4195
8488,5381,4199
8365,5465,4200
8349,5494,4199
8389,5457,4171
8210,5607,4149
7648,6056,4138
7027,6740,4149
6500,7594,4149
5914,8665,4149
5287,9546,4143
5357,9402,4149
6729,7704,4147
9114,5041,4149
11444,2547,4144
12941,850,4149
13425,-393,4146
13289,-1586,4149
13095,-2451,4145
13289,-2209,4149
13582,-697,4145
13289,1359,4149
12121,3008,4145
10714,4021,4149
9725,4687,4145
9184,5267,4149
8671,5692,4145
8140,5947,4149
7776,6096,4145
7653,6230,4149
7563,6301,4145
7444,6343,4149
7339,6365,4145
7305,6400,4149
7267,6396,4145
7236,6400,4149
7210,6420,4145
7236,6457,4149
7237,6465,4145
7236,6457,4149
7195,6446,4145
7166,6457,4149
7115,6477,4145
7097,6513,4149
7078,6539,4145
7097,6570,4149
7098,6572,4145
7097,6570,4149
7075,6553,4145
7097,6570,4149
7111,6592,4145
7097,6627,4149
7035,6641,4145
7027,6683,4149
7044,6717,4145
7027,6740,4149
6930,6722,4145
6888,6740,4149
6922,6788,4145
6957,6853,4149
6884,6874,4145
6818,6910,4149
6831,6960,4145
6888,7023,4149
6840,7043,4145
6749,7080,4149
6721,7149,4146
6818,7250,4149
6896,7294,4144
6888,7306,4149
6793,7309,4146
6749,7363,4149
6781,7421,4143
6888,7476,4149
6969,7485,4148
7027,7476,4149
7048,7440,4138
7097,7419,4149
7151,7390,4170
7236,7363,4199
7304,7306,4202
7375,7250,4199
7425,7167,4192
7514,7080,4199
7614,6978,4197
7723,6910,4199
7786,6836,4194
7862,6740,4199
7948,6589,4195
8071,6457,4199
8193,6340,4196
8349,6230,4199
8458,6075,4193
8488,5947,4199
8445,5867,4200
8488,5834,4199
8605,5760,4172
8697,5664,4149
8656,5559,4135
8627,5494,4149
8679,5430,4155
8766,5381,4149
8745,5317,4119
8697,5267,4099
8698,5218,4089
8766,5211,4099
8779,5212,4099
8766,5211,4099
8750,5173,4091
8766,5154,4099
8756,5148,4102
8766,5154,4099
8770,5121,4071
8766,5097,4049
8710,5101,4037
8697,5154,4049
8723,5192,4052
8766,5211,4049
8732,5199,4037
8697,5211,4049
8700,5231,4071
8766,5267,4099
8766,5274,4102
8697,5267,4099
8607,5232,4091
8627,5211,4099
8685,5210,4099
8697,5267,4099
8605,5333,4090
8558,5381,4099
8581,5376,4100
8627,5381,4099
8586,5401,4084
8558,5437,4099
8580,5439,4124
8627,5437,4149
8573,5430,4139
8488,5437,4149
8424,5428,4184
8418,5437,4249
8399,5442,4293
8418,5437,4349
8455,5396,4424
8488,5381,4549
8443,5397,4684
8418,5437,4849
8436,5440,5016
8488,5437,5199
8484,5433,5363
8488,5437,5549
8492,5407,5752
8488,5381,5999
8425,5366,6243
8418,5381,6499
8478,5380,6740
8558,5381,6999
8535,5357,7244
8488,5324,7499
8463,5273,7726
8488,5267,7949
8479,5293,8144
8488,5324,8349
8514,5299,8529
8558,5267,8699
8530,5250,8824
8488,5267,8949
8460,5266,9064
8488,5267,9199
8493,5261,9305
8488,5267,9399
8465,5258,9448
8488,5267,9499
8518,5286,9535
8558,5324,9599
8539,5346,9648
8488,5381,9699
8395,5409,9716
8349,5437,9749
8349,5446,9769
8418,5494,9799
8468,5587,9794
8488,5720,9799
8448,5821,9790
8418,5890,9799
8379,5924,9772
8349,5947,9749
8288,5904,9709
8279,5777,9699
8341,5555,9671
8488,5324,9649
8597,5134,9592
8627,5041,9549
8575,4992,9489
8558,4984,9449
8586,4971,9389
8627,4984,9349
8553,5009,9293
8418,5041,9249
8284,5047,9170
8279,5041,9099
8341,5033,9011
8418,5041,8949
8395,5075,8869
8349,5154,8799
8336,5209,8696
8418,5211,8599
8402,5209,8485
8140,5381,8399
7614,5783,8298
7027,6457,8199
6383,7436,8064
5635,8665,7949
4967,9564,7836
5079,9289,7749
6489,7442,7640
8975,4701,7549
11510,2193,7458
13149,510,7399
13572,-736,7322
13289,-1982,7249
13052,-2900,7158
13289,-2605,7099
13595,-933,7040
13289,1246,6999
12133,2875,6939
10714,3795,6899
9627,4426,6847
8975,5041,6799
8456,5488,6717
8001,5720,6649
7676,5852,6585
7514,6004,6549
7388,6092,6496
7305,6117,6449
7264,6114,6389
7236,6173,6349
7147,6239,6294
7097,6287,6249
7113,6287,6189
7166,6287,6149
7132,6304,6109
7097,6343,6099
7082,6358,6077
7097,6343,6049
7071,6323,5990
7097,6343,5949
7128,6372,5915
7097,6400,5899
6953,6394,5866
6888,6400,5849
6951,6413,5825
7027,6457,5799
6962,6483,5740
6888,6513,5699
6900,6530,5668
6957,6570,5649
6925,6597,5596
6888,6627,5549
6890,6639,5511
6888,6683,5499
6796,6733,5470
6749,6796,5449
6787,6841,5421
6818,6910,5399
6711,6971,5347
6609,7023,5299
6616,7036,5259
6679,7080,5249
6628,7152,5226
6540,7250,5199
6524,7307,5160
6609,7363,5149
6641,7416,5145
6609,7476,5149
6566,7486,5124
6609,7476,5099
6679,7460,5066
6749,7476,5049
6793,7464,5020
6888,7419,4999
6996,7344,4968
7097,7306,4949
7146,7268,4919
7236,7193,4899
7365,7044,4870
7514,6910,4849
7609,6797,4818
7723,6683,4799
7859,6508,4772
8001,6343,4749
8069,6216,4713
8140,6117,4699
8233,5973,4694
8349,5834,4699
8413,5727,4676
8488,5664,4649
8565,5560,4614
8627,5437,4599
8615,5322,4587
8627,5267,4599
8686,5214,4604
8766,5154,4599
8769,5075,4565
8766,5041,4549
8784,5033,4545
8836,5041,4549
8835,5009,4522
8836,4984,4499
8832,4968,4487
8836,4984,4499
8784,4964,4497
8766,4927,4499
8782,4873,4495
8836,4871,4499
8835,4887,4491
8836,4927,4499
8807,4928,4503
8766,4927,4499
8697,4940,4465
8766,5041,4449
9004,5166,4447
9392,5267,4449
9793,5302,4419
10227,5381,4399
10607,5585,4395
10853,5947,4399
10870,6415,4371
10853,6966,4349
10970,7552,4341
11340,8156,4349
11861,8804,4325
12454,9572,4299
12961,10343,4284
13289,10874,4299
13356,10995,4300
13289,10874,4299
13231,10784,4290
13289,10874,4299
13334,11007,4297
13289,10874,4299
13215,10012,4290
13289,8156,4299
13376,5558,4311
13289,3058,4349
13127,1423,4388
13289,850,4449
13594,946,4509
13289,1303,4599
11881,1720,4690
9949,2209,4799
8335,2715,4905
7305,3172,5049
6531,3470,5211
5914,3625,5399
5510,3671,5568
5288,3738,5749
5015,3864,5931
4731,4078,6149
4564,4267,6367
4592,4361,6599
4684,4302,6803
4801,4191,6999
4851,4097,7166
4801,4078,7349
4633,4077,7524
4522,4078,7699
4505,4071,7828
4522,4078,7949
4450,4081,8061
4383,4078,8199
4368,4064,8310
4383,4078,8399
4305,4106,8443
4174,4135,8499
4070,4131,8560
4035,4135,8649
3986,4153,8707
3896,4191,8749
3796,4200,8761
3757,4191,8799
3740,4173,8825
3687,4191,8849
3552,4218,8836
3409,4248,8849
3308,4248,8868
3270,4248,8899
3236,4241,8876
3200,4248,8849
3138,4244,8824
3061,4248,8849
2967,4242,8856
2922,4248,8849
2915,4259,8806
2922,4304,8799
2902,4344,8797
2922,4361,8799
2981,4342,8748
3061,4361,8699
3129,4430,8654
3270,4531,8649
3458,4594,8625
3618,4644,8599
3692,4690,8543
3827,4758,8499
4076,4825,8439
4383,4927,8399
4642,5044,8344
4940,5154,8299
5296,5213,8222
5635,5267,8149
5865,5323,8062
6122,5381,7999
6486,5403,7907
6888,5437,7799
7165,5489,7657
7375,5550,7549
7601,5561,7448
7862,5550,7349
8053,5537,7210
8210,5550,7099
8372,5550,7012
8558,5550,6949
8681,5542,6847
8766,5550,6749
8848,5547,6660
8975,5550,6599
9070,5544,6503
9114,5550,6399
9100,5546,6298
9114,5550,6249
9144,5544,6201
9184,5550,6149
9176,5545,6064
9184,5550,5999
9207,5544,5940
9253,5550,5899
9234,5546,5840
9184,5550,5799
9120,5543,5752
9114,5550,5699
9114,5548,5601
9114,5550,5499
9049,5537,5391
8975,5550,5299
8923,5572,5203
8975,5607,5149
9037,5611,5119
9045,5607,5099
8971,5577,5042
8975,5550,4999
9051,5524,4984
9114,5550,4999
9044,5605,4982
8975,5664,4949
8978,5670,4910
9045,5664,4899
9047,5656,4877
9045,5664,4849
9063,5640,4809
9114,5607,4799
9108,5566,4797
9114,5550,4799
9141,5538,4772
9184,5550,4749
9149,5554,4720
9114,5550,4699
9117,5515,4664
9184,5494,4649
9200,5483,4643
9184,5494,4649
9153,5488,4624
9184,5494,4599
9199,5493,4580
9184,5494,4599
9119,5462,4619
9114,5437,4649
9147,5422,4666
9184,5437,4699
9142,5437,4735
9114,5437,4799
9125,5427,4866
9184,5437,4949
9192,5438,5018
9184,5437,5099
9145,5407,5183
9114,5381,5299
9075,5359,5406
9114,5381,5499
9172,5410,5562
9184,5437,5649
9090,5415,5748
9045,5381,5849
9073,5353,5903
9114,5381,5949
9042,5417,5993
8975,5437,6049
8980,5405,6076
9045,5381,6099
9026,5369,6116
8975,5381,6149
8943,5374,6156
8975,5381,6149
8976,5382,6118
8975,5381,6099
8963,5360,6072
8975,5381,6049
8961,5419,6001
8975,5437,5949
8981,5395,5888
8975,5381,5849
8918,5406,5803
8905,5437,5749
8911,5404,5666
8905,5381,5599
8838,5399,5541
8836,5437,5499
8901,5413,5428
8975,5381,5349
8941,5385,5261
8905,5437,5199
8920,5451,5140
8975,5437,5099
8929,5418,5047
8836,5437,4999
8777,5445,4939
8836,5437,4899
8896,5400,4852
8905,5381,4799
8848,5369,4717
8836,5381,4649
8840,5379,4590
8836,5381,4549
8775,5369,4492
8766,5381,4449
8799,5399,4415
8836,5437,4399
8790,5448,4368
8766,5437,4349
8789,5395,4338
8836,5381,4349
8803,5394,4348
8766,5437,4349
8753,5448,4342
8766,5437,4349
8723,5399,4346
8697,5381,4349
8691,5367,4343
8697,5381,4349
8642,5398,4346
8627,5437,4349
8676,5468,4343
8766,5494,4349
8779,5474,4346
8766,5437,4349
8752,5403,4342
8766,5437,4349
8734,5501,4350
8697,5550,4349
8651,5528,4322
8627,5494,4299
8576,5475,4285
8558,5494,4299
8570,5495,4304
8627,5494,4299
8639,5483,4269
8627,5494,4249
8600,5491,4238
8627,5494,4249
8642,5485,4250
8627,5494,4249
8564,5490,4240
8558,5494,4249
8589,5486,4253
8627,5494,4249
8588,5490,4219
8558,5494,4199
8568,5485,4189
8627,5494,4199
8617,5507,4198
8558,5550,4199
8482,5597,4194
8488,5664,4199
8520,5718,4195
8558,5777,4199
8548,5821,4196
8558,5890,4199
8560,5985,4192
8558,6117,4199
8489,6210,4201
8418,6230,4199
8354,6157,4170
8349,6060,4149
8379,5935,4138
8488,5777,4149
8611,5560,4148
8697,5381,4149
8673,5277,4143
8627,5267,4149
8605,5261,4146
8627,5267,4149
8598,5283,4145
8558,5324,4149
8499,5355,4145
8488,5381,4149
8492,5388,4146
8558,5381,4149
8585,5380,4144
8558,5437,4149
8480,5509,4147
8488,5550,4149
8460,5570,4142
8210,5720,4149
7651,6074,4151
7027,6683,4149
6424,7558,4121
5775,8665,4099
5139,9569,4086
5148,9572,4099
6389,8186,4102
8766,5777,4099
11303,3291,4086
13010,1473,4099
13509,194,4122
13289,-963,4149
13080,-1882,4150
13289,-1812,4149
13551,-489,4143
13289,1416,4149
12300,2950,4146
11062,3908,4149
10036,4596,4146
9323,5211,4149
8715,5618,4143
8210,5834,4149
7874,5991,4150
7723,6173,4149
7610,6268,4122
7514,6287,4099
7431,6286,4086
7375,6343,4099
7289,6384,4104
7236,6400,4099
7215,6389,4071
7236,6400,4049
7221,6426,4036
7236,6457,4049
7246,6462,4055
7236,6457,4049
7145,6448,4017
7097,6457,3999
7110,6451,3992
7166,6457,3999
7144,6467,3995
7097,6513,3999
7066,6547,4000
7097,6570,3999
7106,6560,3972
7097,6570,3949
7053,6587,3937
7027,6627,3949
7005,6648,3951
7027,6683,3949
7040,6706,3939
7027,6740,3949
6949,6755,3953
6888,6796,3949
6862,6845,3919
6888,6910,3899
6890,6938,3889
6888,6966,3899
6873,7001,3899
6888,7080,3899
6887,7145,3893
6888,7193,3899
6872,7207,3897
6888,7250,3899
6890,7303,3894
6888,7363,3899
6861,7386,3897
6888,7419,3899
6947,7449,3893
7027,7476,3899
7059,7451,3901
7097,7419,3899
7144,7384,3872
7236,7363,3849
7323,7310,3835
7444,7250,3849
7577,7167,3856
7723,7080,3849
7806,6960,3818
7862,6853,3799
7905,6757,3790
8001,6683,3799
8104,6576,3798
8210,6457,3799
8273,6326,3794
8349,6230,3799
8435,6123,3796
8558,6004,3799
8624,5864,3795
8627,5777,3799
8587,5718,3796
8627,5664,3799
8710,5566,3795
8766,5494,3799
8721,5453,3796
8697,5437,3799
8742,5380,3795
8836,5324,3799
8835,5281,3795
8766,5267,3799
8689,5232,3795
8697,5211,3799
8727,5201,3795
8766,5211,3799
8765,5184,3795
8766,5154,3799
8752,5132,3795
8766,5154,3799
8765,5179,3795
8766,5211,3799
8746,5213,3795
8766,5211,3799
8777,5195,3796
8766,5211,3799
8705,5236,3795
8697,5267,3799
8727,5265,3796
8766,5267,3799
8729,5279,3794
8697,5324,3799
8684,5357,3797
8697,5381,3799
8657,5376,3792
8627,5381,3799
8613,5375,3800
8627,5381,3799
8590,5390,3786
8558,5437,3799
8539,5479,3823
8558,5494,3849
8529,5455,3844
8488,5437,3849
8452,5453,3864
8488,5494,3899
8529,5498,3916
8558,5494,3949
8522,5488,4002
8488,5494,4099
8463,5468,4194
8488,5437,4299
8493,5399,4405
8488,5381,4549
8461,5361,4695
8488,5381,4849
8527,5412,4999
8558,5437,5199
8518,5410,5421
8488,5381,5649
8491,5365,5841
8558,5381,6049
8582,5379,6268
8558,5381,6499
8490,5374,6694
8488,5381,6899
8518,5373,7102
8558,5381,7299
8547,5381,7446
8558,5381,7599
8566,5347,7753
8558,5324,7899
8473,5311,7978
8418,5324,8049
8443,5321,8133
8558,5324,8249
8624,5319,8328
8627,5324,8399
8576,5314,8462
8558,5324,8549
8528,5343,8606
8488,5381,8649
8419,5402,8664
8418,5437,8699
8472,5478,8721
8558,5550,8749
8575,5643,8746
8558,5777,8749
8513,5890,8738
8488,5947,8749
8420,5938,8745
8349,5947,8749
8295,5940,8722
8349,5834,8699
8473,5562,8660
8627,5267,8649
8681,5078,8624
8627,5041,8599
8514,5019,8540
8488,4984,8499
8528,4963,8447
8558,5041,8399
8482,5139,8314
8418,5154,8249
8376,5075,8189
8349,5041,8149
8293,5098,8073
8349,5154,7999
8454,5157,7913
8488,5211,7849
8381,5305,7766
8349,5324,7699
8335,5268,7620
8071,5437,7549
7412,5986,7445
6679,6853,7349
6006,7938,7254
5288,9175,7199
4710,9958,7142
5148,9345,7099
7067,7043,7026
9810,4078,6949
12091,1738,6856
13289,340,6799
13521,-804,6746
13289,-2039,6699
13082,-2789,6616
13289,-2209,6549
13606,-377,6489
13289,1756,6449
12001,3276,6374
10436,4135,6299
9361,4722,6227
8836,5267,6199
8390,5642,6171
7931,5834,6149
7624,5941,6098
7514,6060,6049
7391,6125,5987
7236,6173,5949
7142,6222,5914
7166,6287,5899
7183,6290,5869
7166,6287,5849
7113,6307,5817
7097,6343,5799
7057,6346,5768
7027,6343,5749
6996,6346,5718
7027,6343,5699
7042,6321,5668
7027,6343,5649
6959,6401,5619
6957,6457,5599
7002,6449,5567
7027,6457,5549
6952,6502,5520
6888,6570,5499
6875,6575,5465
6888,6570,5449
6840,6579,5425
6818,6627,5399
6848,6649,5344
6888,6683,5299
6828,6728,5262
6749,6796,5249
6717,6825,5222
6749,6853,5199
6731,6889,5167
6679,6966,5149
6619,7027,5120
6609,7080,5099
6601,7117,5069
6609,7193,5049
6605,7277,5018
6609,7363,4999
6575,7399,4971
6540,7419,4949
6510,7429,4916
6540,7476,4899
6576,7529,4874
6609,7589,4849
6617,7605,4809
6679,7589,4799
6776,7529,4799
6888,7476,4799
6949,7416,4767
7027,7363,4749
7121,7279,4744
7236,7193,4749
7321,7083,4721
7444,6966,4699
7587,6817,4690
7723,6683,4699
7785,6559,4677
7862,6457,4649
7962,6321,4630
8071,6173,4649
8124,6013,4658
8210,5890,4649
8322,5772,4614
8418,5664,4599
8434,5536,4595
8488,5437,4599
8598,5362,4576
8697,5324,4549
8667,5269,4516
8627,5211,4499
8662,5138,4472
8766,5097,4449
8792,5062,4418
8766,5041,4399
8738,5002,4369
8766,4984,4349
8771,4973,4335
8766,4984,4349
8748,4980,4356
8766,4984,4349
8765,4978,4315
8766,4984,4299
8750,4976,4295
8766,4984,4299
8767,4983,4287
8766,4984,4299
8743,4969,4326
8766,4984,4349
8802,5010,4326
8836,5041,4299
8801,5037,4286
8766,5041,4299
8744,5041,4298
8766,5041,4299
8764,5019,4297
8766,5041,4299
8756,5096,4273
8766,5154,4249
8736,5155,4236
8697,5154,4249
8639,5173,4250
8627,5211,4249
8620,5209,4239
8627,5211,4249
8593,5228,4249
8558,5267,4249
8505,5271,4236
8488,5267,4249
8473,5258,4270
8488,5267,4299
8485,5276,4298
8488,5324,4299
8451,5372,4305
8418,5381,4349
8386,5315,4407
8418,5267,4499
8457,5276,4592
8488,5324,4699
8472,5314,4801
8488,5267,4949
8498,5233,5144
8488,5267,5399
8443,5309,5640
8488,5324,5849
8580,5289,5999
8627,5267,6149
8562,5258,6303
8558,5267,6499
8642,5259,6708
8697,5267,6949
8567,5270,7167
8418,5267,7349
8394,5228,7456
8488,5211,7549
8514,5224,7637
8488,5267,7749
8461,5275,7842
8488,5267,7949
8504,5254,8046
8558,5267,8149
8611,5268,8219
8627,5267,8299
8543,5254,8370
8488,5267,8449
8503,5287,8493
8558,5324,8549
8529,5348,8595
8488,5381,8649
8487,5416,8667
8558,5494,8699
8600,5595,8722
8627,5720,8749
8607,5818,8738
8558,5890,8749
8440,5921,8766
8349,5947,8799
8308,5926,8779
8349,5834,8749
8400,5627,8708
8488,5381,8699
8569,5157,8671
8627,5041,8649
8600,5006,8611
8558,5041,8599
8533,5053,8569
8558,5041,8549
8538,5014,8511
8488,5041,8499
8391,5105,8473
8349,5154,8449
8367,5136,8389
8488,5097,8349
8569,5114,8312
8558,5211,8299
8451,5279,8253
8418,5267,8199
8391,5239,8117
8210,5381,8049
7749,5741,7965
7166,6343,7899
6509,7223,7818
5775,8382,7749
