II,aVF,ABP,RESP
1996,2923,3367,2627
1999,2905,3363,2601
2197,3001,3332,2569
2443,3163,3320,2551
2548,3262,3328,2533
2591,3292,3363,2518
2681,3312,3382,2491
2739,3356,3407,2468
2664,3370,3436,2446
2591,3356,3494,2435
2665,3375,3562,2419
2813,3485,3669,2402
2876,3619,3804,2374
2887,3679,3975,2352
2926,3646,4142,2331
2961,3615,4324,2319
2923,3623,4508,2302
2887,3615,4717,2286
2925,3528,4927,2265
2961,3421,5154,2253
2864,3349,5373,2241
2665,3292,5591,2236
2486,3181,5784,2221
2369,3034,5984,2203
2238,2876,6179,2180
2073,2711,6377,2170
1947,2545,6541,2161
1925,2453,6683,2153
1929,2434,6794,2134
1851,2388,6901,2120
1704,2219,6978,2108
1629,2001,7032,2104
1652,1856,7054,2093
1629,1807,7076,2087
1415,1745,7083,2078
1110,1614,7076,2070
930,1453,7020,2052
962,1355,6945,2037
1055,1322,6853,2026
1036,1291,6770,2021
875,1188,6665,2010
666,1033,6552,2004
469,895,6415,2001
296,839,6290,2004
170,825,6167,1997
148,775,6071,1988
202,651,5964,1976
222,516,5853,1971
146,425,5725,1962
74,387,5635,1955
136,376,5563,1944
296,387,5504,1938
356,395,5411,1928
222,387,5329,1921
53,406,5265,1911
74,516,5242,1905
243,632,5202,1895
296,581,5154,1888
105,358,5093,1877
-148,194,5067,1872
-247,230,5045,1863
-222,323,5023,1855
-235,272,4972,1838
-296,129,4936,1822
-298,70,4907,1803
-222,129,4892,1789
-157,189,4850,1771
-148,194,4805,1756
-154,186,4752,1738
-148,194,4717,1723
-162,194,4671,1704
-222,194,4630,1690
-293,231,4580,1673
-296,323,4543,1656
-186,435,4493,1631
0,516,4455,1607
148,510,4420,1585
148,387,4412,1574
-12,184,4394,1559
-222,0,4368,1540
-333,-87,4315,1513
-296,-65,4281,1491
-212,44,4266,1471
-222,194,4281,1458
-342,290,4282,1435
-444,258,4281,1408
-415,155,4269,1377
-296,129,4281,1358
-218,208,4295,1342
-222,258,4324,1325
-205,193,4343,1298
-74,129,4368,1275
98,212,4383,1257
148,387,4412,1242
43,466,4431,1218
-74,387,4455,1193
-88,275,4469,1167
-74,258,4499,1143
-172,308,4522,1110
-370,323,4543,1077
-500,281,4538,1047
-444,258,4543,1027
-254,294,4555,1005
-74,323,4586,977
7,273,4595,942
0,194,4586,911
-19,201,4556,884
0,323,4543,861
25,427,4535,836
0,387,4543,812
-54,254,4540,786
-74,194,4543,762
-99,256,4526,736
-222,323,4499,712
-380,301,4449,687
-370,258,4412,663
-166,274,4382,636
0,323,4368,613
-18,367,4342,595
-74,452,4324,580
-28,566,4301,558
0,581,4281,530
-111,445,4235,501
-222,323,4193,480
-158,370,4158,465
0,516,4150,447
91,595,4130,422
148,581,4106,398
247,533,4071,379
296,452,4062,364
201,330,4060,348
74,258,4062,331
50,301,4039,315
74,387,4019,298
64,431,4004,274
74,452,4019,248
138,490,4024,227
148,516,4019,215
38,491,3989,203
-74,452,3975,182
-63,462,3968,155
0,516,3975,133
-38,540,3970,116
-148,516,3975,99
-129,537,3975,75
74,645,3975,50
208,682,3950,29
74,516,3931,17
-63,386,3919,7
148,581,3931,0
414,788,3934,-2
74,387,3931,0
-711,-422,3909,1
-888,-581,3887,0
-27,321,3858,-1
888,1291,3844,0
820,1298,3835,0
74,645,3844,0
-351,299,3843,0
-222,452,3844,0
-42,599,3837,0
-74,516,3844,0
-129,410,3845,0
-148,323,3844,0
-261,108,3820,0
-444,-194,3800,0
-521,-377,3787,0
-518,-452,3800,0
-623,-591,3805,0
-888,-839,3800,0
-1149,-1062,3772,0
-1258,-1162,3756,0
-1246,-1164,3748,0
-1258,-1162,3756,0
-1399,-1238,3754,0
-1629,-1420,3756,0
-1822,-1641,3752,0
-1925,-1807,3756,0
-2025,-1920,3752,0
-2221,-2065,3756,0
-2489,-2321,3755,0
-2739,-2646,3756,0
-2955,-2933,3737,0
-3183,-3098,3713,0
-3368,-3160,3681,0
-3331,-3163,3669,0
-2998,-3118,3663,0
-2517,-2969,3669,0
-2080,-2662,3665,0
-1703,-2195,3669,0
-1302,-1656,3667,0
-888,-1162,3669,0
-567,-787,3662,0
-370,-516,3669,0
-210,-277,3672,0
0,0,3669,0
246,325,3643,0
444,645,3625,0
526,887,3617,0
518,1033,3625,0
549,1157,3622,0
740,1355,3625,0
1079,1632,3625,0
1406,1872,3625,0
1574,1968,3602,0
1555,1936,3582,0
1444,1900,3570,0
1332,1936,3582,0
1249,2000,3584,0
1184,2001,3582,0
1158,1947,3573,0
1184,1936,3582,0
1216,2004,3586,0
1184,2065,3582,0
1112,2030,3554,0
1110,1936,3538,0
1216,1873,3530,0
1332,1872,3538,0
1340,1897,3535,0
1258,1936,3538,0
1188,1976,3537,0
1184,2001,3538,0
1212,2012,3515,0
1258,2065,3494,0
1347,2149,3482,0
1481,2195,3494,0
1552,2162,3499,0
1481,2130,3494,0
1323,2134,3468,0
1258,2130,3451,0
1329,2080,3441,0
1406,2065,3451,0
1378,2108,3452,0
1332,2130,3451,0
1393,2076,3441,0
1555,2065,3451,0
1716,2189,3456,0
1851,2388,3451,0
1933,2518,3419,0
1925,2582,3407,0
1847,2638,3419,0
1851,2711,3451,0
1970,2747,3456,0
2073,2775,3451,0
2065,2847,3441,0
2073,2969,3451,0
2182,3041,3450,0
2295,3034,3451,0
2299,3016,3441,0
2295,3098,3451,0
2366,3229,3463,0
2443,3292,3494,0
2450,3263,3515,0
2517,3292,3538,0
2730,3445,3548,0
2961,3615,3582,0
3038,3665,3630,0
3035,3679,3713,0
3094,3812,3805,0
3183,4066,3931,0
3138,4222,4070,0
2961,4131,4237,0
2808,3872,4402,0
2813,3679,4586,0
2949,3663,4772,0
3109,3744,4979,0
3156,3745,5176,0
3035,3615,5373,0
2837,3422,5558,0
2739,3292,5766,0
2758,3264,5968,0
2739,3292,6159,0
2578,3258,6310,0
2369,3098,6465,0
2205,2848,6618,0
2073,2646,6770,0
1974,2576,6873,0
1999,2582,6945,0
2085,2480,6989,0
1999,2195,7032,0
1656,1854,7044,0
1332,1678,7032,0
1267,1660,6988,0
1332,1614,6945,0
1240,1443,6883,0
962,1291,6814,0
666,1234,6720,0
444,1162,6639,0
283,999,6552,0
222,904,6465,0
279,953,6349,0
370,968,6246,0
394,776,6150,0
370,516,6071,0
319,393,5964,0
222,387,5853,0
122,357,5745,0
148,323,5678,0
275,351,5613,0
296,387,5547,0
112,349,5465,0
-74,323,5416,0
-55,408,5373,0
74,516,5329,0
53,462,5251,0
-148,258,5198,0
-295,115,5167,0
-222,194,5154,0
-50,401,5108,0
0,516,5067,0
-112,417,5035,0
-222,194,5023,0
-208,23,4981,0
-148,0,4936,0
-202,85,4885,0
-370,194,4848,0
-469,262,4797,0
-370,258,4761,0
-196,173,4732,0
-148,65,4717,0
-199,33,4675,0
-148,129,4630,0
22,272,4591,0
74,323,4586,0
-104,237,4572,0
-296,129,4543,0
-299,135,4487,0
-222,258,4455,0
-240,359,4433,0
-296,323,4412,0
-264,183,4360,0
-222,65,4324,0
-289,33,4311,0
-370,65,4324,0
-306,137,4320,0
-148,258,4324,0
-60,379,4336,0
-74,387,4368,0
-110,242,4373,0
-148,65,4368,0
-201,4,4354,0
-222,65,4368,0
-161,128,4385,0
-74,129,4412,0
-61,126,4428,0
-148,194,4455,0
-274,311,4475,0
-370,387,4499,0
-386,376,4500,0
-296,323,4499,0
-129,280,4489,0
0,258,4499,0
-32,252,4514,0
-222,258,4543,0
-396,233,4550,0
-370,129,4543,0
-151,19,4512,0
74,65,4499,0
162,277,4494,0
148,452,4499,0
123,417,4479,0
74,258,4455,0
-54,169,4426,0
-222,194,4412,0
-317,235,4387,0
-296,258,4368,0
-216,324,4341,0
-148,452,4324,0
-105,546,4298,0
-74,516,4281,0
-59,402,4256,0
-74,323,4237,0
-97,321,4208,0
-74,323,4193,0
22,278,4171,0
148,258,4150,0
232,351,4115,0
222,516,4106,0
108,618,4105,0
-74,581,4106,0
-217,432,4079,0
-222,258,4062,0
-126,161,4057,0
-74,194,4062,0
-101,301,4041,0
-74,387,4019,0
42,437,3993,0
74,516,3975,0
-54,642,3943,0
-148,710,3931,0
-59,589,3929,0
74,323,3931,0
119,157,3905,0
148,258,3887,0
156,428,3882,0
0,387,3887,0
-143,299,3865,0
74,516,3844,0
359,791,3833,0
-74,452,3844,0
-1104,-363,3841,0
-1481,-581,3844,0
-602,242,3842,0
444,1097,3844,0
480,971,3821,0
-148,258,3800,0
-415,-36,3775,0
-222,194,3756,0
-92,366,3725,0
-74,323,3713,0
67,361,3711,0
74,452,3713,0
-386,277,3688,0
-1036,-194,3669,0
-1365,-656,3660,0
-1406,-968,3669,0
-1468,-1208,3666,0
-1555,-1420,3669,0
-1517,-1538,3670,0
-1481,-1549,3669,0
-1593,-1511,3643,0
-1703,-1485,3625,0
-1635,-1508,3619,0
-1555,-1614,3625,0
-1696,-1793,3607,0
-1999,-2001,3582,0
-2273,-2213,3552,0
-2517,-2453,3538,0
-2833,-2788,3515,0
-3183,-3227,3494,0
-3449,-3664,3467,0
-3627,-3937,3451,0
-3761,-4007,3426,0
-3775,-3937,3407,0
-3563,-3762,3381,0
-3183,-3421,3363,0
-2831,-2937,3339,0
-2591,-2453,3320,0
-2306,-2044,3294,0
-1777,-1614,3276,0
-1058,-1087,3251,0
-444,-581,3232,0
-130,-254,3206,0
0,-65,3189,0
196,173,3164,0
518,516,3145,0
807,823,3118,0
888,968,3101,0
727,1039,3078,0
444,1226,3058,0
268,1563,3028,0
370,1872,3014,0
691,2008,3009,0
962,2001,3014,0
1032,1949,2997,0
1036,1872,2970,0
1211,1797,2937,0
1555,1807,2927,0
1817,1924,2923,0
1777,2001,2927,0
1467,1893,2922,0
1110,1678,2927,0
902,1573,2928,0
888,1678,2927,0
1009,1871,2904,0
1184,2001,2883,0
1317,2042,2871,0
1332,2065,2883,0
1248,2064,2889,0
1184,2001,2883,0
1190,1930,2856,0
1184,2001,2839,0
1103,2200,2832,0
1036,2324,2839,0
1090,2208,2838,0
1258,2001,2839,0
1473,1939,2835,0
1703,2065,2839,0
1841,2170,2837,0
1777,2130,2839,0
1593,2037,2836,0
1555,2065,2839,0
1659,2203,2835,0
1629,2324,2839,0
1394,2369,2837,0
1332,2453,2839,0
1668,2625,2834,-1
2073,2775,2839,0
2105,2742,2840,1
1851,2582,2839,0
1691,2468,2829,-2
1777,2517,2839,0
1957,2668,2861,8
2147,2840,2883,17
2331,2979,2868,23
2443,3098,2839,33
2419,3200,2820,48
2369,3292,2839,66
2407,3309,2865,83
2517,3227,2883,99
2620,3125,2877,117
2739,3163,2883,133
2859,3337,2898,146
2887,3485,2927,166
2798,3475,2931,191
2739,3421,2927,215
2780,3506,2915,232
2813,3744,2927,248
2753,3917,2942,271
2739,3873,2970,298
2894,3678,2999,322
3109,3550,3058,348
3161,3563,3131,375
3035,3615,3232,398
2903,3578,3344,413
2887,3485,3494,431
2923,3411,3662,456
2887,3356,3844,480
2710,3234,4010,496
2443,3034,4193,513
2197,2813,4385,538
2073,2646,4586,563
2046,2548,4761,580
1999,2517,4936,596
1819,2487,5106,619
1555,2388,5285,646
1375,2219,5441,665
1406,2065,5591,679
1522,1912,5724,694
1481,1678,5853,712
1224,1391,5948,728
962,1226,6028,745
833,1188,6090,763
740,1097,6159,779
560,923,6208,786
370,904,6246,795
248,1068,6263,810
148,1097,6290,828
67,811,6300,839
148,516,6290,845
363,494,6242,850
444,581,6202,861
256,506,6162,870
74,387,6115,878
161,444,6027,884
370,581,5940,894
373,546,5865,905
148,387,5809,911
-66,329,5725,910
-148,387,5635,911
-184,356,5538,917
-222,194,5460,928
-192,110,5370,930
-74,258,5285,928
-16,469,5192,923
-148,452,5110,928
-364,189,5017,936
-370,0,4936,944
-28,133,4846,945
444,452,4761,944
675,621,4662,943
518,516,4586,944
156,304,4518,943
-148,194,4455,944
-299,247,4365,944
-370,387,4281,944
-447,471,4204,941
-518,387,4150,944
-504,171,4082,951
-370,0,4019,961
-193,6,3947,963
-74,129,3887,961
-11,210,3818,957
74,194,3756,961
187,174,3687,962
222,258,3625,961
113,417,3565,956
-74,516,3538,961
-242,450,3519,969
-370,258,3494,977
-459,91,3441,976
-444,65,3407,977
-282,155,3397,984
-74,258,3407,994
-7,323,3388,995
-148,387,3363,994
-361,470,3347,997
-444,516,3363,1010
-312,482,3369,1021
-74,387,3363,1027
62,247,3347,1025
0,65,3363,1027
-116,-67,3388,1033
-74,0,3407,1044
114,231,3398,1051
222,387,3407,1060
136,339,3441,1067
0,258,3494,1077
-44,342,3521,1084
-74,516,3538,1093
-210,567,3552,1100
-370,452,3582,1110
-375,297,3600,1117
-222,194,3625,1126
-83,139,3659,1133
-74,129,3713,1143
-135,158,3746,1151
-148,194,3756,1159
-68,228,3745,1164
74,323,3756,1176
231,509,3778,1191
370,710,3800,1209
452,805,3796,1218
444,775,3800,1226
351,699,3815,1232
222,645,3844,1242
86,580,3848,1250
-74,452,3844,1259
-251,307,3835,1265
-370,258,3844,1275
-376,323,3844,1283
-296,387,3844,1292
-174,364,3837,1299
0,323,3844,1309
209,375,3843,1315
370,516,3844,1325
437,631,3836,1332
444,645,3844,1342
387,585,3846,1348
222,516,3844,1358
51,489,3818,1366
74,516,3800,1375
276,578,3792,1380
370,645,3800,1391
185,656,3786,1401
-74,581,3756,1408
-111,513,3719,1406
74,581,3713,1408
227,697,3716,1414
222,645,3713,1424
204,469,3684,1430
296,452,3669,1441
350,586,3666,1455
222,581,3669,1474
164,515,3645,1484
444,775,3625,1491
655,1096,3618,1495
74,645,3625,1507
-1055,-472,3607,1516
-1481,-904,3582,1524
-620,45,3565,1528
518,1226,3582,1540
741,1302,3590,1555
222,581,3582,1574
-66,227,3550,1582
148,452,3538,1590
401,622,3536,1600
444,516,3538,1623
452,468,3514,1648
444,516,3494,1673
241,369,3485,1688
-148,0,3494,1706
-476,-273,3481,1727
-666,-323,3451,1756
-870,-340,3413,1780
-1184,-516,3407,1805
-1468,-799,3409,1827
-1555,-1033,3407,1855
-1487,-1150,3379,1884
-1481,-1226,3363,1921
-1629,-1361,3359,1955
-1777,-1549,3363,1988
-1743,-1701,3343,2010
-1629,-1807,3320,2037
-1731,-1990,3305,2066
-2147,-2324,3320,2104
-2627,-2707,3326,2136
-2887,-2969,3320,2170
-2963,-3099,3292,2198
-3109,-3227,3276,2236
-3407,-3420,3268,2274
-3627,-3550,3276,2319
-3574,-3498,3276,2358
-3331,-3292,3276,2402
-3103,-3032,3269,2441
-2887,-2711,3276,2485
-2526,-2286,3276,2522
-1999,-1807,3276,2567
-1483,-1390,3266,2608
-1110,-1033,3276,2650
-791,-628,3295,2680
-370,-129,3320,2716
131,347,3322,2753
518,645,3320,2799
666,757,3313,2838
666,839,3320,2882
714,1042,3318,2926
888,1355,3320,2981
1120,1658,3315,3030
1332,1872,3320,3081
1548,2018,3318,3124
1777,2130,3320,3180
1920,2199,3315,3235
1851,2195,3320,3296
1617,2129,3318,3344
1406,2065,3320,3396
1313,2086,3313,3446
1258,2195,3320,3512
1225,2270,3322,3571
1332,2195,3320,3627
1589,2039,3294,3670
1777,2001,3276,3727
1742,2114,3267,3784
1629,2195,3276,3843
1606,2111,3276,3881
1629,2001,3276,3926
1586,2021,3271,3971
1555,2130,3276,4025
1603,2169,3274,4069
1629,2130,3276,4124
1538,2102,3272,4178
1481,2130,3276,4224
1611,2177,3273,4230
1851,2259,3276,4224
1990,2369,3272,4215
1999,2453,3276,4224
1963,2441,3273,4223
1925,2388,3276,4224
1844,2363,3272,4218
1777,2388,3276,4224
1824,2430,3273,4221
1999,2517,3276,4224
2144,2665,3271,4219
2147,2840,3276,4224
2065,2937,3275,4220
2073,2905,3276,4224
2172,2735,3269,4219
2221,2517,3276,4224
2157,2382,3279,4220
2147,2453,3276,4224
2284,2664,3250,4219
2443,2840,3232,4224
2464,2880,3224,4219
2443,2905,3232,4224
2537,3026,3230,4219
2739,3227,3232,4224
2899,3392,3229,4219
2961,3485,3232,4224
2906,3475,3224,4219
2739,3356,3232,4224
2564,3225,3247,4219
2591,3292,3276,4224
2808,3568,3280,4219
2961,3808,3276,4224
2915,3787,3262,4219
2887,3615,3276,4224
3053,3515,3304,4219
3257,3550,3363,4224
3255,3600,3434,4219
3109,3615,3538,4224
3022,3598,3655,4219
3035,3550,3800,4224
3040,3467,3944,4219
3035,3421,4106,4224
3055,3430,4280,4219
3035,3421,4499,4224
2861,3314,4723,4219
2591,3163,4936,4224
2396,3025,5107,4219
2369,2905,5285,4224
2409,2783,5475,4219
2369,2711,5678,4224
2166,2677,5845,4219
1851,2582,5984,4224
1538,2347,6094,4219
1332,2065,6202,4224
1234,1862,6291,4219
1184,1743,6377,4224
1139,1586,6445,4219
1110,1355,6508,4224
1067,1152,6539,4219
962,1097,6552,4224
814,1129,6534,4219
740,1097,6508,4224
774,956,6463,4219
814,839,6421,4224
748,808,6361,4219
592,775,6290,4224
384,649,6184,4219
148,516,6071,4224
-24,460,5952,4219
0,452,5853,4224
129,449,5745,4219
74,516,5635,4224
-249,638,5499,4219
-518,645,5373,4224
-443,439,5249,4219
-148,194,5154,4224
49,119,5060,4219
74,194,4979,4224
57,252,4887,4219
74,258,4805,4224
119,297,4723,4219
222,387,4674,4224
356,436,4628,4219
370,387,4586,4224
181,281,4516,4219
-74,194,4455,4224
-230,144,4400,4219
-296,129,4368,4224
-348,161,4323,4219
-370,258,4281,4224
-349,366,4228,4219
-370,387,4193,4224
-470,299,4161,4219
-518,194,4150,4224
-389,148,4129,4219
-148,129,4106,4224
47,86,4058,4219
148,65,4019,4224
201,131,3985,4219
222,258,3975,4224
194,356,3953,4219
148,387,3931,4224
119,366,3899,4219
74,323,3887,4224
-45,294,3881,4219
-222,323,3887,4224
-378,384,3883,4219
-444,387,3887,4224
-405,294,3885,4219
-296,194,3887,4224
-187,187,3879,4219
-148,258,3887,4224
-184,299,3902,4219
-222,258,3931,4224
-170,193,3948,4219
0,194,3975,4224
235,276,3996,4219
444,387,4019,4224
556,473,4016,4219
518,516,4019,4224
295,510,4028,4219
-74,452,4062,4224
-434,372,4087,4219
-592,323,4106,4224
-499,301,4104,4219
-296,258,4106,4224
-143,195,4101,4219
-74,194,4106,4224
-53,271,4102,4219
-74,323,4106,4224
-109,268,4102,4219
-74,194,4106,4224
53,235,4101,4219
148,387,4106,4224
90,512,4102,4219
-74,516,4106,4224
-190,438,4101,4219
-148,387,4106,4224
87,441,4105,4219
444,581,4106,4224
672,685,4086,4219
518,645,4062,4224
82,493,4032,4219
-222,387,4019,4224
-191,419,3998,4219
-74,516,3975,4224
-124,555,3940,4220
-222,516,3931,4224
-154,450,3931,4219
0,387,3931,4224
40,333,3904,4220
0,323,3887,4224
40,375,3882,4219
148,452,3887,4224
206,498,3867,4220
222,516,3844,4224
267,526,3817,4219
296,516,3800,4224
252,493,3771,4221
222,516,3756,4224
268,575,3751,4217
296,581,3756,4224
249,556,3738,4225
222,645,3713,4224
193,797,3682,4198
0,775,3669,4174
-252,600,3659,4146
-222,581,3669,4124
36,715,3674,4088
74,645,3669,4058
-73,415,3640,4023
148,516,3625,3992
648,861,3622,3946
518,645,3625,3909
-397,-213,3601,3872
-888,-581,3582,3843
-150,218,3585,3799
888,1226,3625,3760
985,1273,3656,3721
370,645,3669,3694
68,370,3661,3653
222,581,3669,3611
224,664,3674,3562
-74,452,3669,3528
-277,313,3627,3488
-296,323,3582,3445
-404,201,3545,3389
-666,-129,3538,3346
-854,-430,3535,3308
-888,-581,3538,3280
-877,-669,3533,3237
-888,-775,3538,3197
-890,-861,3535,3156
-888,-904,3538,3131
-911,-944,3533,3099
-962,-1033,3538,3064
-1067,-1167,3535,3018
-1258,-1291,3538,2981
-1481,-1380,3533,2945
-1629,-1485,3538,2915
-1724,-1672,3536,2873
-1925,-1936,3538,2832
-2309,-2246,3531,2792
-2739,-2582,3538,2766
-3019,-2897,3540,2735
-3109,-3098,3538,2700
-3100,-3167,3512,2652
-3035,-3163,3494,2617
-2872,-3104,3486,2588
-2591,-2905,3494,2567
-2257,-2543,3493,2534
-1925,-2130,3494,2501
-1563,-1758,3490,2466
-1110,-1355,3494,2435
-597,-847,3490,2393
-148,-323,3494,2352
123,31,3495,2312
222,194,3494,2286
234,332,3471,2254
222,581,3451,2220
206,866,3439,2174
222,1033,3451,2137
343,1077,3455,2101
592,1162,3451,2070
889,1393,3425,2030
1110,1678,3407,1988
1214,1865,3397,1942
1258,1936,3407,1905
1323,1991,3410,1869
1406,2065,3407,1839
1460,2098,3382,1804
1481,2065,3363,1772
1548,2067,3352,1737
1703,2195,3363,1706
1832,2379,3368,1671
1777,2453,3363,1640
1542,2350,3337,1605
1332,2195,3320,1574
1302,2122,3311,1540
1406,2130,3320,1507
1504,2115,3319,1471
1555,2065,3320,1441
1596,2072,3314,1408
1629,2195,3320,1375
1587,2321,3319,1337
1481,2324,3320,1309
1415,2226,3313,1284
1481,2195,3320,1259
1594,2247,3322,1223
1629,2259,3320,1193
1591,2186,3295,1167
1629,2195,3276,1143
1764,2338,3265,1108
1851,2453,3276,1077
1789,2399,3280,1051
1703,2324,3276,1027
1698,2351,3250,993
1703,2388,3232,961
1599,2294,3222,934
1481,2195,3232,911
1495,2241,3236,878
1629,2388,3232,845
1735,2489,3207,818
1777,2582,3189,795
1799,2722,3178,763
1851,2840,3189,729
1953,2825,3190,700
2147,2775,3189,679
2358,2826,3176,656
2443,2969,3189,629
2382,3066,3208,602
2369,3098,3232,580
2499,3130,3230,556
2665,3227,3232,530
2766,3372,3240,502
2887,3550,3276,480
3013,3696,3311,463
2961,3744,3363,447
2697,3662,3416,425
2517,3550,3494,398
2597,3506,3584,370
2739,3550,3713,348
2718,3602,3855,330
2665,3615,4019,315
2736,3582,4179,298
2813,3550,4368,282
2759,3557,4575,264
2739,3615,4805,248
2894,3636,5009,232
3035,3550,5198,215
2918,3404,5365,197
2665,3356,5547,182
2529,3416,5723,172
2517,3421,5897,166
2446,3239,6047,157
2295,2969,6202,149
2162,2747,6343,141
2073,2582,6465,133
1963,2408,6537,123
1851,2259,6596,116
1773,2162,6640,109
1703,2065,6683,99
1573,1904,6690,88
1406,1743,6683,83
1251,1639,6660,83
1110,1549,6639,83
938,1394,6584,75
740,1226,6508,66
563,1127,6411,63
444,1097,6334,66
364,1053,6249,67
296,968,6159,66
236,849,6042,65
222,710,5940,66
272,575,5845,66
370,516,5766,66
466,542,5670,66
518,581,5591,66
486,562,5518,66
370,516,5460,66
213,466,5373,67
74,387,5285,66
-56,289,5200,64
-222,258,5154,66
-395,302,5109,74
-444,323,5067,83
-299,276,5009,86
-74,258,4979,83
23,290,4955,81
-74,258,4936,83
-218,142,4887,85
-222,129,4848,83
-76,319,4816,79
74,516,4805,83
134,494,4778,93
148,323,4761,99
170,228,4738,94
148,258,4717,83
25,270,4670,78
-148,194,4630,83
-281,117,4598,87
-370,129,4586,83
-458,204,4550,73
-518,258,4499,66
-487,245,4439,66
-370,194,4412,66
-239,164,4391,61
-148,194,4368,50
-102,262,4317,38
-74,323,4281,33
-2,342,4252,33
148,323,4237,33
279,288,4206,27
222,258,4193,17
-35,231,4190,6
-296,194,4193,0
-394,151,4167,-1
-370,129,4150,0
-335,131,4141,0
-296,129,4150,0
-240,115,4142,0
-222,129,4150,0
-248,208,4167,0
-222,323,4193,0
-140,398,4192,0
-148,387,4193,0
-269,317,4204,0
-296,258,4237,0
-117,259,4257,0
74,323,4281,0
63,406,4299,0
-74,452,4324,0
-148,420,4326,0
-148,323,4324,0
-161,225,4317,0
-148,194,4324,0
-38,228,4322,0
74,258,4324,0
28,233,4318,0
-148,194,4324,0
-240,220,4323,0
-148,323,4324,0
-25,407,4305,0
-74,387,4281,0
-252,293,4247,0
-296,258,4237,0
-55,374,4233,0
296,581,4237,0
445,704,4217,0
296,645,4193,0
49,486,4164,0
-74,387,4150,0
-67,390,4127,0
-74,387,4106,0
-158,297,4076,0
-222,194,4062,0
-156,200,4042,0
0,323,4019,0
103,437,3983,0
74,452,3975,0
-23,401,3975,0
-74,387,3975,0
-28,442,3946,0
74,516,3931,0
168,560,3928,0
222,581,3931,0
258,605,3905,0
296,645,3887,0
265,673,3882,0
74,645,3887,0
-192,556,3865,0
-296,452,3844,0
-166,364,3833,0
0,323,3844,0
57,395,3841,0
74,581,3844,0
82,661,3843,0
0,452,3844,0
-32,221,3819,0
222,387,3800,0
488,737,3790,0
148,581,3800,0
-653,-65,3798,0
-888,-258,3800,0
-112,473,3797,0
740,1291,3800,0
695,1258,3793,0
74,645,3800,0
-201,327,3804,0
0,452,3800,0
171,533,3771,0
148,387,3756,0
176,255,3754,0
222,194,3756,0
14,46,3731,0
-444,-194,3713,0
-822,-377,3706,0
-962,-516,3713,0
-1024,-719,3692,0
-1184,-968,3669,0
-1385,-1142,3655,0
-1481,-1226,3669,0
-1486,-1305,3673,0
-1555,-1420,3669,0
-1709,-1534,3658,0
-1777,-1614,3669,0
-1682,-1688,3675,0
-1629,-1807,3669,0
-1832,-2001,3639,0
-2221,-2259,3625,0
-2612,-2588,3623,0
-2961,-2969,3625,0
-3262,-3297,3601,0
-3405,-3421,3582,0
-3356,-3326,3573,0
-3257,-3163,3582,0
-3185,-3068,3578,0
-2961,-2969,3582,0
-2439,-2692,3583,0
-1777,-2195,3582,0
-1226,-1632,3555,0
-814,-1162,3538,0
-428,-783,3532,0
-74,-387,3538,0
156,54,3518,0
296,452,3494,0
483,726,3480,0
740,904,3494,0
935,1047,3500,0
962,1162,3494,0
894,1247,3468,0
888,1355,3451,0
1016,1538,3441,0
1184,1743,3451,0
1270,1880,3454,0
1258,1936,3451,0
1259,1983,3425,0
1332,2065,3407,0
1414,2156,3396,0
