II,aVR,ABP
1544,4572,7547
1464,4613,7495
1544,4514,7467
1694,4367,7426
1584,4514,7388
1360,4748,7329
1584,4514,7309
1952,4124,7302
1584,4514,7309
997,5115,7270
1584,4514,7229
2506,3560,7179
1584,4514,7150
93,6042,7101
1828,4343,7070
5677,708,7028
5443,1600,6991
132,7773,6931
-2600,10915,6911
2005,5875,6909
7759,-743,6911
6996,-644,6865
1909,4172,6832
-356,6296,6817
1178,4629,6832
2114,3605,6823
1016,4686,6832
298,5327,6836
853,4629,6832
1103,4210,6779
487,4686,6752
29,4977,6748
81,4743,6752
11,4610,6705
-325,4743,6673
-509,4673,6664
-447,4343,6673
-376,4037,6631
-325,3886,6594
-234,3806,6579
-162,3829,6594
-184,3956,6560
-244,4172,6514
-297,4406,6484
-325,4629,6514
-344,4820,6529
-325,5029,6514
-248,5241,6458
-122,5429,6435
4,5522,6429
122,5543,6435
248,5517,6396
406,5486,6355
584,5416,6330
772,5314,6355
966,5186,6367
1178,5086,6355
1394,4997,6303
1584,4914,6276
1724,4816,6264
1828,4743,6276
1914,4684,6269
1990,4629,6276
2042,4554,6276
2072,4514,6276
2089,4508,6234
2112,4514,6196
2135,4482,6174
2153,4457,6196
2168,4451,6204
2194,4457,6196
2220,4426,6150
2234,4400,6117
2230,4391,6096
2234,4400,6117
2252,4374,6126
2275,4343,6117
2277,4326,6066
2275,4343,6037
2284,4348,6026
2315,4343,6037
2342,4315,6030
2356,4286,6037
2354,4245,6039
2356,4229,6037
2355,4224,5992
2356,4229,5958
2350,4204,5941
2356,4172,5958
2372,4133,5955
2397,4114,5958
2405,4101,5950
2397,4114,5958
2372,4122,5947
2356,4114,5958
2349,4076,5956
2356,4057,5958
2358,4055,5936
2356,4057,5958
2339,4027,5995
2315,4000,6037
2287,3974,6027
2275,3943,6037
2272,3877,6085
2275,3829,6196
2260,3815,6321
2234,3829,6514
2194,3808,6781
2153,3772,7150
2107,3747,7555
2072,3772,8023
2033,3804,8523
1990,3829,9056
1939,3824,9529
1909,3829,9930
1891,3844,10210
1869,3886,10407
1822,3918,10507
1787,3943,10566
1778,3958,10551
1787,4000,10486
1784,4039,10357
1787,4057,10248
1815,4027,10153
1869,4000,10089
1915,3989,10019
1950,4000,10009
1969,3998,10058
1990,4000,10168
2008,3997,10252
1990,4057,10327
1942,4138,10390
1990,4114,10486
2077,4035,10548
1990,4172,10566
1823,4377,10497
1950,4229,10407
2170,3943,10285
1909,4229,10168
1514,4673,10009
1909,4229,9851
2511,3536,9676
1869,4286,9533
842,5459,9372
1869,4286,9215
3970,1933,9036
3006,3314,8897
-1136,8598,8766
-2600,10915,8659
1793,6215,8527
6987,57,8421
6938,-529,8322
3128,3200,8262
1018,5263,8179
1747,4343,8103
2321,3650,8007
1584,4457,7944
1108,4981,7884
1544,4514,7865
1827,4200,7849
1544,4514,7865
1364,4701,7861
1544,4514,7865
1647,4401,7850
1544,4514,7865
1481,4564,7866
1544,4514,7865
1579,4499,7820
1584,4514,7785
1608,4458,7739
1584,4457,7706
1511,4518,7650
1584,4457,7626
1711,4321,7617
1584,4457,7626
1373,4688,7591
1625,4457,7547
2005,4065,7492
1625,4457,7467
1028,5068,7426
1625,4457,7388
2559,3469,7334
1625,4400,7309
116,5931,7269
1869,4229,7229
5771,577,7169
5565,1486,7150
210,7726,7145
-2600,10915,7150
1970,5838,7108
7759,-857,7070
7053,-787,7047
1990,4057,7070
-290,6204,7075
1219,4514,7070
2146,3450,7050
1056,4514,7070
358,5175,7081
934,4514,7070
1197,4115,7013
569,4572,6991
71,4839,6989
81,4629,6991
-3,4547,6942
-325,4686,6911
-485,4571,6903
-406,4229,6911
-341,3981,6868
-325,3886,6832
-284,3805,6817
-244,3829,6832
-270,4028,6798
-325,4343,6752
-370,4629,6723
-366,4857,6752
-322,5039,6767
-244,5200,6752
-139,5302,6696
0,5372,6673
146,5411,6668
284,5429,6673
412,5386,6632
569,5314,6594
763,5226,6570
975,5143,6594
1166,5032,6602
1341,4914,6594
1518,4790,6547
1706,4686,6514
1872,4588,6493
1990,4514,6514
2060,4448,6523
2112,4400,6514
2157,4357,6463
2194,4343,6435
2215,4339,6423
2234,4343,6435
2255,4318,6426
2275,4286,6435
2290,4245,6437
2315,4229,6435
2343,4219,6388
2356,4229,6355
2347,4230,6341
2356,4229,6355
2394,4201,6327
2437,4172,6276
2446,4134,6213
2437,4114,6196
2432,4101,6192
2437,4114,6196
2433,4121,6161
2437,4114,6117
2454,4079,6060
2478,4057,6037
2481,4049,6026
2478,4057,6037
2474,4052,6033
2478,4057,6037
2475,4060,6028
2478,4057,6037
2480,4024,6031
2478,4000,6037
2455,3992,6027
2437,4000,6037
2433,3979,6032
2437,3943,6037
2411,3902,6024
2356,3886,6037
2286,3877,6037
2234,3886,6037
2191,3887,6013
2153,3886,6037
2106,3873,6094
2072,3886,6196
2046,3896,6310
2031,3886,6514
2007,3843,6816
1990,3829,7229
1981,3836,7678
1990,3829,8182
2002,3765,8699
2031,3714,9215
2079,3706,9645
2153,3714,10009
2211,3666,10283
2234,3600,10486
2226,3568,10565
2234,3600,10566
2258,3635,10493
2275,3657,10407
2255,3670,10284
2234,3714,10168
2230,3770,10058
2234,3829,10009
2205,3860,9990
2153,3886,10009
2097,3910,10029
2072,3943,10089
2068,3949,10157
2031,4000,10248
1956,4082,10318
1990,4057,10407
2069,3970,10465
1950,4114,10486
1763,4321,10417
1950,4114,10327
2234,3785,10211
1909,4172,10089
1419,4750,9895
1909,4229,9692
2671,3370,9499
1909,4229,9374
632,5633,9252
1869,4229,9136
4629,1266,8974
3940,2514,8818
-680,8346,8666
-2600,10915,8580
2060,5587,8501
7759,-1200,8421
7631,-1443,8289
3290,3143,8182
905,5525,8089
1747,4343,8023
2395,3520,7927
1544,4514,7865
1000,5141,7837
1503,4572,7865
1827,4215,7867
1503,4629,7865
1299,4869,7847
1503,4629,7865
1619,4465,7867
1503,4572,7865
1437,4600,7821
1503,4514,7785
1524,4505,7735
1503,4572,7706
1513,4563,7659
1503,4572,7626
1456,4605,7579
1544,4514,7547
1668,4372,7498
1544,4514,7467
1339,4745,7423
1584,4514,7388
1952,4110,7336
1584,4457,7309
1006,5031,7270
1584,4457,7229
2488,3535,7166
1584,4457,7150
121,5951,7151
1787,4343,7150
5476,867,7097
5159,1771,7070
-46,7803,7066
-2600,10915,7070
2068,6069,7021
7759,-400,6991
6938,-441,6984
1869,4114,6991
-347,6155,6944
1219,4572,6911
2164,3591,6903
1056,4629,6911
315,5248,6866
853,4572,6832
1104,4157,6822
487,4629,6832
10,4951,6790
41,4743,6752
-33,4567,6737
-366,4629,6752
-551,4552,6720
-487,4286,6673
-410,4036,6641
-366,3886,6673
-300,3790,6691
-244,3829,6673
-251,3997,6613
-284,4229,6594
-330,4437,6594
-366,4629,6594
-376,4816,6544
-325,5029,6514
-216,5220,6507
-81,5372,6514
39,5451,6471
162,5486,6435
309,5470,6421
487,5429,6435
682,5348,6401
894,5257,6355
1118,5144,6325
1341,5029,6355
1537,4904,6372
1706,4800,6355
1845,4705,6297
1950,4629,6276
2017,4554,6274
2072,4514,6276
2131,4503,6231
2194,4514,6196
2230,4496,6180
2234,4457,6196
2226,4409,6192
2234,4400,6196
2256,4403,6194
2275,4400,6196
2276,4363,6156
2275,4343,6117
2276,4336,6094
2275,4343,6117
2254,4331,6125
2234,4343,6117
2226,4370,6071
2234,4400,6037
2237,4397,6017
2234,4400,6037
2217,4405,6047
2194,4400,6037
2163,4358,5987
2153,4343,5958
2153,4366,5946
2153,4400,5958
2141,4379,5950
2153,4343,5958
2189,4329,5960
2234,4343,5958
2265,4310,5911
2315,4229,5879
2383,4124,5860
2437,4057,5879
2441,4018,5874
2437,4000,5879
2464,3971,5870
2519,3943,5879
2540,3907,5864
2519,3886,5879
2483,3856,5903
2478,3829,5958
2484,3792,5988
2478,3772,6037
2450,3745,6112
2437,3714,6276
2440,3671,6506
2437,3657,6832
2398,3657,7202
2356,3657,7626
2340,3624,8072
2356,3600,8580
2364,3591,9080
2356,3600,9533
2333,3593,9853
2315,3600,10089
2293,3620,10237
2275,3657,10327
2253,3679,10312
2234,3714,10248
2210,3764,10155
2194,3829,10089
2173,3863,10005
2153,3886,9930
2126,3904,9858
2112,3943,9851
2095,3974,9875
2072,4000,9930
2040,4001,9961
1990,4057,10009
1936,4140,10069
1990,4114,10168
2067,4012,10232
1950,4114,10248
1763,4304,10177
1909,4172,10089
2165,3918,9970
1909,4229,9851
1486,4680,9688
1869,4229,9533
2491,3531,9365
1869,4286,9215
836,5466,9042
1869,4286,8897
4013,1924,8761
3087,3314,8659
-1077,8613,8535
-2600,10915,8421
1766,6175,8290
6987,0,8182
6975,-559,8056
3168,3200,7944
1035,5263,7813
1747,4343,7706
2320,3680,7598
1584,4514,7547
1105,5022,7524
1544,4514,7547
1845,4185,7548
1584,4514,7547
1413,4710,7526
1584,4514,7547
1681,4394,7578
1584,4514,7626
1531,4571,7633
1584,4514,7626
1597,4489,7584
1584,4514,7547
1605,4487,7494
1584,4514,7467
1511,4581,7429
1584,4514,7388
1714,4376,7304
1584,4514,7229
1354,4746,7166
1584,4514,7150
1957,4106,7117
1584,4457,7070
990,5038,7004
1584,4457,6991
2529,3527,6994
1625,4457,6991
126,5933,6938
1828,4229,6911
5643,653,6907
5403,1600,6911
110,7777,6864
-2600,10915,6832
2011,5907,6822
7759,-686,6832
6990,-628,6791
1909,4114,6752
-338,6212,6733
1219,4572,6752
2167,3568,6749
1056,4629,6752
312,5232,6751
853,4514,6752
1107,4111,6709
487,4629,6673
7,4947,6653
41,4686,6673
-18,4484,6675
-325,4572,6673
-486,4517,6638
-406,4229,6594
-314,3937,6531
-244,3772,6514
-149,3683,6515
-81,3714,6514
-104,3849,6464
-162,4057,6435
-218,4284,6427
-244,4514,6435
-245,4715,6393
-203,4914,6355
-116,5095,6336
0,5257,6355
106,5362,6353
203,5429,6355
319,5447,6351
487,5429,6355
689,5352,6316
894,5257,6276
1079,5159,6250
1259,5086,6276
1434,5004,6289
1584,4914,6276
1684,4812,6221
1747,4743,6196
1791,4700,6191
1828,4686,6196
1850,4675,6157
1869,4686,6117
1888,4692,6093
1909,4686,6117
1914,4647,6127
1909,4629,6117
1911,4627,6069
1950,4629,6037
2021,4580,6019
2112,4514,6037
2198,4447,6044
2275,4400,6037
2326,4338,5992
2356,4286,5958
2381,4244,5939
2437,4229,5958
2509,4202,5965
2559,4172,5958
2560,4132,5913
2559,4114,5879
2578,4105,5858
2600,4114,5879
2584,4113,5887
2559,4114,5879
2549,4106,5830
2559,4114,5799
2559,4117,5783
2559,4114,5799
2561,4084,5796
2559,4057,5799
2535,4042,5789
2519,4057,5799
2516,4065,5791
2519,4057,5799
2497,4023,5792
2478,4000,5799
2473,3975,5789
2478,3943,5799
2460,3882,5794
2437,3829,5799
2425,3789,5803
2437,3772,5879
2442,3741,6008
2437,3714,6196
2428,3682,6397
2437,3657,6673
2445,3620,7025
2437,3600,7467
2397,3592,7927
2356,3600,8421
2338,3596,8905
2356,3600,9374
2370,3599,9740
2356,3600,10009
2311,3586,10161
2275,3600,10248
2251,3645,10260
2234,3714,10248
2208,3754,10182
2194,3772,10089
2180,3782,9954
2153,3829,9851
2102,3887,9781
2072,3943,9771
2068,3973,9762
2072,4000,9771
2048,4007,9785
1990,4057,9851
1935,4127,9925
1990,4114,10009
2063,4053,10054
1950,4172,10089
1774,4331,10069
1909,4172,10009
2144,3922,9885
1909,4229,9771
1521,4660,9652
1869,4229,9533
2436,3567,9342
1869,4286,9136
926,5405,8938
1869,4286,8818
3830,2025,8704
2965,3314,8580
-950,8420,8407
-2600,10915,8262
1053,6843,8129
5606,1200,8023
5655,504,7891
2478,3714,7785
865,5419,7690
1706,4457,7626
2266,3781,7537
1584,4514,7467
1163,4973,7406
1584,4514,7388
1847,4215,7368
1584,4514,7388
1423,4692,7418
1584,4514,7467
1658,4405,7472
1544,4514,7467
1486,4565,7451
1544,4514,7467
1558,4492,7469
1544,4514,7467
1564,4487,7426
1544,4514,7388
1469,4579,7337
1544,4514,7309
1692,4379,7264
1584,4514,7229
1362,4738,7179
1584,4514,7150
1951,4135,7107
1584,4514,7070
999,5102,7015
1584,4514,6991
2506,3580,6979
1584,4514,6991
83,6010,6962
1787,4343,6911
5601,795,6844
5362,1714,6832
87,7820,6835
-2600,10915,6832
2020,5928,6780
7759,-629,6752
6984,-565,6747
1909,4172,6752
-332,6276,6708
1219,4629,6673
2158,3590,6657
1056,4629,6673
339,5258,6665
894,4572,6673
1133,4151,6677
487,4629,6673
-3,4952,6621
41,4743,6594
-11,4572,6589
-325,4629,6594
-493,4524,6547
-406,4229,6514
-304,3973,6506
-244,3829,6514
-173,3716,6471
-122,3714,6435
-143,3858,6422
-203,4114,6435
-289,4386,6399
-366,4629,6355
-415,4825,6329
-406,5029,6355
-343,5233,6365
-244,5429,6355
-144,5567,6308
-41,5657,6276
70,5681,6255
203,5657,6276
364,5578,6286
569,5486,6276
806,5376,6223
1056,5257,6196
1302,5108,6190
1544,4972,6196
1757,4849,6157
1909,4743,6117
1997,4620,6093
2072,4514,6117
2159,4452,6127
2234,4457,6117
2263,4468,6069
2275,4457,6037
2307,4415,6019
2356,4400,6037
2374,4400,6044
2356,4400,6037
2336,4364,5992
2356,4343,5958
2401,4338,5938
2437,4343,5958
2441,4312,5965
2437,4286,5958
2446,4276,5912
2478,4286,5879
2504,4262,5860
2519,4229,5879
2517,4208,5885
2519,4229,5879
2518,4240,5834
2519,4229,5799
2513,4188,5777
2519,4172,5799
2533,4169,5809
2559,4172,5799
2569,4142,5747
2559,4114,5720
2532,4101,5708
2519,4114,5720
2517,4117,5708
2519,4114,5720
2500,4090,5746
2478,4057,5799
2465,4015,5808
2478,4000,5799
2486,3984,5775
2478,3943,5799
2451,3866,5832
2437,3829,5879
2435,3831,5902
2437,3829,5958
2430,3767,6042
2437,3714,6196
2446,3705,6392
2437,3714,6673
2393,3665,7023
2356,3600,7467
2347,3571,7936
2356,3600,8421
2342,3613,8867
2315,3600,9295
2289,3577,9648
2275,3600,9930
2253,3650,10088
2234,3714,10168
2215,3750,10176
2194,3772,10168
2152,3784,10107
2112,3829,10009
2084,3885,9870
2072,3943,9771
2052,3972,9708
2031,4000,9692
2003,4028,9671
1990,4057,9692
1987,4057,9746
1950,4114,9851
1877,4204,9935
1909,4172,10009
1983,4055,10050
1869,4172,10089
1690,4386,10070
1869,4229,10009
2142,3933,9885
1828,4286,9771
1343,4821,9647
1787,4343,9533
2503,3546,9374
1787,4343,9215
592,5653,9043
1787,4343,8897
4416,1549,8731
3737,2686,8580
-701,8218,8432
-2600,10915,8341
1683,6325,8258
6865,171,8182
6554,-220,8059
2478,3714,7944
500,5668,7836
1584,4457,7785
2283,3659,7738
1422,4572,7706
892,5156,7651
1422,4629,7626
1755,4275,7610
1422,4629,7626
1213,4841,7622
1422,4629,7626
1541,4497,7613
1422,4629,7626
1355,4694,7625
1422,4629,7626
1441,4596,7587
1422,4629,7547
1439,4613,7493
1422,4629,7467
1350,4660,7428
1422,4572,7388
1552,4452,7328
1422,4629,7309
1191,4874,7303
1422,4629,7309
1797,4211,7269
1422,4572,7229
825,5161,7181
1422,4572,7150
2369,3630,7098
1462,4572,7070
-33,6081,7057
1706,4400,7070
5588,814,7042
5403,1714,6991
121,7830,6925
-2600,10915,6911
2009,5884,6911
7759,-686,6911
6965,-567,6865
1828,4229,6832
-476,6324,6814
1056,4629,6832
2013,3574,6830
934,4629,6832
238,5239,6821
853,4457,6832
1223,3881,6827
772,4172,6832
500,4305,6825
772,3943,6832
980,3701,6802
975,3772,6752
1116,3735,6687
1422,3543,6673
1603,3448,6676
1625,3543,6673
1590,3712,6622
1503,3943,6594
1341,4200,6587
1178,4457,6594
1053,4679,6552
975,4857,6514
929,4948,6495
934,4972,6514
989,4957,6512
1056,4972,6514
1098,4986,6510
1137,4972,6514
1196,4904,6476
1259,4857,6435
1290,4848,6408
1300,4857,6435
1313,4829,6449
1341,4800,6435
1362,4790,6378
1381,4800,6355
1400,4776,6352
1422,4743,6355
1427,4724,6311
1422,4743,6276
1415,4751,6260
1422,4743,6276
1426,4709,6271
1422,4686,6276
1412,4653,6276
1422,4629,6276
1444,4609,6232
1462,4629,6196
1460,4644,6179
1462,4629,6196
1479,4561,6194
1503,4514,6196
1508,4504,6189
1503,4514,6196
1499,4487,6186
1503,4457,6196
1502,4444,6199
1503,4457,6196
1504,4438,6149
1503,4400,6117
1486,4356,6099
1462,4343,6117
1439,4336,6112
1422,4343,6117
1389,4339,6108
1341,4343,6117
1289,4337,6104
1259,4343,6117
1242,4341,6117
1219,4343,6117
1174,4332,6089
1137,4343,6117
1127,4365,6201
1137,4400,6355
1130,4407,6521
1097,4400,6752
1059,4384,7056
1056,4400,7467
1076,4427,7919
1097,4457,8421
1107,4459,8931
1137,4457,9453
1184,4450,9896
1219,4457,10248
1218,4454,10476
1219,4457,10645
1247,4453,10725
1300,4457,10724
1342,4452,10616
1381,4457,10486
1422,4456,10352
1462,4457,10248
1483,4433,10141
1503,4400,10089
1537,4359,10071
1584,4343,10089
1612,4336,10100
1625,4343,10168
1648,4339,10279
1706,4343,10407
1764,4340,10461
1787,4343,10486
1778,4335,10487
1787,4343,10486
1824,4349,10397
1869,4343,10248
1892,4288,10041
1869,4286,9851
1831,4331,9644
1909,4286,9453
2014,4174,9241
1909,4286,9056
1744,4473,8874
1950,4286,8738
2250,3964,8607
1950,4286,8500
1479,4784,8371
1950,4286,8262
2696,3490,8156
1990,4286,8103
779,5586,8054
1950,4286,8023
4561,1528,7969
3859,2686,7944
-632,8210,7927
-2600,10915,7944
1659,6365,7939
6906,229,7944
6712,-212,7934
2722,3657,7944
757,5596,7916
1828,4400,7865
2538,3587,7771
1706,4457,7706
1187,5023,7652
1706,4514,7626
2033,4178,7579
1706,4514,7547
1501,4691,7503
1706,4457,7467
1822,4324,7410
1706,4457,7388
1641,4520,7380
1706,4457,7388
1724,4429,7350
1706,4457,7309
1724,4432,7258
1706,4457,7229
1634,4523,7181
1706,4457,7150
1837,4319,7107
1706,4457,7070
1474,4688,7011
1706,4457,6991
2094,4050,6988
1747,4400,6991
1169,4979,6945
1747,4400,6911
2649,3471,6896
1706,4400,6911
197,5888,6904
1909,4229,6911
5734,705,6913
5484,1657,6911
158,7795,6864
-2600,10915,6832
1984,5938,6820
7759,-629,6832
7061,-593,6797
2031,4114,6752
-234,6207,6722
1259,4572,6752
2152,3558,6769
1016,4629,6752
256,5289,6693
772,4629,6673
988,4236,6674
325,4743,6673
-201,5081,6623
-203,4857,6594
-286,4668,6587
-609,4743,6594
-779,4682,6550
-691,4400,6514
-576,4125,6500
-487,4000,6514
-380,3977,6480
-284,4057,6435
-252,4184,6405
-244,4343,6435
-238,4529,6449
-203,4743,6435
-139,4927,6379
-41,5086,6355
75,5208,6349
203,5314,6355
336,5382,6317
487,5429,6276
648,5425,6250
812,5372,6276
982,5256,6289
1178,5143,6276
1389,5047,6222
1584,4972,6196
1748,4863,6190
1909,4743,6196
2070,4631,6159
2194,4572,6117
2249,4536,6090
2275,4514,6117
2311,4481,6132
2356,4457,6117
2380,4427,6060
2397,4400,6037
2418,4360,6035
2437,4343,6037
2435,4338,5993
2437,4343,5958
2466,4318,5942
2519,4286,5958
2551,4247,5954
2559,4229,5958
2553,4215,5957
2559,4229,5958
2573,4236,5917
2600,4229,5879
2622,4190,5856
2640,4172,5879
2641,4169,5885
2640,4172,5879
2637,4140,5859
2640,4114,5879
2638,4106,5892
2640,4114,5879
2639,4090,5818
2640,4057,5799
2636,4038,5825
2640,4057,5879
2641,4068,5882
2640,4057,5879
2633,4019,5870
2640,4000,5879
2647,3995,5839
2640,4000,5799
2599,3977,5771
2559,3943,5799
2543,3903,5808
2559,3886,5799
2568,3861,5769
2559,3829,5799
2532,3786,5861
2519,3772,5958
2515,3755,6065
2519,3714,6276
2504,3640,6588
2478,3600,6991
2447,3597,7402
2437,3600,7865
2437,3564,8367
2437,3543,8897
2418,3560,9339
2397,3600,9692
2375,3603,9951
2356,3600,10168
2318,3614,10291
2275,3657,10327
2239,3683,10259
2234,3714,10168
2238,3761,10071
2234,3829,10009
2200,3867,9930
2153,3886,9851
2104,3898,9772
2072,3943,9771
2043,4002,9828
2031,4057,9930
2029,4067,10007
1990,4114,10089
1914,4191,10162
1950,4172,10248
2032,4091,10273
1909,4229,10248
1703,4422,10163
1869,4229,10089
2159,3920,9984
1869,4286,9851
1389,4831,9646
1828,4343,9453
2532,3536,9274
1787,4343,9136
567,5665,8970
1787,4343,8818
4478,1533,8673
3818,2686,8580
-669,8246,8466
-2600,10915,8341
1733,6244,8195
6987,57,8103
6670,-263,8023
2519,3772,7944
487,5755,7811
1584,4514,7706
2318,3701,7637
1462,4629,7626
912,5221,7587
1422,4686,7547
1751,4329,7512
1422,4686,7547
1215,4897,7590
1422,4686,7626
1541,4562,7617
1422,4686,7626
1354,4720,7628
1422,4629,7626
1443,4593,7579
1422,4629,7547
1434,4606,7510
1422,4629,7467
1370,4692,7373
1462,4629,7309
1600,4491,7287
1462,4629,7309
1223,4859,7281
1462,4629,7229
1860,4222,7169
1503,4572,7150
912,5148,7114
1503,4572,7070
2425,3653,7009
1503,4572,6991
143,5956,6985
2234,4057,6991
6438,252,6955
6174,1086,6911
458,7402,6855
-2600,10915,6832
1988,6318,6817
7718,-57,6832
6654,-30,6833
1259,4572,6832
-954,6559,6790
853,4857,6752
1884,3809,6726
650,4857,6752
-164,5508,6766
447,4857,6752
761,4477,6694
122,4972,6673
-360,5263,6672
-244,4972,6673
-198,4703,6624
-447,4686,6594
-590,4544,6586
-487,4229,6594
-353,3962,6551
-244,3829,6514
-138,3765,6500
-81,3829,6514
-111,4003,6481
-162,4229,6435
-202,4433,6404
-203,4629,6435
-175,4819,6452
-122,5029,6435
-53,5217,6375
41,5372,6355
152,5455,6357
284,5486,6355
433,5464,6305
609,5429,6276
806,5357,6271
1016,5257,6276
1221,5129,6230
1422,5029,6196
1612,4945,6187
1787,4857,6196
1928,4732,6157
2031,4629,6117
2100,4575,6097
2153,4572,6117
2196,4551,6116
2234,4514,6117
2258,4471,6113
2275,4457,6117
2290,4450,6079
2315,4457,6037
2340,4455,6011
2356,4457,6037
2355,4433,6052
2356,4400,6037
2368,4357,5982
2397,4343,5958
2420,4339,5954
2437,4343,5958
2450,4317,5917
2478,4286,5879
2504,4247,5859
2519,4229,5879
2513,4216,5881
2519,4229,5879
2537,4235,5866
2559,4229,5879
2560,4192,5878
2559,4172,5879
2559,4167,5865
2559,4172,5879
2538,4143,5883
2519,4114,5879
2512,4099,5831
2519,4114,5799
2505,4118,5781
2478,4114,5799
2447,4087,5796
2437,4057,5799
2434,4018,5788
2437,4000,5799
2435,3979,5792
2437,3943,5799
2436,3875,5788
2437,3829,5799
2422,3816,5832
2397,3829,5958
2366,3809,6137
2356,3772,6355
2356,3729,6580
2356,3714,6911
2336,3707,7349
2315,3714,7865
2294,3713,8347
2275,3714,8818
2247,3706,9244
2234,3714,9612
2234,3718,9848
2234,3714,10009
2201,3696,10108
2153,3714,10168
2116,3765,10142
2112,3829,10089
2104,3857,10009
2072,3886,9930
2018,3931,9823
1990,4000,9771
1990,4040,9782
1990,4057,9851
1951,4071,9888
1909,4114,9930
1896,4151,9985
1869,4229,10089
1801,4313,10175
1828,4286,10248
1899,4203,10263
1787,4343,10248
1610,4538,10172
1787,4343,10089
2073,4018,9972
1787,4343,9851
1319,4857,9686
1747,4400,9533
2444,3652,9366
1747,4457,9215
567,5741,9040
1706,4457,8897
4258,1736,8766
3615,2857,8659
-703,8266,8505
-2600,10915,8341
1502,6458,8183
6540,457,8103
6314,41,8032
2437,3829,7944
545,5702,7802
1584,4514,7706
2252,3739,7650
1422,4629,7626
913,5197,7567
1422,4686,7547
1742,4344,7568
1422,4686,7626
1221,4889,7631
1422,4686,7626
1537,4562,7616
1422,4686,7626
1358,4742,7590
1422,4686,7547
1437,4667,7495
1422,4686,7467
1446,4631,7419
1422,4629,7388
1338,4687,7346
1422,4629,7309
1574,4492,7248
1422,4629,7229
1155,4858,7227
1422,4629,7229
1843,4237,7181
1381,4629,7150
664,5252,7138
1341,4686,7150
2422,3754,7114
1300,4686,7070
-601,6083,7020
1259,4114,6991
5908,182,6940
6256,971,6911
681,7361,6898
-2600,10915,6911
1901,6231,6882
7759,-229,6832
6744,-128,6768
1259,4629,6752
-979,6662,6747
934,4857,6752
2074,3687,6738
894,4686,6752
126,5322,6759
772,4629,6752
1074,4180,6700
406,4629,6673
-75,4941,6667
41,4743,6673
38,4585,6629
-284,4629,6594
-466,4489,6579
-366,4172,6594
-238,3931,6564
-162,3829,6514
-103,3772,6454
-81,3829,6435
-132,4002,6422
-203,4229,6435
-266,4428,6436
-284,4629,6435
-262,4847,6393
-203,5086,6355
-120,5280,6331
0,5429,6355
141,5513,6367
284,5543,6355
417,5499,6301
569,5429,6276
758,5344,6270
975,5257,6276
1184,5140,6236
1381,5029,6196
1569,4930,6173
1747,4857,6196
1890,4771,6205
1990,4686,6196
2056,4609,6150
2112,4572,6117
2159,4541,6096
2194,4514,6117
2213,4474,6127
2234,4457,6117
2256,4452,6066
2275,4457,6037
2289,4432,6027
2315,4400,6037
2344,4361,6028
2356,4343,6037
2346,4330,6042
2356,4343,6037
2396,4349,5988
2437,4343,5958
2441,4306,5950
2437,4286,5958
