II,MCL,PLETH,RESP
10944,4551,2261,1414
10916,4556,2262,1416
10852,4551,2261,1414
10916,4556,2262,1416
11042,4551,2244,1414
11109,4556,2228,1416
10980,4551,2218,1414
10820,4556,2228,1416
10748,4551,2229,1415
10820,4556,2228,1416
10851,4550,2219,1413
10820,4556,2228,1416
10736,4552,2240,1415
10723,4556,2262,1416
10719,4548,2275,1412
10723,4556,2296,1416
10692,4554,2321,1424
10723,4556,2365,1439
10770,4545,2409,1443
10820,4556,2468,1439
10798,4560,2536,1431
10820,4556,2639,1439
10911,4533,2755,1453
11109,4556,2879,1463
11320,4621,2981,1459
11592,4705,3085,1463
11908,4747,3190,1474
12269,4780,3325,1486
12529,4813,3468,1484
12655,4854,3633,1486
12599,4860,3797,1497
12462,4854,3976,1510
12309,4847,4145,1508
12269,4854,4318,1510
12272,4830,4483,1520
12269,4780,4661,1534
12219,4699,4832,1533
12269,4630,5004,1534
12387,4573,5155,1542
12462,4556,5312,1557
12324,4551,5464,1558
12075,4556,5621,1557
11787,4526,5748,1564
11496,4481,5861,1581
11114,4426,5956,1585
10723,4406,6066,1581
10353,4402,6171,1574
10047,4406,6272,1581
9744,4399,6343,1592
9564,4406,6409,1604
9506,4411,6461,1605
9564,4406,6512,1604
9570,4388,6534,1601
9564,4406,6546,1604
9539,4450,6540,1604
9564,4481,6546,1604
9561,4446,6544,1601
9564,4406,6546,1604
9499,4412,6529,1606
9371,4481,6512,1604
9128,4518,6476,1591
8888,4481,6443,1581
8677,4357,6391,1575
8598,4182,6341,1581
8693,3891,6270,1582
9177,3435,6204,1581
10119,2812,6127,1576
11496,2166,6066,1581
13013,1603,5997,1584
14394,1195,5929,1581
15290,956,5838,1566
15553,971,5758,1557
15164,1245,5678,1555
14394,1718,5621,1557
13459,2260,5550,1547
12558,2838,5484,1534
11728,3396,5405,1520
11109,3883,5347,1510
10757,4228,5289,1495
10723,4481,5244,1486
10867,4683,5177,1483
11109,4854,5107,1486
11321,4950,5025,1478
11496,5004,4970,1463
11569,5038,4917,1445
11592,5078,4867,1439
11569,5086,4792,1438
11592,5078,4730,1439
11628,5066,4672,1430
11689,5078,4627,1416
11690,5083,4558,1398
11689,5078,4490,1392
11664,5063,4425,1391
11689,5078,4387,1392
11686,5113,4340,1382
11689,5153,4284,1368
11661,5158,4208,1353
11689,5153,4147,1345
11728,5143,4090,1340
11786,5153,4044,1345
11785,5151,3987,1347
11786,5153,3941,1345
11769,5145,3900,1331
11786,5153,3873,1321
11775,5150,3826,1317
11786,5153,3770,1321
11774,5145,3705,1321
11786,5153,3667,1321
11770,5151,3634,1319
11786,5153,3599,1321
11780,5143,3541,1320
11786,5153,3496,1321
11757,5155,3458,1320
11786,5153,3427,1321
11852,5134,3374,1319
11979,5153,3325,1321
12046,5191,3282,1321
12075,5228,3256,1321
12050,5221,3219,1318
12075,5228,3187,1321
12109,5257,3151,1322
12172,5302,3119,1321
12200,5305,3076,1315
12269,5302,3050,1321
12349,5317,3033,1334
12462,5377,3016,1345
12517,5424,2977,1342
12558,5452,2948,1345
12577,5448,2928,1356
12655,5452,2913,1368
12740,5447,2877,1367
12848,5452,2845,1368
12904,5446,2823,1378
12945,5452,2810,1392
12936,5447,2777,1392
12945,5452,2742,1392
12934,5448,2715,1399
12945,5452,2708,1416
12905,5426,2691,1420
12848,5377,2673,1416
12745,5293,2652,1409
12655,5228,2639,1416
12495,5180,2620,1427
12269,5153,2605,1439
11977,5089,2585,1442
11786,5004,2571,1439
11676,4908,2549,1434
11592,4854,2536,1439
11398,4814,2520,1450
11206,4780,2502,1463
11090,4728,2476,1464
11109,4705,2468,1463
11119,4701,2468,1460
11109,4705,2468,1463
11073,4669,2447,1463
11109,4630,2433,1463
11131,4608,2430,1460
11109,4630,2433,1463
10992,4642,2417,1463
10916,4630,2399,1463
10887,4584,2391,1460
10916,4556,2399,1463
10906,4543,2390,1465
10916,4556,2365,1463
10912,4554,2335,1450
10916,4556,2331,1439
10880,4549,2334,1434
10916,4556,2331,1439
11003,4552,2308,1440
11109,4556,2296,1439
11114,4550,2294,1436
11109,4556,2296,1439
11130,4551,2279,1439
11206,4556,2262,1439
11220,4550,2255,1436
11206,4556,2262,1439
11177,4551,2261,1441
11206,4556,2262,1439
11214,4551,2261,1426
11206,4556,2262,1416
11144,4551,2245,1411
11109,4556,2228,1416
11085,4551,2217,1416
11109,4556,2228,1416
11108,4551,2233,1413
11109,4556,2228,1416
11087,4551,2206,1415
11109,4556,2194,1416
11117,4551,2187,1413
11109,4556,2194,1416
11015,4551,2192,1415
10916,4556,2194,1416
10826,4550,2190,1412
10820,4556,2194,1416
10815,4551,2190,1424
10820,4556,2194,1439
10792,4550,2200,1443
10820,4556,2228,1439
10861,4552,2258,1431
10916,4556,2296,1439
10884,4549,2326,1453
10820,4556,2365,1463
10735,4554,2405,1459
10723,4556,2468,1463
10709,4544,2540,1474
10723,4556,2639,1486
10802,4581,2748,1484
11109,4630,2879,1486
11553,4667,3009,1497
11979,4705,3153,1510
12241,4734,3298,1509
12462,4780,3462,1510
12628,4818,3627,1519
12655,4854,3804,1534
12457,4861,3972,1534
12269,4854,4147,1534
12218,4818,4313,1540
12269,4780,4490,1557
12253,4733,4659,1562
12269,4705,4833,1557
12358,4668,4988,1549
12462,4630,5141,1557
12401,4579,5277,1570
12269,4556,5415,1581
12132,4549,5537,1580
11979,4556,5655,1581
11650,4527,5745,1580
11206,4481,5827,1581
10732,4427,5890,1576
10337,4406,5964,1581
9985,4400,6030,1591
9757,4406,6101,1604
9617,4404,6152,1606
9564,4406,6204,1604
9486,4403,6238,1602
9467,4406,6272,1604
9486,4401,6288,1602
9564,4406,6306,1604
9577,4427,6307,1605
9564,4481,6306,1604
9512,4506,6285,1591
9467,4481,6272,1581
9319,4435,6253,1576
9081,4481,6238,1581
8781,4571,6192,1580
8598,4556,6135,1581
8547,4301,6059,1580
8694,3883,5998,1581
9088,3383,5927,1577
9950,2838,5861,1581
11272,2243,5782,1583
12848,1718,5724,1581
14229,1317,5667,1566
15167,1046,5621,1557
15524,902,5551,1556
15360,1046,5484,1557
14692,1535,5407,1544
13718,2240,5347,1534
12650,2900,5275,1530
11786,3435,5210,1534
11203,3872,5133,1523
10916,4257,5073,1510
10791,4532,5011,1502
10820,4705,4970,1510
10953,4813,4919,1514
11206,4929,4867,1510
11440,5024,4793,1496
11592,5078,4730,1486
11606,5074,4669,1482
11592,5078,4627,1486
11573,5107,4573,1487
11592,5153,4524,1486
11582,5162,4467,1483
11592,5153,4421,1486
11581,5143,4366,1488
11592,5153,4318,1486
11568,5154,4262,1473
11592,5153,4216,1463
11626,5147,4160,1458
11689,5153,4113,1463
11690,5149,4057,1463
11689,5153,4010,1463
11671,5149,3954,1460
11689,5153,3907,1463
11680,5146,3853,1462
11689,5153,3804,1463
11677,5152,3747,1461
11689,5153,3702,1463
11673,5139,3649,1462
11689,5153,3599,1463
11684,5183,3538,1460
11689,5228,3496,1463
11661,5235,3460,1462
11689,5228,3427,1463
11729,5212,3373,1459
11786,5228,3325,1463
11779,5233,3282,1472
11786,5228,3256,1486
11778,5207,3220,1490
11786,5228,3187,1486
11754,5267,3150,1479
11786,5302,3119,1486
11861,5295,3078,1499
11979,5302,3050,1510
12029,5332,3029,1508
12075,5377,3016,1510
12109,5380,2984,1519
12172,5377,2948,1534
12200,5392,2906,1536
12269,5452,2879,1534
12351,5498,2845,1528
12462,5526,2810,1534
12510,5524,2768,1542
12558,5526,2742,1557
12595,5521,2721,1570
12655,5526,2708,1581
12659,5522,2686,1581
12655,5526,2673,1581
12632,5522,2658,1585
12655,5526,2639,1604
12659,5502,2601,1621
12655,5452,2571,1628
12574,5367,2548,1623
12462,5302,2536,1628
12298,5257,2515,1640
12172,5228,2502,1652
12059,5162,2497,1649
11979,5078,2502,1652
11816,4986,2490,1662
11592,4929,2468,1675
11337,4884,2441,1673
11206,4854,2433,1675
11153,4811,2431,1685
11109,4780,2433,1699
10956,4740,2419,1698
10820,4705,2399,1699
10762,4656,2373,1708
10820,4630,2365,1722
10840,4618,2363,1723
10820,4630,2365,1722
10748,4628,2350,1729
10723,4630,2331,1746
10705,4623,2308,1750
10723,4630,2296,1746
10715,4626,2289,1739
10723,4630,2296,1746
10707,4624,2300,1757
10723,4630,2296,1770
10717,4626,2275,1771
10723,4630,2262,1770
10700,4625,2257,1764
10723,4630,2262,1770
10758,4626,2259,1779
10820,4630,2262,1793
10825,4625,2263,1795
10820,4630,2262,1793
10795,4625,2243,1787
10820,4630,2228,1793
10825,4625,2221,1803
10820,4630,2228,1817
10758,4625,2226,1819
10723,4630,2228,1817
10700,4625,2228,1811
10723,4630,2228,1817
10718,4626,2210,1826
10723,4630,2194,1840
10707,4625,2184,1843
10723,4630,2194,1840
10716,4626,2197,1833
10723,4630,2194,1840
10707,4625,2174,1852
10723,4630,2159,1864
10717,4626,2151,1862
10723,4630,2159,1864
10703,4624,2162,1871
10723,4630,2159,1888
10725,4627,2148,1891
10723,4630,2159,1888
10661,4623,2178,1880
10626,4630,2194,1888
10604,4631,2187,1899
10626,4630,2194,1911
10615,4595,2219,1910
10626,4556,2262,1911
10649,4528,2292,1916
10723,4556,2331,1935
10741,4598,2385,1950
10723,4630,2468,1958
10693,4624,2548,1955
10820,4630,2639,1958
11102,4656,2741,1966
11496,4705,2879,1982
11823,4738,3018,1992
12075,4780,3153,2006
12261,4817,3276,2017
12462,4854,3427,2029
12577,4856,3595,2029
12558,4854,3770,2029
12368,4850,3921,2033
12172,4854,4079,2053
12053,4824,4234,2069
12075,4780,4387,2076
12146,4729,4506,2071
12269,4705,4627,2076
12377,4672,4756,2088
12462,4630,4901,2100
12419,4574,5023,2098
12269,4556,5141,2100
11999,4555,5255,2108
11689,4556,5381,2123
11314,4516,5486,2125
10916,4481,5587,2123
10463,4467,5671,2121
10047,4481,5758,2123
9706,4483,5826,2120
9564,4481,5895,2123
9534,4476,5949,2132
9564,4481,5998,2147
9537,4477,6017,2149
9564,4481,6032,2147
9636,4481,6041,2143
9757,4481,6066,2147
9791,4467,6074,2146
9757,4481,6066,2147
9600,4513,6029,2144
9371,4556,5998,2147
9107,4564,5961,2146
8984,4556,5929,2147
8938,4493,5875,2144
8888,4332,5827,2147
8839,3994,5771,2147
9177,3510,5724,2147
10098,2920,5654,2135
11496,2315,5587,2123
12968,1754,5510,2116
14297,1344,5450,2123
15250,1123,5377,2128
15650,1120,5312,2123
15376,1313,5237,2106
14684,1718,5175,2100
13821,2257,5103,2100
12945,2838,5038,2100
12041,3352,4962,2085
11303,3809,4901,2076
10873,4189,4840,2074
10820,4481,4798,2076
10961,4652,4746,2063
11206,4780,4696,2053
11425,4895,4634,2049
11592,5004,4593,2053
11647,5051,4554,2042
11689,5078,4524,2029
11727,5109,4472,2020
11786,5153,4421,2029
11784,5162,4363,2033
11786,5153,4318,2029
11770,5143,4264,2013
11786,5153,4216,2006
11767,5154,4158,2002
11786,5153,4113,2006
11786,5147,4059,2003
11786,5153,4010,2006
11717,5151,3952,2005
11689,5153,3907,2006
11706,5147,3855,1993
11786,5153,3804,1982
11806,5149,3743,1975
11786,5153,3702,1982
11716,5147,3665,1983
11689,5153,3633,1982
11668,5149,3579,1976
11689,5153,3530,1982
11683,5145,3487,1992
11689,5153,3462,2006
11666,5151,3426,2006
11689,5153,3393,2006
11720,5140,3354,2002
11786,5153,3325,2006
11795,5182,3287,2004
11786,5228,3256,2006
11746,5237,3219,2003
11786,5228,3187,2006
11862,5207,3148,2004
11979,5228,3119,2006
12035,5263,3085,2003
12075,5302,3050,2006
12066,5303,3007,2004
12075,5302,2982,2006
12081,5317,2964,2003
12172,5377,2948,2006
12301,5428,2909,2003
12462,5452,2879,2006
12559,5438,2858,2003
12655,5452,2845,2006
12737,5486,2810,2003
12848,5526,2776,2006
12906,5525,2750,2003
12945,5526,2742,2006
12936,5548,2725,2003
12945,5601,2708,2006
12932,5620,2686,2003
12945,5601,2673,2006
12935,5552,2654,2003
12945,5526,2639,2006
12932,5497,2619,2003
12945,5452,2605,2006
12915,5369,2584,2003
12848,5302,2571,2006
12671,5256,2552,2004
12462,5228,2536,2006
12237,5162,2513,2003
12075,5078,2502,2006
11892,4986,2497,2004
11689,4929,2502,2006
11448,4883,2490,2003
11303,4854,2468,2006
11227,4814,2439,2005
11206,4780,2433,2006
11139,4733,2435,2002
11109,4705,2433,2006
11099,4688,2412,2007
11109,4705,2399,2006
11024,4712,2397,1991
10916,4705,2399,1982
10820,4661,2381,1978
10820,4630,2365,1982
10817,4615,2357,1979
10820,4630,2365,1982
10794,4631,2364,1983
10820,4630,2365,1982
10826,4621,2364,1967
10820,4630,2365,1958
10774,4630,2348,1955
10820,4630,2331,1958
10940,4617,2320,1947
11109,4630,2331,1935
11185,4658,2336,1927
11206,4705,2331,1935
11186,4720,2308,1938
11206,4705,2296,1935
11203,4658,2292,1920
11206,4630,2296,1911
11186,4619,2293,1906
11206,4630,2296,1911
11205,4628,2297,1912
11206,4630,2296,1911
11181,4624,2278,1898
11206,4630,2262,1888
11217,4626,2254,1881
11206,4630,2262,1888
11132,4626,2262,1891
11109,4630,2262,1888
11113,4624,2257,1871
11109,4630,2262,1864
11005,4628,2261,1862
10916,4630,2262,1864
10879,4619,2258,1851
10916,4630,2262,1840
10912,4657,2261,1834
10916,4705,2262,1840
10908,4720,2256,1841
10916,4705,2262,1840
10861,4657,2273,1837
10820,4630,2296,1840
10793,4620,2310,1839
10820,4630,2331,1840
10813,4626,2363,1838
10820,4630,2433,1840
10808,4627,2508,1839
10820,4630,2571,1840
10795,4619,2608,1838
10820,4630,2673,1840
10902,4657,2768,1839
11109,4705,2879,1840
11369,4739,2963,1838
11689,4780,3050,1840
11988,4814,3155,1838
12269,4854,3290,1840
12452,4881,3421,1838
12558,4929,3564,1840
12541,4975,3712,1838
12462,5004,3873,1840
12334,4974,4021,1838
12269,4929,4181,1840
12245,4883,4347,1839
12269,4854,4524,1840
12261,4812,4680,1838
12269,4780,4833,1840
12264,4741,4970,1839
12269,4705,5107,1840
12202,4652,5223,1838
12075,4630,5347,1840
11830,4628,5466,1840
11496,4630,5587,1840
11057,4592,5675,1837
10626,4556,5758,1840
10235,4540,5836,1842
9950,4556,5929,1840
9707,4558,5995,1826
9564,4556,6032,1817
9494,4549,6039,1813
9564,4556,6066,1817
9660,4553,6102,1815
9757,4556,6135,1817
9766,4552,6133,1817
9757,4556,6135,1817
9682,4547,6135,1803
9564,4556,6135,1793
9358,4579,6100,1789
9177,4630,6066,1793
9017,4656,6031,1785
8888,4630,5998,1770
8702,4498,5928,1752
8598,4257,5861,1746
8739,3870,5800,1744
9371,3361,5758,1746
10489,2757,5691,1737
11979,2166,5621,1722
13479,1645,5544,1704
14684,1270,5484,1699
15309,1069,5411,1699
15360,1120,5347,1699
14916,1425,5273,1686
14201,1942,5210,1675
13328,2538,5133,1671
12462,3137,5073,1675
11670,3661,5013,1667
11109,4107,4970,1652
10813,4446,4913,1632
10820,4705,4867,1628
10982,4878,4812,1628
11206,5004,4764,1628
11367,5082,4704,1616
11496,5153,4661,1604
11558,5198,4622,1591
11592,5228,4593,1581
11573,5225,4541,1565
11592,5228,4490,1557
11628,5227,4431,1555
11689,5228,4387,1557
11686,5216,4332,1548
11689,5228,4284,1534
11672,5261,4228,1517
11689,5302,4181,1510
11673,5309,4126,1506
11689,5302,4079,1510
11688,5292,4023,1511
11689,5302,3976,1510
11629,5301,3918,1497
11592,5302,3873,1486
11570,5295,3830,1480
11592,5302,3804,1486
11580,5298,3771,1490
11592,5302,3736,1486
11617,5297,3681,1472
11689,5302,3633,1463
11704,5295,3588,1459
11689,5302,3564,1463
11647,5299,3533,1462
11689,5302,3496,1463
11745,5292,3439,1461
11786,5302,3393,1463
11728,5304,3352,1461
11689,5302,3325,1463
11697,5283,3287,1462
11786,5302,3256,1463
11812,5340,3220,1460
11786,5377,3187,1463
11727,5371,3146,1464
11786,5377,3119,1463
11915,5405,3099,1450
12075,5452,3085,1439
12139,5456,3050,1435
12172,5452,3016,1439
12188,5465,2988,1439
12269,5526,2982,1439
12353,5576,2968,1437
12462,5601,2948,1439
12518,5591,2909,1438
